en_sentence	fa_sentence	translation	variety (Western Gilaki|Eastern Gilaki)	county	orthography	translator	5420
but hasn't got any magic powers.	ولی هیچ قدرت جادویی ندارن	ولي هلماله سۊمأ زؤرأ نأره	Western Gilaki	Bandar Anzali	Vrg	RRR	
I'm afraid there are none.	بدبختانه سیگار نیست.	سيأبختي پاپرۊس ننأ	Western Gilaki	Bandar Anzali	Vrg	RRR	
but in ablack shroud, of woollen, which was heavy in summer	اما سیاه کفنی پشمین داشتند که برای تابستان سنگین بود	ولي چچين سيا کفن دأشتن گه تاوسسؤن ٚ ره سنگين بؤ.	Eastern Gilaki	Kelachay	Vrg	RRR	
because she had been ill	زیرا بیمار بود	چۊن ناخؤش بؤ.	Western Gilaki	Bandar Anzali	Vrg	RRR	
there was the danger of falling over if you looked down into the abyss.	با خم شدن روی این سوراخ تاریک خطر سرنگون شدن در آن هست.	اي تاريک لۋک ٚ فۊچۊمۊسن ٚ جي، فکتن ٚ خطر نئه.	Eastern Gilaki	Kelachay	Vrg	RRR	
for he had made up his mind	چه عزم جزم کرده بود	خؤ عازمأ جزمأ کۊده	Western Gilaki	Bandar Anzali	Vrg	RRR	
I have advised him to do that.	من به او توصیه کردم.	مۊ أن-أ سٚفارش بۊکۊدم	Western Gilaki	Bandar Anzali	Vrg	RRR	
the ever got jacked	تا حالا بهش دستبرد زده شده است	تا ايسه اۊن ٚ جي دۊزي بۊبئه.	Eastern Gilaki	Kelachay	Vrg	RRR	
to get rid of them!	می شه سرشان را برید.	شأنه ايشان-ه سيرأبئن.	Eastern Gilaki	Kelachay	Vrg	RRR	
I want the truth, the truth!	من میل دارم از حقیقت آگاه گردم حقیقت!	مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	Western Gilaki	Bandar Anzali	Vrg	RRR	
the racers started.	مسابقه آغاز شد.	مزایأ سرأ گیفتن	Western Gilaki	Bandar Anzali	Vrg	RRR	
I cleared my throat.	گلویم را صاف کردم.	مي گۊلي-أ پخ بزئم	Western Gilaki	Bandar Anzali	Vrg	RRR	
has the last featuring blow at events.	ضربه نهایی بر وقایع در دست اوست.	نهايي ضربۊ واقئيت ٚ جأ اۊن ٚ دس نهأ	Western Gilaki	Bandar Anzali	Vrg	RRR	
while he who is so of his own accord can leave off being one whenever he likes.	حال آنکه دیوانه اختیاری هر وقت که خواست از حال جنون بیرون خواهد آمد.	ولي خأسه‌بؤر تۊر خۊ میل‌بؤ تۊري جي بیرۊن هنه.	Eastern Gilaki	Kelachay	Vrg	RRR	
was passed by the two young people in schemes on the subject.	هر دو جوان به فکر همین موضوع افتادند.	هر دۊ ته جوانان هين ٚ سر ويرسه دؤبؤن.	Eastern Gilaki	Kelachay	Vrg	RRR	
where he had paused in the dark not many hours before to picture to himself on which of the rough stones of the street her feet had trodden	همان جا که سیدنی چندی پیش ایستاده بود تا لوسی را بر سنگفرش پیاده رو در حال قدم زدن مجسم کند	هۊیه گه سيدني چن گا پيش هيسأبؤ تا لۊسي-یه پیاده‌رؤ سنگ‌فرش ٚ سر راشؤنا تجسسؤم بؤنه.	Eastern Gilaki	Kelachay	Vrg	RRR	
he hid himself to weep.	او پنهان شده بود تا بگیرد.	اۊن دۊخؤته بؤ تا بىره.	Eastern Gilaki	Kelachay	Vrg	RRR	
the gate firmly bolted behind him.	دروازه به شدت پشت سرش بسته شد.	بلته قاىم اۊن ٚ پۊشت دؤبۊسته وکت.	Eastern Gilaki	Kelachay	Vrg	RRR	
so she went into the water to wash off the sweat.	ناگزیر دخترک وارد دریا شد تا عرق تنش را بشوید.	زۊرازۊر لاکۊ بۊشؤ درىا مئن تا خۊ تن ٚ عرق-ه بۊشؤره.	Eastern Gilaki	Kelachay	Vrg	RRR	
I never heard her speak	هیچ وقت حرف زدن او را ندیدم.	هرگيز اۊن ٚ گب زأن-ه ندئم.	Eastern Gilaki	Kelachay	Vrg	RRR	
but it appeared that something new had come to birth in his soul as though he were vowing to himself that he would bear this trial.	ولی سوگند یاد کرده بود که تا آخرین نفس در مقابل نفس خویش ایستادگی کند	ولي قسم بۊخؤرده بؤ گه تا آخري نفٚس خۊ نفس ٚ برابر بىسه.	Eastern Gilaki	Kelachay	Vrg	RRR	
deserted from the front	جبهه را ترک کردند	جبهه جي بیرۊن بۊمأم.	Eastern Gilaki	Kelachay	Vrg	RRR	
I told you he would.	حتم دارم که مست کرده بود.	مۊطمئنم مستاته‌بؤ.	Eastern Gilaki	Kelachay	Vrg	RRR	
drawing a fortune a title	ثروتی را از دست داده	ثروت چيکأدئه.	Eastern Gilaki	Kelachay	Vrg	RRR	
where a ferryman was waiting to take him across the moat.	در آنجا راننده جسر در انتظارش بود تا از خندق عبورش دهد.	راننده جسر اۊیه اۊن ٚ رفاق هيسأبؤ تا اۊن-ه هندق ٚ جي دوأرأنه.	Eastern Gilaki	Kelachay	Vrg	RRR	
do you shut it.	تو این را ببند.	تۊ اين-ه دؤبۊس.	Eastern Gilaki	Kelachay	Vrg	RRR	
he had reached the end of the farther corridor, and	او به انتهای راهرو آن سمت رسیده بود	اۊن اۊ سمت ٚ راهرؤ آخر-ه برسئه بؤ.	Eastern Gilaki	Kelachay	Vrg	RRR	
