en_sentence	fa_sentence	translation	variety (Hawraman Takht|Lhon|Jawaru)	county	orthography	translator	7794
this is the kitchen	اینجا آشپزخانه است	ئینە مۆبەقەکەن	Lhon	Biyare	Hawrami	HHH	
I have nothing for you to do.	من کاری ندارم به شما بدم.	هیچم نیا پەیت کەروو	Lhon	Biyare	Hawrami	HHH	
she hastened from the room.	با شتاب از اطاق بیرون رفت.	بە پەلە ژوورەکەنە ئاما بەرۆ	Lhon	Biyare	Hawrami	HHH	
I've had enough of it	دیگه طاقت ندارم.	ئیتر حۆسەڵەم نەمەنەن	Lhon	Biyare	Hawrami	HHH	
they took the spade and the pick there.	بیل و کلنگ را آنجا برده بودند.	چاگەنە بێڵ و زەنگەنەکەشا بەرد	Lhon	Biyare	Hawrami	HHH	
then I've found him and I want to go to bed with him.	سپس من او را پیدا کردم و میخوام همین الان به او عشق بورزم	دماتەر ئاﮆم ئیستۆ وگەرەکما چەنیش بلو دلؽ یاگؽ	Lhon	Biyare	Hawrami	HHH	
I sighed and gave her the key.	آهی کشیدم و سوییچ را به او دادم.	ئاهێم کؽشت و کرؽڵەکؽم دا پەنە	Lhon	Biyare	Hawrami	HHH	
yet never seeming to be hurried, or to have too much to do?	بی آنکه در رفتار او نشانی از شتاب یا گرفتاری مداوم به وجود آورد.	هؽشتای هیچ پانەی مەشۆ پەلەت ب، یا فرە هەرمانؽت هەنؽ کەریشا؟	Lhon	Biyare	Hawrami	HHH	
we may be able to save her.	شاید بتوانیم این بیچاره را نجات دهیم.	ڕەنگا تاومێ پارێزنمێش	Lhon	Biyare	Hawrami	HHH	
I looked round	سپس به اطراف خود نگریستم	دۆروو وێمەنە تەماشێم کەرد	Lhon	Biyare	Hawrami	HHH	
you should be engaged without my knowing it	تو با آقای لایدگیت نامزد بشوی من خبر نداشته باشم	حەتمەن تو مارەبریێنی و من نەزانانم	Lhon	Biyare	Hawrami	HHH	
anyone beating him at anything	کسی تو هر چیزی ازش جلوتر با شه.	هەر کەسی وەرو هەرچیوؽ مﮆوش	Lhon	Biyare	Hawrami	HHH	
that had never happened before.	که پیش از آن سابقه نداشت.	کە ئینە وەڵتەر بە هیچ نۆعێ ڕووەش نەﮆاﮆنێ	Lhon	Biyare	Hawrami	HHH	
she had a remarkable ability for manual work	ضمناً نشان داد که مهارت خاصی در انجام کارهای دستی داشته	توانێو عەجیبش بی پەی هەرمانەو دەسی	Lhon	Biyare	Hawrami	HHH	
they were like schoolboys after a few hours in school.	از این فرصت رفع خستگی و هیاهو خوشنود بودند.	ئاﮆی هەر پێسە تەلەبەو مەکتەبی بێنێ دماو چن سەعاتێ مەکتەبەنە	Lhon	Biyare	Hawrami	HHH	
she had an attack of hysterics.	او به حمله عصبی دچار شده بود!	توشو نەوەشی هیستیریای بیەنە	Lhon	Biyare	Hawrami	HHH	
I am not exactly thanking you	من تنها از شما سپاسگزار نیستم	من بە تەمامی سوپاستا مەکەروو	Lhon	Biyare	Hawrami	HHH	
but it had been a narrow escape	اما این بار خطر از بیخ گوشش گذشته بود.	وەلێ ڕەمایێ تەسکە بێ	Lhon	Biyare	Hawrami	HHH	
as became a pirate	در خور راهزنی باشد	هەر پێسە چەنی بی بە چەتەو دەریای	Lhon	Biyare	Hawrami	HHH	
bending, kissed her cheek.	خم شد و گونه او را بوسید.	ماتە بێ، سەرکوڵمؽش ماچە کەردێ	Lhon	Biyare	Hawrami	HHH	
bent over the body.	روی جسد خم شده بود.	سەرو لاشەکؽ چەمانۆ	Lhon	Biyare	Hawrami	HHH	
tracking animals and finding water.	حیوانات را به دام اندازد و آب پیدا کند.	ئیستەو یاگؽ پاو ئاژەڵا چەنی پەﮆا کەردەو ئاوی	Lhon	Biyare	Hawrami	HHH	
