en_sentence	fa_sentence	translation	variety	county	orthography	translator	3418
I am sure there is something the matter.	یقیناً یک چیزی هست که خاطرت را پریشان کرده.	م دڵنیام ک چێ هەس	Kakavandi	Harsin	Laki Kurdish	MRY	
I thought perhaps you didn't want to be spoken to.	فکر کردم شاید نخواهید کسی مزاحمتان بشود.	ڤتم شاد خوەشت نای کەستئ مزایم بوو.	Kakavandi	Harsin	Laki Kurdish	MRY	
so that at first I was not quite sure	بنابراین در ابتدا من خیلی مطمئن نبودم.	سە ئەڤەڵ م فرە دڵنیا نەویم.	Kakavandi	Harsin	Laki Kurdish	MRY	
I got this here bearin' loose.	من یاتاقان و واکردم	م یاتاقانەم ڤاز کرد.	Kakavandi	Harsin	Laki Kurdish	MRY	
but the food was good, and there was good wine	اما غذا عالی بود و شرابی عالی نیز در دسترس بود.	بڵەم هواردەمنیە خاس بی و شراو خاسیژێ بی	Kakavandi	Harsin	Laki Kurdish	MRY	
climbed out, and started walking.	از آن پیاده شد و به راه افتاد.	ئەژن هەتێە هور و کەتەو ڕێ.	Kakavandi	Harsin	Laki Kurdish	MRY	
they're going to buy me a new wand for next year.	قرا ره به رام یه چوب دستی نو بخرن.	قرارە ئەرانم ی تەرکە نووئێ بسینن.	Kakavandi	Harsin	Laki Kurdish	MRY	
but it didn't work anyway.	البته کاری نکردم.	ئەڵڤەت کارمێ نەکردێە.	Kakavandi	Harsin	Laki Kurdish	MRY	
in the foreground, a head, a colossal head, inclined towards the iceberg, and resting against it.	در متن پیش زمینه یک سر غول آسا به طرف کوه یخ خم شده و بر آن آرمیده بود.	ڤە پێشزەمینەوا، ی سەر، ی سەر فرە کەڵنگەێ، ڤیرەێ کۏ یەخ هەول بیەسا و تەک داسێە بێن.	Kakavandi	Harsin	Laki Kurdish	MRY	
but this much I will say	اما باید این را به تو بگویم	ئەمانێ یە باس بووشمە تو.	Kakavandi	Harsin	Laki Kurdish	MRY	
it shall be together.	باید باهم باشد.	باس گەرد یەک بوو.	Kakavandi	Harsin	Laki Kurdish	MRY	
of the end of the month	از انتظار اواخر ماه	ئاخر مانگ	Kakavandi	Harsin	Laki Kurdish	MRY	
you don't smell good.	بوی خوشی ازت نمیآد.	بوو خوەشتێ ئەژن نمای	Kakavandi	Harsin	Laki Kurdish	MRY	
I havent any time to talk to you now.	فعلا وقت ندارم با تو حرف بزنم.	هالیم ڤەخت نێرم گەرد تو گەپ بەم.	Kakavandi	Harsin	Laki Kurdish	MRY	
looked out under them.	از زیر آنها نگاه کرد.	ڤە ژێر ئەونە سەێر کردەێ.	Kakavandi	Harsin	Laki Kurdish	MRY	
but it doesn't compare with break bone fever.	امّا با تب استخوان شکنی که داشتم قابل مقایسه نیست	بڵەم ڤە گەرد تەو سوخان شکن نماو مقایسە بکەینەێ.	Kakavandi	Harsin	Laki Kurdish	MRY	
but it will be painful	ولی خیلی درد داره	ڤەلی فرە ژانە مەکەێ.	Kakavandi	Harsin	Laki Kurdish	MRY	
then started to climb, fast as he could	به سرعت از سرسره سنگی بالا رفت.	دومار دەس کردێە ڤیرەێ بان چین، ڤە تونا تا جای ک مەتۊنستەێ.	Kakavandi	Harsin	Laki Kurdish	MRY	
but he respected the law and its need to be upheld.	اما به قانون و حفظش احترام می ذاشت.	بڵەم ئەو ڤە قانوون و پاراستنەێ هورمەتە مەنیای.	Kakavandi	Harsin	Laki Kurdish	MRY	
more by token it was sheep's milk cheese.	نشان به آن نشان که پنیرش هم گوسفندی بود.	نیشان ڤە ئە نیشانە ک پەنێرەی پەنێر کاوڕ بی.	Kakavandi	Harsin	Laki Kurdish	MRY	
so they began looking for him	به جستجوی او پرداختند.	چنێە منیا.	Kakavandi	Harsin	Laki Kurdish	MRY	
so profound was the sensation that	هیجانی که بر اثر آن ایجاد شد آن قدر عمیق بود	ئساسە ئەخکە قۏڵ بی ک	Kakavandi	Harsin	Laki Kurdish	MRY	
from preparing for the future	از اینکه آینده خود را بر بنای مستحکمی و استوار بگذارد.	ڤە ئامادە بین ئەڕا ئایەندە	Kakavandi	Harsin	Laki Kurdish	MRY	
not talking to each other.	فرصت حرف زدن هم نبود	ڤەخت گەپ داینیژ نەوی.	Kakavandi	Harsin	Laki Kurdish	MRY	
I leaned forward, meeting her gaze as if I were staring deeply into her depthless, small brown eyes.	کمی به جلو خم شدم و عمیقاً به چشمان ریز و کم عمق قهوه ای او نگاه کردم.	ڤیرەێ نوا هەول بیم سەێر چەمەلم کرد، بگر ک ڤە قۏڵی چەمەل گوجەر و بوورەێ مات بۊم.	Kakavandi	Harsin	Laki Kurdish	MRY	
so it is evident that he has done a great amount of walking with it.	بنابراین واضح است که کلی با آن راه رفته است.	سە دیارە ک فرە ئەگەرد گام نیاسەێ.	Kakavandi	Harsin	Laki Kurdish	MRY	
very attentively he took his first lesson.	نخستین درس خود را با دقت و توجه بسیار گوش داد.	ئەو ڤە دقەت یەکمین دەرس وژ گرتێا.	Kakavandi	Harsin	Laki Kurdish	MRY	
to be so painstakingly decorated before being led to the gallows.	پیش از رفتن به پای چوبه دار چنین با رنج آراسته شود.	ڤر ئەژ چین ئەر پا دار ڤە گوڕاڵاو ئاراستەوا بوو.	Kakavandi	Harsin	Laki Kurdish	MRY	
that something would happen	که اتفاقی بیفتد	ک چێ بوو	Kakavandi	Harsin	Laki Kurdish	MRY	
at an age where they deserve it	همگی در سن و سال این خواستگاری هستند	ڤە سنەێ ک ئەون شایستەنەێ	Kakavandi	Harsin	Laki Kurdish	MRY	
then looked away	بعد به جای دیگر نگاه کرد.	دومار سەێر دۊر کردەێ.	Kakavandi	Harsin	Laki Kurdish	MRY	
come and sit aside of me	بیا کنارم بنشین	بوورێ بنیشە لانما.	Kakavandi	Harsin	Laki Kurdish	MRY	
it was worth it.	با این همه ارزشش را داشت.	ئەرزش داشتەێ.	Kakavandi	Harsin	Laki Kurdish	MRY	
I have to get back to the studio.	من باید به استودیو برگردم.	م باس بچما ڤە ئستدیو.	Kakavandi	Harsin	Laki Kurdish	MRY	
once more flying	آنان به هوا برخاستند	ئەونە هیزگرتنەر هەواوا.	Kakavandi	Harsin	Laki Kurdish	MRY	
their respective dreams without injury to each other.	افکار و احساسات و رؤیاهای عاشقانه خود را با یکدیگر در میان نهند.	خەیاڵەل ئەون بی ئاسیب ڕەسانن ڤە یەک تری.	Kakavandi	Harsin	Laki Kurdish	MRY	
I set eyes on him	وقتی به او نگاه کردم	هەنێ سێر ئەوم کرد.	Kakavandi	Harsin	Laki Kurdish	MRY	
I don't read him that way, she said.	روت گفت من چنین تصوری از او ندارم	ئەو ڤتەێ م ئەو هانە نمەخوەنم	Kakavandi	Harsin	Laki Kurdish	MRY	
for she had received proposals from nearly all the young men in the neighborhood	زیرا جوانان همسایه همگی به او پیشنهاد ازدواج داده بودند	چۊن کول جوونەل هامسامان وازمنین ئەژن کردۊ.	Kakavandi	Harsin	Laki Kurdish	MRY	
it won't be borne!	قابل تحمل نخواهد بود!	تەئەمل نماو!	Kakavandi	Harsin	Laki Kurdish	MRY	
you ain't well a bit	حالت هیچ خوب نیست.	تو کەمەێ خاس نین	Kakavandi	Harsin	Laki Kurdish	MRY	
I hastened to comply with his friendly suggestion	فوری از این فکر او استقبال	م ڤە زۊا ڤە پێشنهاد دووسی ئەو پێرەڤیم کرد	Kakavandi	Harsin	Laki Kurdish	MRY	
as must appear with particular advantage at that moment to her friend.	طوری که در آن لحظه برای اِما واقعاً جای شکرش باقی بود.	ک باس ئەر ئە گڕە ڤە سوود دووسەی دیار بدرەێ.	Kakavandi	Harsin	Laki Kurdish	MRY	
I don't even dispute it.	حتی بحث نمکنم.	م هەر ڤە سەر ئەڤە چێ نمووشم.	Kakavandi	Harsin	Laki Kurdish	MRY	
