en_sentence	fa_sentence	translation	variety	county	orthography	translator	4345
she could not but flatter herself that it had been the occasion of much present enjoyment to both	باز اِما به خودش دل خوشی داد که به هر حال کلی باعث رضایت و شادی آن دو نفر شده	وه نتونسه ولی شه خادر ره دلخوشی هدا که باعث بیه اون ده نفر شاد بواشن.	Central Mazani	Babol	Farsi	Vol_1	
her head covered	چیزی روی سرش انداخته بود	اته چی دم هدا شه سر بالا	Central Mazani	Babol	Farsi	Vol_1	
whom I have the honor of conversing so pleasantly, instead of being in the ambulance with that maniac's bullet in my body?	که من به جای اینکه با گلوله این دیوانه در بهداری افتاده باشم با چه کسی این گفتگوی مطبوع را دادم.	من به جای اینکه اینتا دیوانه گلوله جا دکفم اته بهداری دله، درمه با کی انه قشنگ حرف زمه؟	Central Mazani	Babol	Farsi	Vol_1	
but decided not to.	ولی تصمیم گرفت که این کار را نکند.	اما تصمیم بیته این کار ره نکنه	Central Mazani	Babol	Farsi	Vol_1	
you know, I'm not your boss.	یعنی من که رئیس تو نیستم.	یعنی من ته رییس نیمه کا	Central Mazani	Babol	Farsi	Vol_1	
I never was whipped in school.	من تا حالا توی مدرسه شلاق نخوردم.	من تا الان مدرسه دله شلاق نخردمه	Central Mazani	Babol	Farsi	Vol_1	
I shut off the engine and got out.	موتور را خاموش کردم و پیاده شدم.	موتور ره خاموش هکردمه و پیاده بیمه	Central Mazani	Babol	Farsi	Vol_1	
NOW are you satisfied?	همین برای شما کافی است.	همینتا ته وسه کافیه	Central Mazani	Babol	Farsi	Vol_1	
your sister thinks so as well as I.	خواهرت هم موافق است.	ته خواخر هم موافق هسته	Central Mazani	Babol	Farsi	Vol_1	
but he mustn't catch it yet	ولی هنوز وقت گرفتن آن فرا نرسیده بود.	اما هنوز ونه بیتنه وقت نرسیه	Central Mazani	Babol	Farsi	Vol_1	
always patient and in fact is the merchant's confidante.	همیشه صبور و در حقیقت محرم بازرگان است.	هیشه صبور هسه و در حقیقت بازرگانه محرمه	Central Mazani	Babol	Farsi	Vol_1	
I think not sire	اعلیحضرتا تا این را هم گمان ندارم	اعلی حضرتا فکر نکمه اینجوری باشه	Central Mazani	Babol	Farsi	Vol_1	
I am so glad you are come.	خیلی خوشحالم که آمدید.	خله خوشحال هسمه که بیمونی	Central Mazani	Babol	Farsi	Vol_1	
I'll thank you to keep a civil tongue in your head.	خیلی ممنون میشم که مؤدب باشی و زبونت رو نگهداری.	خله ممنون بومه مودب بویی و شه زبوننه داری	Central Mazani	Babol	Farsi	Vol_1	
I just want you to say if you can	فقط میخ وام اگه میشه به هم بگی.	فقط خامه اگه تونی مره باوی	Central Mazani	Babol	Farsi	Vol_1	
advancing to the bed's head	به سوی تخت رفت	بورده تخت ور	Central Mazani	Babol	Farsi	Vol_1	
I gazed steadily at my plate.	نگاه من به فنجان چای دوخته شده بود.	مه دیده چایی فنجون ره بدوت بیه	Central Mazani	Babol	Farsi	Vol_1	
as if he were considering that.	چنان که گویی درباره آن به بحث مشغول بودند.	انگار دینه درباره وه حرف زونه	Central Mazani	Babol	Farsi	Vol_1	
I lose my temper on the slightest provocation, flare up, and then it's all over.	خیلی اتفاق افتاده که من بر سر موضوعی عصبانی شدم اما هرچه بود در همان یکی دو ساعت فراموش کردم	خله پیش بیمو من اته چی وسه عصبانی بیمه اما هر چی بیه همون اتا ده ساعت سر یاد بکردمه	Central Mazani	Babol	Farsi	Vol_1	
his head pillowed on his jacket.	سرش را روی کاپشنش گذاشته بود.	شه سر بشته کاپشن رو	Central Mazani	Babol	Farsi	Vol_1	
he wandered off in the direction of his room	به پانسیون رفت و ناهارش را خورد.	ول هکرده بورده شه اتاق ناهار بخرده	Central Mazani	Babol	Farsi	Vol_1	
a cup not so big as a nut shell	فنجان به اندازه پوست گردوست	فنجون آغوز اندازه هسه	Central Mazani	Babol	Farsi	Vol_1	
I can't possibly keep them.	نمی تونم قبول کنم	نتومه قبول هکنم	Central Mazani	Babol	Farsi	Vol_1	
captivity has subdued me	زیرا که حبس مرا رام و منکسر و نابودم ساخته	حبس مره داغون هکرده	Central Mazani	Babol	Farsi	Vol_1	
it will bring bad luck.	که موجب بدبختی است.	اینتا امه وسه بد ایارنه	Central Mazani	Babol	Farsi	Vol_1	
but it was not his tractor.	تو اما این تراکتور مال او نبود.	اینتا تراکتور ونه وسه نیه	Central Mazani	Babol	Farsi	Vol_1	
I have come to tell you that this must end.	آمدم بگویم که باید دست بردارید.	بیمه باوم که اینتا ونه تموم باوه	Central Mazani	Babol	Farsi	Vol_1	
I can sell them fast as I get them.	نرسیده فروخته می شن.	نییت بروش بونه	Central Mazani	Babol	Farsi	Vol_1	
maddened by a sudden attack of rabies	ناگهانی هار شده	یک دفعه هاری بیته	Central Mazani	Babol	Farsi	Vol_1	
for he was the main cause of all this thrashing.	چون او است که علت اصلی کتک خوردن ما بوده است.	وه باعث بیّه اما کتک بخردمی	Central Mazani	Babol	Farsi	Vol_1	
but, however, you had better not interfere.	ولی باز هم بهتر است تو دخالت نکنی.	ولی ای بتّره تو دخالت نکنی	Central Mazani	Babol	Farsi	Vol_1	
that no other spiritual aid should be called in.	شخص دیگری در این مسایل دخالت نکند.	ای کس دیگه این مسائل دله دخالت نکنه	Central Mazani	Babol	Farsi	Vol_1	
a wordless plea	یک خواهش غیر قابل بیان	اتا خواهش که ننشنه باوتن	Central Mazani	Babol	Farsi	Vol_1	
one day, when she felt better, he tried to take her, leaning on his arm, for a walk round the garden.	روزی که حس کرد حالش بهتر است شارل کوشید زیر بازویش را بگیرد و او را در باغ بگرداند.	اتاروز که ونه حال وروز خار به شارل ونه دست ره بیته بورده باغ چرخ هدا	Central Mazani	Babol	Farsi	Vol_1	
the first is that I have made your acquaintance	نخست آنکه با شخصی مثل جنابعالی آشنا شدم	اول این که اتا آدم واری مثل ته آشنا بیمه	Central Mazani	Babol	Farsi	Vol_1	
as he was certain of being tortured.	این منم که باید شکنجه به شم نه اونها.	اینتامنمه که ونه کتک بخرم نا وشون	Central Mazani	Babol	Farsi	Vol_1	
crossing her hands upon her bosom	دو دست بر سینه نهاد	شه ده تا دست ره کشه بزو	Central Mazani	Babol	Farsi	Vol_1	
but he could read people like a book.	اما اون می تونست مردم رو مثل یه کتاب بخونه	اما وه تونسسه مردم حال و روز ره بفهمه	Central Mazani	Babol	Farsi	Vol_1	
on the contrary, that change can only intensify love in his heart.	بر عکس باعث تشدید و تقویت محبت در قلبش شده .	بالعکس باعث بیه محبت ونه قلب ویشتر بوه	Central Mazani	Babol	Farsi	Vol_1	
a shivering light filled the compartment.	بعد نو لرزانی کوپه را روشن کرد.	شام بخرده په ای چی بمونسسه	Central Mazani	Babol	Farsi	Vol_1	
