en_sentence	fa_sentence	translation	variety	county	orthography	translator	9797
he attached himself to the cause of progress and our younger generation from enthusiasm.	بستگی او به پیشرفت و به نسل جوان ما سودایی بیش نبود.	پشتڤەسن ئەڤی ڤە پێشکەفتن و ڤە جیل جوان ئێمە ئەژ سەودا فرەتر نەڤی.	Pehley	Pahleh	Southern Kurdish	EK	
this is the kitchen	اینجا آشپزخانه است	دەیرە ئاشپەزخۆنەو.	Pehley	Pahleh	Southern Kurdish	EK	
I have nothing for you to do.	من کاری ندارم به شما بدم .	م کارێ نێرم بمە ئێڤە.	Pehley	Pahleh	Southern Kurdish	EK	
she hastened from the room.	با شتاب از اطاق بیرون رفت.	ڤە هەلەپەل ئەژ ماڵ چی ئەودەر.	Pehley	Pahleh	Southern Kurdish	EK	
I've had enough of it	دیگه طاقت ندارم.	دەی ڤە عەمەڵ نیارم.	Pehley	Pahleh	Southern Kurdish	EK	
they took the spade and the pick there.	بیل و کلنگ را آنجا برده بودند.	بیل و کوڵنگە بردوویینە دەەورە.	Pehley	Pahleh	Southern Kurdish	EK	
then I've found him and I want to go to bed with him.	سپس من او را پیدا کردم و میخ وام همین الان به او عشق بورزم	ئێمداڵەکی م ئەڤی دیم و خوازم هێمکە دووسی باشتووم.	Pehley	Pahleh	Southern Kurdish	EK	
I sighed and gave her the key.	آهی کشیدم و سوییچ را به او دادم.	هناسەی سەردێ ئەوردم و سووییچە ڤێ دام.	Pehley	Pahleh	Southern Kurdish	EK	
yet never seeming to be hurried, or to have too much to do?	بی آنکه در رفتار او نشانی از شتاب یا گرفتاری مداوم به وجود آورد.	بێ ئەڤەی ک دە ئەڵەسوبنیشی نشۆنێ ئەژ پەلە یا دڵنگەرۆنێ درس بوو.	Pehley	Pahleh	Southern Kurdish	EK	
I was so overwhelmed at this unexpected circumstance that my mind was positively clouded.	این حادثهٔ غر مترقبه چنان بر من ناگوار آمد که نزدیک بود عقل خود را از دست بدهم	ئێقەرە ئەژ ئێ پێشیەت چەوەڕێ نەکریایە مەنگ بووییم ک ڤەخت بی بمەو کێو.	Pehley	Pahleh	Southern Kurdish	EK	
we may be able to save her.	شاید بتوانیم این بیچاره را نجات دهیم.	هەدێ بتۆنیمن گیۆن ئێ چارەسییە ئەوخڕیمن.	Pehley	Pahleh	Southern Kurdish	EK	
I looked round	سپس به اطراف خود نگریستم	ئێمداڵەکی دەور خوەم ئەونام.	Pehley	Pahleh	Southern Kurdish	EK	
you should be engaged without my knowing it	تو با آقای لایدگیت نامزد بشوی من خبر نداشته باشم	تۆ ئەگەرد ئاقای لایدگیت دەسگیرۆن بوویی و م نەزۆنم.	Pehley	Pahleh	Southern Kurdish	EK	
anyone beating him at anything	کسی تو هر چیزی ازش جلوتر با شه.	کەسێ دە هەرچیێ ئەژەی بێتر بوو.	Pehley	Pahleh	Southern Kurdish	EK	
that had never happened before.	که پیش از آن سابقه نداشت.	ک ڤەر ئەژ ئەڤە سابقە ناشت.	Pehley	Pahleh	Southern Kurdish	EK	
lotions made with the subacetate of lead, and fomentations of oxycrat.	شستشو با میع ساتورن و تحریک با آب سرکه را بیفزایید.	ششتن ڤەگەرد ساتورن و تەحریک ئەگەرد ئاو سرکە فرەترەو بکەرن.	Pehley	Pahleh	Southern Kurdish	EK	
she had a remarkable ability for manual work	ضمناً نشان داد که مهارت خاصی در انجام کارهای دستی داشته	هێچنەیش نشۆن دا ک زۆنسمەنی تایبەتێ دە کارەل دەسی داشتیە.	Pehley	Pahleh	Southern Kurdish	EK	
they were like schoolboys after a few hours in school.	از این فرصت رفع خستگی و هیاهو خوشنود بودند.	ئەژ ئێ دەرفەت شەکەتی دەکردن و دیری ئەژ دەنگ و ناڵە دڵخوەش بیین.	Pehley	Pahleh	Southern Kurdish	EK	
I shall perish if you do not take me away.	اگه من رو با خودت از این جا نبری از بین میرم.	ئەر م ئەگەرد خوەت ئەژ دەیرە نەڤەری تەڵەف دووم.	Pehley	Pahleh	Southern Kurdish	EK	
she had an attack of hysterics.	او به حمله عصبی دچار شده بود!	ئەڤی تیش حەمڵەی عەسەبی بی.	Pehley	Pahleh	Southern Kurdish	EK	
I am not exactly thanking you	من تنها از شما سپاسگزار نیستم	م تەنیا ئەژ ئێڤە سپاسدار نیم	Pehley	Pahleh	Southern Kurdish	EK	
but it had been a narrow escape	اما این بار خطر از بیخ گوشش گذشته بود.	ئەمانێ ئێ گلە نەوی ئەژ نوو نیسیا.	Pehley	Pahleh	Southern Kurdish	EK	
as became a pirate	در خور راهزنی باشد	بکەفیەل ڕێگری.	Pehley	Pahleh	Southern Kurdish	EK	
bending, kissed her cheek.	خم شد و گونه او را بوسید.	چەمیا و گوونەی ماچ کرد.	Pehley	Pahleh	Southern Kurdish	EK	
bent over the body.	روی جسد خم شده بود.	ئەڵڕی لەش چەمیایی.	Pehley	Pahleh	Southern Kurdish	EK	
