en_sentence	fa_sentence	translation	variety	county	orthography	translator
I am sure there is something the matter.	یقیناً یک چیزی هست که خاطرت را پریشان کرده.	م دڵنیام ک چێ هەس	Kakavandi	Harsin	Southern Kurdish	MRY	
I thought perhaps you didn't want to be spoken to.	فکر کردم شاید نخواهید کسی مزاحمتان بشود.	ڤتم شاد خوەشت نای کەستئ مزایم بوو.	Kakavandi	Harsin	Southern Kurdish	MRY	
so that at first I was not quite sure	بنابراین در ابتدا من خیلی مطمئن نبودم.	سە ئەڤەڵ م فرە دڵنیا نەویم.	Kakavandi	Harsin	Southern Kurdish	MRY	
I got this here bearin' loose.	من یاتاقان و واکردم	م یاتاقانەم ڤاز کرد.	Kakavandi	Harsin	Southern Kurdish	MRY	
but the food was good, and there was good wine	اما غذا عالی بود و شرابی عالی نیز در دسترس بود.	بڵەم هواردەمنیە خاس بی و شراو خاسیژێ بی	Kakavandi	Harsin	Southern Kurdish	MRY	
climbed out, and started walking.	از آن پیاده شد و به راه افتاد.	ئەژن هەتێە هور و کەتەو ڕێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
they're going to buy me a new wand for next year.	قرا ره به رام یه چوب دستی نو بخرن.	قرارە ئەرانم ی تەرکە نووئێ بسینن.	Kakavandi	Harsin	Southern Kurdish	MRY	
but it didn't work anyway.	البته کاری نکردم.	ئەڵڤەت کارمێ نەکردێە.	Kakavandi	Harsin	Southern Kurdish	MRY	
in the foreground, a head, a colossal head, inclined towards the iceberg, and resting against it.	در متن پیش زمینه یک سر غول آسا به طرف کوه یخ خم شده و بر آن آرمیده بود.	ڤە پێشزەمینەوا، ی سەر، ی سەر فرە کەڵنگەێ، ڤیرەێ کۏ یەخ هەول بیەسا و تەک داسێە بێن.	Kakavandi	Harsin	Southern Kurdish	MRY	
but this much I will say	اما باید این را به تو بگویم	ئەمانێ یە باس بووشمە تو.	Kakavandi	Harsin	Southern Kurdish	MRY	
