en_sentence	fa_sentence	translation	variety	county	orthography	translator
she could not but flatter herself that it had been the occasion of much present enjoyment to both	باز اِما به خودش دل خوشی داد که به هر حال کلی باعث رضایت و شادی آن دو نفر شده	وه نتونسه ولی شه خادر ره دلخوشی هدا که باعث بیه اون ده نفر شاد بواشن.	Central Mazani	Babol	Farsi	Vol_1	
always patient and in fact is the merchant's confidante.	همیشه صبور و در حقیقت محرم بازرگان است.	هیشه صبور هسه و در حقیقت بازرگانه محرمه	Central Mazani	Babol	Farsi	Vol_1	
I am so glad you are come.	خیلی خوشحالم که آمدید.	خله خوشحال هسمه که بیمونی	Central Mazani	Babol	Farsi	Vol_1	
I'll thank you to keep a civil tongue in your head.	خیلی ممنون میشم که مؤدب باشی و زبونت رو نگهداری.	خله ممنون بومه مودب بویی و شه زبوننه داری	Central Mazani	Babol	Farsi	Vol_1	
as if he were considering that.	چنان که گویی درباره آن به بحث مشغول بودند.	انگار دینه درباره وه حرف زونه	Central Mazani	Babol	Farsi	Vol_1	
it will bring bad luck.	که موجب بدبختی است.	اینتا امه وسه بد ایارنه	Central Mazani	Babol	Farsi	Vol_1	
for he was the main cause of all this thrashing.	چون او است که علت اصلی کتک خوردن ما بوده است.	وه باعث بیّه اما کتک بخردمی	Central Mazani	Babol	Farsi	Vol_1	
one day, when she felt better, he tried to take her, leaning on his arm, for a walk round the garden.	روزی که حس کرد حالش بهتر است شارل کوشید زیر بازویش را بگیرد و او را در باغ بگرداند.	اتاروز که ونه حال وروز خار به شارل ونه دست ره بیته بورده باغ چرخ هدا	Central Mazani	Babol	Farsi	Vol_1	
as he was certain of being tortured.	این منم که باید شکنجه به شم نه اونها.	اینتامنمه که ونه کتک بخرم نا وشون	Central Mazani	Babol	Farsi	Vol_1	
on the contrary, that change can only intensify love in his heart.	بر عکس باعث تشدید و تقویت محبت در قلبش شده .	بالعکس باعث بیه محبت ونه قلب ویشتر بوه	Central Mazani	Babol	Farsi	Vol_1	
a shivering light filled the compartment.	بعد نو لرزانی کوپه را روشن کرد.	شام بخرده په ای چی بمونسسه	Central Mazani	Babol	Farsi	Vol_1	
she went into his room to announce her determination.	به اتاق کار ورانسکی رفت تا او را از تصمیم خود بیاگاهاند.	بورده ورانسکی اتاق دله تا وره از کاری که خانه هاکنه حالی هاکنه	Central Mazani	Babol	Farsi	Vol_1	
looking round, asked if somebody would light him down the dark stairs.	برگشت و پرسید کسی نخواهد آمد که راه را برایش روشن نماید.	دور بزو و بپرسیه که هیچکی ناخانه بیه راه ره وره نشون هاده	Central Mazani	Babol	Farsi	Vol_1	
time had only strengthened in her absence	زمان در هنگام غیبت او از خانه آن را بیشتر تقویت کرده بود	وقتی که خنه دنیبیه وشون ره وی	Central Mazani	Babol	Farsi	Vol_1	
in spite of this one great deviation from the strict rule of right.	هرچند که در این مورد از راه راست کمی منحرف شده.	هرچند که اَتا کَمه اینتا کاره دِله از راه راست کج بورده	Central Mazani	Babol	Farsi	Vol_1	
pursued the unfortunate baronet	بارو نت بینوا را دنبال کرد	اونتا بیچاره بدبخت ره دِمّال هاکرده	Central Mazani	Babol	Farsi	Vol_1	
that vulture the very creature he creates.	آن کرکس همان موجود است که او خود آفریده است.	اونتا کرکس وِنه دستِ بِزا هسته	Central Mazani	Babol	Farsi	Vol_1	
rose at his usual easy hour the next morning	در ساعت معمول هر روز از خواب برخاست	هرروز سروقت پِرسِنه	Central Mazani	Babol	Farsi	Vol_1	
he confessed, it is true, that he had confided his idea to some of his friends	باز یل اعتراف کرد که این نقشه خود را با تنی چند از دوستان جا نیش در میان نهاده بود	دِواره پل اقرار شه نقشه ره با چند تا از شه رَفِقون جانجانیش درمیون بِشته	Central Mazani	Babol	Farsi	Vol_1	
if he himself had said that	مگر نه این که خودش گفته بود	مگه این نیه شه باوته	Central Mazani	Babol	Farsi	Vol_1	
then an indistinct muttering, as of a man between sleep and awake.	سپس صدای خمیازه آدمی که بین خواب و بیداری در تقلا بود بلند شد.	بعد ازون خروپف آدمی خو و ویشاری دله هی تقلا کِرده بلند بیّه	Central Mazani	Babol	Farsi	Vol_1	
then open them again.	سپس دوباره چشمانم را باز کردم	دِواره شه چشه بعدازون وا هاکردمه	Central Mazani	Babol	Farsi	Vol_1	
the water was a flat calm.	مثل آینه صاف بود.	وِنه دل مثل آینه روشن هسّه	Central Mazani	Babol	Farsi	Vol_1	
looked into the cabin.	داخل اطاقک را نگاه کرد.	طاقچه دله ره هارشیه	Central Mazani	Babol	Farsi	Vol_1	
drew his companions back again, with the greatest caution and circumspection.	با وضعی بسیار احتیاط آمیز رفقای خود را عقب کشید.	شه رفقون ره خله یواش یواش عقب بکشیه	Central Mazani	Babol	Farsi	Vol_1	
he said he knew how better than me and he did, too, because he's used to camping.	گفت این کار را بهتر از من بلد است و بلد هم بود چون به زندگی در اردو عادت دارد.	باوته وه اینتا کاره مدون بهتر بلده چون وِ جمع دله زندگی هاکردن عادت داینه	Central Mazani	Babol	Farsi	Vol_1	
administered to a young girl!	که به او خورانده شده بود	ونه قالب هاکردنه	Central Mazani	Babol	Farsi	Vol_1	
it is a whole solar system on the march.	ریاست روحانی به مثابه یک منظومه شمشی است که در حرکت باشد.	مِلّاون گت گتی مثل اتا منظومه شمسی هسّه که همش در تلاطم درنه	Central Mazani	Babol	Farsi	Vol_1	
he will never trouble anyone in this country again.	دیگر هرگز در این کشور مزاحم کسی نخواهد شد.	دیگه این کشور دله هیچکس مزاحم نوونه	Central Mazani	Babol	Farsi	Vol_1	
instead of leaving the door fastened	به جای اینکه از در خارج شود	بجااینکه از در بیرون بوره	Central Mazani	Babol	Farsi	Vol_1	
he obeyed her shout and was silent.	بیمار اطاعت کرد و ساکت شد.	مریض قبول هاکرده حرف نزو	Central Mazani	Babol	Farsi	Vol_1	
it was again opened for the count.	در دوباره برای کنت باز شد.	دواره در کنتسه وا بَیّه	Central Mazani	Babol	Farsi	Vol_1	
but here she grew impatient with this legal verbiage, and said	در اینجا ارلاندو ازاطناب کلام آن بی حوصله شده بود و گفت	همینجه ارلاندو از پرکه تاریه وِ ونه حصله سر بورده	Central Mazani	Babol	Farsi	Vol_1	
which he had so impatiently awaited and to which	اهمیت بسیاری برای آن قایل بود شنید	ونسه خله اهمیت اشته ره بشنوسه	Central Mazani	Babol	Farsi	Vol_1	
I wish you wouldn't.	آرزو دارم که هرگز نروی.	مه ارمون هسه که هیچوقت نشویی	Central Mazani	Babol	Farsi	Vol_1	
the hoisters ran him high up to the top of the head	آن سه ملاح چنان به سرعت او را به بالای سر وال رساندند	اون سه ملوان اتی تن تن وره وال سر بالا بوردنه	Central Mazani	Babol	Farsi	Vol_1	
reflected that the very apparent insignificance of his aim would help him to success.	به این نتیجه رسید که ساده بودن هدفش ضامن موفقیت اوست.	بفهمسه که اگه ونه ارمون ساده بوشه باعث بونه موفق بووشه	Central Mazani	Babol	Farsi	Vol_1	
his guitar case in one hand, his free thumb in his mouth.	جعبه گیتارش دریک دست و انگشت شصتش دردهانش بود.	ونه اتا دست دله حعبه گیتار و شست انگیس دهون دله دره	Central Mazani	Babol	Farsi	Vol_1	
therefore they were under the necessity of seeking a livelihood in other places.	از ای نرو ناگزیر بودند که معاش خود را در جاهای دیگر تأمین کنند.	محبور بیه شه خرج ره حاهای دیگه در بیاره	Central Mazani	Babol	Farsi	Vol_1	
unless I doctor it with a couple of sups of the old stuff	اگر با دو شیشه شراب کهنه به مداوای آن نپردازم	اگه من با ده تا پیاله قدیمی آب جوی جا وره دوا نکرومه	Central Mazani	Babol	Farsi	Vol_1	
his name and crime entered in the books himselfassigned to two assistants, who saw to it that	سپس او را برای استحمام و تراشیدن موی سر به دست دو مأمور سپردند.	بعد اونتا ده تا پاسبون حموم هاکردن و می بتاشینسه وره دست هدانه	Central Mazani	Babol	Farsi	Vol_1	
as well as his high blood relations with his family	همچنین به سبب خویشاوندی نزدیکش با این خانواده تصمیم گرفت	نزدیکی فامیل بودنسه همینجوری با اینتا خانواده تصمیم بیته	Central Mazani	Babol	Farsi	Vol_1	
the next moment she took to her heels and galloped away into the field.	بعد هم جستی زد و چهارنعل به طرف مزرعه تاخت.	بعدش بپرسه و چار نعل مزرعه ی ور بتاجسسه	Central Mazani	Babol	Farsi	Vol_1	
I fix my gaze on it alone	محو تماشای او است.	محو هارشین وه بیه	Central Mazani	Babol	Farsi	Vol_1	
that you may show the generosity of your kind heart.	تا شما سخاوت دل کریم خود را به ایشان نشان بدهید.	ول که شما شه گت دل ره وره نشون هادین	Central Mazani	Babol	Farsi	Vol_1	
let us go hence ere night come on and surprise us in these wilds.	تا پیش از آن که شب بر سر دست درآید و ما را در این بیغوله غافلگیر کند به راه خود برویم.	قبل این که شو برسه وا اماره ناخلوتی غافلگیر هاکنه شه راه ره ببریم بوریم	Central Mazani	Babol	Farsi	Vol_1	
I wish to know if, in demanding my signature	حال به ببینم اگر من عقد را امضا کردم	اسا بوینم ول که عقد ره مهر بزومه	Central Mazani	Babol	Farsi	Vol_1	
with as little appearance as possible of doing so.	بی آنکه این مراقبت را برملا کند.	اینتا مراقبت ره بدون این که برملا هاکنه	Central Mazani	Babol	Farsi	Vol_1	
I will not stir.	از جایم تکان نخواهم خورد.	شه جا تکون نخرمه	Central Mazani	Babol	Farsi	Vol_1	
I've had a hellish time.	ساعاتی جهنمی را پشت سر گذاشتم.	ساعاتی جهنمی ره پشت سر بشتمه	Central Mazani	Babol	Farsi	Vol_1	
how we had a dispute about it.	چگونه ما بر سر آن کشمکش داشتیم	چیسسه اما ونسسه دعوا داشتمی	Central Mazani	Babol	Farsi	Vol_1	
this gentleman doesn't want to remain in my company or else he'd come at once.	پی وتر آلکزاندروویچ میل ندارد با من باشد و هر گاه من بروم او به طور قطع خواهد آمد.	دوست ناینه بی وتر آلکراندروویچ من دوم هر وخت من بوردمه وه انه	Central Mazani	Babol	Farsi	Vol_1	
her father's firm and equal.	صدای پای پدرش محکم و یکسان.	ونه پره لینگ صدا هم محکم به هم جور به	Central Mazani	Babol	Farsi	Vol_1	
because it's not fair for me to want you here.	چون انصاف نیست که من بخوام تو اینجا باشی.	انصاف نیه من بخوام تو اینجه دوی	Central Mazani	Babol	Farsi	Vol_1	
endeavoring to read her husband's inmost thoughts	نظری به شوهر کرد که تا قعر ضمیر او را ملاحظه نمود	شه مردی ره هارشیه تا ونه دل دله ره بوینه	Central Mazani	Babol	Farsi	Vol_1	
those mustering none but young vigorous males, or bulls, as they are familiarly designated.	آن گونه که هیچ فردی را به جز نرهای جوان نیرومند که میان وال گیران به ورز و معروفند با خود ندارند.	وشون هیچ کس به جز نرمرهای جوون و قوی که وال گیران دله به زور اسم و رسم دار هسسنه شه همراه نایننه	Central Mazani	Babol	Farsi	Vol_1	
although I did not much admire the conceit.	گرچه من از ین قیاس دور و دراز او چندان خوشم نی آمد.	مره از ونه مقایسه ی طول و درازش خش نموئه	Central Mazani	Babol	Farsi	Vol_1	
but the surprise it occasioned	اما تعجبی که آن تعریف ایجاد کرد	امَا اون تا تعریف تعجب داشته	Central Mazani	Babol	Farsi	Vol_1	
but in order to show that he took her levity with the toad in good part	بلکه برای آن که نشان دهد بوالهوسی او را در مورد وزغ به فال نیک گرفته	چون که خاسّه ونه عیاشی ره با خار وضع نشون هده	Central Mazani	Babol	Farsi	Vol_1	
there is still more due to the character of an honest man	ولی برای مقام شخصیت صادقی مثل او زیاد است	اما خار آدمی مثل وه زیاده	Central Mazani	Babol	Farsi	Vol_1	
after their manner, as we shall describe in its proper place	چنانکه شرح آن در جای خود بیاید	چون که خاسّه ونه شرح حال ره شه سرجا پیدا هاکنه	Central Mazani	Babol	Farsi	Vol_1	
my soul thirsted for a pure draught.	روحم تشنه یک جرعه آب زلال و خالص بود.	مه روح تشنای صاف و روشن اوی دستوری ره خاسّه	Central Mazani	Babol	Farsi	Vol_1	
he had been the candle and not the some one.	مسی و ما بوف شمع بود اما کسی نبود.	مسی و مابوف شمع دیننه اما هیچ کی دیگه دنیبنه	Central Mazani	Babol	Farsi	Vol_1	
the whole success which he produced is contained in this remark of aninhabitant of the faubourg	همه کامیابیش این کلام یکی از سکنه حومه بود	اتا حرف همسایه باعث بیه وه موفق بوه	Central Mazani	Babol	Farsi	Vol_1	
still, there was a perfect lucidity of soul in his eyes.	با این همه هنوز یک روشن روانی کامل در چشمانش داشت.	با این همه هنوز اتا راه روانی کامل شه چشای جا داشته	Central Mazani	Babol	Farsi	Vol_1	
I merely wanted to set your mind at ease.	من قصد دارم وسیله آرامش خیالت رو فراهم کنم.	من قصدددایمه با اتا وسیله ی آرامش ته خیال ره راحت هاکنم	Central Mazani	Babol	Farsi	Vol_1	
basing his refusal on the ground that the applicant was a notorious gambler and cheat	به دلیل بدنامی او به عنوان یک قمارباز و شیاد	به خاطره ونه بدنامی برای اتا قمار باز و شیاد	Central Mazani	Babol	Farsi	Vol_1	
his own voice, in his ears, was as dull and wearisome as everything else.	صدایش در گوش خود او مانند همه چیز طنین بی روح و ملالت انگیزی داشت.	شه ونه صدا ونه گوش دله صدایی بی روح و حصه سر ور داشته	Central Mazani	Babol	Farsi	Vol_1	
finding on the beach a little bark without oars, sail, mast, or tackling of any kind, in the intrepidity of his heart flings himself into it	در آنجا قایق کوچکی ببیند بی پارو و بادبان و دکل و سکان و با دلی جسور و بی باک خود را در میان آن قایق اندازد	شخد ره اتا کچیک قایق دله بی پارو و سکو و بادبون بوینه و شجاع و دل نترس دکفه قایق دله	Central Mazani	Babol	Farsi	Vol_1	
I'll be up on the four o'clock.	من سر ساعت چهار از قطار پیاده میشم.	من ساعت چار سر قطار جا پیاده وومه	Central Mazani	Babol	Farsi	Vol_1	
he was unwilling to leave it untranslated	تا به وظیفه خود چنانکه شایسته است عمل کرده باشم.	همانجور که شایسته هسه شه وظیفه ره عمل هاکنم	Central Mazani	Babol	Farsi	Vol_1	
if good luck willed that the mayor should actually arrive tomorrow with the child	اگر سعادتش یاری کند و حقیقتا آقای شهردار فردا با بچه وارد شود ممکن است نجات یابد.	اگه خش شانس ببو و واقعا شهردار شه وچه ی همراه بیه ولکوم نجات بیره	Central Mazani	Babol	Farsi	Vol_1	
as for instance, if a _Houyhnhnm_ has two males	مثلاً اگر هویهمنی دو کره نر داشته باشد	مثلا اگه هویهمنی د تا کره نر داره	Central Mazani	Babol	Farsi	Vol_1	
it had been known to stay closed until way into the summer.	اتفاقا معلوم شد که کارخانه تا خود تابستان تعطیل خواهد بود.	اتفاقا معلوم بیه که کارخونه تا خده تابستون تعطیله	Central Mazani	Babol	Farsi	Vol_1	
give over roaming mountains and valleys like a troubled spirit	باز مانند روحی سرگردان و مغذب آواره کوه و دشت و صحرا شوید	ای دواره مثل روح سرگردون و درد سر دار دستوری ونه آواره کوه و دشت و بیابون بوی	Central Mazani	Babol	Farsi	Vol_1	
