en_sentence	kmr_sentence	translation	variety	county	orthography	translator	3332
Make it so!	Em diçin!	ma şinê!	Standard		Kurdish	MO	
Bookshop mice, shall we finish our bedtime story?	Mişkên pirtûkxaneyê, ez ji we ra çîroka Şah Artur bixwînim?	Merreyê kitabxaneyî, ma hîkayeya xo ya verê rakewtişî biqedênê?	Standard		Kurdish	MO	
Er, what exactly are they doing now Pug?	Iii, mişkên pirtûkxaneyê niha çi dikin, Pug?	Eiie, nika raşta nê merreyî se kenê Pug?	Standard		Kurdish	MO	
I wish I could see those starsclose up.	Xwezî min ew stêr ji nêz ve bidîtina.	Ax ez bieşkayêne ê estareyan nêzdî ra bivîna.	Standard		Kurdish	MO	
OH DEAR. HAVE THEY RUN AWAY?	Tewlo! Hevalên te revîyane?	weyloo. Embazê to remayî??	Standard		Kurdish	MO	
And so are Tina and me...as a team!	Û ez û Tîna jî em dê bibin tîmek!	Û Tina û ez ma do bibê ... sey yew taximî!	Standard		Kurdish	MO	
Oh. I thought we d be in a theatre. I ve brought popcorn.	Oof! Min digot em dê li şanoyekê bin. Min garis jî kirî.	Oh. Mi vatêne qey ma do yew tîyatro de bê. Mi popcorn/lazût zî ardo.	Standard		Kurdish	MO	
Oh no. We spent so long confusing the wolf the pizza has gone cold.	Weyla. Heta ku me Gurê Xerab ewiqand, pîzaya Dapîrê sar bû.	haho. Ma hende wext seba xapnayîşî vergî vindertî ke pîzza honik bîya.	Standard		Kurdish	MO	
It’s the start of an adventure Pug. Come on!	Em dest bi macerayekê dikin Pug. Were!	Ma dest bi macareyêk bike Pug. Haydê bê!	Standard		Kurdish	MO	
It took AGES to make, but it helps me feel a bit more brave.	Çêkirina wê pir wext girt, lê ez bi saya wê wêrektir dibim.	Viraştişê aye zaf wext girewt, la ez bi saya aye biney wêrekêr bena.	Standard		Kurdish	MO	
I'm not sure how we will save you.But saving you will definitely happen.	Dibe ku em nikaribin te xelas bikin, lê tu dê bi awayekî xelas bibî.	Ez nêzana ma do senî to xelas bikerê. La teqez ma do xelas bikerê	Standard		Kurdish	MO	
The bookshop mice really do like a game of hide and squeak. And Dog? Dog Loves Books.	Mişkên pirtûkxaneyê ji lîstika veşartokê pir hez dikin. Lê Seg? Seg ji pirtûkan hez dike.	Merreyê kitabxaneyî nê kayê xonimitişî ra zaf hes kenê. La Kutik? Kutik kitaban ra hes keno.	Standard		Kurdish	MO	
Billy Barker and the Dog Biscuit Factory.	Bilî Barkir û Fabrîkaya Biskiwîtên Segan e.	Bilî Barkir û Fabrîkaya Biskuwîtanê Kutikan o.	Standard		Kurdish	MO	
A very big elephant. And I'm hisfriend Janice.	Fîlekê pir mezin e. Ez jî hevala wî Canîs im.	Yew fîlo zaf gird. Û ez zî embaza ey Janice ya.	Standard		Kurdish	MO	
This is fun!	Karekê xweş e!	No zaf bikeyf o!	Standard		Kurdish	MO	
Anything!	Her tiştî!	Her çî!	Standard		Kurdish	MO	
I think the books need oiling again.	Bi min divê pirtûk dîsa werin rûnkirin.	Ez vana qey kitabî reyna ganî rûn bibê.	Standard		Kurdish	MO	
Unless I want to go swimming.	Lê eger ez neçim avjenîyê.	La eke ez nêwazena şira esnawekerdiş.	Standard		Kurdish	MO	
Yay! We did it!	oxweş! Em hatin!	weeey! Ma kerd!	Standard		Kurdish	MO	
And so Don Quixote set off towardshis greatest challenge, on a hill not far away.	Û Don Kîşot çû ku şerê herî mezin yê jîyana xwe bike. Girê ku diçûyê ne dûr bû.	Û wina Don Kîşot kewt rayîr seba şerê xo yo tewr girdî, girêko ke zaf dûrî nîyo.	Standard		Kurdish	MO	
Here comes their mother.	Va ye dêya wan jî hat.	Hayo maya înan zî yena.	Standard		Kurdish	MO	
OOw That was Bow-Wowzering!	Ooo, ev tiştekê pir xweş e!	OOw No çîyêko zaaaf-weş bî!	Standard		Kurdish	MO	
Please draw some more Dog. I want to see what happens next!	Ji kerema xwe bêhtir xêz bike. Ez dewama wê merak dikim!	Kerem ke biney zêde resim viraze. Ez meraq kena ke dima se beno!	Standard		Kurdish	MO	
This is a world within our world.	Ev dinyayeka di nava ya me da ye.	Na dinya ya ke mîyanê dinyaya ma de ya.	Standard		Kurdish	MO	
Whoops. Now look what I ve done.But I can soon rub that out.	Hop! Hûh! Binêrin bê we çi kir? Lê ez dikarim wê jê bibim.	Ops. Biewnî mi se kerd. La ez eşkena ey pak bikera.	Standard		Kurdish	MO	
Oh no. I'm a muddy mess again. Ican t let anyone see me like this!	Weyla! Ez dîsa bûm biherî. Nabe ez bihêlim ku yek min weha bibîne!	hahoo. Ez reyna bîya yew gemarin. Ez do nêverda ke kes mi nê halî de bivîno!	Standard		Kurdish	MO	
Dog! Watch this! Wooh !	Seg! Li min binêre! Wîîî!	Kutik! Biewnî naye ra! Wîîî!	Standard		Kurdish	MO	
And so Mrs Hargûşa Şîrîneand the Friendly Forest lived happily ever after.	Û Kîvroşka Şîrîn û Daristana Xweşheval heta hetayê bi dilxweşî jîyan.	Û wina Xatûna Hargûşa Şîrîne û Daristanê Dostan heta peynîya emrê xo bi keyf ciwîyayî.	Standard		Kurdish	MO	
I ve even tried fanning it with my Napkin.	Min bi destmala xwe baweşîn jî lê kir.	Mi bi destmala xo zî va da piro.	Standard		Kurdish	MO	
Then we must reassure it we mean no harm.	Nexwe divê ew bizane ku em wî naêşînin.	O wext ma ganî bidê zanayene ke ma do ey nêdejnî.	Standard		Kurdish	MO	
Then we need to make you warmer. Bookshop mice! Bookshop mices! Bring Dog s duvet!	Nexwe divê em te germ bikin. Mişkên pirtûkxaneyê! Mişkên pirtûkxaneyê! Lihêfa Seg bînin!	O wext ma ganî to germ bikerê. Merreyê kitabxaneyî! Merreyê kitabxaneyî! Lihêfê Kutikî bîyarê!	Standard		Kurdish	MO	
Let's get baking!	Werin em dest pê bikin!	De ma bipawejêê!	Standard		Kurdish	MO	
I can do igloos!	Ez dikarim îgloyan çêbikim!	Ez eşkena îgloyan virazî!	Standard		Kurdish	MO	
Don t go shopping in number twenty three.	Te got neçin dikana hejmar bîst û sê.	To va meşirê dikanê hûmara vîst û hîrê.	Standard		Kurdish	MO	
Now you ve rubbed out Pug!	Vê carê jî te Pug jê bir!	Nika to Pug zî pak kerd!	Standard		Kurdish	MO	
Dog. Dog. I ve invented a new kind of hat with my construction set!	Seg. Seg. Min ji alavên xwe yên lêkirinê şewqeyeka nû îcad kir!	Kutik. Kutik. Mi bi setê xo yê viraştişî yew tewir şewqaya newîye îcad kerde!	Standard		Kurdish	MO	
