آنچه را به پوشیدن به او دادند پذیرفت و پوشید.	He accepted what they gave him to clothe and he clothe himself.
در و دیوارشان را به رنگ لاجوردی آراسته و به گل زنبق مزین کرده بودند.	They had their gates and their walls decorated with purple and rose-flowered flowers.
مداخله ندهم و خود را ناراحت نسازم و وظایف خود را با صداقت و وفاداری به انجام رسانم.	I will not interfere or make myself uncomfortable and I will perform my duties honestly and faithfully.
ابیاتی که با موضوع بحث ما مناسبت کامل دارند.	Abbeys that fit perfectly with the subject we're discussing.
اما آرزوی اصلی و آتشین و پنهانی او همان عشق خاکی و جذبه جسمانی بود	But his ultimate, fiery, secret desire was earthly love and physical attraction.
اما در همان لحظه بحث خاتمه یافت	But at that moment, the discussion was over.
که آیا ممکن است دوباره او را زنده ببینم	I wondered if I could see him alive again.
که کلاید نتوانست تشخیص دهد که آن حروف از بی وتی تشکیل شده است یا از جی وتی.	So Clyde couldn't tell if the letters were made of B-Voti or G-Voti.
محال است بروی و به آن شکل زندگی کنی.	You can't go out and live like that.
که به ملاقات ولی نعمت بسیار محترم خود بیایم.	To meet you, but a very precious blessing.
تا آ مو برای برداشتنش مجبور نشود دست او را لمس کند.	So that the hair doesn't have to touch her hand to pick it up.
خلاصه بهت به گم که به من اعتماد داره.	In short, I'm telling you, he trusts me.
بدبختی بر ما باد که تو را بگذاریم به این قسم بمیری.	Woe to us for letting you die.
بدون آنکه دقتی در مطالب آن کنم شروع به ورق زدن آن کردم.	Without taking a minute to look at the contents, I started deleting it.
کودکی که از بطن او بود و از دیگر فرزندانش بیشتر دوستش داشت.	The child who was in her womb and loved her more than her other children.
به ویژه به فرمان برداری ذاتی غاز ماده که به طرز زیبایی با نیروی مردانه غاز نر هماهنگی داشت.	Especially to the inherent obedience of the female gaze which harmonized beautifully with the male force of the male gaze.
ولی صدای رت طوری بود که گویی اصلاً متوجه نشده است.	But your voice sounded like he didn't even know it.
چندان میلی به این سفر نداشتم مخصوصا تک و تنها.	I didn't have much desire for this trip, especially alone.
صدای درشکه رو شنیدم که جلوی خو نه ایستاد.	I heard the glow that didn't stop him.
اما قبل از ورود به اتاق بچه فرصت شکل دادن به آن را نیافت.	But he didn't get a chance to shape it before he entered the nursery.
تنش همچون حیوان گریزانی بود که تعاقبش کرده باشند.	It was like a fugitive being chased.
چنین به نظرش رسید که حقیقت را بیان کرده است.	He seemed to have spoken the truth.
وکیل و بورس باز ثروتمندی که زن خود را از دست داده	A wealthy lawyer and stockbroker who lost his wife.
من هرگز این همه کتاب در جائی ندیده بودم!	I've never seen all these books anywhere!
او را نشناخته مثل دشمنی رفتار نمود.	He treated her unknowingly like an enemy.
جای ما از همه به ورزشگاه نزدیک تره.	We're closest to the gym.
ارتباطی به درویدا که برایشان مرکز دنیا بود نداشت.	He had no connection to the droids, who were the center of the world to them.
یک نفر باید بالاخره یک جایی باشد که بتواند به او پول قرض بدهد.	Somebody has to finally have a place to lend him money.
هر لحظه انتظار داشتم که ببینم چشمان سیاهش با نگاهی از تنفر و تحقیر متوجه من شده.	Every moment I expected to see his black eyes with a look of hatred and contempt.
تختخواب زینت شده همیشه حاضر و آماده بود.	The decorated bed was always ready.
به علاوه تو هم با من باید همراه باشی.	Besides, you should be with me.
که او را محترم دارند و حتی از او بیم داشته باشند.	That they respect him and even fear him.
زیرا همین که این فکر به مغز ترز راه یافت	Because as soon as that thought got to the brain,
من کاملاً در اختیار تو هستم.	I'm completely yours.
سپس ناگهان باران شدیدی باریدن گرفت که چهار روز طول کشید	Then it rained heavily for four days.
همان پسری که اول کلمه گلابی و بعد کلمه پا پا را آموخت	The boy who first learned the word rose and then the word foot.
او چهارصد لیره به من و دخترش به رسم جهیز داد.	He gave me and his daughter four hundred lire to draw.
حالا اگر به رفتنش فکر کنم حتما دیوونه میشم.	Now, if I think about it, I'm going crazy.
یک زن دارم با دو تا یخدان که تقریبا هشت پوطوزن داره.	I have a woman with two ice cubes who has about eight chickens.
دست کم اینکه وارد پلکان که شد تازه به فکر تبر افتاد.	At least he thought of the sword when he got into the stairs.
تقاضای اجازه برای خرید و صدور میزان معینی اسلحه را بنمایند.	Apply for a permit to buy and export a certain amount of weapons.
زنک جواب داد بیا تو و من رفتم تو	Zinc answered. Come on. You and I went in.
سرش پائین بود و دستش را بین پاهایش حلقه کرده بود.	He had his head down and his hand between his legs.
از لبه دیواره کوتاه بام به پائین خم شد.	From the edge of the short wall, the roof curved downwards.
بلکه برای این برد که هرگز نگاه غمگین و تا حدودی تمسخرآمیز فرد اعدامی را فراموش نکند.	Instead, he won to never forget the sad, somewhat ridiculous look of a human being.
چشمان خمارش را به شعله آتش بدوزد و خواب ببیند.	He shall burn his eyes in the flame of fire, and shall sleep.
تو هم اگر بخواهی یک خانم واقعی خواهی شد.	You'll be a real lady if you want to be.
این تصدیق در آقای پگاتی چنان موثر افتاد که پنداری او سخنی گفته باشد.	This confession was so effective on Mr. Pegasus that he thought he had spoken.
گفتگوهای آن روز چنان فکرش را به خود مشغول کرده بود	He was so preoccupied with the conversation of that day.
بقیه را دقیقاً به همان صورت که نوشته شده نقل خواهم کرد	I'm going to quote the rest exactly as it was written.
دو سه بار جابجا شد	It's moved twice, three times.
او از ارتباط خود با آن سفر شوم بیمناک شده بود.	She was terrified of her connection to that trip.
اکنون نوبت او بود که به فکر فرو رود.	Now it was his turn to think.
ناگهان به خود آمد و پس از آن که چند قطره اشک دیگر فشاند	Suddenly, he came to his senses, and after pressing a few more tears,
شرح داد که چرا برای گرفتن درجه در آزمایش شرکت نکرده بود.	He explained why he didn't take the exam to get his degree.
کوشید حدس بزند مهمانی که همراه برادرش آمده کیست.	He tried to guess who was at the party with his brother.
در این اقدام به قدری توفیق پیدا کرده بود	He's been very good at it.
آنگاه متوجه شدم که بر لبانش تبسمی نقش بسته است!	And then I realized that there was a scar on his lip!
پدرم و مادرم و خواهرم آمده بودند و وقتی چشم مادرم به آن افتاد گریه کرد.	My parents and my sister came and my mother cried when she saw it.
بعد دیگر به شکلی غیرمنطقی در همین نامه همین مطالب به صورت مکرری نوشته شده بود.	And then the same thing was written in the same letter again and again, ironically.
نامه حتما در پست گیر کرده و به همین دلیل تأخیر دارد.	The letter must be in the mail, which is why it's delayed.
از دید چشمان کج بین به بیت زنش هرگز نتوانسته بود تکلیفش را با سر و وضع خود یکسره کند.	From the point of view of his wife, he could never reconcile his task with his own situation.
که کم کم مثل مطالبی شد که محقق و مبرهن است.	Which gradually became a matter of research.
ولی من که یک شاهی پول ندارم.	But I don't have any real money.
آیا ایرادی به رخت و لباس و سر و وضع خادمان او دارم یا نه.	Do I have a problem with the clothes and manners of his servants?
سپس چشم خود را دوباره به سوراخ کلید گذاشت.	Then he put his eye on the keyhole again.
مگر اینکه با قدرت اون مقابله کنی.	Unless you're dealing with his power.
ولی حالا به شکل جای پا بودند.	But now they were in the shape of feet.
امشب را هم در آنجا کار کن و بکلی راه نقب را مسدود ساز فردا بعد از رفتن زندانبان بیا	Work there tonight and block the driveway tomorrow after the jailer leaves.
