Em diçin!	We're going!
Mişkên pirtûkxaneyê, ez ji we ra çîroka Şah Artur bixwînim?	Library mice, shall I read you the story of King Arthur?
Iii, mişkên pirtûkxaneyê niha çi dikin, Pug?	Iii, what are the library mice doing now, Pug?
Xwezî min ew stêr ji nêz ve bidîtina.	I wish I could see that star up close.
Tewlo! Hevalên te revîyane?	You're welcome! Have your friends run away?
Û ez û Tîna jî em dê bibin tîmek!	And Tina and I will be a team!
Oof! Min digot em dê li şanoyekê bin. Min garis jî kirî.	Oof! I thought we would be in a theater. I also bought garis.
Weyla. Heta ku me Gurê Xerab ewiqand, pîzaya Dapîrê sar bû.	Wow. Grandma's pizza was cold until we killed the Bad Wolf.
Em dest bi macerayekê dikin Pug. Were!	We start an adventure Pug. Come on!
Çêkirina wê pir wext girt, lê ez bi saya wê wêrektir dibim.	It took a lot of time to do it, but I'm getting braver because of it.
Dibe ku em nikaribin te xelas bikin, lê tu dê bi awayekî xelas bibî.	We may not be able to save you, but you will be saved somehow.
Mişkên pirtûkxaneyê ji lîstika veşartokê pir hez dikin. Lê Seg? Seg ji pirtûkan hez dike.	Library mice love to play hide and seek. But Seg? Seg loves books.
Bilî Barkir û Fabrîkaya Biskiwîtên Segan e.	It is Bili Barkir and Segan Biscuit Factory.
Fîlekê pir mezin e. Ez jî hevala wî Canîs im.	An elephant is very big. I am also his friend Canis.
Karekê xweş e!	Nice job!
Her tiştî!	Everything!
Bi min divê pirtûk dîsa werin rûnkirin.	I think the books should be re-oiled.
Lê eger ez neçim avjenîyê.	But if I don't go swimming.
oxweş! Em hatin!	nice! We came!
Û Don Kîşot çû ku şerê herî mezin yê jîyana xwe bike. Girê ku diçûyê ne dûr bû.	And Don Quixote went to fight the greatest battle of his life. The hill he was going to was not far.
Va ye dêya wan jî hat.	Their mother also came.
Ooo, ev tiştekê pir xweş e!	Ooo, this is a great thing!
Ji kerema xwe bêhtir xêz bike. Ez dewama wê merak dikim!	Please draw more. I'm still curious about it!
Ev dinyayeka di nava ya me da ye.	This is a world within us.
Hop! Hûh! Binêrin bê we çi kir? Lê ez dikarim wê jê bibim.	Hop! Huh! Look what you did? But I can remove it.
Weyla! Ez dîsa bûm biherî. Nabe ez bihêlim ku yek min weha bibîne!	Wow! I became fluent again. I can't let anyone see me like that!
Seg! Li min binêre! Wîîî!	seg! Look at me! Whoa!
Û Kîvroşka Şîrîn û Daristana Xweşheval heta hetayê bi dilxweşî jîyan.	And the Sweet Rabbit and the Merry Forest lived happily ever after.
Min bi destmala xwe baweşîn jî lê kir.	I also washed it with my towel.
Nexwe divê ew bizane ku em wî naêşînin.	Otherwise, he should know that we are not hurting him.
Nexwe divê em te germ bikin. Mişkên pirtûkxaneyê! Mişkên pirtûkxaneyê! Lihêfa Seg bînin!	Otherwise we have to warm you up. Library mice! Library mice! Enjoy Seg!
Werin em dest pê bikin!	Let's get started!
Ez dikarim îgloyan çêbikim!	I can make igloos!
Te got neçin dikana hejmar bîst û sê.	You said don't go to shop number twenty three.
Vê carê jî te Pug jê bir!	This time you beat the Pug!
Seg. Seg. Min ji alavên xwe yên lêkirinê şewqeyeka nû îcad kir!	Sec. Sec. I've invented a new glow from my tools!
Ooo ev kevirên ku dihejin, gelekî dihejin!	Ooo these rocks that shake, shake a lot!
Erê, Pug jî dikare alîkarîyê bide min.	Yes, Pug can help me too.
Spas dikim, Pug. Tu her hebî!	Thank you, Pug. You have everything!
Kîvroşk çawa tên ewiqandin?	How are rabbits bred?
Himm gelekî balkêş e… ez nabêjim xerab e.	Hmmm it's very interesting... I'm not saying it's bad.
Di rojnivîskê da ew tune ye, Pug.	It's not in the diary, Pug.
Hii! Tu ne Holms î.	Hey! You are not Holmes.
Te li ser hev digot: Hey zengil zengilê .	You used to say to each other: Hey, ring the bell.
Hey zengil zengilê, çêleka li ser moxilê? Na. Hey zengilê zengilê, seg çûye ser… Na, ne ew e jî!	Hey jingle jingle, cow on the moxil? Are you here. Hey ring the bell, the dog's gone on… No, that's not it!
Bi min divê em pirtûkeka li ser vafirokan bibînin, lê binêrin û hin fikran jê bigirin.	I think we should find a book on steamers, look at it and get some ideas from it.
Şah Artur gazî te dikir, Mervîn Xanim.	King Arthur was calling you, Mrs. Mervin.
Binêre! Stêr dixuricin!	Look! The stars are shining!
Pir ecêb e… pir nas e.	It's so weird… so familiar.
Kesê ku wekî makîneyê tevdigerîya ez bûm. Hii! Segstêr, carinan ez têra xwe ne jîr im.	I was the one who acted like a machine. Hey! Segstar, sometimes I'm just not smart enough.
Hêvîdar im Pug niha hînî çêkirina wêneyan dibe… Ez westîyam.	I hope Pug learns to take pictures now... I'm tired.
Pir giran e, Seg, lê dema ku ez jê aciz bûm, ez dê wê bikim wînç.	It's too heavy, Seg, but I'll make it a winch when I get tired of it.
Û Stêra Cêwîkan… û Cebar!	And the Gemini Star… and the Force!
Tu jî heman tiştî dibînî, Seg?	Do you see the same thing, Seg?
Rast e!	Joint venture!
Em ji bo lîstika bi navê Mişk û Mirov provayê dikin. Ez Mirov im.	We are rehearsing for a play called Mice and Man. I am Human.
Li vê ecêbê! Li ser pêlikan em di xelekekê da dibezîn… em dikarin dîsa di xelekekê da bibezin.	In this wonder! On the stairs we run in a circle... we can run in a circle again.
Ez ji pirtûkên xwe yên paqij û bêtoz hez dikim.	I like my books clean and dust free.
Bi rastî?	By the way?
Biskiwîtên segan ji bîr neke….	Don't forget the dog biscuits….
Na, ew hesp e.	No, it's a horse.
Evqas bes e. Em herin xortino. Ez vegan im!	That's enough. Let's go guys. I'm vegan!
Me henek kir lê.	We joked though.
Em çi bikin?	What should we do?
Tiştek hat bîra min! Em niha li dora xwe bezîn. Ez dizanim ji Şah Artur ra çi lazim e!	I remembered something! We are running around now. I know what King Arthur needs!
Tu ji wan… ditirsî? Lê ew ne tiştek in. Ne li ber tiştekî ne. Lê tu şovalyeyekê wêrek î. Ne wisa? Tu henekên xwe dikî, ne?	Are you afraid of them? But they are nothing. They are not facing anything. But you are a brave knight. Isn't that so? You're kidding, aren't you?
Lê bi qasî rekora dinyayê ya di carekê da hilgirtina 998 pirtûkan ya li ser serê xwe ne ecêb e.	But it is not as surprising as the world record of carrying 998 books on one's head.
Hûn dixwazin lê bigerin?	Do you want to search?
Seg, bi ya te ez dikarim dansê hînî mişkên pirtûkxaneyê bikim?	Seg, do you think I can teach the library mice to dance?
Belkî berî ku ew bibîne, divê em Segmarê bibînin	Maybe we should find Segmar before he does
Belek bûn… Zîrek bûn … Aha! Wêrek bûn!	They were good... They were smart... Aha! Be brave!
Fincanek çaya ku Seg vedixwe di wê derê ra tê jêr!	A cup of tea that Seg is drinking comes down there!
Erê rast e, Pug. Pêşbaz xwe li pîsta pêşbazîyê amade dikin.	Yes, that's right, Pug. Competitors prepare themselves on the race track.
Pir xweş e!	A lot of fun!
Straneka xweş ya keştîvanan dê wî aram bike.	A good sailor's song will calm him down.
