source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I've been mourning at home for four hours.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	With the music of her head, and the music of her voice.
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't want to go on like this.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	The flower that hadn't been there since yesterday.
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	I've been typing shit on your desk.
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	This may be removed from you forever.
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I have to look at the enemy.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	In fact, clyde was attached to him.
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	she asked, her voice rough with stress and fear.
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I walked up and down quietly.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet it seemed to him that everything and everything that had been enjoyable to the utmost.
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I quickly threw those thoughts away, and I made a mistake.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	They say it happened unusually and unnaturally.
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	but I felt an overwhelming surprise.
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	I have the misfortune, to love my life, and not to suffer.
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but the arms and the knees alone wondering if she would only surrender a woman in private.
چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	It's like a piece of work that you can do.
وه دنگ پای زمان گۊش اؽڌه	listening to the echoing footsteps of years.	He kept listening to the sound of time.
مو فقط وا ئی خانوم نه بڤینوم	I must see the lady.	I'm just going to have to see this lady.
وه نظر تو هم آڌم وه کار بخوریه	he struck you as being pretty handy.	you would have thought I was a man.
ولی سیسرک ز دسترسس وه دیر بی	but it was safe out of his reach.	But Sire was out of his reach.
گشت آرمۊنلم وه دستوم رهڌ	I have lost all my illusions.	I have lost all my hopes.
صحاڤلسۊݩ یا مورده بیڌن یا فیچسته بیڌن	all of them silent now, their owners dead or fled.	It was a cold sunset over a mountainous desert.
وه زلی وه ئی لیک کۊچیر رهؽ سی عبۊر واز اؽبۊ	it soon stood wide open also.	So he was afraid that this little girl would be left alone for a while.
یه‌ناگه و وا دلسردی فهمستوم که یو سال آخرمه	I knew with sudden, chilling certainty that this was my last year.	I realized with a shock that it was the end of my life.
په دهۊنمه واز نکردم	I kept my mouth shut.	So I didn't open my mouth.
ایما هنی همۊچونیم که ویساده بیمۊݩ	we're still where we were.	we remained the same attitude on the same paving stone of the parapet.
فۉرا فهمستوم ئی کلیل هؽن کۊچو بی	I knew immediately what this key was to	I understood where that key was hidden.
په تو اؽتری رهته بگری بری و مو نه تهنا بؽلی.	so you can get the hell away from here and leave me alone.	So you took the other one and left me alone.
ولی کسؽ جوریت دغالت مؽن ئی کار نه نڌاشت	but nobody dared to interfere.	But no one was willing to put too much pressure on her.
یا یو که ناخڌا سرس نه اشکنه	or knocked on the head	Or that the captain wouldn't cry.
هو تا مجال ٱفتۉنشینۊݩ اوچو مند	there he remained till nearly nightfall	He stayed there until the end of the summer.
هۊنه بون هو رۊزؽ لهرؽ نه بؽشتر بی	as though it had once been a large stone pigpen	There was a mistake in his creation.
ایو کارؽ زنشت دار و دوشخار بی	that was painful and difficult for him.	a frightfully grand woman's business.
بۊهخشین که مؽن جا کشیدومت در	I'm sorry I've dragged you out of bed.	I'm sorry you sound guilty.
مجالشه که دی بکشی کنار	it's time for you to step aside.	When he saw her, he pulled her aside.
ز ته سیم امکانس نی	as I could not possibly have done	It's not possible for you.
شکوم نی که باعث مرگس وابیڌ	I have no doubt that it led to his tragic end.	no doubt he was the cause of his death.
وختؽ که وه گمۊنؽ که دوز اویده سیخ چاله نه ڤورگرهڌ	when he got the poker in case of burglars	when it comes to sleeping with an ulcer, you will say,
وه اسپ کرند که خزمتکار و دۊست مو بی فرمۊن دا	ordered the sorrel nag, my fellow servant	the spider commanded my crew and my friend to obey me
جلز یه سلۊم علیک رسمی	that they had never gone further than formal greetings	It's like a common misconception in the Paris neighborhood.
خاس بیا داخول که در ز داخول بسته وابیڌ	but the bolts were in place.	I am sorry, sorry that the door was locked.
مو سرمست ز یو که هو سر مجال ڤرگشته بی	I'm glad she got back in time.	I was frustrated that he was talking about it.
ولی وه گمۊنوم گشت گونا ئی بڌبختی وه نای مونه	but I take all the blame upon myself	But I think the blame of all this misfortune is not for me.
یه‌ناگه تی زس ڤرگرهڌ	looked quickly away.	Suddenly, he got angry from you.
دارستۊݩ ایسو ز رنگ شه وه رنگ کۉ وابیڌ	the forest was gray now instead of black.	The thick darkness of the forest had made it sad.
ئی کار ایما نه وه کاهلی اؽواداره	which disposed us to sloth	It's a pity that belongs to us.
که ئی واله ئیقزر زهله بر کرده بی	that so much invested the whale with natural terror	that had exhausted the ideal
سی یو که دوهڌر چۊپۊنه نڤینه تصمیم گرهڌ ڤی ولات روه	in order to escape from her, he determined to quit the country	Because the girls didn't pay attention to her, they decided to leave the band.
ز حالس ناراضی نبی	her mind had no distaste for her own set	she wasn't in a very good mood
گشت ٱند خوسه ز ڤیر برد	the obligation faded.	He forgot everything else.
باڌ هم ٱمۊݩ ندا و گشت زمین و زمانه وه یک رهڌ	I never see the wind blow so.	It combines and adapts the annual and daily movements of the Sun and Earth with the accidental wind currents.
ولی شازاڌه زس زه وا نها	but the old prince interrupted him.	But the princess asks the prince to leave the room.
وه سی لف بارۊݩ یه‌ناگه تارستن	turned into a rout because of a devastating downpour.	Suddenly, the daylight dimmed, and thunder and lightning began.
اوچو نه سیکه مؽن آینده هم کلاس درمۊݩ وابۊ مرتڤ کردیمۊݩ	arranged it for the future schoolroom.	where we might be left alone in the next ten years.
مو کشیشوم و ڤا وه هر بهتۊنؽ وه دیر بۊم	I am a priest and therefore I ought to be above suspicion	I'm a priest, and I must be on the side of the deal.
هلام وا هو شش پله فاصلَم بی	still lying on the staircase six steps below him.	it was still six feet from the air
گشت سه دقه نه سیل وه تورکستن اسپ کرد	watched the horse's action for the space of three minutes	He took all three minutes to look at the spider's belly.
گمۊن کردوم غم و ٱندۊ چیه که آخر وه آڌم دست اؽڌه	but I thought grief was something you felt anyway.	I thought I was sadder than the last thing I'd ever knowed.
ز پلکۊن رهڌ وه بالا تا مؽن دالۊن وه درؽ رسی	went up the staircase to a door in a corridor.	He climbed up the cliff to the entrance of the hall.
هرچن که سی ایقزر رنز ماجب خۊڤی نگرهڌ	though with but small success for their pains.	Even if it's your gratitude that's a kind of weakness.
ایمدۉ وکیلؽ نه بسی کرد تا کارل جڌایی ز هو نه ٱنجۊم بڌه	but sent an intermediary to arrange the terms of the separation	Then he started prostitution and started a riot.
سیکه نهاتر زته ایقر نیازمۊن وه اشتۉ کردن نبی	for I have never had such need of haste before.	for they were not as much interested in themselves as they were in the future
ز دئسۊرؽ که مؽرس داڌ ڤس	at the orders her husband left her	He threw away the leaf that had been cut down with the wicked.
وا علاقه، نیَشتوم ڤه دۉربالوم، و جاگه بلاجڤی که مؽنس بیڌوم.	look around me with some interest on the strange land that I was in.	I was intrigued by the events that had caught me.
خۉسیڌ و ری چولچله بردی دراز وابیڌ.	lay down on his back on the heap of stones.	He slept on his stomach and slipped on the floor.
هرگش نه قرار بی که هو نه دوڤارته بڤینوم	I was never supposed to see him again!	I never thought I should see her again.
منی مجبۊر بیڌن که بئلن که هو، یو نه بگو.	as if they were forced to let him say it.	I had to go and tell him the truth.
ڤه همی تفیل بی که زی وَیڌوم سر‌وختت.	that is why I hastened to you.	It was a pity that I remembered coming to you at the time.
نؽخوم دی در مۉرڌس گپ زنوم.	I don't wanta talk about it no more,	I don't want to talk about it anymore.
وا ڤت هوشڌار بڌوم که گپ‌تر ز ئی تۊ هڌه.	I should warn youit's bigger than this room.	I have to warn you that there's something more to say than that.
سی خوس و بچه‌یل یه دویندورؽ إستخڌام کرڌ.	for herself and the children she employed a physician.	I've been using a penny for myself and kids.
هو کارؽ نه که ترست ٱنجوم داڌ تا جاگه‌یل سر میز شانازی نه تیار واڌاره.	she did everything possible to keep the places at the table of honor in order	He did what he could to prepare the lay words of glory.
پاڌاشؽ سی تو سی خاطر داس.	a recompense to you for his mother!	He reminded you of walking.
ٱسپسه مجبۊر‌ کرڌ که‌ حرکت کونه و چاردئس نهاڌ ڤه بال ٱۉرۊ.	spurred his horse and galloped into the river.	He moved his horse and must have jumped.
