source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I fell four o'clock in the morning.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	must 'a been jealous, to tear such clothes!
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't want your advice to be so,.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	the crime is that of not complaining even if the lover is not in the possession of the object of his love, and
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	you grab the jacket and almost run out of the room
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	or else the more simple sublimity of resolving to refuse him at once and for ever
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I must recognize the enemy.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	clyde picked it up and turned it over
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	she asked, her voice rough with stress and fear.
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I sat up and saw the battle over
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet so well set out was it that it seemed that every part had room to spread itself fittingly
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I took up this piece of bread and carefully crumbled it away.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	despite the fact that theunintentional blow still had had anger in it angry dissatisfactionwith her really
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	but I felt too much excited for it.
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	I have the misfortune, to have been deceived in my married life,
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but the short flick of yellowish flame in the dusk was powerless against the muffled up mysteriousness of the dark figure with an invisible face concealed by a great sombrero.
چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	this seems to him of the kind who has served to do so.
وه دنگ پای زمان گۊش اؽڌه	listening to the echoing footsteps of years.	she's had the impudence to show it at the last.
مو فقط وا ئی خانوم نه بڤینوم	I must see the lady.	I shall only just meet this lady
وه نظر تو هم آڌم وه کار بخوریه	he struck you as being pretty handy.	your attitude to me also, you feel like a person.
ولی سیسرک ز دسترسس وه دیر بی	but it was safe out of his reach.	but he was already out of his reach.
گشت آرمۊنلم وه دستوم رهڌ	I have lost all my illusions.	I wish he had, I suppose.
صحاڤلسۊݩ یا مورده بیڌن یا فیچسته بیڌن	all of them silent now, their owners dead or fled.	in all human sorrows nothing gives comfort but love and faith,
وه زلی وه ئی لیک کۊچیر رهؽ سی عبۊر واز اؽبۊ	it soon stood wide open also.	yet that little girl had been overcome
یه‌ناگه و وا دلسردی فهمستوم که یو سال آخرمه	I knew with sudden, chilling certainty that this was my last year.	I knew immediately that it was the end of a year.
په دهۊنمه واز نکردم	I kept my mouth shut.	I didn't open my mouth at him.
ایما هنی همۊچونیم که ویساده بیمۊݩ	we're still where we were.	we're all wearing ours
فۉرا فهمستوم ئی کلیل هؽن کۊچو بی	I knew immediately what this key was to	I knew immediately that the key was a missing picnicker.
په تو اؽتری رهته بگری بری و مو نه تهنا بؽلی.	so you can get the hell away from here and leave me alone.	so you simply took it out and left it there.
ولی کسؽ جوریت دغالت مؽن ئی کار نه نڌاشت	but nobody dared to interfere.	but no one dared to ask it.
یا یو که ناخڌا سرس نه اشکنه	or knocked on the head	or that the captain should understand
هو تا مجال ٱفتۉنشینۊݩ اوچو مند	there he remained till nearly nightfall	he continued, with a twinkle of genial scorn in his face.
هۊنه بون هو رۊزؽ لهرؽ نه بؽشتر بی	as though it had once been a large stone pigpen	boiling him for a whole day over a slow fire
ایو کارؽ زنشت دار و دوشخار بی	that was painful and difficult for him.	I found him in his study, apparently preparing to go out again
بۊهخشین که مؽن جا کشیدومت در	I'm sorry I've dragged you out of bed.	so you will know the happiness of being listened to.
مجالشه که دی بکشی کنار	it's time for you to step aside.	when he has driven out the invader
ز ته سیم امکانس نی	as I could not possibly have done	you might have fainted and had a miscarriage.
شکوم نی که باعث مرگس وابیڌ	I have no doubt that it led to his tragic end.	for no doubt the death will cause the fatal catastrophe.
وختؽ که وه گمۊنؽ که دوز اویده سیخ چاله نه ڤورگرهڌ	when he got the poker in case of burglars	when he's had the impudence to show it at the last.
وه اسپ کرند که خزمتکار و دۊست مو بی فرمۊن دا	ordered the sorrel nag, my fellow servant	this gentleman being absent his secretary by his orders opened his letters
جلز یه سلۊم علیک رسمی	that they had never gone further than formal greetings	dressed in long white tunics
خاس بیا داخول که در ز داخول بسته وابیڌ	but the bolts were in place.	had closed it with all my might.
مو سرمست ز یو که هو سر مجال ڤرگشته بی	I'm glad she got back in time.	I'm afraid he gives your orders.
ولی وه گمۊنوم گشت گونا ئی بڌبختی وه نای مونه	but I take all the blame upon myself	but I think it's wrong to give the house an account of all the suffering.
یه‌ناگه تی زس ڤرگرهڌ	looked quickly away.	then flapped it out of your head entirely
دارستۊݩ ایسو ز رنگ شه وه رنگ کۉ وابیڌ	the forest was gray now instead of black.	turning white at the mere suggestion.
ئی کار ایما نه وه کاهلی اؽواداره	which disposed us to sloth	the theatrical gorgeousness of the thing appealed strongly to his nature, too
که ئی واله ئیقزر زهله بر کرده بی	that so much invested the whale with natural terror	that the whale was at times so completely foreign and aristocratic to keep back chaos.
سی یو که دوهڌر چۊپۊنه نڤینه تصمیم گرهڌ ڤی ولات روه	in order to escape from her, he determined to quit the country	as the more simple sublimity of resolving to refuse him
ز حالس ناراضی نبی	her mind had no distaste for her own set	he felt disinclined to go to bed.
گشت ٱند خوسه ز ڤیر برد	the obligation faded.	but he recalled his ass,
باڌ هم ٱمۊݩ ندا و گشت زمین و زمانه وه یک رهڌ	I never see the wind blow so.	a single crash of thunder made the earth tremble
ولی شازاڌه زس زه وا نها	but the old prince interrupted him.	but the princess will not be disappointed
وه سی لف بارۊݩ یه‌ناگه تارستن	turned into a rout because of a devastating downpour.	in order to make a garrison of the stern part of the body
اوچو نه سیکه مؽن آینده هم کلاس درمۊݩ وابۊ مرتڤ کردیمۊݩ	arranged it for the future schoolroom.	that he had conferred a great boon upon the rest of the class in the future.
مو کشیشوم و ڤا وه هر بهتۊنؽ وه دیر بۊم	I am a priest and therefore I ought to be above suspicion	I shall be the clergyman, and stay with you to the best speed.
هلام وا هو شش پله فاصلَم بی	still lying on the staircase six steps below him.	even though she may have been travelling out of six steps.
گشت سه دقه نه سیل وه تورکستن اسپ کرد	watched the horse's action for the space of three minutes	he tried all the way back, for three minutes
گمۊن کردوم غم و ٱندۊ چیه که آخر وه آڌم دست اؽڌه	but I thought grief was something you felt anyway.	I thought of the grief that this man had been overcome
ز پلکۊن رهڌ وه بالا تا مؽن دالۊن وه درؽ رسی	went up the staircase to a door in a corridor.	he staggered on the staircase to climb to the door
هرچن که سی ایقزر رنز ماجب خۊڤی نگرهڌ	though with but small success for their pains.	though he had heard hardly anything, understood everything in his own way.
ایمدۉ وکیلؽ نه بسی کرد تا کارل جڌایی ز هو نه ٱنجۊم بڌه	but sent an intermediary to arrange the terms of the separation	but she did not like to be surrounded by love.
سیکه نهاتر زته ایقر نیازمۊن وه اشتۉ کردن نبی	for I have never had such need of haste before.	I don't see why I should have to make a mistake in that line.
ز دئسۊرؽ که مؽرس داڌ ڤس	at the orders her husband left her	reflected in the mixture of sadness and boisterous spirits, which his whole behaviour displayed.
وا علاقه، نیَشتوم ڤه دۉربالوم، و جاگه بلاجڤی که مؽنس بیڌوم.	look around me with some interest on the strange land that I was in.	I grew impatient with this legal verbiage, and said
