source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I've been doing it all day here.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	carefully administered the appointed number of drops
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't want it to end up now.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	with a page, whom he had received
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	for the paper, which was already put into the newspapers
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	perhaps this lad was beginning to come into his hands again.
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I'd have to expel the enemy.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	and the truth was that he was indeed found in the heart of the man
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	he asked, her voice rough with stress and fear.
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I stole in on tiptoe.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet so well set out was it that it seemed that all he had done was repetition.
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I held them out of my head and made them right.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	with the sagacity and smell of this bird enables him to discover his quarry at a great distance.
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	but I felt too much fluid in the onslaught of it.
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	it is hard lines that I am not now in the same position as myself.
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but the hand made up, the whole pack, and the whole army, still fighting and still resisting, was too much for it.
چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	I knew it, I could have done so.
وه دنگ پای زمان گۊش اؽڌه	listening to the echoing footsteps of years.	she asks, voice high and fake innocent.
مو فقط وا ئی خانوم نه بڤینوم	I must see the lady.	I just met this lady.
وه نظر تو هم آڌم وه کار بخوریه	he struck you as being pretty handy.	you thought you were all eat up.
ولی سیسرک ز دسترسس وه دیر بی	but it was safe out of his reach.	but the weapon was too late.
گشت آرمۊنلم وه دستوم رهڌ	I have lost all my illusions.	I expect you all hopes and prospects
صحاڤلسۊݩ یا مورده بیڌن یا فیچسته بیڌن	all of them silent now, their owners dead or fled.	deserted from the front, either dead or captured.
وه زلی وه ئی لیک کۊچیر رهؽ سی عبۊر واز اؽبۊ	it soon stood wide open also.	but spare it the one little glass of brandy
یه‌ناگه و وا دلسردی فهمستوم که یو سال آخرمه	I knew with sudden, chilling certainty that this was my last year.	then I dunno I was glad to see the end of the year.
په دهۊنمه واز نکردم	I kept my mouth shut.	I put it open my mouth.
ایما هنی همۊچونیم که ویساده بیمۊݩ	we're still where we were.	we are not the same old playfellows.
فۉرا فهمستوم ئی کلیل هؽن کۊچو بی	I knew immediately what this key was to	I suddenly realized that the key was attached to the latch.
په تو اؽتری رهته بگری بری و مو نه تهنا بؽلی.	so you can get the hell away from here and leave me alone.	you should just take that individual away from me, and keep him in your way.
ولی کسؽ جوریت دغالت مؽن ئی کار نه نڌاشت	but nobody dared to interfere.	but no one dared to doubt.
یا یو که ناخڌا سرس نه اشکنه	or knocked on the head	or that he should shout the captain's head.
هو تا مجال ٱفتۉنشینۊݩ اوچو مند	there he remained till nearly nightfall	he had been there until the morning of the funeral.
هۊنه بون هو رۊزؽ لهرؽ نه بؽشتر بی	as though it had once been a large stone pigpen	but there was still more due to the overpowering days of the revolt.
ایو کارؽ زنشت دار و دوشخار بی	that was painful and difficult for him.	it was a thorough paced little evanescent partiality.
بۊهخشین که مؽن جا کشیدومت در	I'm sorry I've dragged you out of bed.	I'm sorry you disturbed you.
مجالشه که دی بکشی کنار	it's time for you to step aside.	then pushed the paper a little way from him
ز ته سیم امکانس نی	as I could not possibly have done	perhaps some faintness actually attacked her.
شکوم نی که باعث مرگس وابیڌ	I have no doubt that it led to his tragic end.	no doubt who had caused him to die
وختؽ که وه گمۊنؽ که دوز اویده سیخ چاله نه ڤورگرهڌ	when he got the poker in case of burglars	when he's had the impudence to show it at the last.
وه اسپ کرند که خزمتکار و دۊست مو بی فرمۊن دا	ordered the sorrel nag, my fellow servant	the landlord had orders to give his majesty an account of my love and respect.
جلز یه سلۊم علیک رسمی	that they had never gone further than formal greetings	including a spare uniform.
خاس بیا داخول که در ز داخول بسته وابیڌ	but the bolts were in place.	looking very disgruntled that the door closed.
مو سرمست ز یو که هو سر مجال ڤرگشته بی	I'm glad she got back in time.	I hated that she had time to jump
