source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I've been sober for four hours.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	clean it up and clean it up.
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't want it to end this way.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	as though he had no intention of escaping.
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	put the paper away.
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	the blood of the deceased remained steadily dormant.
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I'll take it away from the enemy.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	he was indeed in his infancy.
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	he said, his countenance dumb and dumb and shrewd.
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I've got the peace and the power of a woman.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	for it is plain that everything and everything about the whale could not have been his doing so.
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I pushed the lever in my head and straightened it.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	as though the medals had been forfeited.
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	but I felt a pang of thirst.
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	the misfortune of not loving me alive and well
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but the hands and knees of the poor little women were so full of fear that they could hardly bear to look at each other.
