source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I've been sober for four hours.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	Clean and polish it carefully.
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't want it to end this way.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	It was clear that he had no intention of leaving.
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	He put the paper on your desk.
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	It's like he's out of his league forever.
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I hid it in the back of my hand.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	Clyde was really into it.
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	"He asked, ""Isn't his back sharp and brazen and angry?"""
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I've regained my composure and strength.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	But it turns out that everything and everything that the whale was looking for didn't mean he did it.
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I pushed the lever in my head and straightened it.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	It's as if he's wearing a gold mask.
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	But for the first time in my life, I felt a sense of relief.
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	It's not my fault I'm alive or well.
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But with his hands and knees tied together, he was so frightened that he couldn't even think of a woman to be his wife.
چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	What kind of a gymnast does that?
