source	reference	translation
مۊ أن-أ سٚفارش بۊکۊدم	I have advised him to do that.	I called it a-a journey.
مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	I want the truth, the truth!	I was going to be a real-A real-A real-A!
مي گۊلي-أ پخ بزئم	I cleared my throat.	I kissed my flower.
اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	but I am always fond of children.	First of all, I'm interested in nurturing children.
وانمائي مأنستن کي بام ٚ جؤر نهأ	you're like the weather cock on a roof.	It's like they're building a roof.
خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	stood, livid and trembling, before us.	He dressed himself, washed his face, and leaned his back against my face.
سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	went up the hill and out of sight.	He put his head back on his shoulder and stared me straight in the eye.
زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	even as the hairs on my arms began to shrivel.	When he hit me on the head, he ate a lot of food.
مي سرأ بشادم	I shook my head.	I shook my head.
هسأ همتتأ چي مرأ واضح بخاطر بامۊ	I can remember it vividly now	It's all coming back to me now.
خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	he put his hand up to his forehead.	And he stretched out his hand, and stretched out his forehead.
مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	I raised one hand to halt his apology.	I grabbed my right arm to stop him from apologizing.
ایتأ دۊتأ پیله آه بکشي	gave a long gasp or two	You're going to make a big girl cry.
مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	I don't set up to be one of those men that don't care about women.	I'm not saying I don't know women from men like me.
بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	I thought it might be important.	I thought it might be useful.
خاطرجمائي ناشتيمه تۊ بيبي	I wasn't sure it was you.	We had no intention of hurting you.
نۊقره ای آچارأ خؤ جیف ٚ جأ بيرین بأوۊرد	took a silver key from his pocket	Suddenly, he pulled a key out of his pocket.
ولي هلماله سۊمأ زؤرأ نأره	but hasn't got any magic powers.	But it doesn't hurt anyway.
سيأبختي پاپرۊس ننأ	I'm afraid there are none.	It doesn't hurt.
چۊن ناخؤش بؤ.	because she had been ill	Because it was unpleasant.
خؤ عازمأ جزمأ کۊده	for he had made up his mind	He tried to dress himself.
مزایأ سرأ گیفتن	the racers started.	It's good to be engaged.
نهايي ضربۊ واقئيت ٚ جأ اۊن ٚ دس نهأ	has the last featuring blow at events.	He finally put the truth in his hands.
آلبت ایتأ دۊتأ اۊشان-أ تفریح وأسي رأ تاوده	I doubt if he's gotten that far yet in fact, I'm sure of it.	It must have been some of their girls' amusement.
سرأ گیفت شعرانه حیفظ-أ کۊدن	went to work to get his verses	They kept the poems in their poems.
اۊن ٚ ناقۊشي چاقأ کۊدن ره اۊن ٚ أمرأ شيريک بۊبۊست.	be represented as a partner in his own cure.	It was a shortcoming that made him shy.
روٚقد نأرمۊ	I am out of spirits.	I wasn't feeling well.
هني بنماست کي کي واخاب نيه ایتأ گل اۊیأ ايسأ	to avoid betraying that he knew she was about.	He's still trying to figure out who's going to vote for him.
شيمي اطلاعات نيشان دیهه کي خؤرم ٚ زأک ؤ ذات ٚ خۊش بۊ	if it had been favourable to the boy.	You'll be informed that he's a child of his own.
حتأ ایتأ پئلي أن ٚ لیواس جيرأ تکان ندأ بۊ	had not so much as altered one angle of his vest.	Not even a drop of water was stirring underneath the dress.
راستؤف اۊ قضيه پٚسي دئه خؤ خانواده ٚ داشت ؤ دارائي اۊمۊر ٚ جأ خؤرأ وانسي	said he to himself, and after that he did not meddle in business affairs.	In fact, it was related to his family and related to the tree of life.
یاواشيکه بيشئم خؤرؤم بار ٚ مهمانانه ورجأ ؤ ایتأ دۊتأ ايستکام وۊکۊشئم بۊجؤر	I sneaked off to the private bar to have a pint or two before dinner.	I'm going to go slowly to the guest room and pick up an ice cream cone.
هتؤ کي ساغ ٚ جان ٚ مرأ جه ایأ دۊوارس ترأ گؤیم	I'll tell you as soon as she's safely away,	As soon as we see the farmer's right flank.
مۊ أن-أ نۊبۊردم اؤیأ کي أن-أ بۊکۊشم	I didn't go upthere with her with any intention of killing her.	I didn't know who to kill.
هیذره خؤرم نیؤ کي گٚل، سفر بۊشۊ دکناپره	not a pleasant night for a dip in the sea	I'm not sure who's going to stop the trip.
مرأ ترسأ گیفت کي وارش ٚ جئر زنگ بزنۊ یأ سرما بۊخۊره	I thought it might get rusty with the rain, or catch cold	He was afraid he'd catch a cold under the rain.
