source	reference	translation
چوار ساعەتێ پی بارودۆخوە سەرم کەرڎەبێ	I was four hours under these circumstances	I'd noticed that four hours ago.
گجییە کوڵ و پاتۆڵێ شەترەنجیش کەردەبێنە	in plaid frock and trousers.	He's wearing short trousers and a pair of trousers.
من ئیزن نمەڎو کە ماجەرا پی جۆرە تەمام بۆ	I won't let it end like this.	I'm not allowed to end this kind of thing.
هەوڵش دا کە قەسدو خاتوونە پیرەکێ دەرک کەرۆ	trying to grasp the old lady's meaning	He tried to unravel the old lady's story.
ڕۆژنامەکەش جە لاو مێزەکەینە هۆرگێرت	he picked up the paper.	He took the paper from the side of the table.
شایەد ئی کناچێ عالێ پەی هەمیشەی جە دەس بلۆ	she might be required to sink herself forever.	Maybe he'll lose this beautiful girl forever.
بە جمانیوە هەڕەشەیی دەستوورش دا پەنەم	he ordered me in with an oath	He threatened to take me back.
بەڕاسی کڵاید ئەسیر بیەبێ	so truly was he captivated.	Clyde was really upset.
ساش جە ئسترس و تەرسینە وشک بیەبێ و گیریابێ. ئاو پەرساش	she asked, her voice rough with stress and fear.	His eyes were drowned in fear and starvation.
یەواش بە زۆرو زانویم هۆرستانی	I raised myself gently upon my knees	Slowly and knowingly, he got up.
پی حاڵە تەمام شواهێدی کە هەن جە جۆرمو ئاوی حکایەت مەکریۆ	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	Even if he doesn't use all the evidence he's got.
زوو ئی فکرامە جە زهنیم گێڵنایم و شعرم وەش کەرد	I immediately turned this thought over in my head, creating lyrics.	I soon forgot the idea, and wrote the poem.
پی گومانە کە مداڵەکێ جە تڵایە ناب و عالی مۆنێ	thinking that it was a medal of solid gold	He doubted that the flower would be of use to him.
بەڵام فرە پەیشا ناڕەحەت بیانی	but I felt so sorry for them	But he was very upset.
من زندگیم فرە وەش گەرەکەن. بۆبەختی ئینەنە.	I've loved life too much, shamefully much.	I want my life so badly. It's bad luck.
