source	reference	translation
ڤە ئێ دووخا چوار ساتم بردە سەرێر.	I was four hours under these circumstances	It took me four hours to get to that point.
نیمتەنە و شاواڵ شەترەنجی کردۊتێ ئەێ ڤەر	in plaid frock and trousers.	He was wearing a jacket and a pair of T-shirts.
م نمەیلم ماجراکە ڤە ئێ شێوە تەمام بوو	I won't let it end like this.	I don't want it to end like this.
ئەر یە بییە گ نێیەت ئە ژەن کەڵنگە دەرک بکەێ	trying to grasp the old lady's meaning	If you can't, throw the big woman out.
ڕووژنامە ئەێ پەلۊ مێزە هێز داتێ	he picked up the paper.	The newspaper was on the edge of the table.
هایتێر ئەڕا هەمۊشە ئێ دت نازارە ئەێ دەس بچوو	she might be required to sink herself forever.	Maybe he'll lose this beautiful girl forever.
ڤە دوشمین و هەڕەشە دەستوور دامێیە بێن	he ordered me in with an oath	He ordered them to be detained with full hostility and threats.
سە ئەو ڤە ڕاسییا ئەسیر بۊ	so truly was he captivated.	So he was really upset.
یاواش ڤە زوور زانی هێز گرتم	I raised myself gently upon my knees	Slowly and gently I got up.
ڤە ئێ حاڵا هەر چەێ شەواهد و قەرائن بی نیشانە میاێ ئەو موجرمە	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	In this case, any circumstance indicating that the patient was ill.
دەرجا ئێ فکرەلە ڤە نام زەێنمەێرە گێرداننم و شعرم سازی	I immediately turned this thought over in my head, creating lyrics.	Then I poured these thoughts into my heart, and made it into poetry.
ڤە ئێ گومانە گ مداڵە ئەژ زەڕ بێخەوشە	thinking that it was a medal of solid gold	with the suspicion that the coin was worth nothing.
ئەمانێ فرە ئەڕا یەون ئاخ و داخم کرد	but I felt so sorry for them	But I'm very sorry about that.
م ژیاین فرە دووسە مەێرم، بەدبەختی هەر یەسە	I've loved life too much, shamefully much.	I don't like life, that's for sure.
ئەمانێ ڤە حاڵێکەێرە گ لەمەسوڕکییان بی، دەس و پاوانە مییا، ڤە ئەژ لاوەلا چوروو و بتە مەهەتنەو نووا. ڤە ئاخرەێر کول ڤە یەکا گولەوان تەقان و حوزوور وژان ئاشکراوا کرد. ڤە دوما ئە گولەتەقاننەلە فرەهان ئەژ سەربازەل ئێ سەر زێن ئەسپلەوان کەتنە هوار.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But when they were engaged, their hands and feet trembled, and they began to weep again. They finally revealed their pride and arrogance to one another, and after that, many of the cavalry officers fell asleep.
جوور ژیمناسیککارێ گ هووکارە ئێ کارەسە	like a man accustomed to that kind of gymnastic exercise	It's like a scientist trying to do it.
گووشە میاێ ئەر دەنگ شوونە پا زەمان	listening to the echoing footsteps of years.	Listen to the sound of footsteps.
م فەقەت مەێ ئێ ژەنە بۊنم	I must see the lady.	I just want to see this lady.
ئەێ تونێرە ئاێم دەردبهوەرێکە	he struck you as being pretty handy.	That's enough for me.
