source	reference	translation
همینتی چار سات سر هکردمه.	I was four hours under these circumstances	So I spent four hours.
کل جمه و چارخونی شلوار دپوشی بییه	in plaid frock and trousers.	all dressed in trousers
من نلمبه که ماجرا اتی توم بوه.	I won't let it end like this.	I'm not going to tell you this.
کوشش هکرده پیرزنای رای ره بفهمه.	trying to grasp the old lady's meaning	He tried to understand the old lady's voice.
روزنومه ره میز کنار جا بیته.	he picked up the paper.	He put the diary by the table.
ولکه این نازنین کیجا درسسی از دس بوره.	she might be required to sink herself forever.	Rather, he has taken away the secret of this delicate girl.
با ات تا فاش مه ره فرمون هدا.	he ordered me in with an oath	He gave me the key with a fork.
راسسی راسسی کلاید اسیر بیی بییه	so truly was he captivated.	Clyde was actually captured.
ونه گلی از ترس خشک بییه و بهیته. و بپرسییه	she asked, her voice rough with stress and fear.	His face dried up in fear, and he asked.
یواش یواش لینگ رهی هکردا راس بیمه	I raised myself gently upon my knees	I got up on my knees gently.
با این حال درس همه چی شاهدی دننه که و مجرم بییه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	And yet, in everything, he testified that he was a criminal.
اندریک یان فکرا ره شه سر بگردندیما ات تا شعر بساتمه	I immediately turned this thought over in my head, creating lyrics.	I've been thinking about writing a poem for a while.
با این گمون که مدال اصلِ طلای جا هسسه	thinking that it was a medal of solid gold	Even though it's a gold standard.
ولی وشون واسسه خله متاسف بیمه	but I felt so sorry for them	But I'm very sorry about them.
من دیین ره خله دوس دارمه. بدبختی همینه.	I've loved life too much, shamefully much.	I love to see. That s bad luck.
اما همتی که شه دس و لینگِ جا ساخه سو کردنه و بوته لا به لا پیش اییمونه سرآخر هنتی تفنگ جا شلیک کردنا نشون دانه که در اننه با اون شلیک هم خله از سربازون شه اسب زین پشت جا پایین جر دکتنه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But when he cut off his arms and legs and moved forward, he finally fired his gun, indicating that with that shot, he had thrown a lot of soldiers from behind his horses.
زیمیناستیک کار جور که به این کار خو هکرده	like a man accustomed to that kind of gymnastic exercise	The earthquake caused it to erupt.
زمونه لینگ چمر ره گوش دا	listening to the echoing footsteps of years.	He listened to her footsteps.
من فقط ونه این زنا ره بوینم	I must see the lady.	I just have to see this woman.
ته نظر هم آدم به دردبخری هسسه	he struck you as being pretty handy.	You think you're a pain in the ass.
ولی سیس ونه دسرسی دنی بیه	but it was safe out of his reach.	But his thirst was no longer his desire.
مه تموم امید و آرزو همه به باد فنا بورده	I have lost all my illusions.	All my hopes and dreams are gone.
وشون صاحبون یا بمرد بینه یا فلنگ ره بدا بینه	all of them silent now, their owners dead or fled.	Their masters are either dead or hanged.
خله زود این کچکی گلیا اتا گذر رای واری آماده بییه	it soon stood wide open also.	Soon this little goat was ready for a vote.
ناگمونی بفهمسسمه که مه آخری سال هسسه	I knew with sudden, chilling certainty that this was my last year.	Suddenly, I realized that my last year was over.
پس شه دهون ره دوس بیمه	I kept my mouth shut.	So I shut my mouth.
اما فعلن همونجه هسمی که اس هکرد بیمی	we're still where we were.	But we were actually standing right where we were standing.
اندریک بفمسسمه که این کلی کجه شه	I knew immediately what this key was to	Then I realized where this key was.
پس تو توندی شه را ره بیری بوری و مه ره تینار بلی	so you can get the hell away from here and leave me alone.	So you can forget about it and leave me alone.
ولی هیچ کس جورات ناشته کار دله دخالت هکنه	but nobody dared to interfere.	But no one dared to interfere.
یا اینکه ناخدا ونه سر ره اشکندنه	or knocked on the head	Or the captain shook his head.
آنسلم تا نماشون گدری اونجه بمونسسه	there he remained till nearly nightfall	I insisted he stay there to see them.
که ونه اصلی ساختمون ات روز ات تا سنگی خوکدونی بییه	as though it had once been a large stone pigpen	That the main body of the building was one day a stone slab.
اینتا اتا دردناک و سخته کار بییه	that was painful and difficult for him.	It was painful and painful.
عذر خوامبه که ته ره لای جا بکشیمه دیا	I'm sorry I've dragged you out of bed.	I'm sorry I dragged you here.
این گدر برسییه که تو کناره گیری هکنی	it's time for you to step aside.	It's time for you to step aside.
هچ را مه واسسه امکان ناشته	as I could not possibly have done	I couldn't do anything about it.
شک نارمه که ونه بد بمردن باعث بییه	I have no doubt that it led to his tragic end.	I'm sure it's the cause of his death.
اون گدر به این خیال که دز بییمو تَش کَله سخ ره بیته	when he got the poker in case of burglars	Then he thought we were thieves, and he was furious.
کرند اسب ره ینه مه خدمتکار و مه هم قطار فرمون هدا	ordered the sorrel nag, my fellow servant	she ordered the train for me and my crew.
البته فقط ات تا رسمی سلام علک	that they had never gone further than formal greetings	Of course, only a formal greeting.
خواسسه دله بوره در ره دله وری دوس بدییه	but the bolts were in place.	He tried to climb out of the room and into the living room.
من خشالمه که و خاره موقع دگرسسه	I'm glad she got back in time.	I'm glad he's back in time.
ولی مه گمون گناه این بدبختی، همه دره مه گردن	but I take all the blame upon myself	But I think it's all my fault.
زود ونه جا چش ره بیتا وره نشا	looked quickly away.	He soon took his eyes off her.
پدیار اسا از سیو به رنگ خاکستری در بییمو	the forest was gray now instead of black.	I think I've gone from black to gray now.
این کار اما ره تنبل و سس کنده	which disposed us to sloth	But that's for your laziness and arrogance.
که این وال ره جوری هکرده که اینتی ترس ایجاد هکنه	that so much invested the whale with natural terror	That made this whale so much more frightening.
