source	reference	translation
چوار سات وەی حاڵەو ئەو سەر بردم.	I was four hours under these circumstances	I woke up four hours later.
شەۊ و شواڵ چوارخانە لە وەر	in plaid frock and trousers.	Four pairs of trousers and trousers.
نیەیلم هە لێوا بنێ باێ	I won't let it end like this.	I don't want to keep it that way.
تەقەلا ئەڕای ئەوڕەسین لە مەبەست کەیوانوو	trying to grasp the old lady's meaning	endeavouring to attain the desired object.
کاغەزەگە گردەو کرد.	he picked up the paper.	He folded the paper.
هاتێ تواسۊد ئەڕا هەمیشە خوەێ بخنکنێ.	she might be required to sink herself forever.	Maybe he wants you to laugh at him forever.
وە قەسەم و قورئان نا ملم.	he ordered me in with an oath	I swear by the Qur'an.
هە وە ڕاسی، ئەو دیل کریاۊد.	so truly was he captivated.	In fact, he was heartbroken.
وە دەنگێ زبر لە سترس و ڕخ پرسیار کرد.	she asked, her voice rough with stress and fear.	He asked in a trembling voice.
وە ئارامی خوەم لە بان وێرزنگەیلمەو بەرزەو کردم.	I raised myself gently upon my knees	I lifted myself gently from my pillow.
وەی حاڵەو کول دووخەیل دەور وەر لەو ساتە چمانێ لێوا نیشان دەن کە ئەو کارە کردیە.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	And yet, all the people around him at that moment seemed to think he had done it.
م زۊ ئێ هۊرە خسمە ناو سەرم و هەڵبەستەیلێگ وتم.	I immediately turned this thought over in my head, creating lyrics.	I immediately put the thought into my head and said a few words.
فکر یە گ ئەوە مداڵ زێڕ ڕەقێ بۊە.	thinking that it was a medal of solid gold	The idea was that it was a gold coin.
ئەمانێگ م فرە داخم هات ئەڕایان.	but I felt so sorry for them	But I'm very sorry about that.
م فرە ژیان دووس داشتم، جی شەرمەزارییە.	I've loved life too much, shamefully much.	I loved life so much that it's a place of shame.
ئەمانێگ وە گامڵەکیەو لە ناوێن بووسانەو خزیەن، و تەنیا وە تەقەی تفەنگ وە یەکەو کە فرەیێگ لە زینەگان چووڵەو کرد، هەبۊنیان ئاشکرا بۊ.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But they were buried in a mass grave, and their presence was only revealed by the sound of gunfire that shook many lives.
چۊ پیاێ کە هووکارە بۊەسە ئەوجوورە تەمرینەیل ژیمناستیک.	like a man accustomed to that kind of gymnastic exercise	How did a man who practiced this kind of gymnastics learn?
گۊە تەکانن لە شوونپای ساڵەیل	listening to the echoing footsteps of years.	They listened to the footsteps of their ancestors.
م تەنیا تواێ ئێ خانمە بۊنم.	I must see the lady.	I just need to see this lady.
وە باوەڕ ت، ئەو ئایەم لێهاتیێگە.	he struck you as being pretty handy.	In your opinion, he's a genius.
ئەمانێگ ئەو دۊر لە دەسڕەسێ ئەمنۊ.	but it was safe out of his reach.	But he was out of harm's way.
گشت خەیاڵەیلم لە دەس دامە.	I have lost all my illusions.	I've lost all my imagination.
ئیسە گشتیان بێ دەنگ، خاوەنەگانیان یا مردێ یا دەرچێ.	all of them silent now, their owners dead or fled.	Now they were all silent, their masters were dead or gone.
وە زۊییش تمام واز بۊ.	it soon stood wide open also.	He soon gave up.
وە دڵنیاییێگ لەناکاو و ساردکەرەوە زانسم کە یە دۊا ساڵ منە.	I knew with sudden, chilling certainty that this was my last year.	I knew with a sudden and chilling certainty that it was my last year.
دەمم بەسۊم.	I kept my mouth shut.	I shut my mouth.
ئیمە هێمان هایمنە ئەو جیە گ بۊمن.	we're still where we were.	We're still where we were.
زۊ ڕەسیمەو ئێ کلیلە ئەڕا چەس.	I knew immediately what this key was to	I got this key right away.
سە تۊەنی لێرە دۊرەو بکەفی و تەنیام بیلی.	so you can get the hell away from here and leave me alone.	So you can get away from here and leave me alone.
ئەمانێگ کەس نەوێریا دەسوەردان بکەێ.	but nobody dared to interfere.	But no one dared to interfere.
یا دیا لە سەرێ.	or knocked on the head	or looked at it.
لەورە تا نزیکەیل شەو مەن.	there he remained till nearly nightfall	He stayed there until about midnight.
چمانێ سەردەمانێگ یەێ وراز گەورای کوچگین بۊە.	as though it had once been a large stone pigpen	It's like a cold coming from a big, small monster.
ئەوە ئڕا ئەو وەژان و قورس بۊ.	that was painful and difficult for him.	It was hard work for him.
بووەخشی لە تەخت خەو کیشامەدەو دەیشت.	I'm sorry I've dragged you out of bed.	I'm sorry I jumped out of bed.
کات ئەوە هاتێیە بەیدەو لا.	it's time for you to step aside.	It's time to move on.
هە ئەو جوورە گ نەتۊەنسم ئەنجام بەم.	as I could not possibly have done	Just like I couldn't do.
گومان نێرم گ ڕەسیە ئاخر تراژیک ئەو.	I have no doubt that it led to his tragic end.	I'm sure he'll come to a tragic end.
