source	reference	translation
چار ساعَت هْنجورَه مَندیمَه.	I was four hours under these circumstances	I've been waiting four hours.
شطرنجییَه جْرقَه و شْوارْش دَرییا.	in plaid frock and trousers.	He plays chess and wears a hat.
از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	I won't let it end like this.	I don't like to hear such stories.
خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	trying to grasp the old lady's meaning	He tried hard to understand the old lady's point.
روزنومه میزی وَری کو پیگِتْشه.	he picked up the paper.	He picked up the diary at the table.
شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	she might be required to sink herself forever.	Maybe I'll always have the same beauty in my hands.
فَشینه من فْرمون دوشَه	he ordered me in with an oath	The lightning struck me.
کلاید راس راسَکی اسیر با	so truly was he captivated.	Clyde was trapped in his tracks.
چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	she asked, her voice rough with stress and fear.	What a voice of stress and fear. She asked.
یَواشینَه زونو نَه ایشتیمَه.	I raised myself gently upon my knees	I didn't know that.
با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	Yet all the evidence points to the perpetrator.
ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	I immediately turned this thought over in my head, creating lyrics.	Suddenly, the thought crossed my mind and I put it in a poem.
ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	thinking that it was a medal of solid gold	I don't know where he is.
وَلی خَیلی اَوون را تَسْف هَردْمَه.	but I felt so sorry for them	But I'm very sorry about them.
از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	I've loved life too much, shamefully much.	I'm more than happy to die. I'm miserable.
اما در حالیکو سینَه ویسنِه کرین و نیهالون مینی کو جلو آین و آخْرْنَه‌سَر اشتن تفنگون گولون ایله ویداشتشونَه و اْشْتَن صْفَت دوشونَه و بَدَز اَ ویداشته نی خَیلی از سربازن اسبون زینی سری کو جیر ویلَکینَه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But as the Twenty-First Cranes and the Nephelons rose forward, they finally fell to the ground with their guns in their arms, and they came to their senses, and then they fell to the ground with a lot of cavalry cavalry.
ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	like a man accustomed to that kind of gymnastic exercise	Physical gymnastics is the right thing to do.
زمانی پا صْتا کْرا گوش آکَری	listening to the echoing footsteps of years.	When you listen to the sound of your feet.
از فقط پی اْم یِنَکی بْوینْم.	I must see the lady.	Just to see this one.
اْشْتْه نظر دِرِه نی بدربخوره ادمیه ؟	he struck you as being pretty handy.	Do you think he's a bad guy?
