source	reference	translation
Nika pê hêrişan yeno waştenê ke heme qezencê înan dest ra bêrê girewtene.	Now, these attacks are intended to take away all their achievements	The marriage has begun to unravel the importance of profits.
Çimê mi bîyî pirrî hesirî.	My eyes filled up with tears	My hair is covered in hair.
No zî beno semed ke vîrus vila bibo.	This, too, is the reason why the virus spreads	Don't let the virus infect you.
Hetanî sinifa çarine dewa xo de waneno.	He studies in his village until the fourth grade	They're in fourth grade right now.
Ganî pêro cinîyî xeyalanê xo bîyarê ca.	All women should fulfill their dreams	It reminds me of the fantasy spirit of the day.
Mi zî tercumeyê kirdkî kerde.	And I have translated it into Zazaki	I tried to translate.
Seba ke ciwan vera naye vejîyano polîsî ey wesayîtî ra fînenî dûrî û dest şanenê qirrika ci û erzenî erd.	Because the youth protests against this, the police throws him out of the car, grab him by the throat and onto the ground	The next day, the young man walked away from the police station to find a car and started smoking pot and grazing land.
Ma vînenê ke rayaumûmîye de derheqê bawerîya elewîyan de muneqeşayêko cîyaker yeno kerdene.	One sees that the separatist discussions are made in public concerning the faith of the Alevis	He has also been a vocal critic of the elephant's position in public opinion.
O rî ra kî ê mînetdarê dersimizan ê.	For that reason they are thankful to the Dêrsimis	He'll teach us who's going to be the secretary.
Hetê ra gureya hetê ra kî wend.	On the one hand, he worked, on the other side, he studied	It depends on who you are.
Her diyan sere şanayo pê ke ti vana qey kirmanckî nînan afernayo!	Both of them smashed their heads together as if they created Kirmanckî on their own	Don't go anywhere near the toilet like this!
Welatê ma binê sîyasetê qirkerdişî de yo.	Our homeland is subject to deathly politics	The country is under a murderer's policy.
Wa wendişê mewlidî biancê kamera.	We should record the reading of the Mawlid	He was looking for a camera.
Tena yew qusurê xo esto ke merdim nêeşkeno nuşteyan kopî bikero.	There is only one flaw, one cannot copy the writings	There's no way you're going to make a copy of your notebook.
Ino hereketê ci îsbat kerd ke ez otomatîkman biya serekê grûbî.	His/Her movements proved that I otomatically became the leader of the group	Now the move proved that I was automatically drowning in the water.
Yeno keye ke nîmeyê awe zî nêmenda.	He comes home and not even half of the water is left	It's like you're half-naked.
Ez koma her dîyan a.	I am in both groups	I'm a cross country skier.
Her çî wextê ey esto.	Everything has its time	Wherever there is time.
Eke roşîya nême şima rê nême bidîn ma.	Once sold, half is your, give the other half to me	One afternoon they walked to the middle of the road.
Dima sond dekerna û beyraqe dîrege ra arde war.	Later, he recited the oath and pulled down the flag from the pole	He swore an oath and obeyed the covenant.
Kifş o ke cuye o tayê rew hincirnayo.	It's evident that life has worn him down a bit early	It's good to be back on the sidelines.
Xora qeleme dest de hazir a!	The pen is already ready in hand!	Get your stuff ready!
