source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I woke up four hours later.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	Clean it up and clean it.
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't want it to end this way.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	It's a shame he didn't mean to leave.
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	He took the paper from your desk.
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	The flesh of this beast will be lost forever.
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I've been captured by an enemy.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	Clyde was really into it.
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	"He asked, ""Isn't that clever and clever?"""
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I found peace and strength in you.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	But it turns out that everything and everything about the whale didn't show that he did it.
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I pulled the trigger in my head and pulled the trigger.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	It was as if the gold medal had gone unnoticed.
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	But for the first time in my life, I felt a sense of urgency.
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	It's a pity that I don't love you alive or dead.
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But they put their hands and knees together, and they just grew up with a passion that was too much of a woman's than a woman's.
چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	What kind of a gymnast does that?
وه دنگ پای زمان گۊش اؽڌه	listening to the echoing footsteps of years.	He's been listening to it all this time.
مو فقط وا ئی خانوم نه بڤینوم	I must see the lady.	I can only see this lady.
وه نظر تو هم آڌم وه کار بخوریه	he struck you as being pretty handy.	You think it's working.
ولی سیسرک ز دسترسس وه دیر بی	but it was safe out of his reach.	But he was out of reach.
گشت آرمۊنلم وه دستوم رهڌ	I have lost all my illusions.	I've lost all hope.
صحاڤلسۊݩ یا مورده بیڌن یا فیچسته بیڌن	all of them silent now, their owners dead or fled.	The sailors were either dead or buried.
وه زلی وه ئی لیک کۊچیر رهؽ سی عبۊر واز اؽبۊ	it soon stood wide open also.	It's been a while since we've had this little leaf in our mouths.
یه‌ناگه و وا دلسردی فهمستوم که یو سال آخرمه	I knew with sudden, chilling certainty that this was my last year.	Suddenly and confusedly, I realized that this was my last year.
په دهۊنمه واز نکردم	I kept my mouth shut.	I didn't open my mouth.
ایما هنی همۊچونیم که ویساده بیمۊݩ	we're still where we were.	We're still the same as before.
فۉرا فهمستوم ئی کلیل هؽن کۊچو بی	I knew immediately what this key was to	I soon learned that this was a short key.
په تو اؽتری رهته بگری بری و مو نه تهنا بؽلی.	so you can get the hell away from here and leave me alone.	You have to take care of yourself and leave me alone.
ولی کسؽ جوریت دغالت مؽن ئی کار نه نڌاشت	but nobody dared to interfere.	But there was no one to blame.
یا یو که ناخڌا سرس نه اشکنه	or knocked on the head	Or the one who shook his head.
هو تا مجال ٱفتۉنشینۊݩ اوچو مند	there he remained till nearly nightfall	He'll be there for you until he finds out.
هۊنه بون هو رۊزؽ لهرؽ نه بؽشتر بی	as though it had once been a large stone pigpen	It was as if he hadn't had a day off.
ایو کارؽ زنشت دار و دوشخار بی	that was painful and difficult for him.	He was a hard-working, hardworking man.
بۊهخشین که مؽن جا کشیدومت در	I'm sorry I've dragged you out of bed.	I'm sorry I interrupted you.
مجالشه که دی بکشی کنار	it's time for you to step aside.	It's time for you to quit.
ز ته سیم امکانس نی	as I could not possibly have done	It won't be possible without your wire.
شکوم نی که باعث مرگس وابیڌ	I have no doubt that it led to his tragic end.	It's the glory that caused his death.
وختؽ که وه گمۊنؽ که دوز اویده سیخ چاله نه ڤورگرهڌ	when he got the poker in case of burglars	When they told him he had taken the salt from the pot.
وه اسپ کرند که خزمتکار و دۊست مو بی فرمۊن دا	ordered the sorrel nag, my fellow servant	The sound of thunder and lightning that overwhelmed my servant and my friend.
جلز یه سلۊم علیک رسمی	that they had never gone further than formal greetings	It's like an official seal.
خاس بیا داخول که در ز داخول بسته وابیڌ	but the bolts were in place.	He went inside, which was locked from the inside.
مو سرمست ز یو که هو سر مجال ڤرگشته بی	I'm glad she got back in time.	I wondered if he was on time.
ولی وه گمۊنوم گشت گونا ئی بڌبختی وه نای مونه	but I take all the blame upon myself	But I know I'm not responsible for all this.
یه‌ناگه تی زس ڤرگرهڌ	looked quickly away.	Then all of a sudden, you're back.
دارستۊݩ ایسو ز رنگ شه وه رنگ کۉ وابیڌ	the forest was gray now instead of black.	The color of the rainbow was changed from its original color.
ئی کار ایما نه وه کاهلی اؽواداره	which disposed us to sloth	It's up to us.
که ئی واله ئیقزر زهله بر کرده بی	that so much invested the whale with natural terror	That this whale has taken revenge.
سی یو که دوهڌر چۊپۊنه نڤینه تصمیم گرهڌ ڤی ولات روه	in order to escape from her, he determined to quit the country	Because he hadn't seen her since he was a kid, he decided to leave.
ز حالس ناراضی نبی	her mind had no distaste for her own set	He wasn't happy.
گشت ٱند خوسه ز ڤیر برد	the obligation faded.	He forgot everything.
باڌ هم ٱمۊݩ ندا و گشت زمین و زمانه وه یک رهڌ	I never see the wind blow so.	But it didn't work out that way, and the whole world and time went back the same way.
ولی شازاڌه زس زه وا نها	but the old prince interrupted him.	But the princess was left alone.
وه سی لف بارۊݩ یه‌ناگه تارستن	turned into a rout because of a devastating downpour.	Suddenly, thirty volumes of water came out.
اوچو نه سیکه مؽن آینده هم کلاس درمۊݩ وابۊ مرتڤ کردیمۊݩ	arranged it for the future schoolroom.	We've arranged for him to be in the classroom for the next nine minutes.
مو کشیشوم و ڤا وه هر بهتۊنؽ وه دیر بۊم	I am a priest and therefore I ought to be above suspicion	I've got a priest and I'm late for anything.
هلام وا هو شش پله فاصلَم بی	still lying on the staircase six steps below him.	I was still six feet away.
گشت سه دقه نه سیل وه تورکستن اسپ کرد	watched the horse's action for the space of three minutes	He's been sober all three minutes.
گمۊن کردوم غم و ٱندۊ چیه که آخر وه آڌم دست اؽڌه	but I thought grief was something you felt anyway.	I thought the grief was the end of it.
ز پلکۊن رهڌ وه بالا تا مؽن دالۊن وه درؽ رسی	went up the staircase to a door in a corridor.	From the top of the stairs to the middle of the hallway.
هرچن که سی ایقزر رنز ماجب خۊڤی نگرهڌ	though with but small success for their pains.	Even though he didn't have a good 30 rents.
ایمدۉ وکیلؽ نه بسی کرد تا کارل جڌایی ز هو نه ٱنجۊم بڌه	but sent an intermediary to arrange the terms of the separation	assisted by an attorney to conduct his investigations.
سیکه نهاتر زته ایقر نیازمۊن وه اشتۉ کردن نبی	for I have never had such need of haste before.	It wasn't as bad as it needed to be.
ز دئسۊرؽ که مؽرس داڌ ڤس	at the orders her husband left her	From the place where he was buried.
وا علاقه، نیَشتوم ڤه دۉربالوم، و جاگه بلاجڤی که مؽنس بیڌوم.	look around me with some interest on the strange land that I was in.	With interest, I sat in the back of the room and had a wonderful place to stay.
خۉسیڌ و ری چولچله بردی دراز وابیڌ.	lay down on his back on the heap of stones.	He smiled and lay down with his handkerchief.
هرگش نه قرار بی که هو نه دوڤارته بڤینوم	I was never supposed to see him again!	I was never going to see him again.
منی مجبۊر بیڌن که بئلن که هو، یو نه بگو.	as if they were forced to let him say it.	I was forced to say yes or no.
ڤه همی تفیل بی که زی وَیڌوم سر‌وختت.	that is why I hastened to you.	It's been a while since I've taken your time.
نؽخوم دی در مۉرڌس گپ زنوم.	I don't wanta talk about it no more,	I don't want to talk about it anymore.
وا ڤت هوشڌار بڌوم که گپ‌تر ز ئی تۊ هڌه.	I should warn youit's bigger than this room.	I warned you there was more to it than that.
سی خوس و بچه‌یل یه دویندورؽ إستخڌام کرڌ.	for herself and the children she employed a physician.	He used me as a substitute for his wife and children.
هو کارؽ نه که ترست ٱنجوم داڌ تا جاگه‌یل سر میز شانازی نه تیار واڌاره.	she did everything possible to keep the places at the table of honor in order	He did what he had been afraid of doing to take his place at the table of glory.
پاڌاشؽ سی تو سی خاطر داس.	a recompense to you for his mother!	He remembered his footsteps.
ٱسپسه مجبۊر‌ کرڌ که‌ حرکت کونه و چاردئس نهاڌ ڤه بال ٱۉرۊ.	spurred his horse and galloped into the river.	He forced his horse to move and threw it on his arm.
مو همچنوݩ هی آرنڳ کۊتامه زمزمه إکرڌوم.	I still humming my little tune.	I also cried in the corner of my throat.
پلیشه‌یل ٱخ ناڌن بی مؽن سرس.	ice cubes on her head	He didn't even have a fever on his head.
هو زس إستفۉیڌه کرڌ تا شؽوات کورسه بکشه ڤه در.	she used it to push out her son's photograph.	He used it to look for a chair and go in.
تو تَی خوت گوڌی بی که وا مو یه جر کوچیری بکونؽ.	you reckoned on a bickering!	You asked yourself to do me a favor.
وا ڤه مو لطف کونن و یه تۊ‌ کوچیرؽ بڌن وم.	I should be given a small room as a favor	If you'll excuse me and give me a chance.
ز یه گوله یا چکۊ خطرناک‌تر.	than either a bullet or a knife.	It's more dangerous than a bullet or a stick.
هر کسؽ که یه کرت تومسه بنیَره.	once you've had that first taste	Everybody's got to stop crying.
یا پلرڌ سی ڤه دئس ٱڤورڌن یه ساعت خۉ یا هم بؽشتر.	or trying to snatch an hour or so of sleep	Or the age of thirty and the length of an hour or more.
ڌقؽقا منی یو که هیچ تفاقؽ نَڤَسته.	just as if nothing had happened.	I'm sure there was no accident.
مؽن تقلا کرڌݩ، هم پۊس و لڤاسل تا جڌی دِئرِئسن.	tearing both skin and clothes to some extent in the effort.	In the midst of the struggle, both the skin and the clothes lasted for a while.
وا گشت رۊزل زنده‌ییمه وا زئمت و عذۉ بگوڌردنوم.	I shall have to toil and moil all my days	I'll live to tell you the truth every day.
یو دئس پیائؽ هڌه که وَیڌه مؽن زنده‌یی نۊئؽ و نهاتر ز یو که ڤورگرڌه واپوشت، إمیره.	it's the hand of a man that's started in on a new life, and'll die before he'll go back.	It's a man's hand that he didn't see alive, and he's worse than the one he picked up.
پلرڌسه کرڌ تا کسؽ نتره هو نه خوره.	as earnestly tried to prevent any body's eating it.	He turned his face so that no one was afraid to eat him.
مو واقعا نه مؽن درڌسروم تا اوسو که اٛسپیڌی تیاسوݩ نه بڤینوم.	I'm not really in trouble until I see the whites of their eyes.	I really don't want to go to bed until I see you're crying.
تی‌ره نبیڌوم که خوم بۊم.	I hadn't expected to be myself.	I didn't ask you to be mine.
سی‌که، وا یو که هو فقط هشت سالس إکرڌ.	for, although she was only eight years old	Because he was only eight.
هر دوتاسوݩ نؽترئسن ٱول بۊن، سی که نرڌڤون فقط إترست مؽن یه زمان یه نفر نه واڌاره.	both of them could not be first, for the ladder would but admit one man at a time.	They were both fearless, fearless, and fearless, as if they were only fearful of one another at a time.
هیچ چیؽ غیرا هستخونل اوچو نبیڌ.	naught was there but bones.	There was nothing left of the orchard.
وا نۉاومؽڌی، دۉربال میز نه إنیَروم.	I look helplessly around the table.	I looked around the table in despair.
تاحتی مؽن دیسه‌یؽ که مؽن زندوݩ بی هم نه.	not even the length of time he had been imprisoned	It's like he's in the middle of nowhere.
هو نه کَشونڌن مؽن هونه.	dragged him to the house.	He's not going to die.
تو نفر ٱولؽ هڌی که ره إبری.	you'll be the first to know.	You're the only one who knows.
ڤه تو گوڌوم که‌ مو مولا نؽڌوم.	I told you I ain't no preacher	I told you I didn't own it.
