source	reference	translation
مۊ أن-أ سٚفارش بۊکۊدم	I have advised him to do that.	I've been on-and-off.
مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	I want the truth, the truth!	I'm going to be a real-A real-A real-A!
مي گۊلي-أ پخ بزئم	I cleared my throat.	I picked up my flower.
اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	but I am always fond of children.	First of all, I love children.
وانمائي مأنستن کي بام ٚ جؤر نهأ	you're like the weather cock on a roof.	It's like they're trying to figure out who's in charge of the roof.
خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	stood, livid and trembling, before us.	He put himself in his place and washed his face and threw his tears at us.
سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	went up the hill and out of sight.	He put his head back on his shoulder and leaned on my shoulder.
زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	even as the hairs on my arms began to shrivel.	When he put my hand on my pocket,
مي سرأ بشادم	I shook my head.	I shook my head.
هسأ همتتأ چي مرأ واضح بخاطر بامۊ	I can remember it vividly now	Now I remember everything clearly.
خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	he put his hand up to his forehead.	He stretched out his hand and put it on his forehead.
مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	I raised one hand to halt his apology.	I grabbed his right hand to apologize to him.
ایتأ دۊتأ پیله آه بکشي	gave a long gasp or two	You're going to have to kill a lot of girls.
مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	I don't set up to be one of those men that don't care about women.	I'm not saying I don't look like a woman among men.
بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	I thought it might be important.	I thought it might be useful.
خاطرجمائي ناشتيمه تۊ بيبي	I wasn't sure it was you.	I didn't mean to tell you.
نۊقره ای آچارأ خؤ جیف ٚ جأ بيرین بأوۊرد	took a silver key from his pocket	Suddenly, he pulled a key out of his pocket.
ولي هلماله سۊمأ زؤرأ نأره	but hasn't got any magic powers.	But it still hasn't worked.
سيأبختي پاپرۊس ننأ	I'm afraid there are none.	Fortunately for him, it wasn't papers.
چۊن ناخؤش بؤ.	because she had been ill	How unpleasant it was.
خؤ عازمأ جزمأ کۊده	for he had made up his mind	He tried to hide himself.
مزایأ سرأ گیفتن	the racers started.	It's worth the trouble.
نهايي ضربۊ واقئيت ٚ جأ اۊن ٚ دس نهأ	has the last featuring blow at events.	He finally put the truth in his hands.
آلبت ایتأ دۊتأ اۊشان-أ تفریح وأسي رأ تاوده	I doubt if he's gotten that far yet in fact, I'm sure of it.	Apparently, one of their daughters came for entertainment.
سرأ گیفت شعرانه حیفظ-أ کۊدن	went to work to get his verses	They kept their poems in their pocket.
اۊن ٚ ناقۊشي چاقأ کۊدن ره اۊن ٚ أمرأ شيريک بۊبۊست.	be represented as a partner in his own cure.	It was a mistake on his part to make him angry.
روٚقد نأرمۊ	I am out of spirits.	I wasn't feeling well.
هني بنماست کي کي واخاب نيه ایتأ گل اۊیأ ايسأ	to avoid betraying that he knew she was about.	He explained to her who he was and who he wasn't.
شيمي اطلاعات نيشان دیهه کي خؤرم ٚ زأک ؤ ذات ٚ خۊش بۊ	if it had been favourable to the boy.	You'll find information that will inform you of the child's well-being.
حتأ ایتأ پئلي أن ٚ لیواس جيرأ تکان ندأ بۊ	had not so much as altered one angle of his vest.	He didn't even move a line of cloth.
راستؤف اۊ قضيه پٚسي دئه خؤ خانواده ٚ داشت ؤ دارائي اۊمۊر ٚ جأ خؤرأ وانسي	said he to himself, and after that he did not meddle in business affairs.	It was really a family affair, and it was a family affair.
یاواشيکه بيشئم خؤرؤم بار ٚ مهمانانه ورجأ ؤ ایتأ دۊتأ ايستکام وۊکۊشئم بۊجؤر	I sneaked off to the private bar to have a pint or two before dinner.	I'm going to go slowly to the guest room and pick up a baby girl.
هتؤ کي ساغ ٚ جان ٚ مرأ جه ایأ دۊوارس ترأ گؤیم	I'll tell you as soon as she's safely away,	As soon as I saw my mother's right hand on the other side of the door.
مۊ أن-أ نۊبۊردم اؤیأ کي أن-أ بۊکۊشم	I didn't go upthere with her with any intention of killing her.	I didn't know who to kill.
