source	reference	translation
چوار ساعەتێ پی بارودۆخوە سەرم کەرڎەبێ	I was four hours under these circumstances	I realized it four hours ago.
گجییە کوڵ و پاتۆڵێ شەترەنجیش کەردەبێنە	in plaid frock and trousers.	He's wearing a red bracelet and a full-bodied hat.
من ئیزن نمەڎو کە ماجەرا پی جۆرە تەمام بۆ	I won't let it end like this.	I'm not willing to end this kind of adventure.
هەوڵش دا کە قەسدو خاتوونە پیرەکێ دەرک کەرۆ	trying to grasp the old lady's meaning	He tried to open the old lady's mouth.
ڕۆژنامەکەش جە لاو مێزەکەینە هۆرگێرت	he picked up the paper.	He picked up the paper from the side of the table.
شایەد ئی کناچێ عالێ پەی هەمیشەی جە دەس بلۆ	she might be required to sink herself forever.	Maybe he'll lose this beautiful girl forever.
بە جمانیوە هەڕەشەیی دەستوورش دا پەنەم	he ordered me in with an oath	He ordered me to take refuge in a threatening situation.
بەڕاسی کڵاید ئەسیر بیەبێ	so truly was he captivated.	Clyde was really upset.
ساش جە ئسترس و تەرسینە وشک بیەبێ و گیریابێ. ئاو پەرساش	she asked, her voice rough with stress and fear.	His eyes were drowned in fear and starvation.
یەواش بە زۆرو زانویم هۆرستانی	I raised myself gently upon my knees	I've got to get up to speed.
پی حاڵە تەمام شواهێدی کە هەن جە جۆرمو ئاوی حکایەت مەکریۆ	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	But there's plenty of evidence that this kind of story doesn't exist.
زوو ئی فکرامە جە زهنیم گێڵنایم و شعرم وەش کەرد	I immediately turned this thought over in my head, creating lyrics.	I soon forgot the idea, and wrote the poem.
پی گومانە کە مداڵەکێ جە تڵایە ناب و عالی مۆنێ	thinking that it was a medal of solid gold	He doubted that it would be a good idea for him to leave the room.
بەڵام فرە پەیشا ناڕەحەت بیانی	but I felt so sorry for them	But he was very upset.
من زندگیم فرە وەش گەرەکەن. بۆبەختی ئینەنە.	I've loved life too much, shamefully much.	I love life so much. It's good luck.
بەڵام جە حاڵیە کە سەرو دەسا و زانویشاوە خزێنێ جە لێو گیاوەکانە لوێنێ وەروە بە تەقناو هەمزەمانو تفەنگەکاشا حوزورو وێشا ئێعلام کەرد و دماو تەقناو تفەنگی فرەیە جە سەروازەکا سەرو ئەسبەکەیشاوە کوتێرە واری.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But when they went from their hands and knees to the mouths of the grass, they warned against the continuous firing of their guns, and they fired a lot of guns from the soldiers on their horses.
پسۆ ژیمناستیک کاریە کە پی کاریە عادەتش هەن	like a man accustomed to that kind of gymnastic exercise	It's like a working scientist who's accustomed to it.
گۆش گیرتەی جە دەنگدانەوەو هەنگامەکا ساڵانی	listening to the echoing footsteps of years.	Listen to the annual vote.
مشۆم خانمەکؽ وینو	I must see the lady.	I need to see the lady.
ئاﮆ پسە کەسێ یارمەتیدەر دیار بؽ پەیت	he struck you as being pretty handy.	He'll be your obvious accompanist.
بەڵام دوور سڵامەت بؽ جە دەسش	but it was safe out of his reach.	But he was far from greeted.
من گرد وەهمەکؽ جە دەس داینؽ	I have lost all my illusions.	I lost my hat.
ئؽسە گرد بؽدەنگؽنؽ خاوەنەکؽشا یا مەردؽنؽ یا ڕەماینؽ	all of them silent now, their owners dead or fled.	Now they were all silent about their master's death or their escape.
فرەش نەبەرد بە هەمان شؽوە بە فراوانی کریاوە	it soon stood wide open also.	It didn't take long for it to spread over the same night.
ناکایێنە و بە دڵ سەردی زانام ئینە دماین ساڵەو منەنە	I knew with sudden, chilling certainty that this was my last year.	Suddenly and heartbrokenly, I realized this was my last year.
دەمم وستەبیرە	I kept my mouth shut.	I shut my mouth.
ئیمە هیشتای ئینایمؽ چا یاگؽنە کە چەنەش بؽنمؽ	we're still where we were.	We were still waiting to see him.
یەکسەر زانام ئی کرؽڵە پەی چیشیا	I knew immediately what this key was to	I knew what that cry was for right away.
پەوکای تاوی جەحەنەمەکەی دوور وزیۆو من تەنیا جیا بازی	so you can get the hell away from here and leave me alone.	He left me alone in the furnace of hell.
بەڵام کەس نەیارؽ دەسش وەردۆنە	but nobody dared to interfere.	But no one was willing to touch him.
یان دانشا سەرەیش	or knocked on the head	Or put it on his head.
چاگە تا نزیکەو شەوی مەنۆ	there he remained till nearly nightfall	He stayed there until about midnight.
پسە ئانەی کە ڕوێ بەزارێ تەوەنی زلەش بیەبۆ	as though it had once been a large stone pigpen	It's like he's been hit by a car accident.
کە پەی ئاﮆی بە ئؽش و قورس بؽ	that was painful and difficult for him.	It was hard on him.
داواو عەفوؽ کەرو کە تۆم دلؽ یاگەکینە ئاردی بەرۆ	I'm sorry I've dragged you out of bed.	I'm sorry I brought you out of bed.
کاتو ئانەینە کە وازباری	it's time for you to step aside.	It's time for him to leave.
کە نەتاوام کەروش	as I could not possibly have done	I couldn't do that.
گومان نیا چانەینە کە ئینە بؽ بە هۆو ئانەی کۆتایێ تراژیدیش ب	I have no doubt that it led to his tragic end.	I doubt it was because it had a tragic ending.
کاتێ پۆکەرەکەش کەیس و دزەکانە دەسکەوت	when he got the poker in case of burglars	When the porter took the case with the thieves.
ڕەفیقە خزمەتکارەکەم فەرمانش بە سۆرێل ناگی کەرد	ordered the sorrel nag, my fellow servant	My servant's friend ordered the sun to set.
کە هەرگیز جە سڵامی فەرمی زیاتەر نەلاینؽ	that they had never gone further than formal greetings	That you'll never get more than a formal greeting.
بەڵام بتڵەکؽ یاگؽ وؽشانە بؽنؽ	but the bolts were in place.	But the bottle was empty.
وەشحاڵەنا کە گؽڵایۆ پەی کاتو وؽش	I'm glad she got back in time.	I'm glad he's back in time.
بەڵام گرد و تاوانەکەی وزو ملو وؽم	but I take all the blame upon myself	But I've been guilty of it all my life.
بە خؽرای تەماشەو دووریش کەرد	looked quickly away.	He looked at it from a distance.
دارستانەکە ئؽسە جیاتی سیاوی خۆڵەمێشی بؽ	the forest was gray now instead of black.	the forest had now been replaced by a gray grass.
کە ئیمەش وستیمؽ تەمەلی	which disposed us to sloth	That we've heard it all the time.
کە وەربهێنانش کەردەن نەهەنگەکەنە بە تیۆری سروشتی	that so much invested the whale with natural terror	That the whale's perception of the whale is consistent with the theory of nature.
پەی ئانەی جە دەسش ڕزگارش بۆ بڕیارشدا وڵاتەکەی جیابازۆ	in order to escape from her, he determined to quit the country	To save him, he decided to leave the country.
مەژگش قینیش جە کۆکراوەکەو وؽش نەبؽ	her mind had no distaste for her own set	He didn't have a grudge against the collection.
پابەندبیەکەی کاڵ بیۆ	the obligation faded.	He's done what he's been told.
هەرگیز نەدیەنم وا پؽسە ورکەرۆ	I never see the wind blow so.	I've never seen him ask that question before.
بەڵام شازادە پیرەکە قسؽش بڕیە	but the old prince interrupted him.	But the old prince stopped speaking.
بە هۆو وارانێ فرەو ویرانکەریۆ بی بەهۆو شکستی	turned into a rout because of a devastating downpour.	It was devastated by heavy rains and collapsed.
ڕؽکوستەیش پەی مەکتەبو داهاتوی	arranged it for the future schoolroom.	He plans to attend the next high school.
من قەشەنا پەوکای مشۆم سەروو گومانیۆ بوو	I am a priest and therefore I ought to be above suspicion	I'm going to have to raise my doubts.
هیشتای سەرو پلەکانەکاوە شەش هەنگامؽ وارو وؽشۆ پاڵکەوتەن	still lying on the staircase six steps below him.	He leaned six steps to the top of the stairs.
یەرؽ دەقؽ تەماشەو جوڵەو ئەسپەکەیش کەرد	watched the horse's action for the space of three minutes	He watched the horse's movement for three minutes.
بەڵام ئەجیامەنە خەم چؽوێن کە تۆ هەستش پەنەکەری هەر نۆعێ ب	but I thought grief was something you felt anyway.	But I'm sorry you feel that way.
جە پلیکانەکاوە وروەست پەی بەرێ ڕاڕەوەکەی	went up the staircase to a door in a corridor.	He went up the stairs to the entrance of the hallway.
هەرچنە سەرکەوتنەکؽشا کەمتەرؽ بؽنؽ جە زەحمەتەکاشا	though with but small success for their pains.	Although their success was less than difficult.
نێوەندگیرێش کیانا پەی ڕؽکوستەو مەرجەکا جیابیەوەی	but sent an intermediary to arrange the terms of the separation	He left the intermediate to negotiate the terms.
چونکە وەڵتەر هەرگیز پێویستیم پی پەلەکەردەیە نەبیەن	for I have never had such need of haste before.	Because I've never had to hurry before.
بە فەرمانو پیاکەیش جیاش ئاستەن	at the orders her husband left her	They were separated by order of their husbands.
بە بایەخۆ تەمشاو دەورو بەریم کەرە سەرو ئا زەمینە نامۆیۆ کە چەنەش بیەنا	look around me with some interest on the strange land that I was in.	It's worth taking a look around at the strange land I've brought with me.
پەشتیەرە سەرو بەعزێ تەوەنا کیشیا	lay down on his back on the heap of stones.	He leaned his back against some of the rock.
نە ئەبیێ جارێ تەر وینایام	I was never supposed to see him again!	I never saw him again.
پسە ئانەی کە ناچارؽ با ڕاشاداپەنە کە واچۆش	as if they were forced to let him say it.	So that you have to let him know you're saying it.
وارو ئانەی پەلەم کەرد پەی لا شمە	that is why I hastened to you.	I hurried you to my side.
گەرەکم نییا ئیتر باسش کەرو	I don't wanta talk about it no more,	I don't want to talk about it anymore.
مشۆم ئاگادارت کەروە کە ئینە گەورەتەرا چی ژووریە	I should warn youit's bigger than this room.	I have to let you know what room this is.
پەی وؽش و زاوڵەکاش دکتۆرێش مەرزنارە	for herself and the children she employed a physician.	He has to find a doctor for himself and his family.
گر هەوڵێ وؽش دا پەی ئانەی یاگەکا سەرو مؽزەو ڕێزلێنانەکەیۆ بە ڕؽک و پؽکؽ بازۆوە	she did everything possible to keep the places at the table of honor in order	He tried to put her on the honor table with a smile and a smile.
ئینەیچ پاداشتێ پەی ئەﮆاو ئاﮆی	a recompense to you for his mother!	It's a reward for his parents.
هان و ئەسپەکەیش دار و لوا پەی لا ڕووبارەکەی	spurred his horse and galloped into the river.	He took the horse and rode to the river.
من هیشتای ئاوازە گولانەکەیم مژەنو	I still humming my little tune.	I'm still playing the bass.
پارچە سەهۆڵ سەرو سەرەیشۆ	ice cubes on her head	He had a piece of ice on his head.
