source	reference	translation
ڤە ئێ دووخا چوار ساتم بردە سەرێر.	I was four hours under these circumstances	It took me four hours to get up.
نیمتەنە و شاواڵ شەترەنجی کردۊتێ ئەێ ڤەر	in plaid frock and trousers.	He was wearing a jacket and a pair of trousers.
م نمەیلم ماجراکە ڤە ئێ شێوە تەمام بوو	I won't let it end like this.	I don't want it to end like this.
ئەر یە بییە گ نێیەت ئە ژەن کەڵنگە دەرک بکەێ	trying to grasp the old lady's meaning	If you can't, throw the big woman away.
ڕووژنامە ئەێ پەلۊ مێزە هێز داتێ	he picked up the paper.	He put the paper on the table.
هایتێر ئەڕا هەمۊشە ئێ دت نازارە ئەێ دەس بچوو	she might be required to sink herself forever.	Maybe he's going to lose this beautiful girl forever.
ڤە دوشمین و هەڕەشە دەستوور دامێیە بێن	he ordered me in with an oath	He ordered them to attack me with hostility and threats.
سە ئەو ڤە ڕاسییا ئەسیر بۊ	so truly was he captivated.	So he was really upset.
یاواش ڤە زوور زانی هێز گرتم	I raised myself gently upon my knees	I got up slowly and forcefully.
ڤە ئێ حاڵا هەر چەێ شەواهد و قەرائن بی نیشانە میاێ ئەو موجرمە	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	In this case, all the evidence was a sign of the disease.
دەرجا ئێ فکرەلە ڤە نام زەێنمەێرە گێرداننم و شعرم سازی	I immediately turned this thought over in my head, creating lyrics.	Then I put those thoughts in my heart and made them into poetry.
ڤە ئێ گومانە گ مداڵە ئەژ زەڕ بێخەوشە	thinking that it was a medal of solid gold	with the suspicion that the gold standard was unsatisfactory.
ئەمانێ فرە ئەڕا یەون ئاخ و داخم کرد	but I felt so sorry for them	But I'm very sorry about this.
م ژیاین فرە دووسە مەێرم، بەدبەختی هەر یەسە	I've loved life too much, shamefully much.	I don't like life, that's for sure.
ئەمانێ ڤە حاڵێکەێرە گ لەمەسوڕکییان بی، دەس و پاوانە مییا، ڤە ئەژ لاوەلا چوروو و بتە مەهەتنەو نووا. ڤە ئاخرەێر کول ڤە یەکا گولەوان تەقان و حوزوور وژان ئاشکراوا کرد. ڤە دوما ئە گولەتەقاننەلە فرەهان ئەژ سەربازەل ئێ سەر زێن ئەسپلەوان کەتنە هوار.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But when they were engaged, their hands and feet fell from behind them, and they came back again. Eventually, they all shouted and shouted, and then they shouted and shouted, and then they shouted and shouted, and then they shouted and shouted, and then they shouted and shouted, and then they shouted and shouted, and then they shouted and shouted, and then they shouted and they shouted and they shouted and they shouted and they sho
جوور ژیمناسیککارێ گ هووکارە ئێ کارەسە	like a man accustomed to that kind of gymnastic exercise	It's like a scientist who's doing it.
گووشە میاێ ئەر دەنگ شوونە پا زەمان	listening to the echoing footsteps of years.	He was listening to the sound of footsteps.
م فەقەت مەێ ئێ ژەنە بۊنم	I must see the lady.	I just want to see this woman.
ئەێ تونێرە ئاێم دەردبهوەرێکە	he struck you as being pretty handy.	It's my power. It's my power.
ئەمانێ سووسک ئەێ دەڕەس ئەو دۊر بی	but it was safe out of his reach.	But his tail was too far away.
گشت ئاوەخت و ئارزووەلم دریاوە ڤارا	I have lost all my illusions.	I've had enough of it.
ساێلەوان یا مردۊن یا هەیواوین	all of them silent now, their owners dead or fled.	The sailors were either dead or gone.
ڤە زۊیی ئێ توڕەکونا گوجەرە، ڤە شێڤە ڕێ ئەڕا ڕەدبین گورج بییەور	it soon stood wide open also.	Soon the fury will be quenched, and the path of rebellion will be opened.
ڤە یەێ قەتئییەت ناهەڵمانە و دڵسەرداکەرێ فەمیم گ یە دوماێن ساڵ منە	I knew with sudden, chilling certainty that this was my last year.	With this unexpected and heartwarming decision, I realized that this is my second year.
سە دەم وژمە بەسریا هیشت	I kept my mouth shut.	So I put my face to it.
ئیمە جارێ هایمن ئەر ئە جاێ گ هووسیاویمن	we're still where we were.	We're back where we left off.
دەرجا زانستم گ ئێ کلیلە هن کوو بی	I knew immediately what this key was to	I immediately figured out where this key was.
سە تو مەتۏنین سەر ڕێ وژت بگرین و من ڤە تەنیا بیلین	so you can get the hell away from here and leave me alone.	So you can't go your own way and leave me alone.
ئەمانێ کەسێ زەڵە دخاڵەت ڤە کارەێرە نیاشتێ	but nobody dared to interfere.	But no one was willing to interfere.
یا یە گ ناخودا سەرە مەشکنتێ	or knocked on the head	Or that it's inside your head.
ئەو تا نزیکەل ئێوارە ئەر ورە مەن	there he remained till nearly nightfall	He stayed there until about midnight.
گ ساخمان ئەسڵییە ئەوە، یەێ ڕووژێ لانەهۊ کوچکێنێ بی	as though it had once been a large stone pigpen	That his real dream was to have a baby one day.
یە کار سەخت و پڕ ژانێ بی	that was painful and difficult for him.	It was hard work and pain.
داخم ئەڕا یە ئەێ توو جاکەت ئاوردینمەێرە	I'm sorry I've dragged you out of bed.	I'm sorry I brought you that jacket.
گ ڤەخت ڕەسییەسێ تو کنارەگیری بکەین	it's time for you to step aside.	When it's time to expel you.
ڤە هۊچ شێوەێ ئمکانم ئەڕان نیاشتێ	as I could not possibly have done	I didn't give him a chance.
شەک نەێرم بیتێیە بائس ئە مردن ژەڵاوێنە	I have no doubt that it led to his tragic end.	There's no doubt that death is inevitable.
هەنێگ ڤە خێاڵ یە گ دوز هەتێیە و سێخ شوومینە بردێیەسێ	when he got the poker in case of burglars	Suddenly, he realized that the salt had been brought to him and he had taken it with him.
ڤە ئەسپ کرند یانێ خزمەتکار هامکار من دەستوور داێ	ordered the sorrel nag, my fellow servant	He ordered this large horse from my employer.
ئەڵڤەتە تەنیا یەێ سڵامەلەیک ڕەسمی	that they had never gone further than formal greetings	Of course, only an official greeting.
گستێ بچوو ئەو نام دیتێ دەرە ئەێ ناما بەسیایە	but the bolts were in place.	His little face was locked on the door.
م خوەشاڵم گ ئەو ڤە مەوقە هەتێیەسا	I'm glad she got back in time.	I'm glad he came to this conclusion.
ئەمانێ ڤە گومانم گونا ئێ هەمکە بەدبەختییە ها مل منەێرە	but I take all the blame upon myself	But I'm sure I'm responsible for all this.
دەرجا چەم ئەژ ئەو هێز داێ	looked quickly away.	Then he took his eyes from her.
جەنگەڵ ئیسکەتە ئەژ ڕەنگ سێ بییەسە ڕەنگ بۊلی	the forest was gray now instead of black.	The jungle was three-colored.
ئێ کارە ئیمە ڤادارە تەمەڵییە مەکێیا	which disposed us to sloth	That's what makes us nervous.
گ ئێ ڤاڵە، تا ئێ ئەندازە کردۊتێیە ماێە ترس و ناسا تەبیعی	that so much invested the whale with natural terror	which, however, had so far aroused his fear and natural awareness.
ئەڕا یە گ دی دتەکە نەونێ، شوونە تەسمیم گرتێ ئەژ ڤەتەن بچووئەڕیا	in order to escape from her, he determined to quit the country	I decided not to talk to him because he didn't see her.
هۊچ ئەژ دووخ وژ ناڕازی نەوی	her mind had no distaste for her own set	He didn't have any complaints about his mother.
تەعەهود وژ ئەێ ڤیرا بردێ	the obligation faded.	He forgot his promise.
ڤاێژ ئەمان نیاێ و زەمین و زەمان ڕشانێ ئەێ یەک	I never see the wind blow so.	It's not about us, it's about the earth and the earth.
ئەمانێ شازادە ئەژ ئەو کەتەو نووا	but the old prince interrupted him.	But the prince refused.
ڤە سانگە ڕەگبار تون و ناهەڵمانێکا پشکیا	turned into a rout because of a devastating downpour.	It was broken into a thick, hollow rock.
ورەلە ئەڕا یە بانان بووە کڵاس دەرس ئیمە ڕێکم ئاوردئرا	arranged it for the future schoolroom.	I arranged for our class to open soon.
م کشیشم ڤە مەی ئەژ هەر سووئزەنێ دۊر بوم	I am a priest and therefore I ought to be above suspicion	I'm a priest, and I'm not afraid of any kind of burning.
هالی شەش پلە ڤەگەرد «هەری» نامتاقان بی	still lying on the staircase six steps below him.	still six degrees of difficulty.
س دەقە تەمام چەم دۊرانێیەر هرەکەت ئەسپە	watched the horse's action for the space of three minutes	I've been watching your horse for the last three minutes.
