source	reference	translation
همینتی چار سات سر هکردمه.	I was four hours under these circumstances	That's what I did for four hours.
کل جمه و چارخونی شلوار دپوشی بییه	in plaid frock and trousers.	He was wearing all his underwear.
من نلمبه که ماجرا اتی توم بوه.	I won't let it end like this.	I'm not going to tell you this.
کوشش هکرده پیرزنای رای ره بفهمه.	trying to grasp the old lady's meaning	He tried to understand the old lady's voice.
روزنومه ره میز کنار جا بیته.	he picked up the paper.	My diary was on the table.
ولکه این نازنین کیجا درسسی از دس بوره.	she might be required to sink herself forever.	Rather, it's about losing this beautiful girl.
با ات تا فاش مه ره فرمون هدا.	he ordered me in with an oath	He ordered me to come with a package.
راسسی راسسی کلاید اسیر بیی بییه	so truly was he captivated.	Clyde was actually captured.
ونه گلی از ترس خشک بییه و بهیته. و بپرسییه	she asked, her voice rough with stress and fear.	His face was dry and frightened, and he asked.
یواش یواش لینگ رهی هکردا راس بیمه	I raised myself gently upon my knees	I got up and walked slowly.
با این حال درس همه چی شاهدی دننه که و مجرم بییه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	And yet, in everything, he testified that he was a criminal.
اندریک یان فکرا ره شه سر بگردندیما ات تا شعر بساتمه	I immediately turned this thought over in my head, creating lyrics.	I wrote a verse for my reflection.
با این گمون که مدال اصلِ طلای جا هسسه	thinking that it was a medal of solid gold	Even though it's supposed to be the golden rule.
ولی وشون واسسه خله متاسف بیمه	but I felt so sorry for them	But I'm sorry about them.
من دیین ره خله دوس دارمه. بدبختی همینه.	I've loved life too much, shamefully much.	I love to see. That s misery.
اما همتی که شه دس و لینگِ جا ساخه سو کردنه و بوته لا به لا پیش اییمونه سرآخر هنتی تفنگ جا شلیک کردنا نشون دانه که در اننه با اون شلیک هم خله از سربازون شه اسب زین پشت جا پایین جر دکتنه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But when he wiped his hands and legs and moved to the front, he finally opened the gun and showed that with that gun, he shot a lot of soldiers from behind his horses.
زیمیناستیک کار جور که به این کار خو هکرده	like a man accustomed to that kind of gymnastic exercise	The earthquake was the way he did it.
زمونه لینگ چمر ره گوش دا	listening to the echoing footsteps of years.	He listened to his mother's footsteps.
من فقط ونه این زنا ره بوینم	I must see the lady.	I'm just going to see this woman.
ته نظر هم آدم به دردبخری هسسه	he struck you as being pretty handy.	You think you're in pain, too.
ولی سیس ونه دسرسی دنی بیه	but it was safe out of his reach.	But he wasn't in his 30s.
مه تموم امید و آرزو همه به باد فنا بورده	I have lost all my illusions.	All my hopes and aspirations are gone.
وشون صاحبون یا بمرد بینه یا فلنگ ره بدا بینه	all of them silent now, their owners dead or fled.	They were either dead or buried alive.
خله زود این کچکی گلیا اتا گذر رای واری آماده بییه	it soon stood wide open also.	Soon this little girl was ready for a vote.
ناگمونی بفهمسسمه که مه آخری سال هسسه	I knew with sudden, chilling certainty that this was my last year.	Suddenly, I realized that my last year was coming.
پس شه دهون ره دوس بیمه	I kept my mouth shut.	So I opened my mouth.
اما فعلن همونجه هسمی که اس هکرد بیمی	we're still where we were.	But we were exactly where we were standing.
