source	reference	translation
چار ساعَت هْنجورَه مَندیمَه.	I was four hours under these circumstances	I've been waiting four hours.
شطرنجییَه جْرقَه و شْوارْش دَرییا.	in plaid frock and trousers.	He's playing chess and he's wearing a hat.
از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	I won't let it end like this.	I don't like to hear such stories.
خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	trying to grasp the old lady's meaning	He tried hard to understand what an old woman meant.
روزنومه میزی وَری کو پیگِتْشه.	he picked up the paper.	I remember where he was at the dinner table.
شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	she might be required to sink herself forever.	Maybe I'll get my hands on my beautiful, old-fashioned keys.
فَشینه من فْرمون دوشَه	he ordered me in with an oath	It's my fault.
کلاید راس راسَکی اسیر با	so truly was he captivated.	Clyde was a real prisoner.
چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	she asked, her voice rough with stress and fear.	What a voice of fear and anxiety. She asked.
یَواشینَه زونو نَه ایشتیمَه.	I raised myself gently upon my knees	I didn't know that very well.
با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	But with all the evidence, he's a criminal.
ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	I immediately turned this thought over in my head, creating lyrics.	Suddenly, the thought crossed my mind and I put it in poetry.
ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	thinking that it was a medal of solid gold	I don't know where that badge is.
وَلی خَیلی اَوون را تَسْف هَردْمَه.	but I felt so sorry for them	But I'm very sorry about them.
از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	I've loved life too much, shamefully much.	I'm not happy. It's bad luck.
اما در حالیکو سینَه ویسنِه کرین و نیهالون مینی کو جلو آین و آخْرْنَه‌سَر اشتن تفنگون گولون ایله ویداشتشونَه و اْشْتَن صْفَت دوشونَه و بَدَز اَ ویداشته نی خَیلی از سربازن اسبون زینی سری کو جیر ویلَکینَه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But as soon as the twentieth and ninety-nine were in the lead, they finally fell asleep with their guns, and they left the line, and after that, many of the cavalry came down.
ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	like a man accustomed to that kind of gymnastic exercise	It's the gymnast's job to do that.
زمانی پا صْتا کْرا گوش آکَری	listening to the echoing footsteps of years.	When you listen to the sound of feet.
از فقط پی اْم یِنَکی بْوینْم.	I must see the lady.	I just want to see this one.
اْشْتْه نظر دِرِه نی بدربخوره ادمیه ؟	he struck you as being pretty handy.	Do you think he's a bad guy?
اما بْزبْزَه چِه دایرَه کو دور مَندا.	but it was safe out of his reach.	But the girl stayed away from her circle.
چْمْه ناجِن همه بْ باد شینَه.	I have lost all my illusions.	I'm going to blow everyone's head off.
چَوون صِیِبِن یا مَردَینا یا دَوَشتَینا.	all of them silent now, their owners dead or fled.	It was morning, or it was morning, or it was night.
هْم زودیون اْم روکَه خْلْ ایلَه راهی شی آمادَه آبو کْ بِش و بِری بْکَرْن	it soon stood wide open also.	They'll soon find a long way to get rid of it.
ایی دَفَعی فَممَه کو اْم دِ چمه آخرنَه سالَه	I knew with sudden, chilling certainty that this was my last year.	Suddenly, I realized that it was the end of an era.
پس چْمْه دَنی دَوَسْمَه.	I kept my mouth shut.	So I closed my mouth.
امه فلا هَه جایی مَندیمونَه کو پیشتَر مَندیمونا.	we're still where we were.	We stayed where we were before.
زوتَری فَمْمَه کو اْم کْلیل کاری شْنا.	I knew immediately what this key was to	I soon found out where the key was.
پس ت ْ شای اْشتْه را بیگِری و بْشی و مْن تاکیلَه پس بَهَرزی.	so you can get the hell away from here and leave me alone.	Then you have to take her and leave her and go back alone.
ولی کسی نییاری کاری کو دخالت بْکَری.	but nobody dared to interfere.	But no one will interfere.
یا عْمکو ناخْدا اشتن کله چاکْنْه	or knocked on the head	Or the captain's uncle will shave his head.
آنسلم تا آفتاوی نْشتِه موقو ها مَندَه	there he remained till nearly nightfall	My blood will not settle in time until sunset.
چه اصلییَه ساختْمون سنگَه خواَ لونَه اِستا	as though it had once been a large stone pigpen	It's basically a stone building in the middle of nowhere.
ام دردناکَه سَختَه کاریا	that was painful and difficult for him.	It's painful, it's hard work.
متاسْفیمَه لْکْلاکو تْه بَرونتْمَه بیرون.	I'm sorry I've dragged you out of bed.	I'm sorry I brought you out of here.
چه وقت آرَسَه کو تْ کَنار بْکَشی	it's time for you to step aside.	When it's time to get rid of you.
هیچ وقت مرا ایمکان نداری	as I could not possibly have done	You'll never succeed me.
از شک ندارم کو چه مرگی باعث به	I have no doubt that it led to his tragic end.	I have no doubt who or what is causing his death.
ای دفه ای فیکری نه ک دز اومه و شومینه بسکی پیگتشه	when he got the poker in case of burglars	Then he thought he was a thief and a chimney sweep.
کورانه اسبی ک چم خدمتکار و همقطارا فرمون دوشه	ordered the sorrel nag, my fellow servant	It's a horse that belongs to a servant and a colleague.
البته فقط ایله خشکَه سلام علک	that they had never gone further than formal greetings	Of course, only with a dry smile.
خواستشه درآ ویندشَه بر دله کو دوسیَه.	but the bolts were in place.	He wanted to see where he was locked up.
آخا تا هَه روز چیزی صِحِب آبه نیا کو غرصه هرده ارزشی بداره	I'm glad she got back in time.	Because by the end of the day, there won't be anything that's valuable to anyone.
ولی مْرا چْه مونی ام بدبختی تمون چمه گردن دَلَکَه	but I take all the blame upon myself	But to me, it's like misery is in the eye of the beholder.
تْن تَری اْشْتَن چِمون اَی کو گاردْنْدْشَه	looked quickly away.	He kept a close eye on her.
جنگل الان سییا کو آبَه رَش!	the forest was gray now instead of black.	The forest is now covered with water!
ام کار تمون اَمَه لَسَ شْل و پَلو آکَره	which disposed us to sloth	It's enough to make us miserable.
اْم والی تا هَدَه چی تَرسی را بانِه کَردَشا	that so much invested the whale with natural terror	This government has lifted their fears to the limit.
امی را کو دِ ِنخای شَوونَه کیله بْوینی تصمیمش گِتَه کو اْشتَت وطنی کو بْشو	in order to escape from her, he determined to quit the country	He decided to go to his homeland to see us again.
اصلا اشتن وضعی کو ناراضی نییا	her mind had no distaste for her own set	He's not happy with the situation at all.
کلایدی اْشتَن قایلی ویر بَرشَه	the obligation faded.	Clyde remembered his coat.
وا نی اَمون نِدوعَه و دو و دوشابی یَندی دوشَه	I never see the wind blow so.	Don't let us go and sleep together.
اما شازادَه اَی کو نار دَبَه	but the old prince interrupted him.	But the prince didn't care.
تندَ رگی خونِ ایدَفَعی آپَرکییَه	turned into a rout because of a devastating downpour.	It's a sudden change in blood pressure.
ها چیمی سَرَفا دَپَرچین آپَرچین کَردمَه که چمه درزَه کلَاس بْبو.	arranged it for the future schoolroom.	I've been doing a lot of research that's been very helpful to me lately.
از کشیشیمه و پی هرچی بدگْمونی کو برزیمه بْبوم	I am a priest and therefore I ought to be above suspicion	I'm a priest, and I'm fed up with all the ugliness.
هَلا هری نَه شیش گْلَه پیلَه فاصیلَه داری	still lying on the staircase six steps below him.	Harry's still six to eight miles away.
سه دَقَه تمون اسبی حرکتی زْت آبا دییِسی	watched the horse's action for the space of three minutes	In three minutes, you'll see the movement of the horse.
ولی فْکْر کَردْمَه غم و غْرصَه چیزییَه کو هر کسی دس دَه	but I thought grief was something you felt anyway.	But I thought grief was something that anyone could touch.
پیلَکونی کو پِرشَه تا راهرو کو آرَسَه به بَری	went up the staircase to a door in a corridor.	He climbed the stairs leading to the entrance.
هر چن کْ هده زحمت مْزی نِداری	though with but small success for their pains.	You don't have to worry about it anyway.
