source	reference	translation
Nika pê hêrişan yeno waştenê ke heme qezencê înan dest ra bêrê girewtene.	Now, these attacks are intended to take away all their achievements	It's like a marriage of passion has lost all the benefits of it.
Çimê mi bîyî pirrî hesirî.	My eyes filled up with tears	My face was covered in hair.
No zî beno semed ke vîrus vila bibo.	This, too, is the reason why the virus spreads	Don't let the virus infect you.
Hetanî sinifa çarine dewa xo de waneno.	He studies in his village until the fourth grade	They're in fourth grade right now.
Ganî pêro cinîyî xeyalanê xo bîyarê ca.	All women should fulfill their dreams	It's like a ghostly dream come to mind.
Mi zî tercumeyê kirdkî kerde.	And I have translated it into Zazaki	I tried to translate it myself.
Seba ke ciwan vera naye vejîyano polîsî ey wesayîtî ra fînenî dûrî û dest şanenê qirrika ci û erzenî erd.	Because the youth protests against this, the police throws him out of the car, grab him by the throat and onto the ground	The young man hadn't come to the police station to find a car and start smuggling dirt and cheap land.
Ma vînenê ke rayaumûmîye de derheqê bawerîya elewîyan de muneqeşayêko cîyaker yeno kerdene.	One sees that the separatist discussions are made in public concerning the faith of the Alevis	He has also raised a controversial question about the elephant's beliefs in public opinion.
O rî ra kî ê mînetdarê dersimizan ê.	For that reason they are thankful to the Dêrsimis	So who will teach us the lesson?
Hetê ra gureya hetê ra kî wend.	On the one hand, he worked, on the other side, he studied	It's hard to guess who to turn to.
Her diyan sere şanayo pê ke ti vana qey kirmanckî nînan afernayo!	Both of them smashed their heads together as if they created Kirmanckî on their own	There's no such thing as a free lunch in every room!
Welatê ma binê sîyasetê qirkerdişî de yo.	Our homeland is subject to deathly politics	The country is under a murder policy.
Wa wendişê mewlidî biancê kamera.	We should record the reading of the Mawlid	He was looking for a camera.
Tena yew qusurê xo esto ke merdim nêeşkeno nuşteyan kopî bikero.	There is only one flaw, one cannot copy the writings	There's no way you're going to make a mistake in buying a gun.
Ino hereketê ci îsbat kerd ke ez otomatîkman biya serekê grûbî.	His/Her movements proved that I otomatically became the leader of the group	Now the movement was proof that I was automatically drowning in the water.
Yeno keye ke nîmeyê awe zî nêmenda.	He comes home and not even half of the water is left	It's like you're in the middle of nowhere.
Ez koma her dîyan a.	I am in both groups	I am a group of all creatures.
Her çî wextê ey esto.	Everything has its time	Wherever there is time.
Eke roşîya nême şima rê nême bidîn ma.	Once sold, half is your, give the other half to me	It was a midnight sun and now it was a long way off.
Dima sond dekerna û beyraqe dîrege ra arde war.	Later, he recited the oath and pulled down the flag from the pole	He took the oath of allegiance and the oath of allegiance.
Kifş o ke cuye o tayê rew hincirnayo.	It's evident that life has worn him down a bit early	It's enough to keep the baby in the same condition.
Xora qeleme dest de hazir a!	The pen is already ready in hand!	Get ready for the holidays!
Yew hîkaya xo bi formê nameyî amo nuştene.	One of his/her stories was written in form of a letter	Now the story was told in the form of letters.
Zereyê çimanê xo ra to de huyeno.	He laughs at you from within his eyes	He'll give you the money right away.
Kesî îtîraz nêkerd.	Nobody objected	No one complained.
Merdim ancax ziwanî ra bizano.	One can only know from the language	I'd like to know a little bit more about it.
No kî çîyode zaf rind o.	This is a good thing, too	No, it's a soft drink.
Yewna bi tirkî nengan çîneno vano ti çira vanê ‘kirdî’.	Further, the curses in Turkish and asks why you say 'Zazaki'	Now there's no turkey in this kitchen.
En zaf kî kurmanckî de vînon.	Mostly, I see that in Kurmanji	It's hard to see who's in charge.
Ma wazenê kîşta tirkî de kurdkî zî bibo ziwano fermî û mekteban de dibistana ewilêne ra heta unîversîte bi ci wendekaran rê perwerde bêro dayene.	We want that Kurdish shall be the official language alongside Turkish, and that education shall be provided for the pupils in schools, from primary school until university	The use of the Turkish knife in Kurds will be allowed to teach the official language and safe schooling to universities with a minimum of walkers.
Bi hezaran însanî merdîy.	Thousands for people died	Thousands of people climbed the stairs.
Rayraşîyayîşê dergî bi coşêkê pîlî qedîya.	The long journey ended with huge excitement	The old man walked out of the room with his pillow.
Vateyê eseran zafîn aîdê min ê.	Most of the words of the works belong to me	You're going to make my skinny ass.
Tena ferqêk tede esto.	There is only one difference	It makes a big difference.
Xulasa dewe de ma bi çimê dişmenan ewnîyayêne yewbînî ra.	In the end, we looked at each other in the village like enemies	The result was a complete missile patrolled by a toothbrush.
Nika zî bi hawayêkê sîstematîkî hêrişan kenê.	Now, they are attacking in a systematic way	The sun is systematically irritated by the weather.
Hewna zî tu kesî ra yew îtîrazo pêt-cidî nêbi.	Again, there was no serious and strong objection from anyone	So no one is afraid of the cold weather.
Ê ke nê qirkerdişî ra weş mendê hîna zî estê.	They are also those who survived this massacre	He was still crying in the midst of the massacre.
Bombarduman heta saetan sere sibayî yê roja bîne dewam kerd.	The bombing continued the morning hours of the next day	The bombing continued into the early hours of the morning.
Senî ke ma tirkî badê cû musayî nika zî qicê ma ziwanê dadîyê xo dima musenî.	Just as we learned Turkish later, now our children learn their mother tongue later	The smell of turkey in the sea is a kind of sweet taste that comes from the taste of turmeric.
Her di hetan ra bi sehezaran însanî merdî.	Hundreds of thousands of people died from both sides	He's always been fascinated by witches.
Waştişan rê cewab nêno dayene.	The requests will not be answered	The guests are allowed to enter.
Vengê ey zî weş bi.	His voice was nice as well	The wind blows brightly.
La ewro bê waştişê ma bimbarekanê ma ser o projeyan virazenê.	But today they conduct projects on our sanctuaries without our permission	He's been working on projects all day today.
Mi nê nameyî ra hes nêkerdêne.	I was not liking that name	I don't like to hear from you.
nêşîyêno bifikirîyo.	He can't think	Don't think about it.
Ma nêwazenê warê xo biteriknê.	We don't want to leave our area	It doesn't need to be intimate.
Berê qedexeyî.	Forbidden doors	Before it is forbidden.
A şewi ma uja di mendî.	That night we stayed there	He was thinking about it tonight.
Nuştiş de hewce yo ke ti wendoxan rê çîyanê weşan û taybetan qisey bikerî.	It is necessary that you tell the readers nice and special things when you write	It is necessary to make no inquiries about the nature of the road and to make specific inquiries.
Persê mi qedîyay.	My questions ended	I've run out of gas.
Nika zî dore ameya enê cayan.	Now, it is the other places' turn	It's like a marriage between two people.
Derdormeyê keyeyî de kes nêasêne.	One could see nobody around the house	No one sleeps in the woods.
O wext bîle mi zaf raşt û fehmkerde nuşto.	Even then I wrote very rightly and comprehensibly	I fainted at the time and didn't understand.
Gereka yew televîzyon bibo.	There has to be a television	Turn on the TV.
Kalikanê ma no ziwan seserran ra nat bi zehmetî ardo resnayo ma.	For centuries, our forefathers have transmitted this language to us with difficulty	The cup of tea was hard to swallow.
Çimke weşîya xo ebe tirkî ramenê.	Because they live their lives in Turkish	It's like a delicious Turkish ramen.
Bi nê ambargoyî şar yeno cezakerdene.	The people are punished with this embargo	It is punishable by the death penalty.
Tesîrê kamcîn nuştoxî yan zî kamcîn nuştoxan to ser o esto?	Which author or authors have influenced you?	Is it a nail polish or a silver nail polish?
Uslubê ci de qet tehmê kirmanckî çin o.	There is no taste of Zazaki in his style	The style of the house was never very warm.
Nêeşkeno derbasê weverê awe bibo.	He cannot reach the other side of the water	It's impossible to cross the river.
Labelê nê perwerdekerdişî hunerî reyde keno.	However, he does this educating in combination with art	It was a red-colored painting.
Vateyo bîn gore zî inî defterî amey nimitiş.	According to another account, these notebooks were hidden	It's like putting it in a book doesn't work.
Hema zî no problem hal nêbîyo.	The problem has not been solved yet	It's not a problem at all.
Nuştox derheqê gramerî ra zî zelal û beşekar o.	The author is clear and competent concerning the grammar	The subject of grammar is clear and concise.
Dewleta tirke û cergê ci zor danê ke kênayê efrînijî bizewijê.	The Turkish state and its goons	The state of Karnataka and the people of Karnataka have imposed a ban on the use of effervescent lamps.
Her çî zanayne.	Everything was known	Everybody knows that.
Bi desan leşkerê tirkî û cergî merdî.	Tens of Turkish soldiers and goons died	He went up the stairs with the Turkish soldier.
Yanî gere ma zonê xo ra wayîr bivejîme.	Either we take care of our language	It's like we're in the middle of nowhere.
Vayî bî la halê mi zî hal nêbi.	It was expensive, but our situation was not alright	It's not like it's happening to me.
Ame vatene ke zafînê îna dû ra jehrî kewtî.	It was said that most of them were poisoned by smoke	The body of the fox was now poisoned.
La ancî zî her serre newe ra eynî çî servîs kenê.	However, every year they serve the same thing	It's not the same for everyone, but it's the same for everyone.
Dewe û bajar ferq nêkeno.	It doesn't matter whether village or city	There's no difference between home and town.
Zafê yîne malbatî û pîrekî bî.	Most of them were family or old	It's a family affair and it's a blessing.
Sebre kî veyva xo ra vana.	Sebre tells that to her daughter-in-law	I wonder who's going to come in.
Ez hêvî keno ke kirdkî bibo dara mazîyere û bi henzar serrî emr bikero.	I hope that Kurdish will become a	I was hoping to find some oak in the palm tree and eat it with a feverish appetite.
Feqet êdî baş zanê ke no mumkin nîyo.	However, now they know well that this is not possible	It is no longer possible to understand the subject well.
Ziwan erjo verên ê komelî yo.	Language is the first value of society	It's the color of the crowd.
Çîyo muhîm o yo ke merdim hedefê xwu bizano.	The important thing is that one knows his goal	It's important to know where you are as soon as you reach your goal.
Tarîxî nê veng û rengî kurdan rê kerdê dîyarî.	History has gifted the Kurds with this colorfulness / diversity	The darkness of the window and the color of the curtain made its way to the door.
La nika mi rê ecêb nîno!	Now, I don't find it strange anymore	It doesn't work that way!
Ez henî fikirîyeno.	That's what I think	I'm still thinking about it.
Homa zî înan ra razî bo.	May God bless them	It's time for peace and tranquility.
Wezîfeyê ma pawitişê kulturê kurdan o.	Our duty is to preserve the Kurdish culture	The office is dedicated to the promotion of Kurdish culture.
Zafê înan keynayî daybî yewbînan.	Many of them gave their daughters into marriage to eachother	The flowers were eaten by rabbits.
Malzemeyê pakîye nêdîyenê înan.	They were not given any cleaning material	The ingredients are packed on the walls of the apartments.
