source	reference	translation
مۊ أن-أ سٚفارش بۊکۊدم	I have advised him to do that.	I've been doing this.
مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	I want the truth, the truth!	I've got to tell the truth.
مي گۊلي-أ پخ بزئم	I cleared my throat.	I cleared my throat.
اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	but I am always fond of children.	I'm going to have a lot of fun and lots of children.
وانمائي مأنستن کي بام ٚ جؤر نهأ	you're like the weather cock on a roof.	They knew who to look for it.
خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	stood, livid and trembling, before us.	He moved back and forth and stood in front of us, terrified.
سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	went up the hill and out of sight.	He raised his head and looked at my eyes.
زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	even as the hairs on my arms began to shrivel.	When I put my arms on my hair, it was very cold.
مي سرأ بشادم	I shook my head.	I glanced over my shoulder
هسأ همتتأ چي مرأ واضح بخاطر بامۊ	I can remember it vividly now	Now I remembered everything clearly.
خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	he put his hand up to his forehead.	He put his hand on his forehead.
مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	I raised one hand to halt his apology.	I reached out my other hand to finish the dress.
ایتأ دۊتأ پیله آه بکشي	gave a long gasp or two	One of the girls shouted.
مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	I don't set up to be one of those men that don't care about women.	I'm not saying the name of a man who desires to deviate from the woman I used to be.
بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	I thought it might be important.	I thought maybe it was something important.
خاطرجمائي ناشتيمه تۊ بيبي	I wasn't sure it was you.	I didn't expect you to be one of us.
نۊقره ای آچارأ خؤ جیف ٚ جأ بيرین بأوۊرد	took a silver key from his pocket	He pulled the poor man out of his pocket.
ولي هلماله سۊمأ زؤرأ نأره	but hasn't got any magic powers.	But it hasn't been reported yet. She's out of date.
سيأبختي پاپرۊس ننأ	I'm afraid there are none.	the poor knight errant also.
چۊن ناخؤش بؤ.	because she had been ill	because he was in a hurry.
خؤ عازمأ جزمأ کۊده	for he had made up his mind	He's left out his original roles.
مزایأ سرأ گیفتن	the racers started.	They're holding hands again.
نهايي ضربۊ واقئيت ٚ جأ اۊن ٚ دس نهأ	has the last featuring blow at events.	Instead, the real problem was that his hand was on his right hand.
آلبت ایتأ دۊتأ اۊشان-أ تفریح وأسي رأ تاوده	I doubt if he's gotten that far yet in fact, I'm sure of it.	Apparently, he gave them a girl named Boo Jude instead of a husband.
سرأ گیفت شعرانه حیفظ-أ کۊدن	went to work to get his verses	He's the one who sang a song of pride and pride.
اۊن ٚ ناقۊشي چاقأ کۊدن ره اۊن ٚ أمرأ شيريک بۊبۊست.	be represented as a partner in his own cure.	his delicate whip pressed him to find a pulse.
روٚقد نأرمۊ	I am out of spirits.	I don't know.
هني بنماست کي کي واخاب نيه ایتأ گل اۊیأ ايسأ	to avoid betraying that he knew she was about.	He declared that the party had no intention of comparing.
شيمي اطلاعات نيشان دیهه کي خؤرم ٚ زأک ؤ ذات ٚ خۊش بۊ	if it had been favourable to the boy.	You have to know, he's a very good son.
حتأ ایتأ پئلي أن ٚ لیواس جيرأ تکان ندأ بۊ	had not so much as altered one angle of his vest.	Even if a pair of shorts didn't change under his clothes.
راستؤف اۊ قضيه پٚسي دئه خؤ خانواده ٚ داشت ؤ دارائي اۊمۊر ٚ جأ خؤرأ وانسي	said he to himself, and after that he did not meddle in business affairs.	As a result, she left her home and family naked.
یاواشيکه بيشئم خؤرؤم بار ٚ مهمانانه ورجأ ؤ ایتأ دۊتأ ايستکام وۊکۊشئم بۊجؤر	I sneaked off to the private bar to have a pint or two before dinner.	I went up to the front door and knocked on the door.
هتؤ کي ساغ ٚ جان ٚ مرأ جه ایأ دۊوارس ترأ گؤیم	I'll tell you as soon as she's safely away,	I've been seeing him since I've been seeing him so hard.
مۊ أن-أ نۊبۊردم اؤیأ کي أن-أ بۊکۊشم	I didn't go upthere with her with any intention of killing her.	I didn't mean to kill this one.
هیذره خؤرم نیؤ کي گٚل، سفر بۊشۊ دکناپره	not a pleasant night for a dip in the sea	I don't think he's going to have a trip or something.
مرأ ترسأ گیفت کي وارش ٚ جئر زنگ بزنۊ یأ سرما بۊخۊره	I thought it might get rusty with the rain, or catch cold	He was afraid he was cold when he started raining again.
خؤ حوسأ هممأ اؤفتن ٚ سٚر بنأ	became absorbed in it.	He's focused all his attention on the van.
مي حقسأی ٚ بۊکۊدم کي ایتأ مۊدیرعامل ٚ بازاریاف ٚ مأنستن آرام به ٚ چۊم بأيم	I'm trying very hard to look like a relaxed business class top marketing executive.	I tried to look at a crowd of other people's entertainment.
اۊن ٚ مرأ لا چأکۊدم	we'll have enough of it to stuff a sofa!	I pushed her away.
مچه پیله مۊئن جه ميئن بيشأ بۊ	all the hair had gone from her face	The grief of Annapolis was like that great grief.
أن وأسي کي تاهسأ هئکس اۊن-أ نامۊخت-أ بۊ	because nobody had taught him.	Because the blade was unusually rigid.
أن جٚمعیت جأ هلماله پن نفر ٚ جئن ويشتر مردأک نيسأبؤد کي کسانأ بشنأسيد	there were never more than five men who knew each other.	but there was not more of a man in the crowd than some one might have noticed.
کي تۊ هادر دیل سنگي کي مرأ غؤرصه جیگیر بۊکۊدي	you could be so hard hearted as to let me suffer so.	that between you and me, there was a great dread.
هسأ ساعت دۊوازأ کرأ فأرسۊ	twelve coming on to pass away.	It was 12:30 p.m. and he had to show it at the last.
هانقدر تا هیجدأ سال بۊستن	when I am eighteen!	They were forced to sleep for the rest of their lives.
آئیني لافندان جه ای پئلي تا اۊنپئلي بي واچرسئن دۊمباله دأره	the iron bandstraversed it from side to side without any break.	The rope of the mirror suspended from one side to the other reflected in the invisible thread.
اۊن-أ خۊشانه سراسر بداشتيد کي تۊفنگ-أ اۊن ٚ دس ٚ جأ فیگیرد	stopped him in the vestibule and tried to take the pistol from him.	They kept the gun in their hand.
اۊنأ منت بۊکۊدم کي حؤصله ٚ بۊکۊنه ؤ خؤ قصصأ بۊگۊیه	I begged his patience to hear me tell my story	I have advised him to talk about his own affairs.
ایتأ ایجرأ سۊبي مأنستن کي گل خؤ شائي-أ ؤ ناجه-یانه اۊن ٚ جأ بکارأ گیره	a wheezy performance, into which he threw much ambition and an irrepressible hopefulness.	It was as if he had been given the power of his soul to speak the language of man.
ایدفأ همتتأ پس بينيشتن	but this time all had come.	they sat down.
ایتأ مردأک کي هلماله نیدأ بؤم	whom she had never seen	A man I never saw.
أن ٚ سرأيم دوستأ بؤد	his head was bandaged with a linen cloth.	her head was bright scarlet.
مخصۊصن کي ایتأ سواد داره گل ٚ مأدۊ سئر ببۊ	especially if the educated ones have their stomachs full.	Especially for someone who's very literate.
مۊ وأسي مه نقاب-أ ویگیرم اگه مأ گرمأ کۊد	I shall take off the veil if I get too hot.	I have to take off my mask if it gets hot.
مي نظر بياتر أن ايسه کي نامأ هایأ تۊمان-أ کۊنم کۊجه باسلۊق چأکۊنم	I think we'll stop now and make some fudge.	I think it's better to put them in a place that's hate and mockery.
مي ناجه أن ايسه کي اۊقدر کي مي زؤر فأرسه تي رٚضايت ؤ آسايش ٚ واستي حقسأی بۊکۊنم	I hope I shall do everything to your satisfaction.	I wish I could have done you a favor on the way.
هیچ زمات طلاق-أ نیگیرم	I'll never divorce him,	I've never been able to get a divorce.
اگر نۊبؤسته بۊ هن رۊزانه به	there will be.	if it had not been for this day found retreats.
وشتن کۊدنه مراسم ٚ مأنسۊ کي مره سۊتال بۊ	like the prom, for exampleseemed silly to me.	The wearing of a red bracelet suspended an elderly man's arms.
يني اۊجۊري کي بياتر جه اۊن نؤبؤسته تي دیل-أ سيني جأ بيرين بأردم	I took out your heart as well as I could	I mean, not that I'm going to have to look at your face better than I did.
