source	reference	translation
چوار ساعەتێ پی بارودۆخوە سەرم کەرڎەبێ	I was four hours under these circumstances	I've been mourning at home for four hours.
گجییە کوڵ و پاتۆڵێ شەترەنجیش کەردەبێنە	in plaid frock and trousers.	He had a short twist with a beard on his head.
من ئیزن نمەڎو کە ماجەرا پی جۆرە تەمام بۆ	I won't let it end like this.	I'm not allowed to take it out like this.
هەوڵش دا کە قەسدو خاتوونە پیرەکێ دەرک کەرۆ	trying to grasp the old lady's meaning	He tried to understand the old lady's words.
ڕۆژنامەکەش جە لاو مێزەکەینە هۆرگێرت	he picked up the paper.	He grabbed the paper from the table.
شایەد ئی کناچێ عالێ پەی هەمیشەی جە دەس بلۆ	she might be required to sink herself forever.	Maybe this good girl will be lost forever.
بە جمانیوە هەڕەشەیی دەستوورش دا پەنەم	he ordered me in with an oath	He ordered me to move in fear.
بەڕاسی کڵاید ئەسیر بیەبێ	so truly was he captivated.	And the truth is, Clyde was captured.
ساش جە ئسترس و تەرسینە وشک بیەبێ و گیریابێ. ئاو پەرساش	she asked, her voice rough with stress and fear.	It was covered with dust and spinach.
یەواش بە زۆرو زانویم هۆرستانی	I raised myself gently upon my knees	I got up in front of my knees with a little bit of enthusiasm.
پی حاڵە تەمام شواهێدی کە هەن جە جۆرمو ئاوی حکایەت مەکریۆ	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet can hardly be mentioned a deficiency in him.
زوو ئی فکرامە جە زهنیم گێڵنایم و شعرم وەش کەرد	I immediately turned this thought over in my head, creating lyrics.	I soon forgot about it and began to write poetry.
پی گومانە کە مداڵەکێ جە تڵایە ناب و عالی مۆنێ	thinking that it was a medal of solid gold	as to conceive the idea of improving on his method
بەڵام فرە پەیشا ناڕەحەت بیانی	but I felt so sorry for them	But it was bitterly sad for them.
من زندگیم فرە وەش گەرەکەن. بۆبەختی ئینەنە.	I've loved life too much, shamefully much.	I love my life so much. I'm miserable for this.
بەڵام جە حاڵیە کە سەرو دەسا و زانویشاوە خزێنێ جە لێو گیاوەکانە لوێنێ وەروە بە تەقناو هەمزەمانو تفەنگەکاشا حوزورو وێشا ئێعلام کەرد و دماو تەقناو تفەنگی فرەیە جە سەروازەکا سەرو ئەسبەکەیشاوە کوتێرە واری.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But while they walked out of the legion, they hit the bulls's feet and passed the cavalry with a heavy gun in their hands, and they went to the bottom of the cavalry with a lot of guns.
پسۆ ژیمناستیک کاریە کە پی کاریە عادەتش هەن	like a man accustomed to that kind of gymnastic exercise	As a scientist of the responsibilities of sentient members, you get used to it.
گۆش گیرتەی جە دەنگدانەوەو هەنگامەکا ساڵانی	listening to the echoing footsteps of years.	listening to the footsteps of the year.
مشۆم خانمەکؽ وینو	I must see the lady.	I have to see the lady.
ئاﮆ پسە کەسێ یارمەتیدەر دیار بؽ پەیت	he struck you as being pretty handy.	He's your assistant and your assistant.
بەڵام دوور سڵامەت بؽ جە دەسش	but it was safe out of his reach.	but he was well away from her
من گرد وەهمەکؽ جە دەس داینؽ	I have lost all my illusions.	I've lost all my positions.
ئؽسە گرد بؽدەنگؽنؽ خاوەنەکؽشا یا مەردؽنؽ یا ڕەماینؽ	all of them silent now, their owners dead or fled.	now were all quiet, either dead or captured
فرەش نەبەرد بە هەمان شؽوە بە فراوانی کریاوە	it soon stood wide open also.	It didn't take long for the same sex to be spread out.
ناکایێنە و بە دڵ سەردی زانام ئینە دماین ساڵەو منەنە	I knew with sudden, chilling certainty that this was my last year.	I suddenly realized with a cold heart that this was the last year of my life.
دەمم وستەبیرە	I kept my mouth shut.	I've been wiping out my mouth.
ئیمە هیشتای ئینایمؽ چا یاگؽنە کە چەنەش بؽنمؽ	we're still where we were.	we are still there in the same place where we are.
یەکسەر زانام ئی کرؽڵە پەی چیشیا	I knew immediately what this key was to	I knew immediately what that key was missing.
پەوکای تاوی جەحەنەمەکەی دوور وزیۆو من تەنیا جیا بازی	so you can get the hell away from here and leave me alone.	I was left alone by the asshole that had been taken from me
بەڵام کەس نەیارؽ دەسش وەردۆنە	but nobody dared to interfere.	But no one dared to touch him.
یان دانشا سەرەیش	or knocked on the head	Or don't you believe it.
چاگە تا نزیکەو شەوی مەنۆ	there he remained till nearly nightfall	where he will be staying till near midnight.
پسە ئانەی کە ڕوێ بەزارێ تەوەنی زلەش بیەبۆ	as though it had once been a large stone pigpen	It's like a day of madness.
