source	reference	translation
ڤە ئێ دووخا چوار ساتم بردە سەرێر.	I was four hours under these circumstances	I took up this position for four hours
نیمتەنە و شاواڵ شەترەنجی کردۊتێ ئەێ ڤەر	in plaid frock and trousers.	He was wearing a jacket and pants and a croat.
م نمەیلم ماجراکە ڤە ئێ شێوە تەمام بوو	I won't let it end like this.	I don't want the adventure to end forever like this.
ئەر یە بییە گ نێیەت ئە ژەن کەڵنگە دەرک بکەێ	trying to grasp the old lady's meaning	if he had admired her, he might venture to speak to her.
ڕووژنامە ئەێ پەلۊ مێزە هێز داتێ	he picked up the paper.	The diary quickly grabbed the paper and pulled it up.
هایتێر ئەڕا هەمۊشە ئێ دت نازارە ئەێ دەس بچوو	she might be required to sink herself forever.	Maybe this sweet, heartwarming girl will be lost forever.
ڤە دوشمین و هەڕەشە دەستوور دامێیە بێن	he ordered me in with an oath	I have been ordered to give orders to the enemy and threatened him.
سە ئەو ڤە ڕاسییا ئەسیر بۊ	so truly was he captivated.	so he was truly a prisoner
یاواش ڤە زوور زانی هێز گرتم	I raised myself gently upon my knees	I walked up to the front door with a whisper.
ڤە ئێ حاڵا هەر چەێ شەواهد و قەرائن بی نیشانە میاێ ئەو موجرمە	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet all the evidence of it would have been sufficient.
دەرجا ئێ فکرەلە ڤە نام زەێنمەێرە گێرداننم و شعرم سازی	I immediately turned this thought over in my head, creating lyrics.	I've been thinking about it in the past, and I've been thinking about it.
ڤە ئێ گومانە گ مداڵە ئەژ زەڕ بێخەوشە	thinking that it was a medal of solid gold	on the dark side of the tunnel, in the snow!
ئەمانێ فرە ئەڕا یەون ئاخ و داخم کرد	but I felt so sorry for them	But I was too sorry about that.
م ژیاین فرە دووسە مەێرم، بەدبەختی هەر یەسە	I've loved life too much, shamefully much.	I love life so much. It's the same bad luck.
ئەمانێ ڤە حاڵێکەێرە گ لەمەسوڕکییان بی، دەس و پاوانە مییا، ڤە ئەژ لاوەلا چوروو و بتە مەهەتنەو نووا. ڤە ئاخرەێر کول ڤە یەکا گولەوان تەقان و حوزوور وژان ئاشکراوا کرد. ڤە دوما ئە گولەتەقاننەلە فرەهان ئەژ سەربازەل ئێ سەر زێن ئەسپلەوان کەتنە هوار.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But at the same time, when their anger and even their situation are better suited to the situation of the wandering paratroopers, they feared that they would blow up the sweat of the police with a glow.
جوور ژیمناسیککارێ گ هووکارە ئێ کارەسە	like a man accustomed to that kind of gymnastic exercise	as a sensible physiologist, who knows the business of whaling
گووشە میاێ ئەر دەنگ شوونە پا زەمان	listening to the echoing footsteps of years.	He heard the sound of feet of feet of our feet.
م فەقەت مەێ ئێ ژەنە بۊنم	I must see the lady.	I'm just going to see this woman.
ئەێ تونێرە ئاێم دەردبهوەرێکە	he struck you as being pretty handy.	I'm running a fever.
ئەمانێ سووسک ئەێ دەڕەس ئەو دۊر بی	but it was safe out of his reach.	but the sausage was out of his reach.
گشت ئاوەخت و ئارزووەلم دریاوە ڤارا	I have lost all my illusions.	All my thoughts and dreams were shattered.
ساێلەوان یا مردۊن یا هەیواوین	all of them silent now, their owners dead or fled.	It's like a dead man or a child left.
ڤە زۊیی ئێ توڕەکونا گوجەرە، ڤە شێڤە ڕێ ئەڕا ڕەدبین گورج بییەور	it soon stood wide open also.	The speed of this little anger had made it very easy to get over that narrow road.
ڤە یەێ قەتئییەت ناهەڵمانە و دڵسەرداکەرێ فەمیم گ یە دوماێن ساڵ منە	I knew with sudden, chilling certainty that this was my last year.	I realized with a sudden and suspicious excitement that this was the last year.
سە دەم وژمە بەسریا هیشت	I kept my mouth shut.	So I kept my mouth shut.
ئیمە جارێ هایمن ئەر ئە جاێ گ هووسیاویمن	we're still where we were.	we are not there again in the same land where we are.
دەرجا زانستم گ ئێ کلیلە هن کوو بی	I knew immediately what this key was to	Then I realized where this key was.
سە تو مەتۏنین سەر ڕێ وژت بگرین و من ڤە تەنیا بیلین	so you can get the hell away from here and leave me alone.	so you can take your way and leave me alone.
ئەمانێ کەسێ زەڵە دخاڵەت ڤە کارەێرە نیاشتێ	but nobody dared to interfere.	But no one was willing to give up on it.
یا یە گ ناخودا سەرە مەشکنتێ	or knocked on the head	Or that the captain might break his head.
ئەو تا نزیکەل ئێوارە ئەر ورە مەن	there he remained till nearly nightfall	he stayed there until nearly all night.
گ ساخمان ئەسڵییە ئەوە، یەێ ڕووژێ لانەهۊ کوچکێنێ بی	as though it had once been a large stone pigpen	which was the main building, and one of its hinges was a stone pitcher
یە کار سەخت و پڕ ژانێ بی	that was painful and difficult for him.	It was a busy end.
داخم ئەڕا یە ئەێ توو جاکەت ئاوردینمەێرە	I'm sorry I've dragged you out of bed.	I'm sorry I brought you that.
گ ڤەخت ڕەسییەسێ تو کنارەگیری بکەین	it's time for you to step aside.	When the time came to fetch, you were going to be taken.
ڤە هۊچ شێوەێ ئمکانم ئەڕان نیاشتێ	as I could not possibly have done	I have no way to look at it.
شەک نەێرم بیتێیە بائس ئە مردن ژەڵاوێنە	I have no doubt that it led to his tragic end.	I had no doubt that the purpose of killing him was the crime weightening out.
هەنێگ ڤە خێاڵ یە گ دوز هەتێیە و سێخ شوومینە بردێیەسێ	when he got the poker in case of burglars	when he's had the impudence to show it at the theft.
ڤە ئەسپ کرند یانێ خزمەتکار هامکار من دەستوور داێ	ordered the sorrel nag, my fellow servant	He ordered a female or a male assistant to obey my orders.
ئەڵڤەتە تەنیا یەێ سڵامەلەیک ڕەسمی	that they had never gone further than formal greetings	Of course, just a word of it.
گستێ بچوو ئەو نام دیتێ دەرە ئەێ ناما بەسیایە	but the bolts were in place.	He wanted to escape into the room where the door was locked.
م خوەشاڵم گ ئەو ڤە مەوقە هەتێیەسا	I'm glad she got back in time.	I'm glad he's in trouble.
ئەمانێ ڤە گومانم گونا ئێ هەمکە بەدبەختییە ها مل منەێرە	but I take all the blame upon myself	But I think I'm sorry about the accompaniment.
دەرجا چەم ئەژ ئەو هێز داێ	looked quickly away.	Then he raised his eyes from his face.
جەنگەڵ ئیسکەتە ئەژ ڕەنگ سێ بییەسە ڕەنگ بۊلی	the forest was gray now instead of black.	The thick black mass had now turned into a black mass.
ئێ کارە ئیمە ڤادارە تەمەڵییە مەکێیا	which disposed us to sloth	It will make us sad, but it will be a bit boring.
گ ئێ ڤاڵە، تا ئێ ئەندازە کردۊتێیە ماێە ترس و ناسا تەبیعی	that so much invested the whale with natural terror	which, however, had so united and fully absorbed his nature.
ئەڕا یە گ دی دتەکە نەونێ، شوونە تەسمیم گرتێ ئەژ ڤەتەن بچووئەڕیا	in order to escape from her, he determined to quit the country	Because he didn't see the girl, he decided to leave.
هۊچ ئەژ دووخ وژ ناڕازی نەوی	her mind had no distaste for her own set	she could hardly have mentioned a deficiency in him.
تەعەهود وژ ئەێ ڤیرا بردێ	the obligation faded.	He recalled his instinct.
ڤاێژ ئەمان نیاێ و زەمین و زەمان ڕشانێ ئەێ یەک	I never see the wind blow so.	But the wind and the wind and the ground and the whole time were good.
ئەمانێ شازادە ئەژ ئەو کەتەو نووا	but the old prince interrupted him.	whereat the princess will be overjoyed and will esteem herself happy and fortunate in having fixed and placed her thoughts so high.
ڤە سانگە ڕەگبار تون و ناهەڵمانێکا پشکیا	turned into a rout because of a devastating downpour.	It was broken by a quick, premature decision.
ورەلە ئەڕا یە بانان بووە کڵاس دەرس ئیمە ڕێکم ئاوردئرا	arranged it for the future schoolroom.	I've been through a lot of activity on the schoolyard.
م کشیشم ڤە مەی ئەژ هەر سووئزەنێ دۊر بوم	I am a priest and therefore I ought to be above suspicion	I'd been away from all the attorney.
هالی شەش پلە ڤەگەرد «هەری» نامتاقان بی	still lying on the staircase six steps below him.	There were still six stairs to the living room.
س دەقە تەمام چەم دۊرانێیەر هرەکەت ئەسپە	watched the horse's action for the space of three minutes	He looked at the horse for three minutes.
ئەمانێ فکرم کرد خەم و خوسە چێکە گ ڤە هەر هاڵ ماوە تۊش ئاێما	but I thought grief was something you felt anyway.	but I thought it was jus' painful for you to be in any case.
ئەژ نەرداون چێیەو بان تا ڤە نام ڕاڕەوەئەێرە دەسی ئەو دەرێ	went up the staircase to a door in a corridor.	He went up the ladder to the hallway, and at the same time, he knocked on his hand.
هەر چەن ئێ هەمکە زەمەتە پاداش شایستەی نەدریاتێیە بێن	though with but small success for their pains.	Although this time, he was unqualified by the fact that he was not worthy of his immediate salary.
دەر نەتیجە ڤەکیلێ کردێیە ڤاستە تا جییایی ئەو ئەژ ئەو ڕێکرا بارێ	but sent an intermediary to arrange the terms of the separation	He opened the door and went on to get the stuffing off the floor.
چۊن زۊتر هەرگس ئێ هەمکە نیازە هەلاکردنم نیاشت	for I have never had such need of haste before.	Because I didn't need to get all this information.
ئەژ دەسوورێ گ شۊیەێ دا ئە بێن	at the orders her husband left her	out of the question where the husband was referring him.
کەتۊمێ نام زەمین ئڵاجەوی، ئێ ڕۊ ڤێرژی و سرەژە پایمەر دەور ڤەر وژم	look around me with some interest on the strange land that I was in.	I was on the ground wondering, and my thoughts and thoughts were so confused.
ڤە پشتا ئەر بان تەتێ کوچکە ڕاجە بی‌ئرا	lay down on his back on the heap of stones.	The village was behind him, and the town was fast.
قرار نەوی دوگلە ئەو بونم	I was never supposed to see him again!	I didn't mean to go back there.
بگر ناچار بین، بیلن ئەو قسە بکەێ	as if they were forced to let him say it.	as if she were faced by the possibility that he might venture to talk to her.
یەسە گ م دەویمەڕا ماڵ هامە	that is why I hastened to you.	I'm running a fever.
نمەێم دی دەربارە ئێ مەوزووە گەپ بەم	I don't wanta talk about it no more,	I don't want to talk about it anymore.
مەێ هوشدارتە بێن دەم ئەژ ئێ ئووتاقیژە قەوینترە	I should warn youit's bigger than this room.	It's like a war room between sleep and awake.
ئەڕا وژ و ئایللەی دوکتوڕێ گرتۊتێ	for herself and the children she employed a physician.	He's gonna throw himself and his kids in a cage.
تا جاێ گ ڕێ داشتێ تۊنستێ مێز سەرکردەل موهم ئامادە بکەێ	she did everything possible to keep the places at the table of honor in order	As far as he had gone, he was able to provide a table for the guests.
جوبران ڤجوود بەدهێرم داێ بکەێ	a recompense to you for his mother!	I've been bothering you for this.
مەێمێز داێەر ئەسپەی و چێ ڤرێ لا ڕووخانە	spurred his horse and galloped into the river.	I managed to turn the tables on him, and he went to the dining room.
منی ڤە لوورە و گورمە وژم ئدامەم دا	I still humming my little tune.	I went on with my smile.
چەن تیکە یەخ ڕشانێ ئەێ نام دەسماڵە و نیای ئەر بان سەر ئەو	ice cubes on her head	He put a few pieces of ice on his hand and put it on his head.
کیشاتێ و ئەژ ئەڤە ئەڕا ئەێرئاوردن ڤێنە کوڕە بردێ ئەوکار	she used it to push out her son's photograph.	He drew out and took the boy to the living room.
تو ڤە لا وژتا فکرت کردۊ شەڕەگوجەرە ڤەگەرد م بکەین	you reckoned on a bickering!	You'd thought you'd be fought with me.
ڤە سانگە بەزەی ئووتاقیژە مەنە من	I should be given a small room as a favor	Because of the closeness of this room, I was able to stay.
ئەێ تفەنگ و گولە خاستریج سوراق درم	than either a bullet or a knife.	I've got a better gun and a better red cock.
هەر کەسێ گ یەێگل مزە نام ئراکەتن بچەشێ	once you've had that first taste	everybody who had a single skeleton left in the skeleton.
یا یە گ هەوڵ بەێ ڤە نام ئە هاڵ و هاواێرە یەک دو سات بهوەسێ	or trying to snatch an hour or so of sleep	Or trying to sleep in that room for a couple of hours.
بگر هەر ئتفاق نەکەتێیە	just as if nothing had happened.	It's like it's never happened.
ڤەگەرد ئێ کارە قەێرێ ئەژ پووس و پرتاڵێ دڕیان	tearing both skin and clothes to some extent in the effort.	And they cut off their skin and their trousers.
چارەنۊسم یەسە گ سراێسەر ڕووژ گیان بکەنم و ڕەنج بەورم	I shall have to toil and moil all my days	It's my destiny to take the poison of the eye with the sand.
ئەژ ئە بڕ ئاێمەلەسە گ تازە پلکیاسە ژیاێن نووئێکا و ئەڕان ئاسانترەسێ ئزرائیل گیان بسینتێ تا یە گ دوگلە بێئاری بکەێ	it's the hand of a man that's started in on a new life, and'll die before he'll go back.	It's as if he's just gotten used to the new life and it's easier to keep him from going to loss his hands.
ئیگلیژ هەوڵ داویتێ نووا ئەواکان بگرێ تا کەیکە نەهوەرن	as earnestly tried to prevent any body's eating it.	And thus did He turn away His time from us in order that We might not eat a cake.
تا هەنێگ چەرمیی چەمەلان دیاریا ناو گێچەڵێ نەێریم	I'm not really in trouble until I see the whites of their eyes.	I didn't have the guts to look at it until I saw it was clear.
م چەمەڕێ نەویم گ وژم بم	I hadn't expected to be myself.	I didn't expect to get my hands on myself.
چۊنا گ هەر چەن فرەتر ئەژ هەشت ساڵان نەوی	for, although she was only eight years old	Because even though they were not more than eight years old,
نوواێنە بۏن چۊنا نەردەوانە ئەژ یەێ نەفەر ناوا دی ڕێ ئەڕا کلبین نیاشتێ	both of them could not be first, for the ladder would but admit one man at a time.	In the first place, he was faced by a man who was not the only one who had the courage to turn his back on.
بێجگەژ سوخان چێ تر ئەر ورەلە نەوی	naught was there but bones.	He saw nothing but a small light in it.
م هێیام ئەر دەور و ڤەر مێزە	I look helplessly around the table.	I went round and round, and I went to the table.
تاهەێ قەێرەێ زەمان گ ڤە لا ئەوا ڤە دیل مەنێیە	not even the length of time he had been imprisoned	It's like a calm sea level change when there's a storm in the depths.
ئەو کیشانێ ڤرێ ماڵ	dragged him to the house.	he drew her home.
هامە مەوینانە یەکمین کەسێ گ ئەژن ئاگادارە مەوتێیا	you'll be the first to know.	I'll be the first person to know about it.
ڤتمە هامە گ م دی کشیش نییم	I told you I ain't no preacher	I'm not a preacher no more.
ئاهانە دیارە گ ئەژ کلک نامێنە م گەڵێ درێژترە	seemed to be somewhat longer than my middle finger.	It's more obvious that my finger is a little longer than my finger.
چۊنا گ وژمیژ نێاز ڤە بەخشش خودایی درم	because he hopes to be forgiven	for I am in need of divine forgiveness.
ڤە ناباوەڕانەوا سەرم تەکان دا	I shook my head in disbelief.	I shook my head in despair.
ئێ چێیەلە نماوە کەننگە یە گ م گشت چێ ئەژ ڤیر بەورم و تو بوەخشم	I still think you were hateful that night and I never expect to forgive you.	It's the same as being abandoned. I won't forget anything and I won't forgive you.
دڵ ئەڕا جەدڤەڵ هەل کردن تەنگ بۊتێ	he missed doing the crossword.	He had a heart attack of hysterics.
ئەر ورەلە مەنتێ ئەێ خاک تا قاڵ بهوەسێ	they'll bury him right there.	where he rested to mend his grave
ئەمانێ شەکەر ئەژ ڤیرا چۊتێ	but he had forgotten the sugar.	But he forgot about it.
چۊ ڤە نام سیفال قوێڵترێکا	was deep in thoughts of something else	how in the depths of her heart he had swallowed more than sat
کڵاوە نیاێ ئەر بان سەر وژ و نیشت	put on the hat and sat down.	He put on his hat and sat down.
ئەو ئوکسیژن ئێ گرەک بیتێ	he needed oxygen	He was the one who sang a song of pride and pride.
ئەویژە نە خەرج بێخود و بێ مەوزوو	not by spending as he pleases	He wasn't focused at all, and he wasn't.
پارەکە هەنێ کڵاو نیایە بان سەر وژا	when he'd placed the hat on his head a year before	When the پارaker put on his hat.
هایتر ڤە ئێ زۊیییە هامسەرگیری بکەێ	may even be about to marry her before he leaves here?	she might be married very shortly.
دی هۊچکەس نمەتوێنێ نووا بگرتێ	nobody seems to be able to stop her	No one will ever be able to stop him from going.
گ گشت گرینگی بالەدا تەنیا ڤە نام ڤەچڕلەێرێ شارریاسا	that the whole meaning of a song lies in the words	almost crumpling beneath the weight of a disapproval she had never known before.
م هۊچڤەخت ڤە نام ژیاینمەێرە ئەخرکە خوەشاڵ نەویمە	I've never been so happy in all my life	I've never been happy with a world of my life.
فکر نەکە گ ماو ڤە تەنیایی ئەر نوواوان پا بەینە گڕ	don't you go fighting them alone.	He didn't think he'd be alone for a while.
بازووەل خوەش تراشێ ئوڵێت بین	her beautifully moulded arms bare	His hands were tied together.
ئەگەر دورووت داوی یەێ چووپی فرە خاستێ ها پێشەێرە	if you are telling me a lie, I'll lead you a pretty dance.	If you're lying, a good sister will be in front of you.
ئاخریژێ ڤەگەرد تێەریکی پێڤەس بی	his end was night.	It finally caught up with the concept of darkness.
نزیک بی قەڵب بووستێیا	making her heart jump.	He was about to cry from excess fatigue.
دی ڤە هانە کەسێ دڵنیا ناو	he would never trust a man like that again.	No one doubts the security of your future.
گ جوور هوەتەنی پڕ ئەژ کاقەزا بۊ	which was, like all the rest, covered with papers.	It was like a sheet of paper that was covered with dust.
مەرێ دەنگ پا ئاێمە ماێ	I think I hear some one coming.	The sound of death is easy.
لا ئێ تفاقانە دا ئێ سەیران	they took it as a joke.	He gave the miracle.
پەنج ساڵ پیرترم ئەژ ئەڤە گ دوروو ڤەگەرد وژم بێیەم و نام بنمێیە شرافەت	I'm five years too old to lie to myself and call it honor.	Who had kept me locked up in his room for five years and put me on the honours of the poor.
نزیک دوێس هەزار دولار پۊل ڤە لا منا کوو بییە	I must be holding two hundred thousand dollars in bets.	I have about two hundred dollars myself.
سینی کەل و پەل کەفاشییە ئەو و کارە تەمام نەکریاکەێ هالی ئەر سەر جاکەێ بی	his tray of shoemaking tools, and his old unfinished work, were all as usual.	The crest and the reminder of his sufferings were still in place.
م دوز نییم ئەمانێ دوزە مەکوشم	I am not a thief, but I'll murder my thief.	I'm not a thief, but I'm a murderer.
ڤە نەرمێکا دەنگێ بەرز کردێیەور	he addressed to him in a gentle voice	He raised his voice with a soft voice.
بێگومان ئەر جاێ خڵەتیامە	I must have done something wrong.	Of course, if I'm wrong.
ئەخرکە ئەسر بەوش و خوەشی ڕشانێ	shedding such tears of heartfelt joy	So you cried and laughed.
دومارکەێ هایتێر سرێژەئراکیشترا بوو	then the attraction may be the greater.	Then he was more angry.
هۊچ ئشتبایژێ ڤە نامەێرە ناوتێ	without any mistakes in it!	There's no mistake in your letter.
