source	reference	translation
همینتی چار سات سر هکردمه.	I was four hours under these circumstances	I've been doing this for four hours.
کل جمه و چارخونی شلوار دپوشی بییه	in plaid frock and trousers.	He was wearing a jacket and pants and a croat.
من نلمبه که ماجرا اتی توم بوه.	I won't let it end like this.	I don't want the adventure to go on like this.
کوشش هکرده پیرزنای رای ره بفهمه.	trying to grasp the old lady's meaning	He tried to understand the old man's voice.
روزنومه ره میز کنار جا بیته.	he picked up the paper.	He took my diary by the table.
ولکه این نازنین کیجا درسسی از دس بوره.	she might be required to sink herself forever.	but this beautiful and accomplished girl may be lost.
با ات تا فاش مه ره فرمون هدا.	he ordered me in with an oath	He commanded me with a heavy baton.
راسسی راسسی کلاید اسیر بیی بییه	so truly was he captivated.	In fact, clyde was captured.
ونه گلی از ترس خشک بییه و بهیته. و بپرسییه	she asked, her voice rough with stress and fear.	His throat was covered with water.
یواش یواش لینگ رهی هکردا راس بیمه	I raised myself gently upon my knees	I stepped up and down.
با این حال درس همه چی شاهدی دننه که و مجرم بییه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet all the evidence of a prosecutor, who was a criminal.
اندریک یان فکرا ره شه سر بگردندیما ات تا شعر بساتمه	I immediately turned this thought over in my head, creating lyrics.	I've been thinking about the other side of the poetry.
با این گمون که مدال اصلِ طلای جا هسسه	thinking that it was a medal of solid gold	Even if it's the right thing to do.
ولی وشون واسسه خله متاسف بیمه	but I felt so sorry for them	but I'm damned if they sympathize.
من دیین ره خله دوس دارمه. بدبختی همینه.	I've loved life too much, shamefully much.	I love to see you. You're going to have a lot of fun and you're going to be a flunkey.
اما همتی که شه دس و لینگِ جا ساخه سو کردنه و بوته لا به لا پیش اییمونه سرآخر هنتی تفنگ جا شلیک کردنا نشون دانه که در اننه با اون شلیک هم خله از سربازون شه اسب زین پشت جا پایین جر دکتنه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but when he put his hand and foot in the court, at last he was armed with a gun in his hand and a lot of other guns in his hand, and at the same time he was in the bottom of his horse.
زیمیناستیک کار جور که به این کار خو هکرده	like a man accustomed to that kind of gymnastic exercise	The زamary had done what he had practised.
زمونه لینگ چمر ره گوش دا	listening to the echoing footsteps of years.	He always listened to the sound of footsteps.
من فقط ونه این زنا ره بوینم	I must see the lady.	I'm just going to see this wife.
ته نظر هم آدم به دردبخری هسسه	he struck you as being pretty handy.	you'll think he's a bother.
ولی سیس ونه دسرسی دنی بیه	but it was safe out of his reach.	But it wasn't understandable.
مه تموم امید و آرزو همه به باد فنا بورده	I have lost all my illusions.	All my hopes and aspirations have been shattered.
وشون صاحبون یا بمرد بینه یا فلنگ ره بدا بینه	all of them silent now, their owners dead or fled.	The owner of the land was either dead or captured.
خله زود این کچکی گلیا اتا گذر رای واری آماده بییه	it soon stood wide open also.	she would be happy very quickly, and would esteem herself happy and fortunate in having seen such a small show.
ناگمونی بفهمسسمه که مه آخری سال هسسه	I knew with sudden, chilling certainty that this was my last year.	I suddenly realized that it was my last year.
پس شه دهون ره دوس بیمه	I kept my mouth shut.	I closed my mouth.
اما فعلن همونجه هسمی که اس هکرد بیمی	we're still where we were.	But it's exactly what we've been waiting for.
اندریک بفمسسمه که این کلی کجه شه	I knew immediately what this key was to	I soon realized where that key was.
پس تو توندی شه را ره بیری بوری و مه ره تینار بلی	so you can get the hell away from here and leave me alone.	So you can make up your mind to me and leave me alone.
ولی هیچ کس جورات ناشته کار دله دخالت هکنه	but nobody dared to interfere.	But no one dared to interfere.
یا اینکه ناخدا ونه سر ره اشکندنه	or knocked on the head	Or that the captain would have to cut his head off.
آنسلم تا نماشون گدری اونجه بمونسسه	there he remained till nearly nightfall	which remained obstinately closed until way into the summer.
که ونه اصلی ساختمون ات روز ات تا سنگی خوکدونی بییه	as though it had once been a large stone pigpen	that the main building of that day was a wooden shelf
اینتا اتا دردناک و سخته کار بییه	that was painful and difficult for him.	It was a dangerous and painful thing.
عذر خوامبه که ته ره لای جا بکشیمه دیا	I'm sorry I've dragged you out of bed.	I'm sorry I took you away.
این گدر برسییه که تو کناره گیری هکنی	it's time for you to step aside.	when you've had the impudence to show it at the last.
هچ را مه واسسه امکان ناشته	as I could not possibly have done	I could have nothing to do with it.
شک نارمه که ونه بد بمردن باعث بییه	I have no doubt that it led to his tragic end.	I'm sure it's caused him to die.
اون گدر به این خیال که دز بییمو تَش کَله سخ ره بیته	when he got the poker in case of burglars	At that moment, he imagined the fact that he had been a thief.
کرند اسب ره ینه مه خدمتکار و مه هم قطار فرمون هدا	ordered the sorrel nag, my fellow servant	he said to my master, and again to my master.
البته فقط ات تا رسمی سلام علک	that they had never gone further than formal greetings	Of course, just a word of it, and that's just a word of it.
خواسسه دله بوره در ره دله وری دوس بدییه	but the bolts were in place.	He tried to get in and see the closing of the door.
من خشالمه که و خاره موقع دگرسسه	I'm glad she got back in time.	I'm glad he came back in time.
ولی مه گمون گناه این بدبختی، همه دره مه گردن	but I take all the blame upon myself	But I think the opposite is the fault of all of me.
زود ونه جا چش ره بیتا وره نشا	looked quickly away.	But he soon found out that he hadn't noticed her.
پدیار اسا از سیو به رنگ خاکستری در بییمو	the forest was gray now instead of black.	It looked like the color of purple has now turned into gray.
این کار اما ره تنبل و سس کنده	which disposed us to sloth	It'll make us smoke up.
که این وال ره جوری هکرده که اینتی ترس ایجاد هکنه	that so much invested the whale with natural terror	That this whale is afraid to create such a flame.
از اینکه اون چپون کیجا ره نوینه دیگه تصمیم بیته که شه مله ره سر اله	in order to escape from her, he determined to quit the country	As soon as he saw the girl on the other side, he decided to leave her.
هچ شه جا راضی نییه	her mind had no distaste for her own set	but they were no longer happy.
کلاید شه تعهد ره از یاد بورده	the obligation faded.	clyde had lost his temper.
بوا هم امون ندا و زمین و زمان ره دپیته	I never see the wind blow so.	It combines and adapts the annual and daily movements of the Sun and Earth with the accidental wind currents.
ولی شازاده وره پیش دکته	but the old prince interrupted him.	But the princess is hard pressed and even goes to Parliament.
ناگمونی تند شلاب جا رته رم بییه	turned into a rout because of a devastating downpour.	And the grass settled down on the earth.
اونجه ره برای اینکه بعدا امه همکلاس و درس بووه رج هکردمه	arranged it for the future schoolroom.	I went through there to class at theater.
من کشیش هسسمه و ونه از هر فکر بدی شه جا دور باشم	I am a priest and therefore I ought to be above suspicion	I'm a priest and I'm not a bad one.
هنو با هری شیش گوم فاصله داشته	still lying on the staircase six steps below him.	he was still as far away from her as hiM
شه دقیقه تموم اسب حرکت ره اشا	watched the horse's action for the space of three minutes	He kept his eyes fixed on the horse's movement.
ولی فکر هکردمه که غم و غرصه چیزی هسسه که بهرحال آدم ره دس دنه	but I thought grief was something you felt anyway.	but I thought there was something the matter.
از پله بالا بورده تا راهروی دله برسییه به ات تا در	went up the staircase to a door in a corridor.	He climbed up the ladder to the front door.
هرچن این زمت مزی که خرند باشه نداشته	though with but small success for their pains.	Although this hard work was not ruined.
همینتای سسه ات تا وکیل ره واسطه بیته که کار ونه جدایی از وه ره درس هکنه	but sent an intermediary to arrange the terms of the separation	so he could be persuaded by a lawyer to bring his affairs up.
چون پیشترا این همه نیاز ناشتمه تِن بائم	for I have never had such need of haste before.	Because I didn't need to see you before.
از دستوری که ونه مردی وره هدا	at the orders her husband left her	the order in which her husband had been entrusted
با کنجکاوی و دقت اون زمین که دکتمه ره شه دور ور ره اشامه	look around me with some interest on the strange land that I was in.	I was curious about the land where I had fallen.
پشت جا سنگ خره سر لم هدا	lay down on his back on the heap of stones.	He leaned his back against the stone.
قرار نییه ایی وره از نو بوینم	I was never supposed to see him again!	I'm not going to see him again.
انگار ناچار بینه که بلن و شه حرف ره بزنه	as if they were forced to let him say it.	as if he were bound to speak aloud.
همنتای سسه شمه سره ور بتجسسمه	that is why I hastened to you.	so I made a shift to creep on to your house.
نخوامبه دیگه این موضوع خوری گپ بزنم	I don't wanta talk about it no more,	I don't want to talk about it anymore.
همینتای واسسه هسسه که سطح کشاورزی فرو بورده	that's how it is the whole level of husbandry has fallen.	that's how it is the whole level of husbandry has fallen.
ونه ته ره هشدار هدم این اتاق جا هم گت تره	I should warn youit's bigger than this room.	I have to warn you, and this room is very large.
شه واسسه و شه وچون واسسه ات تا دوکتور استخدام هکرد بییه	for herself and the children she employed a physician.	He used a doctor for his own amusement.
تا اونجه که تونسسه مفق بییه گت گتون میز ره اماده هکنه	she did everything possible to keep the places at the table of honor in order	As far as he could, he prepared the vastness of the table.
این نحسه مار ره دیین تلافی ره هکنه	a recompense to you for his mother!	It was a cold sunset over a mountainous desert.
همینتای سسه شوسری بورده اونجه	he went down that night.	That's why he went there at night.
شه اسب ره مهمیز بزو و دیما روخنه بورده	spurred his horse and galloped into the river.	He welcomed his horse and turned to the arrow.
منم شه جا زمزمه کردمه	I still humming my little tune.	I've been around me.
چن تا تیکه یخ ره دسمال دله دکردا ونه سر بشندییه	ice cubes on her head	He put a few pieces of ice on his head.
کشید و از اون شه ریکای عکس ره بیرون بیرادن واسسه به کار بورده	she used it to push out her son's photograph.	He took off his hat and shoe and went to work to get his son's picture picture out of the water.
تو شه پیش خیال هکرد بی که ات تا کچکی جنگ مه جا هکنی	you reckoned on a bickering!	You'd made up your mind to fight me for a while.
دلسوزی په کره هم بییه مه ره اتاق دننه	I should be given a small room as a favor	She's looking forward to me.
بیتتر از اسلحه و گلیله سراغ دارمه	than either a bullet or a knife.	I've got a better gun and a better bite.
هر کی ات دور شوهرت مزه ره بچشه	once you've had that first taste	whoever exiles himself seems to be oblivious of the emperor's orders.
هارشینه تونده ات د سات اون حال هوا باخسه	or trying to snatch an hour or so of sleep	He waited until he was near death two hours after he was breathed.
انگار هچیی پیش نییمو	just as if nothing had happened.	It's like I'm not going to mention any names.
با این کار اتکه ونه تنِ پوس و لواس بوسندی بییه	tearing both skin and clothes to some extent in the effort.	With this, he's got a little shit on his skin.
من سرنوشت این بییه که درس روز جان بکندما زجر بکشم	I shall have to toil and moil all my days	I was determined to meet the fate of the day.
ات دسته آدمه که دیین ره تازه شرو هکرده و النده که ازرائیل ونه جان ره بیره تا د مرتبه بیعاری هکنه	it's the hand of a man that's started in on a new life, and'll die before he'll go back.	A group of people who had just started their journey, and now they're taking their lives to relieve fatigue.
ایی خواسسه دیگرون دم ره بیره تا کیک ره نخرن	as earnestly tried to prevent any body's eating it.	He used to take the beans at the front of the house so that they wouldn't bite.
تا اون گدر که وشون چش اسپی دیار نییه من مشکلی نارمه	I'm not really in trouble until I see the whites of their eyes.	I can't rest till they see a horse's eyes.
من انتظار ناشنه که شه باشم	I hadn't expected to be myself.	I don't expect to be alone.
چونکه ویشتر از هش سال ناشته	for, although she was only eight years old	Because he was no more than eight years old.
اول باشن چون که چپر فقط ات نفر سسه را داشته	both of them could not be first, for the ladder would but admit one man at a time.	First, because the ship was only waiting for one person.
اونجه جز هسسکا هچچی دنی بییه	naught was there but bones.	There was nothing on the dark floor of the room.
من میز دورور ره ات تا بشامه	I look helplessly around the table.	I looked round at the table.
حتی اون زمانی که ونه دره حبس بیی بییه	not even the length of time he had been imprisoned	even when the door handle turned.
وره سره ی ور بکشییه	dragged him to the house.	He pulled her to the front of the house.
شما اولی آدم هسسنی که اینتای جا باخور بوین	you'll be the first to know.	You're the first person to enter the ranks of the militia.
شما ره بتتمه که من دیگه کشیش نیمه	I told you I ain't no preacher	I told you I'm not a priest anymore.
ظاهرا مه میونی انگوس دون بلنتر بییه	seemed to be somewhat longer than my middle finger.	Apparently, the average fog is between my fingers.
چونکه من شه خدای موتاجمه که مه ره ببخشه	because he hopes to be forgiven	For I will pray for mercy on all without distinction.
شه سر ره بوور نکردما تکون بدامه	I shook my head in disbelief.	I raised my head. My mother shook me.
یان چی باعث ننه همه چی ره یاد بکنما ته ره ببخشم	I still think you were hateful that night and I never expect to forgive you.	Or what's not gonna make me forget everything and I'm sorry for you.
ونه دل جدول حل هکردن واسسه تنگ بییه	he missed doing the crossword.	His heart was throbbing by the way he worked.
همونجه وره چال کنده تا سرصدا باخسه	they'll bury him right there.	There he will turn his back on his garden.
ولی شکر ره یاد بکرد بییه	but he had forgotten the sugar.	But he had forgotten about sugar.
اتی فکر دله غرق بیی بیه	was deep in thoughts of something else	he had been almost dozing off, lost in the heat and his thoughts.
