source	reference	translation
چوار سات وەی حاڵەو ئەو سەر بردم.	I was four hours under these circumstances	I've been mourning at him for four hours.
شەۊ و شواڵ چوارخانە لە وەر	in plaid frock and trousers.	He had twenty-six yards to make him angry.
نیەیلم هە لێوا بنێ باێ	I won't let it end like this.	I don't let it go like this.
تەقەلا ئەڕای ئەوڕەسین لە مەبەست کەیوانوو	trying to grasp the old lady's meaning	I shall attempt to penetrate the ends of it.
کاغەزەگە گردەو کرد.	he picked up the paper.	He gave a piece of paper and pulled it up.
هاتێ تواسۊد ئەڕا هەمیشە خوەێ بخنکنێ.	she might be required to sink herself forever.	Maybe he was going to drown himself forever.
وە قەسەم و قورئان نا ملم.	he ordered me in with an oath	I swear by my hair that I would not reveal this secret.
هە وە ڕاسی، ئەو دیل کریاۊد.	so truly was he captivated.	It was really hard to get the heart of Oscar Let.
وە دەنگێ زبر لە سترس و ڕخ پرسیار کرد.	she asked, her voice rough with stress and fear.	He asked in a loud, trembling voice.
وە ئارامی خوەم لە بان وێرزنگەیلمەو بەرزەو کردم.	I raised myself gently upon my knees	I lifted myself quietly from my pillow.
وەی حاڵەو کول دووخەیل دەور وەر لەو ساتە چمانێ لێوا نیشان دەن کە ئەو کارە کردیە.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet the circumstances surrounding him seemed to have impelled him to do so.
م زۊ ئێ هۊرە خسمە ناو سەرم و هەڵبەستەیلێگ وتم.	I immediately turned this thought over in my head, creating lyrics.	I immediately threw it into my head and said the binding words.
فکر یە گ ئەوە مداڵ زێڕ ڕەقێ بۊە.	thinking that it was a medal of solid gold	He thinks the first gold coin was gold.
ئەمانێگ م فرە داخم هات ئەڕایان.	but I felt so sorry for them	But I'm sorry about the accompaniment.
م فرە ژیان دووس داشتم، جی شەرمەزارییە.	I've loved life too much, shamefully much.	I loved my life so much. Instead of being ashamed.
ئەمانێگ وە گامڵەکیەو لە ناوێن بووسانەو خزیەن، و تەنیا وە تەقەی تفەنگ وە یەکەو کە فرەیێگ لە زینەگان چووڵەو کرد، هەبۊنیان ئاشکرا بۊ.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But at the same time, they walked into the room, and only a few moments later, they saw a lot of guns that left the hallway.
چۊ پیاێ کە هووکارە بۊەسە ئەوجوورە تەمرینەیل ژیمناستیک.	like a man accustomed to that kind of gymnastic exercise	as a man used to be engaged in such a life exercise
گۊە تەکانن لە شوونپای ساڵەیل	listening to the echoing footsteps of years.	They were listening in the back of the year.
م تەنیا تواێ ئێ خانمە بۊنم.	I must see the lady.	I just need to see this lady.
وە باوەڕ ت، ئەو ئایەم لێهاتیێگە.	he struck you as being pretty handy.	I think he's a member of the Forgotten House.
ئەمانێگ ئەو دۊر لە دەسڕەسێ ئەمنۊ.	but it was safe out of his reach.	But he was out of his mind, and he was relieved.
گشت خەیاڵەیلم لە دەس دامە.	I have lost all my illusions.	I lost all my thoughts.
ئیسە گشتیان بێ دەنگ، خاوەنەگانیان یا مردێ یا دەرچێ.	all of them silent now, their owners dead or fled.	Now they were all silent. They were sleeping or they were running away.
وە زۊییش تمام واز بۊ.	it soon stood wide open also.	It was not long before the ears of the soul were completely emptied.
وە دڵنیاییێگ لەناکاو و ساردکەرەوە زانسم کە یە دۊا ساڵ منە.	I knew with sudden, chilling certainty that this was my last year.	I knew with a sudden and severe certainty that it was my last year.
دەمم بەسۊم.	I kept my mouth shut.	I had to keep my mouth shut.
ئیمە هێمان هایمنە ئەو جیە گ بۊمن.	we're still where we were.	we are still there, in our places.
زۊ ڕەسیمەو ئێ کلیلە ئەڕا چەس.	I knew immediately what this key was to	I soon realized what this key was for him.
سە تۊەنی لێرە دۊرەو بکەفی و تەنیام بیلی.	so you can get the hell away from here and leave me alone.	So you can get out of here and leave him alone.
ئەمانێگ کەس نەوێریا دەسوەردان بکەێ.	but nobody dared to interfere.	but no one dared to meddle with you.
یا دیا لە سەرێ.	or knocked on the head	or it was on the other side of his head
لەورە تا نزیکەیل شەو مەن.	there he remained till nearly nightfall	There he stayed until midnight.
چمانێ سەردەمانێگ یەێ وراز گەورای کوچگین بۊە.	as though it had once been a large stone pigpen	It looks like a cold sunset over a huge hedge.
ئەوە ئڕا ئەو وەژان و قورس بۊ.	that was painful and difficult for him.	It was heavy and heavy for them.
بووەخشی لە تەخت خەو کیشامەدەو دەیشت.	I'm sorry I've dragged you out of bed.	I'm sorry I kicked you out of bed.
کات ئەوە هاتێیە بەیدەو لا.	it's time for you to step aside.	It's time to take it.
