source	reference	translation
چار ساعَت هْنجورَه مَندیمَه.	I was four hours under these circumstances	I've been waiting four hours.
شطرنجییَه جْرقَه و شْوارْش دَرییا.	in plaid frock and trousers.	The chess was on the back of his hand and the trousers were on the chest.
از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	I won't let it end like this.	I don't want the story to go out like this.
خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	trying to grasp the old lady's meaning	He tried to understand what an old woman meant.
روزنومه میزی وَری کو پیگِتْشه.	he picked up the paper.	He picked it up at the table.
شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	she might be required to sink herself forever.	I'm going to lose this beautiful little girl forever.
فَشینه من فْرمون دوشَه	he ordered me in with an oath	he had thrown me into a carcass by the hand
کلاید راس راسَکی اسیر با	so truly was he captivated.	Clyde was really captive.
چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	she asked, her voice rough with stress and fear.	His voice was confused, desperate, and shielded.
یَواشینَه زونو نَه ایشتیمَه.	I raised myself gently upon my knees	I walked up to the room with my toes on.
با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	With all the evidence, you have to show that it's a crime.
ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	I immediately turned this thought over in my head, creating lyrics.	I have to remember these thoughts from the beginning, not in a poetry.
ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	thinking that it was a medal of solid gold	It's not the idea that there's actually something more to it.
وَلی خَیلی اَوون را تَسْف هَردْمَه.	but I felt so sorry for them	But I've been upset about it so much.
از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	I've loved life too much, shamefully much.	I'm glad of the life. I'm miserable.
اما در حالیکو سینَه ویسنِه کرین و نیهالون مینی کو جلو آین و آخْرْنَه‌سَر اشتن تفنگون گولون ایله ویداشتشونَه و اْشْتَن صْفَت دوشونَه و بَدَز اَ ویداشته نی خَیلی از سربازن اسبون زینی سری کو جیر ویلَکینَه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But in the meantime, they're gonna have a gun in their hands, and they're gonna have a lot of guns in their hands, and they're gonna go through with a lot of guns.
ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	like a man accustomed to that kind of gymnastic exercise	As a scientist of the responsibilities of sentient members, you know that you're doing this.
زمانی پا صْتا کْرا گوش آکَری	listening to the echoing footsteps of years.	When the sound of footsteps is heard.
از فقط پی اْم یِنَکی بْوینْم.	I must see the lady.	I'm just going to see this woman.
اْشْتْه نظر دِرِه نی بدربخوره ادمیه ؟	he struck you as being pretty handy.	You're starting to think, aren't you?
اما بْزبْزَه چِه دایرَه کو دور مَندا.	but it was safe out of his reach.	But the girl was safely away from him.
چْمْه ناجِن همه بْ باد شینَه.	I have lost all my illusions.	I wish everyone would leave.
چَوون صِیِبِن یا مَردَینا یا دَوَشتَینا.	all of them silent now, their owners dead or fled.	They were coming for breakfast, maybe morning or night.
هْم زودیون اْم روکَه خْلْ ایلَه راهی شی آمادَه آبو کْ بِش و بِری بْکَرْن	it soon stood wide open also.	He will soon be ready to go to the door of the building.
ایی دَفَعی فَممَه کو اْم دِ چمه آخرنَه سالَه	I knew with sudden, chilling certainty that this was my last year.	I suddenly realized that this was the end of my life.
پس چْمْه دَنی دَوَسْمَه.	I kept my mouth shut.	So I closed my mouth.
امه فلا هَه جایی مَندیمونَه کو پیشتَر مَندیمونا.	we're still where we were.	we stayed where we were before us
زوتَری فَمْمَه کو اْم کْلیل کاری شْنا.	I knew immediately what this key was to	I soon realized that this was the key.
پس ت ْ شای اْشتْه را بیگِری و بْشی و مْن تاکیلَه پس بَهَرزی.	so you can get the hell away from here and leave me alone.	so you must keep up your attitude and go out and cover yourself with laughter.
ولی کسی نییاری کاری کو دخالت بْکَری.	but nobody dared to interfere.	But no one dared to call him.
یا عْمکو ناخْدا اشتن کله چاکْنْه	or knocked on the head	Or maybe he's a captain.
آنسلم تا آفتاوی نْشتِه موقو ها مَندَه	there he remained till nearly nightfall	I was suspended as long as I was in the sun.
چه اصلییَه ساختْمون سنگَه خواَ لونَه اِستا	as though it had once been a large stone pigpen	The bottom of his main building was a stone slab.
ام دردناکَه سَختَه کاریا	that was painful and difficult for him.	It's hard work.
متاسْفیمَه لْکْلاکو تْه بَرونتْمَه بیرون.	I'm sorry I've dragged you out of bed.	I'm sorry I took your sister away.
چه وقت آرَسَه کو تْ کَنار بْکَشی	it's time for you to step aside.	for it is time to take you aside.
هیچ وقت مرا ایمکان نداری	as I could not possibly have done	It's not possible for me.
از شک ندارم کو چه مرگی باعث به	I have no doubt that it led to his tragic end.	I am sure it will bring him to his death.
ای دفه ای فیکری نه ک دز اومه و شومینه بسکی پیگتشه	when he got the poker in case of burglars	He didn't even think he was a thief and a screw.
کورانه اسبی ک چم خدمتکار و همقطارا فرمون دوشه	ordered the sorrel nag, my fellow servant	The horses who were supposed to be stationed in the service of the dead men.
البته فقط ایله خشکَه سلام علک	that they had never gone further than formal greetings	Of course, just a dry, wet greeting.
خواستشه درآ ویندشَه بر دله کو دوسیَه.	but the bolts were in place.	He noticed the closeness of the door.
آخا تا هَه روز چیزی صِحِب آبه نیا کو غرصه هرده ارزشی بداره	I'm glad she got back in time.	Because until the end of the day, nothing was ever worth wasting.
ولی مْرا چْه مونی ام بدبختی تمون چمه گردن دَلَکَه	but I take all the blame upon myself	But I have the misfortune, to have been deceived.
تْن تَری اْشْتَن چِمون اَی کو گاردْنْدْشَه	looked quickly away.	He quickly turned his eyes away from her.
جنگل الان سییا کو آبَه رَش!	the forest was gray now instead of black.	Now the woods were on the run!
ام کار تمون اَمَه لَسَ شْل و پَلو آکَره	which disposed us to sloth	It's just a shame we're wearing our pants too.
اْم والی تا هَدَه چی تَرسی را بانِه کَردَشا	that so much invested the whale with natural terror	but by this time Bo-Jod was in a serious condition.
امی را کو دِ ِنخای شَوونَه کیله بْوینی تصمیمش گِتَه کو اْشتَت وطنی کو بْشو	in order to escape from her, he determined to quit the country	He decided to leave his homeland after the smoke.
اصلا اشتن وضعی کو ناراضی نییا	her mind had no distaste for her own set	But it's not uncomfortable.
کلایدی اْشتَن قایلی ویر بَرشَه	the obligation faded.	Clyde quickly forgot about his homeland.
وا نی اَمون نِدوعَه و دو و دوشابی یَندی دوشَه	I never see the wind blow so.	And he lost sight of it by staring at it.
اما شازادَه اَی کو نار دَبَه	but the old prince interrupted him.	But the princess is hard pressed and even glad that she has not abandoned her vain love for such a king.
تندَ رگی خونِ ایدَفَعی آپَرکییَه	turned into a rout because of a devastating downpour.	the blood had dried just one lock into a stiff cowlick.
ها چیمی سَرَفا دَپَرچین آپَرچین کَردمَه که چمه درزَه کلَاس بْبو.	arranged it for the future schoolroom.	I went to the front door of the apartment, which was very impressive.
از کشیشیمه و پی هرچی بدگْمونی کو برزیمه بْبوم	I am a priest and therefore I ought to be above suspicion	I'm the priest and I'm going to get everything I need.
هَلا هری نَه شیش گْلَه پیلَه فاصیلَه داری	still lying on the staircase six steps below him.	Harry hadn't found the way to look at it like a six-ball car.
سه دَقَه تمون اسبی حرکتی زْت آبا دییِسی	watched the horse's action for the space of three minutes	He watched the horse's movement for three minutes.
ولی فْکْر کَردْمَه غم و غْرصَه چیزییَه کو هر کسی دس دَه	but I thought grief was something you felt anyway.	But I felt like I had no pain.
پیلَکونی کو پِرشَه تا راهرو کو آرَسَه به بَری	went up the staircase to a door in a corridor.	The Cranberry horse came out of the middle of the road and headed for the door.
هر چن کْ هده زحمت مْزی نِداری	though with but small success for their pains.	though he mustn't have worked hard to get out of his way.
در نتیجَه وکیلی گِتشَه تا اَوون یَندی کو سیفا آکره.	but sent an intermediary to arrange the terms of the separation	so they separated.
چیمی بَه نار اْندَچی نِپیما کو تاو دَلَکیم.	for I have never had such need of haste before.	I wasn't as hungry as I could have been.
فْرمونی کو چِه شو اَی دوعَه	at the orders her husband left her	I found her praying for her husband.
کنجکاوی و دَقَتینَه، عجیبَ زمینی ک بَلَکِما چه دایر و کناری دییِشتْمَه	look around me with some interest on the strange land that I was in.	I was curious about the spot where I had fallen.
پِشتی نه سْنگَه کوئَه سری خْتَه	lay down on his back on the heap of stones.	He fell asleep on his back.
قرار نییا هَنی اَی بْوینیم.	I was never supposed to see him again!	I didn't mean to see him again.
انگار مجبورینا بَهَرزین اَع اشتَن لوعَه بکَره.	as if they were forced to let him say it.	as if he were bound to utter profuse and doleful lamentations over her body
اْمَه کو از تْلیمَه شومَه کَه را.	that is why I hastened to you.	We're out of his reach.
