source	reference	translation
Nika pê hêrişan yeno waştenê ke heme qezencê înan dest ra bêrê girewtene.	Now, these attacks are intended to take away all their achievements	Now they want to get rid of all the obstacles.
Çimê mi bîyî pirrî hesirî.	My eyes filled up with tears	My eyes were full of tears.
No zî beno semed ke vîrus vila bibo.	This, too, is the reason why the virus spreads	And that's a great way to remember.
Hetanî sinifa çarine dewa xo de waneno.	He studies in his village until the fourth grade	he read thee in the flame of fire and flame
Ganî pêro cinîyî xeyalanê xo bîyarê ca.	All women should fulfill their dreams	The animals must have complete imagination.
Mi zî tercumeyê kirdkî kerde.	And I have translated it into Zazaki	I was also afraid of getting eaten.
Seba ke ciwan vera naye vejîyano polîsî ey wesayîtî ra fînenî dûrî û dest şanenê qirrika ci û erzenî erd.	Because the youth protests against this, the police throws him out of the car, grab him by the throat and onto the ground	for the young man upon the outing of his cell, made him fly across the moor and into the field.
Ma vînenê ke rayaumûmîye de derheqê bawerîya elewîyan de muneqeşayêko cîyaker yeno kerdene.	One sees that the separatist discussions are made in public concerning the faith of the Alevis	We'll see that there's a difference between Wal-Mart and Wal-Greenland about this ear.
O rî ra kî ê mînetdarê dersimizan ê.	For that reason they are thankful to the Dêrsimis	That's why they're in the middle of the classroom.
Hetê ra gureya hetê ra kî wend.	On the one hand, he worked, on the other side, he studied	From that side, the winds slowly grew unnoticed.
Her diyan sere şanayo pê ke ti vana qey kirmanckî nînan afernayo!	Both of them smashed their heads together as if they created Kirmanckî on their own	That's why you can't say goodbye to everyone!
Welatê ma binê sîyasetê qirkerdişî de yo.	Our homeland is subject to deathly politics	Our country is under the sea.
Wa wendişê mewlidî biancê kamera.	We should record the reading of the Mawlid	In that case, we should take the precaution of reading the camera.
Tena yew qusurê xo esto ke merdim nêeşkeno nuşteyan kopî bikero.	There is only one flaw, one cannot copy the writings	There's just one word left for people to write at the same time.
Ino hereketê ci îsbat kerd ke ez otomatîkman biya serekê grûbî.	His/Her movements proved that I otomatically became the leader of the group	It's a sign that I left this land of memories on the grass.
Yeno keye ke nîmeyê awe zî nêmenda.	He comes home and not even half of the water is left	It's like a water pipe that doesn't stop.
Ez koma her dîyan a.	I am in both groups	I'm a full-blown Yahoo.
Her çî wextê ey esto.	Everything has its time	It's all time.
Eke roşîya nême şima rê nême bidîn ma.	Once sold, half is your, give the other half to me	If you don't see us in the dark, there's no electricity.
Dima sond dekerna û beyraqe dîrege ra arde war.	Later, he recited the oath and pulled down the flag from the pole	Then he entered the room and came down from the wagon.
Kifş o ke cuye o tayê rew hincirnayo.	It's evident that life has worn him down a bit early	It's easy to assume that it's not too far from now on.
Xora qeleme dest de hazir a!	The pen is already ready in hand!	It's right, and the pen is ready!
Yew hîkaya xo bi formê nameyî amo nuştene.	One of his/her stories was written in form of a letter	He wrote a story in a very emotional manner.
Zereyê çimanê xo ra to de huyeno.	He laughs at you from within his eyes	He's laughing in his eyes.
Kesî îtîraz nêkerd.	Nobody objected	No one doubted the security of your future.
Merdim ancax ziwanî ra bizano.	One can only know from the language	People will learn the language of the people.
No kî çîyode zaf rind o.	This is a good thing, too	I thought all this very pretty and engaging
