source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I've been in this situation for four hours.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	It was covered with fur and silk.
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't want to be like this.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	He explained to her that he didn't want her to be his niece.
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	Take the paper from your desk.
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	The flesh of this dupelet is gone forever.
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	He defeated the enemy.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	Clyde was really sick.
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	He asked, his legs were bent and his waistcoat was bent.
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I've had the peace and strength of mind.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	Yet it's clear that everything and everything he's been through now shows that he's done it.
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I pulled it out of my head and made it up.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	It's like the medals weren't paid off.
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	But I felt overwhelmed.
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	It's an unlucky life, not a great love.
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But between their hands and knees, it's only a matter of getting married.
چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	It's like gymnastics is doing the right thing to do.
وه دنگ پای زمان گۊش اؽڌه	listening to the echoing footsteps of years.	He listened to the beatings of time.
مو فقط وا ئی خانوم نه بڤینوم	I must see the lady.	I just have to see this lady.
وه نظر تو هم آڌم وه کار بخوریه	he struck you as being pretty handy.	I think you're a good candidate, too.
ولی سیسرک ز دسترسس وه دیر بی	but it was safe out of his reach.	But he was out of reach.
گشت آرمۊنلم وه دستوم رهڌ	I have lost all my illusions.	I've lost all hope.
صحاڤلسۊݩ یا مورده بیڌن یا فیچسته بیڌن	all of them silent now, their owners dead or fled.	It's like they're dead or buried.
وه زلی وه ئی لیک کۊچیر رهؽ سی عبۊر واز اؽبۊ	it soon stood wide open also.	He was afraid he had abandoned this small town.
یه‌ناگه و وا دلسردی فهمستوم که یو سال آخرمه	I knew with sudden, chilling certainty that this was my last year.	Suddenly I realized I was in the last year of my life.
په دهۊنمه واز نکردم	I kept my mouth shut.	I didn't open my mouth.
ایما هنی همۊچونیم که ویساده بیمۊݩ	we're still where we were.	We're still waiting for it.
فۉرا فهمستوم ئی کلیل هؽن کۊچو بی	I knew immediately what this key was to	I quickly found out where this key was.
په تو اؽتری رهته بگری بری و مو نه تهنا بؽلی.	so you can get the hell away from here and leave me alone.	You have to go somewhere else and leave me alone.
ولی کسؽ جوریت دغالت مؽن ئی کار نه نڌاشت	but nobody dared to interfere.	But no one was involved in it.
یا یو که ناخڌا سرس نه اشکنه	or knocked on the head	Or one that didn't stop him.
هو تا مجال ٱفتۉنشینۊݩ اوچو مند	there he remained till nearly nightfall	He waited for the opportunity to find out.
هۊنه بون هو رۊزؽ لهرؽ نه بؽشتر بی	as though it had once been a large stone pigpen	It was like that day, not even a day.
ایو کارؽ زنشت دار و دوشخار بی	that was painful and difficult for him.	It was alive and well.
بۊهخشین که مؽن جا کشیدومت در	I'm sorry I've dragged you out of bed.	I'm sorry I pulled you out.
مجالشه که دی بکشی کنار	it's time for you to step aside.	It's time to take it back.
ز ته سیم امکانس نی	as I could not possibly have done	It's not possible with your wire.
شکوم نی که باعث مرگس وابیڌ	I have no doubt that it led to his tragic end.	It's not the glory that caused his death.
وختؽ که وه گمۊنؽ که دوز اویده سیخ چاله نه ڤورگرهڌ	when he got the poker in case of burglars	When he thought it was right to go to the sheikhs, he picked it up.
وه اسپ کرند که خزمتکار و دۊست مو بی فرمۊن دا	ordered the sorrel nag, my fellow servant	He commanded his servant and his friend.
جلز یه سلۊم علیک رسمی	that they had never gone further than formal greetings	It's like an official seal.
خاس بیا داخول که در ز داخول بسته وابیڌ	but the bolts were in place.	It's nice to come in when the door is locked.
مو سرمست ز یو که هو سر مجال ڤرگشته بی	I'm glad she got back in time.	I'll take it from time to time.
ولی وه گمۊنوم گشت گونا ئی بڌبختی وه نای مونه	but I take all the blame upon myself	But I think it's all bad luck.
یه‌ناگه تی زس ڤرگرهڌ	looked quickly away.	Suddenly he was in a very stable condition.
دارستۊݩ ایسو ز رنگ شه وه رنگ کۉ وابیڌ	the forest was gray now instead of black.	The color of the rainbow became clear.
ئی کار ایما نه وه کاهلی اؽواداره	which disposed us to sloth	It's up to us, not everyone.
که ئی واله ئیقزر زهله بر کرده بی	that so much invested the whale with natural terror	That the whale is exalted.
سی یو که دوهڌر چۊپۊنه نڤینه تصمیم گرهڌ ڤی ولات روه	in order to escape from her, he determined to quit the country	Because he didn't want to see the end of the war, he decided to go to the provinces.
ز حالس ناراضی نبی	her mind had no distaste for her own set	But he wasn't happy.
گشت ٱند خوسه ز ڤیر برد	the obligation faded.	He forgot everything about it.
باڌ هم ٱمۊݩ ندا و گشت زمین و زمانه وه یک رهڌ	I never see the wind blow so.	It's become a mystery, and the whole earth and time are together.
ولی شازاڌه زس زه وا نها	but the old prince interrupted him.	But the princess refused.
وه سی لف بارۊݩ یه‌ناگه تارستن	turned into a rout because of a devastating downpour.	Suddenly he became paralyzed from the waist down.
اوچو نه سیکه مؽن آینده هم کلاس درمۊݩ وابۊ مرتڤ کردیمۊݩ	arranged it for the future schoolroom.	where we had arranged for it to be in the classroom in the near future.
مو کشیشوم و ڤا وه هر بهتۊنؽ وه دیر بۊم	I am a priest and therefore I ought to be above suspicion	I'm a priest and I'm late for school.
