source	reference	translation
مۊ أن-أ سٚفارش بۊکۊدم	I have advised him to do that.	I've been through this.
مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	I want the truth, the truth!	I must choose the right, the right!
مي گۊلي-أ پخ بزئم	I cleared my throat.	I picked up a bunch of them.
اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	but I am always fond of children.	I'm going to start my career as a kid.
وانمائي مأنستن کي بام ٚ جؤر نهأ	you're like the weather cock on a roof.	It's like I'm ready to go.
خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	stood, livid and trembling, before us.	Instead of hiding, he washed the face and stood in front of us.
سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	went up the hill and out of sight.	He bowed his head in such a way that my eyes were puzzled.
زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	even as the hairs on my arms began to shrivel.	When he grabbed my hair with his hands, he was very hungry.
مي سرأ بشادم	I shook my head.	I hit my head.
هسأ همتتأ چي مرأ واضح بخاطر بامۊ	I can remember it vividly now	Now it's all clear to me.
خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	he put his hand up to his forehead.	He put his hand on his forehead.
مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	I raised one hand to halt his apology.	I held my right hand to finish his apology.
ایتأ دۊتأ پیله آه بکشي	gave a long gasp or two	She cried out in a loud voice.
مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	I don't set up to be one of those men that don't care about women.	I'm not saying I'm not from the kind of men who don't look like women.
بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	I thought it might be important.	I thought it might be interesting.
خاطرجمائي ناشتيمه تۊ بيبي	I wasn't sure it was you.	I didn't expect you.
نۊقره ای آچارأ خؤ جیف ٚ جأ بيرین بأوۊرد	took a silver key from his pocket	He quickly pulled a key from his pocket.
ولي هلماله سۊمأ زؤرأ نأره	but hasn't got any magic powers.	But the third attack didn't last long.
سيأبختي پاپرۊس ننأ	I'm afraid there are none.	It's not bad luck.
چۊن ناخؤش بؤ.	because she had been ill	Because it was unpleasant.
خؤ عازمأ جزمأ کۊده	for he had made up his mind	He made up his mind.
مزایأ سرأ گیفتن	the racers started.	It's like they're having fun.
نهايي ضربۊ واقئيت ٚ جأ اۊن ٚ دس نهأ	has the last featuring blow at events.	Finally, he hit the truth with his hand.
آلبت ایتأ دۊتأ اۊشان-أ تفریح وأسي رأ تاوده	I doubt if he's gotten that far yet in fact, I'm sure of it.	They've arranged for the girls to have fun together.
سرأ گیفت شعرانه حیفظ-أ کۊدن	went to work to get his verses	He's got his head in the pocket.
اۊن ٚ ناقۊشي چاقأ کۊدن ره اۊن ٚ أمرأ شيريک بۊبۊست.	be represented as a partner in his own cure.	It was fun to carry that knife.
روٚقد نأرمۊ	I am out of spirits.	I didn't have much money.
هني بنماست کي کي واخاب نيه ایتأ گل اۊیأ ايسأ	to avoid betraying that he knew she was about.	He didn't even think about choosing someone who was there.
شيمي اطلاعات نيشان دیهه کي خؤرم ٚ زأک ؤ ذات ٚ خۊش بۊ	if it had been favourable to the boy.	You'll find information about his childhood and his temperament.
حتأ ایتأ پئلي أن ٚ لیواس جيرأ تکان ندأ بۊ	had not so much as altered one angle of his vest.	not a shawl was stirred at the bottom of the mantelpiece.
راستؤف اۊ قضيه پٚسي دئه خؤ خانواده ٚ داشت ؤ دارائي اۊمۊر ٚ جأ خؤرأ وانسي	said he to himself, and after that he did not meddle in business affairs.	Indeed, he had his family behind him, and his descendants were buried in the same place.
یاواشيکه بيشئم خؤرؤم بار ٚ مهمانانه ورجأ ؤ ایتأ دۊتأ ايستکام وۊکۊشئم بۊجؤر	I sneaked off to the private bar to have a pint or two before dinner.	I went slowly to the front of the caravan and killed a little girl.
هتؤ کي ساغ ٚ جان ٚ مرأ جه ایأ دۊوارس ترأ گؤیم	I'll tell you as soon as she's safely away,	as far away as possible as possible.
مۊ أن-أ نۊبۊردم اؤیأ کي أن-أ بۊکۊشم	I didn't go upthere with her with any intention of killing her.	I didn't look for a place to kill.
هیذره خؤرم نیؤ کي گٚل، سفر بۊشۊ دکناپره	not a pleasant night for a dip in the sea	I don't think he's going on a trip.
مرأ ترسأ گیفت کي وارش ٚ جئر زنگ بزنۊ یأ سرما بۊخۊره	I thought it might get rusty with the rain, or catch cold	He was afraid he was going to catch a cold while the rain was beginning to fall.
خؤ حوسأ هممأ اؤفتن ٚ سٚر بنأ	became absorbed in it.	He paid more attention to the details of the operation than to the details of the operation.
مي حقسأی ٚ بۊکۊدم کي ایتأ مۊدیرعامل ٚ بازاریاف ٚ مأنستن آرام به ٚ چۊم بأيم	I'm trying very hard to look like a relaxed business class top marketing executive.	I did my best to keep an eye out for a more convenient way of doing business.
اۊن ٚ مرأ لا چأکۊدم	we'll have enough of it to stuff a sofa!	I pushed her to the side.
مچه پیله مۊئن جه ميئن بيشأ بۊ	all the hair had gone from her face	There was a big fistfight between the two of them.
أن وأسي کي تاهسأ هئکس اۊن-أ نامۊخت-أ بۊ	because nobody had taught him.	That's why he didn't want to talk about it.
أن جٚمعیت جأ هلماله پن نفر ٚ جئن ويشتر مردأک نيسأبؤد کي کسانأ بشنأسيد	there were never more than five men who knew each other.	It didn't take long for people like you to get to know each other.
کي تۊ هادر دیل سنگي کي مرأ غؤرصه جیگیر بۊکۊدي	you could be so hard hearted as to let me suffer so.	Who are you? Who are you? Who are you? Who are you? Who are you? Who are you? Who is you? Who is you? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is he? Who is
هسأ ساعت دۊوازأ کرأ فأرسۊ	twelve coming on to pass away.	It was less than two o'clock.
هانقدر تا هیجدأ سال بۊستن	when I am eighteen!	How old they were.
آئیني لافندان جه ای پئلي تا اۊنپئلي بي واچرسئن دۊمباله دأره	the iron bandstraversed it from side to side without any break.	The rope rope was attached to it from the top of the rope to the bottom of the rope.
اۊن-أ خۊشانه سراسر بداشتيد کي تۊفنگ-أ اۊن ٚ دس ٚ جأ فیگیرد	stopped him in the vestibule and tried to take the pistol from him.	They're all in a hurry to stop the gunfire.
اۊنأ منت بۊکۊدم کي حؤصله ٚ بۊکۊنه ؤ خؤ قصصأ بۊگۊیه	I begged his patience to hear me tell my story	They taught me how to play the instrument and tell my story.
ایتأ ایجرأ سۊبي مأنستن کي گل خؤ شائي-أ ؤ ناجه-یانه اۊن ٚ جأ بکارأ گیره	a wheezy performance, into which he threw much ambition and an irrepressible hopefulness.	It's like he's in a hurry to replace her with his wishes and aspirations.
ایدفأ همتتأ پس بينيشتن	but this time all had come.	Then they all looked back.
ایتأ مردأک کي هلماله نیدأ بؤم	whom she had never seen	A man I never saw before.
أن ٚ سرأيم دوستأ بؤد	his head was bandaged with a linen cloth.	That's what I love.
مخصۊصن کي ایتأ سواد داره گل ٚ مأدۊ سئر ببۊ	especially if the educated ones have their stomachs full.	Especially for those who don't know how to read or write.
مۊ وأسي مه نقاب-أ ویگیرم اگه مأ گرمأ کۊد	I shall take off the veil if I get too hot.	I'll take off my mask if it warms me.
مي نظر بياتر أن ايسه کي نامأ هایأ تۊمان-أ کۊنم کۊجه باسلۊق چأکۊنم	I think we'll stop now and make some fudge.	I think it's better to make a little money by writing these letters.
مي ناجه أن ايسه کي اۊقدر کي مي زؤر فأرسه تي رٚضايت ؤ آسايش ٚ واستي حقسأی بۊکۊنم	I hope I shall do everything to your satisfaction.	I hope to do as much for your satisfaction as I can for comfort.
هیچ زمات طلاق-أ نیگیرم	I'll never divorce him,	I'll never get divorced.
اگر نۊبؤسته بۊ هن رۊزانه به	there will be.	If it wasn't for that, it would be on the same day.
وشتن کۊدنه مراسم ٚ مأنسۊ کي مره سۊتال بۊ	like the prom, for exampleseemed silly to me.	It was like throwing it at me.
يني اۊجۊري کي بياتر جه اۊن نؤبؤسته تي دیل-أ سيني جأ بيرين بأردم	I took out your heart as well as I could	I'll take your heart out of your bosom as best I can.
همسائيان خۊشانه شائي-أ جه دس بدئن	every face in the neighbourhood worsting	the neighbors had lost their good looks.
یاواشکه بۊگۊفت کي شازدۊ خۊفته ؤ تۊندؤتأکیته درأ دٚوٚست	reported in a whisper that the prince was sleeping, and hastily closed the door.	He told me quietly that the prince was asleep, and that he had hurried out.
ایتأ پاصدایأ بيشنأوستد	there was a scuffling outside	He heard a footfall.
مۊ اۊن ٚ گب-أ هئکس ورجأ وأسي نزنم	I was to say nothing about him to anyone.	I don't have to tell anyone about it.
اسپیدتر آف ٚ جأ	clearer than the water.	It's faster than usual.
امأ تنأکه هن نۊبؤ	that wasn't all	It wasn't the end of the war.
بمانستم کي شاید مرأ دسبازارأ گیفته	I wondered if she was making a fool of me.	I thought it might catch me.
مۊ یاقاراني-أ مأطلم ؤ کاري نأرم	I haven't a cent in my pockets, and nothing to do.	I'm a stalker. I have nothing to do.
مۊ اۊ فؤرصت-أ پيشأشؤ بيشئم	I welcomed the opportunity.	I'll take advantage of that opportunity.
رایأ نتأنم بيافم	I can't find the way.	I can't find a way out.
کار ٚ مرأ سقت سرگرمي داشتيمه	he was very busy.	I had a great deal of fun.
دۊر ٚ جأ مألۊم نۊبؤ	not noticeable at a distance	It wasn't far from where I was.
ایمرؤيي ايسئم، فردائي نيسئم	I'm alive to day, but to morrow	It's called today, it's not tomorrow.
مۊردیم کار ٚ خأني	about the way people work	You're going to die.
بي خابي جأ جندؤپري مأنستن بۊبۊسته بؤم	I was a zombie of sleeplessness.	I'd been a hell of a hell of a lot of shit.
خۊ کۊلایأ میز ٚ سٚر تاودأ	threw his hat on the table	He put his wooden handle on the table.
خایله محبۊبيت داشتي	she was also very popular.	It's like you're in love.
ایتأ گل ٚ دیگرأ داشتیمه گۊ مي رافأ أسابۊ	I had someone else waiting for me.	I had another unexpected meeting.
هتۊ کي گي خؤ تصمیمأ بيگیفتأ بۊ	as though he had suddenly reached a decision	as if he had made up his mind.
بأزین هایوأره خؤ لبظأ وأگردأني	suddenly changing his tone	You're going to have to come back as soon as possible.
البت کي مي خاطر جأ دره	I do remember.	Of course I remember that.
