source	reference	translation
چوار ساعەتێ پی بارودۆخوە سەرم کەرڎەبێ	I was four hours under these circumstances	Four hours ago, I was in a very bad situation.
گجییە کوڵ و پاتۆڵێ شەترەنجیش کەردەبێنە	in plaid frock and trousers.	He was wearing a full-bodied jacket and a pair of shorts.
من ئیزن نمەڎو کە ماجەرا پی جۆرە تەمام بۆ	I won't let it end like this.	I'm not going to allow this kind of adventure to end.
هەوڵش دا کە قەسدو خاتوونە پیرەکێ دەرک کەرۆ	trying to grasp the old lady's meaning	He tried to hide the old lady's words.
ڕۆژنامەکەش جە لاو مێزەکەینە هۆرگێرت	he picked up the paper.	He pulled the paper from the table.
شایەد ئی کناچێ عالێ پەی هەمیشەی جە دەس بلۆ	she might be required to sink herself forever.	Maybe that's enough for all of us.
بە جمانیوە هەڕەشەیی دەستوورش دا پەنەم	he ordered me in with an oath	He commanded me with a threatening move.
بەڕاسی کڵاید ئەسیر بیەبێ	so truly was he captivated.	Clyde was actually captured.
ساش جە ئسترس و تەرسینە وشک بیەبێ و گیریابێ. ئاو پەرساش	she asked, her voice rough with stress and fear.	The glass was dried and frightened.
یەواش بە زۆرو زانویم هۆرستانی	I raised myself gently upon my knees	I got up with all the strength I could.
پی حاڵە تەمام شواهێدی کە هەن جە جۆرمو ئاوی حکایەت مەکریۆ	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	Yet all the evidence of the existence of such a kind of waterfall is unavailing.
زوو ئی فکرامە جە زهنیم گێڵنایم و شعرم وەش کەرد	I immediately turned this thought over in my head, creating lyrics.	I didn't think about it sooner in my life, and I loved it so much.
پی گومانە کە مداڵەکێ جە تڵایە ناب و عالی مۆنێ	thinking that it was a medal of solid gold	He doubted that the situation was not in a very good and humble condition.
بەڵام فرە پەیشا ناڕەحەت بیانی	but I felt so sorry for them	But it was very difficult for them.
من زندگیم فرە وەش گەرەکەن. بۆبەختی ئینەنە.	I've loved life too much, shamefully much.	I want a very good life, and that's the happiness.
بەڵام جە حاڵیە کە سەرو دەسا و زانویشاوە خزێنێ جە لێو گیاوەکانە لوێنێ وەروە بە تەقناو هەمزەمانو تفەنگەکاشا حوزورو وێشا ئێعلام کەرد و دماو تەقناو تفەنگی فرەیە جە سەروازەکا سەرو ئەسبەکەیشاوە کوتێرە واری.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But while their arms and knees were bent over the grass, they announced their arms around them, and the soldiers on their horses were stunned by their heavy guns.
پسۆ ژیمناستیک کاریە کە پی کاریە عادەتش هەن	like a man accustomed to that kind of gymnastic exercise	It's like he's used to it.
گۆش گیرتەی جە دەنگدانەوەو هەنگامەکا ساڵانی	listening to the echoing footsteps of years.	He listened to the passage of time.
مشۆم خانمەکؽ وینو	I must see the lady.	I have to see the lady.
ئاﮆ پسە کەسێ یارمەتیدەر دیار بؽ پەیت	he struck you as being pretty handy.	He appeared to you as an aide-de-camp.
بەڵام دوور سڵامەت بؽ جە دەسش	but it was safe out of his reach.	But he's out of his reach.
من گرد وەهمەکؽ جە دەس داینؽ	I have lost all my illusions.	I lost everything.
ئؽسە گرد بؽدەنگؽنؽ خاوەنەکؽشا یا مەردؽنؽ یا ڕەماینؽ	all of them silent now, their owners dead or fled.	Now it's all their own silence, death or flight.
فرەش نەبەرد بە هەمان شؽوە بە فراوانی کریاوە	it soon stood wide open also.	It didn't last long, and it was expanded the same night.
ناکایێنە و بە دڵ سەردی زانام ئینە دماین ساڵەو منەنە	I knew with sudden, chilling certainty that this was my last year.	Suddenly and with a cold heart, I realized that this was my last year.
دەمم وستەبیرە	I kept my mouth shut.	I shut my mouth.
ئیمە هیشتای ئینایمؽ چا یاگؽنە کە چەنەش بؽنمؽ	we're still where we were.	We're still where we're supposed to be.
یەکسەر زانام ئی کرؽڵە پەی چیشیا	I knew immediately what this key was to	I knew what the key was for right away.
پەوکای تاوی جەحەنەمەکەی دوور وزیۆو من تەنیا جیا بازی	so you can get the hell away from here and leave me alone.	The point is to stay out of the depths of the sea and leave me alone.
بەڵام کەس نەیارؽ دەسش وەردۆنە	but nobody dared to interfere.	But no one dared to touch it.
یان دانشا سەرەیش	or knocked on the head	Or give it to him.
چاگە تا نزیکەو شەوی مەنۆ	there he remained till nearly nightfall	stayed there for the night.
پسە ئانەی کە ڕوێ بەزارێ تەوەنی زلەش بیەبۆ	as though it had once been a large stone pigpen	It's like he's wearing a red bracelet.
کە پەی ئاﮆی بە ئؽش و قورس بؽ	that was painful and difficult for him.	It was hard for him.
داواو عەفوؽ کەرو کە تۆم دلؽ یاگەکینە ئاردی بەرۆ	I'm sorry I've dragged you out of bed.	I'm sorry I took you out of bed.
کاتو ئانەینە کە وازباری	it's time for you to step aside.	It's time to get rid of it.
کە نەتاوام کەروش	as I could not possibly have done	I couldn't do it.
گومان نیا چانەینە کە ئینە بؽ بە هۆو ئانەی کۆتایێ تراژیدیش ب	I have no doubt that it led to his tragic end.	I don't think it was because of the tragic ending.
کاتێ پۆکەرەکەش کەیس و دزەکانە دەسکەوت	when he got the poker in case of burglars	When he picked up the jacket and the jacket.
ڕەفیقە خزمەتکارەکەم فەرمانش بە سۆرێل ناگی کەرد	ordered the sorrel nag, my fellow servant	My servant friend commanded a heavy sword.
کە هەرگیز جە سڵامی فەرمی زیاتەر نەلاینؽ	that they had never gone further than formal greetings	that he would never receive more than a formal greeting.
بەڵام بتڵەکؽ یاگؽ وؽشانە بؽنؽ	but the bolts were in place.	But the bottles were in place.
وەشحاڵەنا کە گؽڵایۆ پەی کاتو وؽش	I'm glad she got back in time.	I'm glad he's back in time.
بەڵام گرد و تاوانەکەی وزو ملو وؽم	but I take all the blame upon myself	But I've put the blame on myself.
بە خؽرای تەماشەو دووریش کەرد	looked quickly away.	He looked at it from a distance.
دارستانەکە ئؽسە جیاتی سیاوی خۆڵەمێشی بؽ	the forest was gray now instead of black.	The forest was now cleared and cleared.
کە ئیمەش وستیمؽ تەمەلی	which disposed us to sloth	That's what we're waiting for.
کە وەربهێنانش کەردەن نەهەنگەکەنە بە تیۆری سروشتی	that so much invested the whale with natural terror	That the theory of the whale is a natural principle.
پەی ئانەی جە دەسش ڕزگارش بۆ بڕیارشدا وڵاتەکەی جیابازۆ	in order to escape from her, he determined to quit the country	He decided to leave the country because he had lost his hand.
مەژگش قینیش جە کۆکراوەکەو وؽش نەبؽ	her mind had no distaste for her own set	He didn't hate his collections.
پابەندبیەکەی کاڵ بیۆ	the obligation faded.	His commitment was terminated.
هەرگیز نەدیەنم وا پؽسە ورکەرۆ	I never see the wind blow so.	I've never seen him get behind it.
بەڵام شازادە پیرەکە قسؽش بڕیە	but the old prince interrupted him.	But the old prince stopped speaking.
بە هۆو وارانێ فرەو ویرانکەریۆ بی بەهۆو شکستی	turned into a rout because of a devastating downpour.	It was caused by heavy rain and caused by heavy losses.
