source	reference	translation
همینتی چار سات سر هکردمه.	I was four hours under these circumstances	That's what I did for four hours.
کل جمه و چارخونی شلوار دپوشی بییه	in plaid frock and trousers.	The crowd was all wearing their pants.
من نلمبه که ماجرا اتی توم بوه.	I won't let it end like this.	I didn't come here to tell you.
کوشش هکرده پیرزنای رای ره بفهمه.	trying to grasp the old lady's meaning	He tried to understand the old woman's voice.
روزنومه ره میز کنار جا بیته.	he picked up the paper.	He put the diary on the table.
ولکه این نازنین کیجا درسسی از دس بوره.	she might be required to sink herself forever.	Instead, this beautiful girl is really lost.
با ات تا فاش مه ره فرمون هدا.	he ordered me in with an oath	He commanded me with a fistful of fists.
راسسی راسسی کلاید اسیر بیی بییه	so truly was he captivated.	Clyde was actually captured.
ونه گلی از ترس خشک بییه و بهیته. و بپرسییه	she asked, her voice rough with stress and fear.	His throat was dry and dry, and he asked.
یواش یواش لینگ رهی هکردا راس بیمه	I raised myself gently upon my knees	I raised my legs slightly.
با این حال درس همه چی شاهدی دننه که و مجرم بییه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	Yet the truth is that everything testified to his conviction and conviction.
اندریک یان فکرا ره شه سر بگردندیما ات تا شعر بساتمه	I immediately turned this thought over in my head, creating lyrics.	I wrote a poem for the sake of reflection.
با این گمون که مدال اصلِ طلای جا هسسه	thinking that it was a medal of solid gold	It's like the meds are in gold.
ولی وشون واسسه خله متاسف بیمه	but I felt so sorry for them	But it's very unpleasant for them.
من دیین ره خله دوس دارمه. بدبختی همینه.	I've loved life too much, shamefully much.	I love you so much. That's the kind of misfortune.
اما همتی که شه دس و لینگِ جا ساخه سو کردنه و بوته لا به لا پیش اییمونه سرآخر هنتی تفنگ جا شلیک کردنا نشون دانه که در اننه با اون شلیک هم خله از سربازون شه اسب زین پشت جا پایین جر دکتنه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But when he pulled out his hands and feet and moved to the front, it was as if he had been gunned down, and a lot of soldiers had been hit from the bottom of their horses.
