source	reference	translation
چوار سات وەی حاڵەو ئەو سەر بردم.	I was four hours under these circumstances	I've been out of it for four hours.
شەۊ و شواڵ چوارخانە لە وەر	in plaid frock and trousers.	the trousers and shorts of the squadron.
نیەیلم هە لێوا بنێ باێ	I won't let it end like this.	I don't want to keep it that way.
تەقەلا ئەڕای ئەوڕەسین لە مەبەست کەیوانوو	trying to grasp the old lady's meaning	I'm trying to get to the bottom of it.
کاغەزەگە گردەو کرد.	he picked up the paper.	He picked up the paper.
هاتێ تواسۊد ئەڕا هەمیشە خوەێ بخنکنێ.	she might be required to sink herself forever.	Maybe he's going to bury himself forever.
وە قەسەم و قورئان نا ملم.	he ordered me in with an oath	I'm not going to die by the word of God.
هە وە ڕاسی، ئەو دیل کریاۊد.	so truly was he captivated.	In fact, he was born.
وە دەنگێ زبر لە سترس و ڕخ پرسیار کرد.	she asked, her voice rough with stress and fear.	He asked in fear and fear.
وە ئارامی خوەم لە بان وێرزنگەیلمەو بەرزەو کردم.	I raised myself gently upon my knees	I lifted myself gently from my knees.
وەی حاڵەو کول دووخەیل دەور وەر لەو ساتە چمانێ لێوا نیشان دەن کە ئەو کارە کردیە.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	Yet all the facts surrounding him at the time seemed to indicate that he had done the job.
م زۊ ئێ هۊرە خسمە ناو سەرم و هەڵبەستەیلێگ وتم.	I immediately turned this thought over in my head, creating lyrics.	I immediately put the idea into my head and made a decision.
فکر یە گ ئەوە مداڵ زێڕ ڕەقێ بۊە.	thinking that it was a medal of solid gold	It's the idea that it's a golden globe.
ئەمانێگ م فرە داخم هات ئەڕایان.	but I felt so sorry for them	But I'm very sorry about it.
م فرە ژیان دووس داشتم، جی شەرمەزارییە.	I've loved life too much, shamefully much.	I loved it so much that it was nothing to be ashamed of.
ئەمانێگ وە گامڵەکیەو لە ناوێن بووسانەو خزیەن، و تەنیا وە تەقەی تفەنگ وە یەکەو کە فرەیێگ لە زینەگان چووڵەو کرد، هەبۊنیان ئاشکرا بۊ.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But it was only through a single gunshot wound that their presence was exposed to the naked eye.
چۊ پیاێ کە هووکارە بۊەسە ئەوجوورە تەمرینەیل ژیمناستیک.	like a man accustomed to that kind of gymnastic exercise	He's like a man who's used to this kind of exercise.
گۊە تەکانن لە شوونپای ساڵەیل	listening to the echoing footsteps of years.	Listen to the footsteps of the passage of time.
م تەنیا تواێ ئێ خانمە بۊنم.	I must see the lady.	I just need to see this lady.
وە باوەڕ ت، ئەو ئایەم لێهاتیێگە.	he struck you as being pretty handy.	I'm sure he's a good man.
ئەمانێگ ئەو دۊر لە دەسڕەسێ ئەمنۊ.	but it was safe out of his reach.	But he was out of reach.
گشت خەیاڵەیلم لە دەس دامە.	I have lost all my illusions.	I've lost all my imagination.
ئیسە گشتیان بێ دەنگ، خاوەنەگانیان یا مردێ یا دەرچێ.	all of them silent now, their owners dead or fled.	They're all quiet now, whether they're dead or alive.
وە زۊییش تمام واز بۊ.	it soon stood wide open also.	It was soon abandoned.
وە دڵنیاییێگ لەناکاو و ساردکەرەوە زانسم کە یە دۊا ساڵ منە.	I knew with sudden, chilling certainty that this was my last year.	I knew with a sudden and bitter certainty that it was the last year of my life.
دەمم بەسۊم.	I kept my mouth shut.	I shut my mouth.
ئیمە هێمان هایمنە ئەو جیە گ بۊمن.	we're still where we were.	We're still where we used to be.
زۊ ڕەسیمەو ئێ کلیلە ئەڕا چەس.	I knew immediately what this key was to	I quickly came to the point where the key was.
