source	reference	translation
چار ساعَت هْنجورَه مَندیمَه.	I was four hours under these circumstances	I've been waiting four hours.
شطرنجییَه جْرقَه و شْوارْش دَرییا.	in plaid frock and trousers.	It was chess and chess.
از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	I won't let it end like this.	I don't want the story to end like this.
خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	trying to grasp the old lady's meaning	It took a lot of practice to get the old woman's point out.
روزنومه میزی وَری کو پیگِتْشه.	he picked up the paper.	I'll tell you where he put it at the table.
شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	she might be required to sink herself forever.	I'll keep my hands on this beautiful girl forever.
فَشینه من فْرمون دوشَه	he ordered me in with an oath	It's like I'm in a bad mood.
کلاید راس راسَکی اسیر با	so truly was he captivated.	Clyde was really arrested.
چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	she asked, her voice rough with stress and fear.	What a voice of anxiety and fear!
یَواشینَه زونو نَه ایشتیمَه.	I raised myself gently upon my knees	I didn't even think about it.
با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	Yet all this evidence shows that this was a wrongdoing.
ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	I immediately turned this thought over in my head, creating lyrics.	Suddenly, the thought in my head made me laugh.
ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	thinking that it was a medal of solid gold	I don't think it's worth the trouble.
وَلی خَیلی اَوون را تَسْف هَردْمَه.	but I felt so sorry for them	But I was very sorry.
از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	I've loved life too much, shamefully much.	I'm more than a woman, I'm miserable.
اما در حالیکو سینَه ویسنِه کرین و نیهالون مینی کو جلو آین و آخْرْنَه‌سَر اشتن تفنگون گولون ایله ویداشتشونَه و اْشْتَن صْفَت دوشونَه و بَدَز اَ ویداشته نی خَیلی از سربازن اسبون زینی سری کو جیر ویلَکینَه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But in the midst of the twentieth and nineteenth, they advanced forward, raised their heads with their small guns, and, after that, they drew down a large number of the soldiers of the cavalry.
ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	like a man accustomed to that kind of gymnastic exercise	The physicist did what he had to do.
زمانی پا صْتا کْرا گوش آکَری	listening to the echoing footsteps of years.	When he heard the cry.
از فقط پی اْم یِنَکی بْوینْم.	I must see the lady.	I just want to see this woman.
اْشْتْه نظر دِرِه نی بدربخوره ادمیه ؟	he struck you as being pretty handy.	Don't you think he's a bad guy?
اما بْزبْزَه چِه دایرَه کو دور مَندا.	but it was safe out of his reach.	But he stayed away from his neighbor.
چْمْه ناجِن همه بْ باد شینَه.	I have lost all my illusions.	I wish everyone were gone.
چَوون صِیِبِن یا مَردَینا یا دَوَشتَینا.	all of them silent now, their owners dead or fled.	They're either dead or dead tomorrow or they're going to die tomorrow.
هْم زودیون اْم روکَه خْلْ ایلَه راهی شی آمادَه آبو کْ بِش و بِری بْکَرْن	it soon stood wide open also.	They'll soon make a big deal out of it.
ایی دَفَعی فَممَه کو اْم دِ چمه آخرنَه سالَه	I knew with sudden, chilling certainty that this was my last year.	Suddenly I realized it was the last year of my life.
پس چْمْه دَنی دَوَسْمَه.	I kept my mouth shut.	So I closed my mouth.
امه فلا هَه جایی مَندیمونَه کو پیشتَر مَندیمونا.	we're still where we were.	We're staying where we used to be.
زوتَری فَمْمَه کو اْم کْلیل کاری شْنا.	I knew immediately what this key was to	I'll soon find out if that's the key.
پس ت ْ شای اْشتْه را بیگِری و بْشی و مْن تاکیلَه پس بَهَرزی.	so you can get the hell away from here and leave me alone.	Then you have to go out and get me back alone.
