source	reference	translation
Nika pê hêrişan yeno waştenê ke heme qezencê înan dest ra bêrê girewtene.	Now, these attacks are intended to take away all their achievements	Now, with all his anger and anger, they demanded that all their prosperity be lost.
Çimê mi bîyî pirrî hesirî.	My eyes filled up with tears	My eyes were full of tears.
No zî beno semed ke vîrus vila bibo.	This, too, is the reason why the virus spreads	That's what makes the virus worse.
Hetanî sinifa çarine dewa xo de waneno.	He studies in his village until the fourth grade	They're in fourth grade.
Ganî pêro cinîyî xeyalanê xo bîyarê ca.	All women should fulfill their dreams	They have to put all their dreams together.
Mi zî tercumeyê kirdkî kerde.	And I have translated it into Zazaki	I made a mistake too.
Seba ke ciwan vera naye vejîyano polîsî ey wesayîtî ra fînenî dûrî û dest şanenê qirrika ci û erzenî erd.	Because the youth protests against this, the police throws him out of the car, grab him by the throat and onto the ground	To avoid being caught off guard by the police, they need to stop at the stake and hit the ground.
Ma vînenê ke rayaumûmîye de derheqê bawerîya elewîyan de muneqeşayêko cîyaker yeno kerdene.	One sees that the separatist discussions are made in public concerning the faith of the Alevis	We see that there has been a great deal of debate among the people about the elephant belief.
O rî ra kî ê mînetdarê dersimizan ê.	For that reason they are thankful to the Dêrsimis	That's the way it's supposed to be.
Hetê ra gureya hetê ra kî wend.	On the one hand, he worked, on the other side, he studied	He called for help from the bottom of his hand.
Her diyan sere şanayo pê ke ti vana qey kirmanckî nînan afernayo!	Both of them smashed their heads together as if they created Kirmanckî on their own	It's like you're making a fool of yourself!
Welatê ma binê sîyasetê qirkerdişî de yo.	Our homeland is subject to deathly politics	Our country is under a tyranny of politics.
Wa wendişê mewlidî biancê kamera.	We should record the reading of the Mawlid	While he was reading the telegraph.
Tena yew qusurê xo esto ke merdim nêeşkeno nuşteyan kopî bikero.	There is only one flaw, one cannot copy the writings	There's only one excuse for not copying the books.
Ino hereketê ci îsbat kerd ke ez otomatîkman biya serekê grûbî.	His/Her movements proved that I otomatically became the leader of the group	This move made me want to get to the top of the group.
