source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I've been sober for four hours.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	clean it up and clean it up.
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't want it to end this way.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	as though he had no intention of escaping.
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	put the paper away.
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	the blood of the deceased remained steadily dormant.
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I'll take it away from the enemy.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	he was indeed in his infancy.
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	he said, his countenance dumb and dumb and shrewd.
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I've got the peace and the power of a woman.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	for it is plain that everything and everything about the whale could not have been his doing so.
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I pushed the lever in my head and straightened it.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	as though the medals had been forfeited.
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	but I felt a pang of thirst.
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	the misfortune of not loving me alive and well
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but the hands and knees of the poor little women were so full of fear that they could hardly bear to look at each other.
چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	what a great gymnast he is!
وه دنگ پای زمان گۊش اؽڌه	listening to the echoing footsteps of years.	he's been listening to her all the time.
مو فقط وا ئی خانوم نه بڤینوم	I must see the lady.	I just want to see this lady.
وه نظر تو هم آڌم وه کار بخوریه	he struck you as being pretty handy.	I thought you said it would work.
ولی سیسرک ز دسترسس وه دیر بی	but it was safe out of his reach.	but he was too late.
گشت آرمۊنلم وه دستوم رهڌ	I have lost all my illusions.	I've lost all hope.
صحاڤلسۊݩ یا مورده بیڌن یا فیچسته بیڌن	all of them silent now, their owners dead or fled.	the soldiers were either dead or crushed.
وه زلی وه ئی لیک کۊچیر رهؽ سی عبۊر واز اؽبۊ	it soon stood wide open also.	he had left behind him a very short life expectancy of about thirty minutes.
یه‌ناگه و وا دلسردی فهمستوم که یو سال آخرمه	I knew with sudden, chilling certainty that this was my last year.	I knew, suddenly and confusedly, that I was in my final year.
په دهۊنمه واز نکردم	I kept my mouth shut.	I didn't open my mouth.
ایما هنی همۊچونیم که ویساده بیمۊݩ	we're still where we were.	we are what we used to be
فۉرا فهمستوم ئی کلیل هؽن کۊچو بی	I knew immediately what this key was to	I soon found that the key was small.
په تو اؽتری رهته بگری بری و مو نه تهنا بؽلی.	so you can get the hell away from here and leave me alone.	you must go away and leave me alone.
ولی کسؽ جوریت دغالت مؽن ئی کار نه نڌاشت	but nobody dared to interfere.	but no one was ashamed of themselves as you.
یا یو که ناخڌا سرس نه اشکنه	or knocked on the head	or that the captain should not weep
هو تا مجال ٱفتۉنشینۊݩ اوچو مند	there he remained till nearly nightfall	he will have time to investigate.
هۊنه بون هو رۊزؽ لهرؽ نه بؽشتر بی	as though it had once been a large stone pigpen	as if the day were now long past yesterday.
ایو کارؽ زنشت دار و دوشخار بی	that was painful and difficult for him.	he was a hardworking, hardworking man.
بۊهخشین که مؽن جا کشیدومت در	I'm sorry I've dragged you out of bed.	I'm sorry I dragged you through.
مجالشه که دی بکشی کنار	it's time for you to step aside.	it's time for you to step aside.
ز ته سیم امکانس نی	as I could not possibly have done	it won't be possible without the wire.
شکوم نی که باعث مرگس وابیڌ	I have no doubt that it led to his tragic end.	the glory that would have killed him.
وختؽ که وه گمۊنؽ که دوز اویده سیخ چاله نه ڤورگرهڌ	when he got the poker in case of burglars	when he had forgotten how to take his salt from the well
وه اسپ کرند که خزمتکار و دۊست مو بی فرمۊن دا	ordered the sorrel nag, my fellow servant	the cry of the steward, the cry of my friend
جلز یه سلۊم علیک رسمی	that they had never gone further than formal greetings	dressed as a ceremonial figure.
خاس بیا داخول که در ز داخول بسته وابیڌ	but the bolts were in place.	when he came in, the door being locked behind him.
مو سرمست ز یو که هو سر مجال ڤرگشته بی	I'm glad she got back in time.	I wondered if she was lying on the field.
ولی وه گمۊنوم گشت گونا ئی بڌبختی وه نای مونه	but I take all the blame upon myself	but I do know that the sins of this calamity are not to be forgotten.
یه‌ناگه تی زس ڤرگرهڌ	looked quickly away.	you've suddenly turned your life around
دارستۊݩ ایسو ز رنگ شه وه رنگ کۉ وابیڌ	the forest was gray now instead of black.	the wood had turned white
ئی کار ایما نه وه کاهلی اؽواداره	which disposed us to sloth	that's what we do best.
که ئی واله ئیقزر زهله بر کرده بی	that so much invested the whale with natural terror	that he had cursed this whale
سی یو که دوهڌر چۊپۊنه نڤینه تصمیم گرهڌ ڤی ولات روه	in order to escape from her, he determined to quit the country	she had decided not to go.
ز حالس ناراضی نبی	her mind had no distaste for her own set	not dissatisfied with his condition.
گشت ٱند خوسه ز ڤیر برد	the obligation faded.	he forgot everything.
باڌ هم ٱمۊݩ ندا و گشت زمین و زمانه وه یک رهڌ	I never see the wind blow so.	the whole earth and time had become one and the same.
ولی شازاڌه زس زه وا نها	but the old prince interrupted him.	but the prince left him alone.
وه سی لف بارۊݩ یه‌ناگه تارستن	turned into a rout because of a devastating downpour.	with thirty laps to go, they suddenly trembled.
اوچو نه سیکه مؽن آینده هم کلاس درمۊݩ وابۊ مرتڤ کردیمۊݩ	arranged it for the future schoolroom.	three or nine minutes into the next lesson.
مو کشیشوم و ڤا وه هر بهتۊنؽ وه دیر بۊم	I am a priest and therefore I ought to be above suspicion	I've got a preacher and I'm running late for it anyway.
هلام وا هو شش پله فاصلَم بی	still lying on the staircase six steps below him.	I was still about six feet away.
گشت سه دقه نه سیل وه تورکستن اسپ کرد	watched the horse's action for the space of three minutes	the whole three minutes was spent in drawing and pouring water.
گمۊن کردوم غم و ٱندۊ چیه که آخر وه آڌم دست اؽڌه	but I thought grief was something you felt anyway.	I wondered what grief would bring the end of it.
ز پلکۊن رهڌ وه بالا تا مؽن دالۊن وه درؽ رسی	went up the staircase to a door in a corridor.	climbed the stairs leading up to the entrance door.
هرچن که سی ایقزر رنز ماجب خۊڤی نگرهڌ	though with but small success for their pains.	although he had not slept well during the last thirty or eleven years of his life
ایمدۉ وکیلؽ نه بسی کرد تا کارل جڌایی ز هو نه ٱنجۊم بڌه	but sent an intermediary to arrange the terms of the separation	assisted by a lawyer to arrange for his grandfather's business to go on.
سیکه نهاتر زته ایقر نیازمۊن وه اشتۉ کردن نبی	for I have never had such need of haste before.	the last three years have not been as short lived as they had to live.
ز دئسۊرؽ که مؽرس داڌ ڤس	at the orders her husband left her	from the village where he had been staying
وا علاقه، نیَشتوم ڤه دۉربالوم، و جاگه بلاجڤی که مؽنس بیڌوم.	look around me with some interest on the strange land that I was in.	I sat down, curiously, behind him, and took the place of my master.
خۉسیڌ و ری چولچله بردی دراز وابیڌ.	lay down on his back on the heap of stones.	he reclined and laid his head on the pillow.
هرگش نه قرار بی که هو نه دوڤارته بڤینوم	I was never supposed to see him again!	I wasn't supposed to see her again.
منی مجبۊر بیڌن که بئلن که هو، یو نه بگو.	as if they were forced to let him say it.	I was compelled to say yes or no.
ڤه همی تفیل بی که زی وَیڌوم سر‌وختت.	that is why I hastened to you.	I've been meaning to tell you all about it ever since.
نؽخوم دی در مۉرڌس گپ زنوم.	I don't wanta talk about it no more,	I don't want to talk about it any more.
وا ڤت هوشڌار بڌوم که گپ‌تر ز ئی تۊ هڌه.	I should warn youit's bigger than this room.	I warned you there was more talk than that.
سی خوس و بچه‌یل یه دویندورؽ إستخڌام کرڌ.	for herself and the children she employed a physician.	I've had enough of him and his two children.
هو کارؽ نه که ترست ٱنجوم داڌ تا جاگه‌یل سر میز شانازی نه تیار واڌاره.	she did everything possible to keep the places at the table of honor in order	he did what he had the impudence to do, to take his place at the very top of the table.
پاڌاشؽ سی تو سی خاطر داس.	a recompense to you for his mother!	he remembered his footsteps.
ٱسپسه مجبۊر‌ کرڌ که‌ حرکت کونه و چاردئس نهاڌ ڤه بال ٱۉرۊ.	spurred his horse and galloped into the river.	forcing the horse to move and hurrying away.
مو همچنوݩ هی آرنڳ کۊتامه زمزمه إکرڌوم.	I still humming my little tune.	I, too, made a mistake in my little finger.
پلیشه‌یل ٱخ ناڌن بی مؽن سرس.	ice cubes on her head	they hadn't had the faintest idea what it would be.
هو زس إستفۉیڌه کرڌ تا شؽوات کورسه بکشه ڤه در.	she used it to push out her son's photograph.	she took advantage of him to ask him to sit down at the door.
تو تَی خوت گوڌی بی که وا مو یه جر کوچیری بکونؽ.	you reckoned on a bickering!	you asked her to give me a lift.
وا ڤه مو لطف کونن و یه تۊ‌ کوچیرؽ بڌن وم.	I should be given a small room as a favor	if you'll excuse me and give me a lift.
ز یه گوله یا چکۊ خطرناک‌تر.	than either a bullet or a knife.	more dangerous than a bullet or a hammer.
هر کسؽ که یه کرت تومسه بنیَره.	once you've had that first taste	whoever takes a fancy to be a fan
یا پلرڌ سی ڤه دئس ٱڤورڌن یه ساعت خۉ یا هم بؽشتر.	or trying to snatch an hour or so of sleep	or the grandfather of thirty would have given him an hour or more.
ڌقؽقا منی یو که هیچ تفاقؽ نَڤَسته.	just as if nothing had happened.	I'm sure it didn't make any difference.
مؽن تقلا کرڌݩ، هم پۊس و لڤاسل تا جڌی دِئرِئسن.	tearing both skin and clothes to some extent in the effort.	in spite of their efforts to keep up with the latest trends in fashionable clothing and accessories
وا گشت رۊزل زنده‌ییمه وا زئمت و عذۉ بگوڌردنوم.	I shall have to toil and moil all my days	I've been telling you all my life about pain and suffering.
یو دئس پیائؽ هڌه که وَیڌه مؽن زنده‌یی نۊئؽ و نهاتر ز یو که ڤورگرڌه واپوشت، إمیره.	it's the hand of a man that's started in on a new life, and'll die before he'll go back.	this is the face of a man who will not be remembered alive, and who will die before he is born.
پلرڌسه کرڌ تا کسؽ نتره هو نه خوره.	as earnestly tried to prevent any body's eating it.	he groaned lest anyone should hear of him.
مو واقعا نه مؽن درڌسروم تا اوسو که اٛسپیڌی تیاسوݩ نه بڤینوم.	I'm not really in trouble until I see the whites of their eyes.	I really don't want to wait till I see what happens next.
تی‌ره نبیڌوم که خوم بۊم.	I hadn't expected to be myself.	I didn't ask you to be me.
سی‌که، وا یو که هو فقط هشت سالس إکرڌ.	for, although she was only eight years old	because he was only eight years old.
هر دوتاسوݩ نؽترئسن ٱول بۊن، سی که نرڌڤون فقط إترست مؽن یه زمان یه نفر نه واڌاره.	both of them could not be first, for the ladder would but admit one man at a time.	they were both fearless, as if they had only feared one at a time.
هیچ چیؽ غیرا هستخونل اوچو نبیڌ.	naught was there but bones.	there was nothing but his own room.
وا نۉاومؽڌی، دۉربال میز نه إنیَروم.	I look helplessly around the table.	I came unexpectedly to the table.
تاحتی مؽن دیسه‌یؽ که مؽن زندوݩ بی هم نه.	not even the length of time he had been imprisoned	even to the point of not being among the living.
هو نه کَشونڌن مؽن هونه.	dragged him to the house.	he's not going to die.
تو نفر ٱولؽ هڌی که ره إبری.	you'll be the first to know.	you're the one who came in first.
ڤه تو گوڌوم که‌ مو مولا نؽڌوم.	I told you I ain't no preacher	I told you I wasn't.
إگوی یه‌ پرزؽ ز کلؽچ مؽنجایی مو بلوندتر هڌه.	seemed to be somewhat longer than my middle finger.	as though a part of me were bigger than a keyhole.
سی که اومؽڌواره که بشخیڌه وابۊ	because he hopes to be forgiven	in hopes he might have been able to escape.
