source	reference	translation
مۊ أن-أ سٚفارش بۊکۊدم	I have advised him to do that.	I wrenched it a-an' I wrenched it a-an' I wrenched it a-an' I wrenched it an' I wrenched it an' I wrenched it an' I wrenched it an' I wrenched it an' I wrenched it an' I wrenched it an' I wrenched it an' I wrenched it an' I wrenched it an' I wrenched it an' I wrenched it an' I wrenched it an' I wrenched it an' I
مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	I want the truth, the truth!	I'm going to be in the right place, in the right!
مي گۊلي-أ پخ بزئم	I cleared my throat.	I kissed my nails.
اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	but I am always fond of children.	I'll start with the children's imagination.
وانمائي مأنستن کي بام ٚ جؤر نهأ	you're like the weather cock on a roof.	I mean, whoever it is, it's going to be on the roof.
خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	stood, livid and trembling, before us.	he put on his cloak, washed his face, and leaned against his mother's back.
سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	went up the hill and out of sight.	I'm going to have to sit here and see if he's got anything to do with me.
زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	even as the hairs on my arms began to shrivel.	I've had enough of it since I was little.
مي سرأ بشادم	I shook my head.	I shook my head.
هسأ همتتأ چي مرأ واضح بخاطر بامۊ	I can remember it vividly now	it was all clear to me now.
خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	he put his hand up to his forehead.	pushed his forehead forward with his hand cracked.
مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	I raised one hand to halt his apology.	I've got a right to say I'm sorry.
ایتأ دۊتأ پیله آه بکشي	gave a long gasp or two	cry out to her majesty
مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	I don't set up to be one of those men that don't care about women.	I don't mean to sound like a woman to a man.
بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	I thought it might be important.	I thought he might be a gentleman.
خاطرجمائي ناشتيمه تۊ بيبي	I wasn't sure it was you.	I didn't mean for you to be.
نۊقره ای آچارأ خؤ جیف ٚ جأ بيرین بأوۊرد	took a silver key from his pocket	pulled out a pair of pinstriped keys in his pocket
ولي هلماله سۊمأ زؤرأ نأره	but hasn't got any magic powers.	but he's not as strong a man as you think he is.
سيأبختي پاپرۊس ننأ	I'm afraid there are none.	it's not a bad one.
چۊن ناخؤش بؤ.	because she had been ill	because it was naughty.
خؤ عازمأ جزمأ کۊده	for he had made up his mind	dressed in full mourning.
مزایأ سرأ گیفتن	the racers started.	but to gain the upper hand
نهايي ضربۊ واقئيت ٚ جأ اۊن ٚ دس نهأ	has the last featuring blow at events.	the end hitchhiker substituted for the fact.
آلبت ایتأ دۊتأ اۊشان-أ تفریح وأسي رأ تاوده	I doubt if he's gotten that far yet in fact, I'm sure of it.	it must have been their daughter-in-law having a good time.
سرأ گیفت شعرانه حیفظ-أ کۊدن	went to work to get his verses	kept his head in a pocketful of blankets.
