source	reference	translation
چوار ساعەتێ پی بارودۆخوە سەرم کەرڎەبێ	I was four hours under these circumstances	I'd had it four hours before.
گجییە کوڵ و پاتۆڵێ شەترەنجیش کەردەبێنە	in plaid frock and trousers.	a pair of shorts and a pair of pinstriped trousers.
من ئیزن نمەڎو کە ماجەرا پی جۆرە تەمام بۆ	I won't let it end like this.	I'm not at liberty to go on with my adventures.
هەوڵش دا کە قەسدو خاتوونە پیرەکێ دەرک کەرۆ	trying to grasp the old lady's meaning	he tried to unpack the old lady's throat.
ڕۆژنامەکەش جە لاو مێزەکەینە هۆرگێرت	he picked up the paper.	took the paper from the side of the table.
شایەد ئی کناچێ عالێ پەی هەمیشەی جە دەس بلۆ	she might be required to sink herself forever.	he might lose this good girl for good.
بە جمانیوە هەڕەشەیی دەستوورش دا پەنەم	he ordered me in with an oath	he threatened to take my hand.
بەڕاسی کڵاید ئەسیر بیەبێ	so truly was he captivated.	it was really Clyde the Elder.
ساش جە ئسترس و تەرسینە وشک بیەبێ و گیریابێ. ئاو پەرساش	she asked, her voice rough with stress and fear.	dry and stifled by fear and fright, she asked.
یەواش بە زۆرو زانویم هۆرستانی	I raised myself gently upon my knees	slowly and forcefully awakened.
پی حاڵە تەمام شواهێدی کە هەن جە جۆرمو ئاوی حکایەت مەکریۆ	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	I don't see any evidence to support that sort of thing.
زوو ئی فکرامە جە زهنیم گێڵنایم و شعرم وەش کەرد	I immediately turned this thought over in my head, creating lyrics.	I soon forgot the idea, and wrote the poem.
پی گومانە کە مداڵەکێ جە تڵایە ناب و عالی مۆنێ	thinking that it was a medal of solid gold	he doubted that he would be able to keep up with all the changes that had taken place.
بەڵام فرە پەیشا ناڕەحەت بیانی	but I felt so sorry for them	but it made him very unhappy.
من زندگیم فرە وەش گەرەکەن. بۆبەختی ئینەنە.	I've loved life too much, shamefully much.	I want my life so badly. It's my fate.
بەڵام جە حاڵیە کە سەرو دەسا و زانویشاوە خزێنێ جە لێو گیاوەکانە لوێنێ وەروە بە تەقناو هەمزەمانو تفەنگەکاشا حوزورو وێشا ئێعلام کەرد و دماو تەقناو تفەنگی فرەیە جە سەروازەکا سەرو ئەسبەکەیشاوە کوتێرە واری.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but as he slipped his arms and knees through the mouths of the natives, alerted them by the continual firing of their guns, and, after a long shot, dropped a large shotgun on his cavalry.
پسۆ ژیمناستیک کاریە کە پی کاریە عادەتش هەن	like a man accustomed to that kind of gymnastic exercise	it's a matter of gymnastics, and it's a matter of routine.
گۆش گیرتەی جە دەنگدانەوەو هەنگامەکا ساڵانی	listening to the echoing footsteps of years.	listen to the annual footnote.
مشۆم خانمەکؽ وینو	I must see the lady.	I must see the lady.
ئاﮆ پسە کەسێ یارمەتیدەر دیار بؽ پەیت	he struck you as being pretty handy.	he would appear to you as an assistant.
بەڵام دوور سڵامەت بؽ جە دەسش	but it was safe out of his reach.	but it was safe to go.
من گرد وەهمەکؽ جە دەس داینؽ	I have lost all my illusions.	I've lost my virginity.
ئؽسە گرد بؽدەنگؽنؽ خاوەنەکؽشا یا مەردؽنؽ یا ڕەماینؽ	all of them silent now, their owners dead or fled.	now all quieted about the death of their master.
فرەش نەبەرد بە هەمان شؽوە بە فراوانی کریاوە	it soon stood wide open also.	it was not long after that that it was again widened.
ناکایێنە و بە دڵ سەردی زانام ئینە دماین ساڵەو منەنە	I knew with sudden, chilling certainty that this was my last year.	I knew, suddenly and coldly, that this would be my last year.
دەمم وستەبیرە	I kept my mouth shut.	I shut my mouth.
ئیمە هیشتای ئینایمؽ چا یاگؽنە کە چەنەش بؽنمؽ	we're still where we were.	we were left where we stood to see it.
یەکسەر زانام ئی کرؽڵە پەی چیشیا	I knew immediately what this key was to	I knew what it was for right away.
پەوکای تاوی جەحەنەمەکەی دوور وزیۆو من تەنیا جیا بازی	so you can get the hell away from here and leave me alone.	I've been left alone in the remoteness of hell.
بەڵام کەس نەیارؽ دەسش وەردۆنە	but nobody dared to interfere.	but no one would touch him.
یان دانشا سەرەیش	or knocked on the head	or put it on his head.
چاگە تا نزیکەو شەوی مەنۆ	there he remained till nearly nightfall	where he remained till about midnight.
پسە ئانەی کە ڕوێ بەزارێ تەوەنی زلەش بیەبۆ	as though it had once been a large stone pigpen	as if he were under great strain.
کە پەی ئاﮆی بە ئؽش و قورس بؽ	that was painful and difficult for him.	which was too much for her.
داواو عەفوؽ کەرو کە تۆم دلؽ یاگەکینە ئاردی بەرۆ	I'm sorry I've dragged you out of bed.	I'm sorry you ever came in here.
کاتو ئانەینە کە وازباری	it's time for you to step aside.	it's time to let go.
کە نەتاوام کەروش	as I could not possibly have done	I couldn't do that.
گومان نیا چانەینە کە ئینە بؽ بە هۆو ئانەی کۆتایێ تراژیدیش ب	I have no doubt that it led to his tragic end.	I doubt it was because it would bring tragedy to an end.
کاتێ پۆکەرەکەش کەیس و دزەکانە دەسکەوت	when he got the poker in case of burglars	when poker got the case to thieves
ڕەفیقە خزمەتکارەکەم فەرمانش بە سۆرێل ناگی کەرد	ordered the sorrel nag, my fellow servant	my servant's comrade ordered me to give him a shower.
کە هەرگیز جە سڵامی فەرمی زیاتەر نەلاینؽ	that they had never gone further than formal greetings	that you will never be greeted with anything more than a formal greeting.
بەڵام بتڵەکؽ یاگؽ وؽشانە بؽنؽ	but the bolts were in place.	but the bottle had been moved.
وەشحاڵەنا کە گؽڵایۆ پەی کاتو وؽش	I'm glad she got back in time.	I am delighted to return in due course.
بەڵام گرد و تاوانەکەی وزو ملو وؽم	but I take all the blame upon myself	but the guilt was gone.
بە خؽرای تەماشەو دووریش کەرد	looked quickly away.	gazed steadily at it in the distance.
دارستانەکە ئؽسە جیاتی سیاوی خۆڵەمێشی بؽ	the forest was gray now instead of black.	the forest had now been replaced by a black field.
کە ئیمەش وستیمؽ تەمەلی	which disposed us to sloth	that we, too, were under suspicion
کە وەربهێنانش کەردەن نەهەنگەکەنە بە تیۆری سروشتی	that so much invested the whale with natural terror	which the whales took to be a natural theory
پەی ئانەی جە دەسش ڕزگارش بۆ بڕیارشدا وڵاتەکەی جیابازۆ	in order to escape from her, he determined to quit the country	in order to save her, he decided to leave the country.
مەژگش قینیش جە کۆکراوەکەو وؽش نەبؽ	her mind had no distaste for her own set	she had no memory of her own collections.
پابەندبیەکەی کاڵ بیۆ	the obligation faded.	his devotion was extinguished.
هەرگیز نەدیەنم وا پؽسە ورکەرۆ	I never see the wind blow so.	I'd never seen him ask that sort of thing.
بەڵام شازادە پیرەکە قسؽش بڕیە	but the old prince interrupted him.	but the old prince interrupted him.
بە هۆو وارانێ فرەو ویرانکەریۆ بی بەهۆو شکستی	turned into a rout because of a devastating downpour.	had been rendered impenetrable by heavy rain.
ڕؽکوستەیش پەی مەکتەبو داهاتوی	arranged it for the future schoolroom.	making her head start at the next school.
من قەشەنا پەوکای مشۆم سەروو گومانیۆ بوو	I am a priest and therefore I ought to be above suspicion	I ought to cast doubt on the priest's position.
هیشتای سەرو پلەکانەکاوە شەش هەنگامؽ وارو وؽشۆ پاڵکەوتەن	still lying on the staircase six steps below him.	he leant six feet above the ground
یەرؽ دەقؽ تەماشەو جوڵەو ئەسپەکەیش کەرد	watched the horse's action for the space of three minutes	watched his horse move for three minutes.
بەڵام ئەجیامەنە خەم چؽوێن کە تۆ هەستش پەنەکەری هەر نۆعێ ب	but I thought grief was something you felt anyway.	but I'm afraid you feel that way too.
جە پلیکانەکاوە وروەست پەی بەرێ ڕاڕەوەکەی	went up the staircase to a door in a corridor.	he ascended the stairs leading to the corridor door.
هەرچنە سەرکەوتنەکؽشا کەمتەرؽ بؽنؽ جە زەحمەتەکاشا	though with but small success for their pains.	though their success was less than difficult.
نێوەندگیرێش کیانا پەی ڕؽکوستەو مەرجەکا جیابیەوەی	but sent an intermediary to arrange the terms of the separation	his intermediate being appointed to fill the remainder of the unexpired term
چونکە وەڵتەر هەرگیز پێویستیم پی پەلەکەردەیە نەبیەن	for I have never had such need of haste before.	because I've never needed you before.
بە فەرمانو پیاکەیش جیاش ئاستەن	at the orders her husband left her	she was dismissed at her husband's orders.
بە بایەخۆ تەمشاو دەورو بەریم کەرە سەرو ئا زەمینە نامۆیۆ کە چەنەش بیەنا	look around me with some interest on the strange land that I was in.	take me carefully and surround me with all my strength and all my strength and all my strength and all my strength, and all my strength, and all my strength, and all my strength, and all my strength, and all my strength, and all my strength, and all my strength, and all my strength, and all my strength, and all my strength, and all my strength, and all my strength, and all my strength, and all my strength, and all my strength, and all my strength, and all my strength, and all my strength, and all my strength, and all my strength, and all
پەشتیەرە سەرو بەعزێ تەوەنا کیشیا	lay down on his back on the heap of stones.	laid his back on some of the stones
نە ئەبیێ جارێ تەر وینایام	I was never supposed to see him again!	I should never have seen her again.
پسە ئانەی کە ناچارؽ با ڕاشاداپەنە کە واچۆش	as if they were forced to let him say it.	so that she had to let him know what she was talking about.
وارو ئانەی پەلەم کەرد پەی لا شمە	that is why I hastened to you.	I made my way to you.
گەرەکم نییا ئیتر باسش کەرو	I don't wanta talk about it no more,	I don't want to talk about it any more.
مشۆم ئاگادارت کەروە کە ئینە گەورەتەرا چی ژووریە	I should warn youit's bigger than this room.	I have to let you know what room this bigger one is.
پەی وؽش و زاوڵەکاش دکتۆرێش مەرزنارە	for herself and the children she employed a physician.	he has to have a doctor for himself and for the children.
گر هەوڵێ وؽش دا پەی ئانەی یاگەکا سەرو مؽزەو ڕێزلێنانەکەیۆ بە ڕؽک و پؽکؽ بازۆوە	she did everything possible to keep the places at the table of honor in order	he tried to get his seat at the table of honour with his knee fixed on his arm.
ئینەیچ پاداشتێ پەی ئەﮆاو ئاﮆی	a recompense to you for his mother!	that was his reward.
هان و ئەسپەکەیش دار و لوا پەی لا ڕووبارەکەی	spurred his horse and galloped into the river.	his horse and mule dashed to the river bank.
من هیشتای ئاوازە گولانەکەیم مژەنو	I still humming my little tune.	I can still play the bass.
پارچە سەهۆڵ سەرو سەرەیشۆ	ice cubes on her head	a piece of ice fell on his head.
ئاﮆە بەکارش ئارد پەی بەرئاردەو ڕەسمو کوڕەکەیش	she used it to push out her son's photograph.	she used it to carry out her son's wish.
ت بە حاڵەتو دەمەقاڵەی حسابت کەردەبؽ	you reckoned on a bickering!	you reckoned with the shape of your mouth.
ئەشیێ ژوورێ گولانەم دریێ پەنە پسە عالیێوەی	I should be given a small room as a favor	I'm supposed to be locked up in my little corner of the world.
جر فیشەکؽ یا کاردی	than either a bullet or a knife.	the roots of the spear.
کاتێ کە یەکەم جار تامت کەرد	once you've had that first taste	when you first tasted it
یا هەوڵؽدە سەعاتێ یا زیاتەر جە وەرمی بەری	or trying to snatch an hour or so of sleep	or try to stand out an hour or more from the heat.
پسە ئانەی هیچ ڕوەش نەڵایبۆ	just as if nothing had happened.	so that nothing happened
دڕناو جل و بەرگ و پۆسەکەیشا تا ڕادێ جە هەوڵەکاشانە	tearing both skin and clothes to some extent in the effort.	their robes and cloaks almost ruined their efforts.
مشۆم بە درؽژایی ڕوەکام ڕەنج دەو و هەرمانە کەروو	I shall have to toil and moil all my days	I'm going to have to keep my nose shut, and then I'm going to have to do something about it.
دەسو پیایێن کە دەسش بە ژیانی تازەی کەردەن و مر وەڵی ئانەی گؽڵۆوە	it's the hand of a man that's started in on a new life, and'll die before he'll go back.	the hands of men who had begun a new life and died before it was over.
بەجددی هەوڵشدا جە ڕاگیری کەردەی جە واردەو جسمەکا	as earnestly tried to prevent any body's eating it.	he made a concerted effort to stop the entrance of the body.
من نیەنا کؽشێ ڕاستەقینەنە تا چەرمای چەماشا نەوینو	I'm not really in trouble until I see the whites of their eyes.	I'm not a real giant till I see the skin of my face.
پێشبینی ئانەیم نەکەرد کە وؽم بوو	I hadn't expected to be myself.	I didn't expect you to.
هەرچن تەمەنش هەش ساڵؽ بؽ	for, although she was only eight years old	despite his eighteen years of age.
هەردویشا نەتاوؽنؽ یەکەمؽ با چونکە پەیژەکە یەک پیا کەرؽ ژوورۆ	both of them could not be first, for the ladder would but admit one man at a time.	neither could be the first, for the matter concerned one man.
هیچ چؽوؽ چا نەبؽ جگە جە ئؽسقانا	naught was there but bones.	there was nothing in it but smoke.
بؽ دەسەڵاتانە تەماشەو دەورو مؽزەکؽ کەرو	I look helplessly around the table.	without authorization to look round the table
تەنانەت ئا ماوەی کە سجن کریابؽ	not even the length of time he had been imprisoned	even during his confinement.
کؽشتش پەی دلؽ یانەکەی	dragged him to the house.	dragged her into the house.
ت یەکەم کەسەنی کە بزانی	you'll be the first to know.	you'll be the first to know.
پەنەم واتی وتاربؽژ نیەنا	I told you I ain't no preacher	I don't understand the term 'discussion'.
پاسە دیار بؽ جە پەنجؽ ناوەڕاسیم درؽژتەر بؽ	seemed to be somewhat longer than my middle finger.	it seemed to me that he was taller than me in the middle.
چونکو هیوادارا چەنەش وەشبی	because he hopes to be forgiven	I hope you enjoyed it.
بەبؽ باوەڕی سەرەم شۆکناوە	I shook my head in disbelief.	I shook my head in disbelief.
هؽشتای ئەجۆمەنە ئا شەوە قینیت چەنەش بؽ هەرگیز مەتاو چەنەت وەشبو	I still think you were hateful that night and I never expect to forgive you.	I wondered how much he hated you that night, and never how much he loved you.
چارەسەرو وشە یەکتربڕەکاش دەسەنە شی	he missed doing the crossword.	to solve each other's problems by word of mouth.
هەمان یاگؽنە منیاش	they'll bury him right there.	I was in the same place.
