source	reference	translation
ڤە ئێ دووخا چوار ساتم بردە سەرێر.	I was four hours under these circumstances	I was up for four hours in this mess.
نیمتەنە و شاواڵ شەترەنجی کردۊتێ ئەێ ڤەر	in plaid frock and trousers.	wearing a pair of shorts and a pair of pinstriped trousers.
م نمەیلم ماجراکە ڤە ئێ شێوە تەمام بوو	I won't let it end like this.	I don't think it ends this way.
ئەر یە بییە گ نێیەت ئە ژەن کەڵنگە دەرک بکەێ	trying to grasp the old lady's meaning	if you don't want me to take that bitch out!
ڕووژنامە ئەێ پەلۊ مێزە هێز داتێ	he picked up the paper.	gave the paper its name at the bottom of the table.
هایتێر ئەڕا هەمۊشە ئێ دت نازارە ئەێ دەس بچوو	she might be required to sink herself forever.	perhaps she should lose sight of him for good.
ڤە دوشمین و هەڕەشە دەستوور دامێیە بێن	he ordered me in with an oath	commanded by the enemy and threatened by him.
سە ئەو ڤە ڕاسییا ئەسیر بۊ	so truly was he captivated.	so he was really hungry.
یاواش ڤە زوور زانی هێز گرتم	I raised myself gently upon my knees	I got up slowly and vigorously.
ڤە ئێ حاڵا هەر چەێ شەواهد و قەرائن بی نیشانە میاێ ئەو موجرمە	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	in that case, any circumstance arising out of it would be a sign of the death of the deceased.
دەرجا ئێ فکرەلە ڤە نام زەێنمەێرە گێرداننم و شعرم سازی	I immediately turned this thought over in my head, creating lyrics.	I put the thought into words and made it into poetry.
ڤە ئێ گومانە گ مداڵە ئەژ زەڕ بێخەوشە	thinking that it was a medal of solid gold	with this suspicion that the money had been misappropriated
ئەمانێ فرە ئەڕا یەون ئاخ و داخم کرد	but I felt so sorry for them	but it grieved me very much.
م ژیاین فرە دووسە مەێرم، بەدبەختی هەر یەسە	I've loved life too much, shamefully much.	I don't like life much, it's bad luck.
