source	reference	translation
همینتی چار سات سر هکردمه.	I was four hours under these circumstances	so I spent four hours.
کل جمه و چارخونی شلوار دپوشی بییه	in plaid frock and trousers.	all dressed in full trousers
من نلمبه که ماجرا اتی توم بوه.	I won't let it end like this.	I didn't let that happen to you.
کوشش هکرده پیرزنای رای ره بفهمه.	trying to grasp the old lady's meaning	trying to understand the old lady's tone.
روزنومه ره میز کنار جا بیته.	he picked up the paper.	put the diary away.
ولکه این نازنین کیجا درسسی از دس بوره.	she might be required to sink herself forever.	but to take that delicate space out of his hand.
با ات تا فاش مه ره فرمون هدا.	he ordered me in with an oath	I've been ordered to bed with you.
راسسی راسسی کلاید اسیر بیی بییه	so truly was he captivated.	Clyde had been captured by alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alittle alitt
ونه گلی از ترس خشک بییه و بهیته. و بپرسییه	she asked, her voice rough with stress and fear.	his face dried with fear, and he asked.
یواش یواش لینگ رهی هکردا راس بیمه	I raised myself gently upon my knees	I stepped forward slowly and firmly.
با این حال درس همه چی شاهدی دننه که و مجرم بییه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but he had to prove everything to be true.
اندریک یان فکرا ره شه سر بگردندیما ات تا شعر بساتمه	I immediately turned this thought over in my head, creating lyrics.	I thought it best to write a verse for you.
با این گمون که مدال اصلِ طلای جا هسسه	thinking that it was a medal of solid gold	though it seems to have the upper mantle of gold.
ولی وشون واسسه خله متاسف بیمه	but I felt so sorry for them	but I was very sorry for them.
من دیین ره خله دوس دارمه. بدبختی همینه.	I've loved life too much, shamefully much.	I love the way you look. It's bad luck.
