source	reference	translation
چوار سات وەی حاڵەو ئەو سەر بردم.	I was four hours under these circumstances	I waited about four hours for him.
شەۊ و شواڵ چوارخانە لە وەر	in plaid frock and trousers.	a pair of shorts and a pair of pinstriped trousers.
نیەیلم هە لێوا بنێ باێ	I won't let it end like this.	I'm not going to keep her here.
تەقەلا ئەڕای ئەوڕەسین لە مەبەست کەیوانوو	trying to grasp the old lady's meaning	trying to make sense of it.
کاغەزەگە گردەو کرد.	he picked up the paper.	folded the paper.
هاتێ تواسۊد ئەڕا هەمیشە خوەێ بخنکنێ.	she might be required to sink herself forever.	he might want her to marry him for ever.
وە قەسەم و قورئان نا ملم.	he ordered me in with an oath	I do not swear!
هە وە ڕاسی، ئەو دیل کریاۊد.	so truly was he captivated.	indeed, he had a heart condition.
وە دەنگێ زبر لە سترس و ڕخ پرسیار کرد.	she asked, her voice rough with stress and fear.	he asked in a trembling voice of distress.
وە ئارامی خوەم لە بان وێرزنگەیلمەو بەرزەو کردم.	I raised myself gently upon my knees	I lifted myself gently from my pillow.
وەی حاڵەو کول دووخەیل دەور وەر لەو ساتە چمانێ لێوا نیشان دەن کە ئەو کارە کردیە.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet all the people around him seemed to think he had done so at the time.
م زۊ ئێ هۊرە خسمە ناو سەرم و هەڵبەستەیلێگ وتم.	I immediately turned this thought over in my head, creating lyrics.	I hastily put the thought into my head and said a few words.
فکر یە گ ئەوە مداڵ زێڕ ڕەقێ بۊە.	thinking that it was a medal of solid gold	the idea that it was a solid gold standard
ئەمانێگ م فرە داخم هات ئەڕایان.	but I felt so sorry for them	but I am very sorry for them.
م فرە ژیان دووس داشتم، جی شەرمەزارییە.	I've loved life too much, shamefully much.	I loved life so much it's rather a shame.
ئەمانێگ وە گامڵەکیەو لە ناوێن بووسانەو خزیەن، و تەنیا وە تەقەی تفەنگ وە یەکەو کە فرەیێگ لە زینەگان چووڵەو کرد، هەبۊنیان ئاشکرا بۊ.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but they were quietly buried in the cemetery, and their presence made plain only by the sound of gunfire engulfed many lives.
چۊ پیاێ کە هووکارە بۊەسە ئەوجوورە تەمرینەیل ژیمناستیک.	like a man accustomed to that kind of gymnastic exercise	how a man could have been so used to gymnastics
گۊە تەکانن لە شوونپای ساڵەیل	listening to the echoing footsteps of years.	listening to the footsteps of the saints
م تەنیا تواێ ئێ خانمە بۊنم.	I must see the lady.	I just need to see this lady.
وە باوەڕ ت، ئەو ئایەم لێهاتیێگە.	he struck you as being pretty handy.	believe me, he is a man of letters.
ئەمانێگ ئەو دۊر لە دەسڕەسێ ئەمنۊ.	but it was safe out of his reach.	but she was out of harm's way.
گشت خەیاڵەیلم لە دەس دامە.	I have lost all my illusions.	I've lost all my imagination.
ئیسە گشتیان بێ دەنگ، خاوەنەگانیان یا مردێ یا دەرچێ.	all of them silent now, their owners dead or fled.	now they were all silent, their master either dead or out.
وە زۊییش تمام واز بۊ.	it soon stood wide open also.	he soon gave up altogether.
وە دڵنیاییێگ لەناکاو و ساردکەرەوە زانسم کە یە دۊا ساڵ منە.	I knew with sudden, chilling certainty that this was my last year.	I knew with a sudden and chill certainty that this would be my last year.
دەمم بەسۊم.	I kept my mouth shut.	I shut my mouth.
ئیمە هێمان هایمنە ئەو جیە گ بۊمن.	we're still where we were.	we are still where we were
زۊ ڕەسیمەو ئێ کلیلە ئەڕا چەس.	I knew immediately what this key was to	I was quick to get hold of this key.
سە تۊەنی لێرە دۊرەو بکەفی و تەنیام بیلی.	so you can get the hell away from here and leave me alone.	so get away from here and leave me alone.
