source	reference	translation
چار ساعَت هْنجورَه مَندیمَه.	I was four hours under these circumstances	I've been here four hours.
شطرنجییَه جْرقَه و شْوارْش دَرییا.	in plaid frock and trousers.	she was playing chess with a pair of gloves and a pair of pinstriped trousers.
از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	I won't let it end like this.	I don't like to hear such stories.
خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	trying to grasp the old lady's meaning	he made a great effort to make the old gentleman understand.
روزنومه میزی وَری کو پیگِتْشه.	he picked up the paper.	I left it at the bottom of the table.
شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	she might be required to sink herself forever.	I'll keep my eye on her as long as possible.
فَشینه من فْرمون دوشَه	he ordered me in with an oath	I've lost my virginity.
کلاید راس راسَکی اسیر با	so truly was he captivated.	slapped him on the pillow.
چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	she asked, her voice rough with stress and fear.	what a voice of distress and fear she heard.
یَواشینَه زونو نَه ایشتیمَه.	I raised myself gently upon my knees	I knew it slowly.
با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	all the same, the proofs show that he is an evildoer.
ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	I immediately turned this thought over in my head, creating lyrics.	I just had this thought in my head when I wrote this poem.
ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	thinking that it was a medal of solid gold	I don't know where the badge is.
وَلی خَیلی اَوون را تَسْف هَردْمَه.	but I felt so sorry for them	I blamed him for it.
از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	I've loved life too much, shamefully much.	I'm glad you are alive. I'm sorry.
اما در حالیکو سینَه ویسنِه کرین و نیهالون مینی کو جلو آین و آخْرْنَه‌سَر اشتن تفنگون گولون ایله ویداشتشونَه و اْشْتَن صْفَت دوشونَه و بَدَز اَ ویداشته نی خَیلی از سربازن اسبون زینی سری کو جیر ویلَکینَه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but when they were in their twenties they stood in front of him, at the head of which they held their guns.
ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	like a man accustomed to that kind of gymnastic exercise	it's the gymnast's job to do that.
زمانی پا صْتا کْرا گوش آکَری	listening to the echoing footsteps of years.	when you've heard the footsteps of hundreds of people
از فقط پی اْم یِنَکی بْوینْم.	I must see the lady.	I just want to see this one.
اْشْتْه نظر دِرِه نی بدربخوره ادمیه ؟	he struck you as being pretty handy.	do you think he's a bad guy?
اما بْزبْزَه چِه دایرَه کو دور مَندا.	but it was safe out of his reach.	but remained aloof from his circle.
چْمْه ناجِن همه بْ باد شینَه.	I have lost all my illusions.	I'm afraid everyone will be disappointed.
چَوون صِیِبِن یا مَردَینا یا دَوَشتَینا.	all of them silent now, their owners dead or fled.	it was morning, afternoon, or night.
هْم زودیون اْم روکَه خْلْ ایلَه راهی شی آمادَه آبو کْ بِش و بِری بْکَرْن	it soon stood wide open also.	they will soon make ready for you to bury and dispose of the coffin.
ایی دَفَعی فَممَه کو اْم دِ چمه آخرنَه سالَه	I knew with sudden, chilling certainty that this was my last year.	I saw with a sudden that it was the last year of my life.
پس چْمْه دَنی دَوَسْمَه.	I kept my mouth shut.	so I shut my eyes.
امه فلا هَه جایی مَندیمونَه کو پیشتَر مَندیمونا.	we're still where we were.	we stayed where we were before
زوتَری فَمْمَه کو اْم کْلیل کاری شْنا.	I knew immediately what this key was to	I'll know as soon as I can from whom I can get the keys.
پس ت ْ شای اْشتْه را بیگِری و بْشی و مْن تاکیلَه پس بَهَرزی.	so you can get the hell away from here and leave me alone.	then you should take her and leave her alone.
ولی کسی نییاری کاری کو دخالت بْکَری.	but nobody dared to interfere.	but no one will interfere.
یا عْمکو ناخْدا اشتن کله چاکْنْه	or knocked on the head	or the captain's ass will be scratched.
آنسلم تا آفتاوی نْشتِه موقو ها مَندَه	there he remained till nearly nightfall	I'll wait till the sun comes up.
چه اصلییَه ساختْمون سنگَه خواَ لونَه اِستا	as though it had once been a large stone pigpen	what a wonderful stone building it is!
ام دردناکَه سَختَه کاریا	that was painful and difficult for him.	but painful and painful.
متاسْفیمَه لْکْلاکو تْه بَرونتْمَه بیرون.	I'm sorry I've dragged you out of bed.	I'm sorry I let you out.
چه وقت آرَسَه کو تْ کَنار بْکَشی	it's time for you to step aside.	when he'd had the impudence to tear you to pieces.
هیچ وقت مرا ایمکان نداری	as I could not possibly have done	you will never succeed.
از شک ندارم کو چه مرگی باعث به	I have no doubt that it led to his tragic end.	I doubt who or what would have killed him.
ای دفه ای فیکری نه ک دز اومه و شومینه بسکی پیگتشه	when he got the poker in case of burglars	not thinking he was a thief or a chimney sweep.
کورانه اسبی ک چم خدمتکار و همقطارا فرمون دوشه	ordered the sorrel nag, my fellow servant	a blacksmith's horse, his servant's, and his companion's.
البته فقط ایله خشکَه سلام علک	that they had never gone further than formal greetings	except, of course, with a toast.
خواستشه درآ ویندشَه بر دله کو دوسیَه.	but the bolts were in place.	he asked her to close the door.
آخا تا هَه روز چیزی صِحِب آبه نیا کو غرصه هرده ارزشی بداره	I'm glad she got back in time.	perhaps there is something of some practical value to be gained in the meantime.
ولی مْرا چْه مونی ام بدبختی تمون چمه گردن دَلَکَه	but I take all the blame upon myself	but to me it's miserable.
تْن تَری اْشْتَن چِمون اَی کو گاردْنْدْشَه	looked quickly away.	dreadfully staring into his eyes.
جنگل الان سییا کو آبَه رَش!	the forest was gray now instead of black.	the forest is blackened now!
ام کار تمون اَمَه لَسَ شْل و پَلو آکَره	which disposed us to sloth	we'll be able to keep up our sleeves.
اْم والی تا هَدَه چی تَرسی را بانِه کَردَشا	that so much invested the whale with natural terror	to relieve them of their fears.
امی را کو دِ ِنخای شَوونَه کیله بْوینی تصمیمش گِتَه کو اْشتَت وطنی کو بْشو	in order to escape from her, he determined to quit the country	to see us afterwards, and to decide where to send our native country.
اصلا اشتن وضعی کو ناراضی نییا	her mind had no distaste for her own set	I'm not at all dissatisfied with the way things are here.
کلایدی اْشتَن قایلی ویر بَرشَه	the obligation faded.	as if he had forgotten how to use it.
وا نی اَمون نِدوعَه و دو و دوشابی یَندی دوشَه	I never see the wind blow so.	one on either side of us, and the other on the opposite side of us.
اما شازادَه اَی کو نار دَبَه	but the old prince interrupted him.	but the prince was troubled.
تندَ رگی خونِ ایدَفَعی آپَرکییَه	turned into a rout because of a devastating downpour.	his blood boils instantly.
ها چیمی سَرَفا دَپَرچین آپَرچین کَردمَه که چمه درزَه کلَاس بْبو.	arranged it for the future schoolroom.	I had something to do with the back of the saddle, so that I could see it clearly.
از کشیشیمه و پی هرچی بدگْمونی کو برزیمه بْبوم	I am a priest and therefore I ought to be above suspicion	I'm a preacher, and I'm fed up with all the ugliness.
هَلا هری نَه شیش گْلَه پیلَه فاصیلَه داری	still lying on the staircase six steps below him.	there's still plenty of room for that sort of thing.
سه دَقَه تمون اسبی حرکتی زْت آبا دییِسی	watched the horse's action for the space of three minutes	in three minutes you will see a moving horse.
ولی فْکْر کَردْمَه غم و غْرصَه چیزییَه کو هر کسی دس دَه	but I thought grief was something you felt anyway.	but I thought sadness was all there was to it.
پیلَکونی کو پِرشَه تا راهرو کو آرَسَه به بَری	went up the staircase to a door in a corridor.	climbed the staircase leading up to the entrance.
هر چن کْ هده زحمت مْزی نِداری	though with but small success for their pains.	no matter what.
در نتیجَه وکیلی گِتشَه تا اَوون یَندی کو سیفا آکره.	but sent an intermediary to arrange the terms of the separation	so he went to his counsel to investigate the matter.
چیمی بَه نار اْندَچی نِپیما کو تاو دَلَکیم.	for I have never had such need of haste before.	we've got a long way to go.
فْرمونی کو چِه شو اَی دوعَه	at the orders her husband left her	I'll go to bed with him.
کنجکاوی و دَقَتینَه، عجیبَ زمینی ک بَلَکِما چه دایر و کناری دییِشتْمَه	look around me with some interest on the strange land that I was in.	the curious, minute, peculiar terrain from which we had come.
پِشتی نه سْنگَه کوئَه سری خْتَه	lay down on his back on the heap of stones.	the back of which was covered with a thick cord.
قرار نییا هَنی اَی بْوینیم.	I was never supposed to see him again!	we're not supposed to see him again.
انگار مجبورینا بَهَرزین اَع اشتَن لوعَه بکَره.	as if they were forced to let him say it.	as if he were forced to turn around.
اْمَه کو از تْلیمَه شومَه کَه را.	that is why I hastened to you.	I'll tell you where we can go from here.
نِخام دِ ام موضوع بارَه لوعَه بْکَرْم	I don't wanta talk about it no more,	I don't want to talk about it any longer.
پی تْ هشدار بدَم ام اتاقی کو نی پیللَه تَرَه.	I should warn youit's bigger than this room.	I warn you that you are in a crowded room.
اْشْتَرا و اْشتَن خْردون را دکتر گِتَشا	for herself and the children she employed a physician.	they went to the doctor again.
دا جایی کو بی موفق بِه پیله مقاماتون میزی آمادَه آکر	she did everything possible to keep the places at the table of honor in order	to set up a table for the officials where he was to succeed.
اشتن ما نَسَ وجودی جبران بکر	a recompense to you for his mother!	our thirst could not be healed.
اسبی نْخْتَه پِکَردْشَه شَه رْواری را	spurred his horse and galloped into the river.	the horse had not slept and had not slept.
من نی چْمْ چْپْع چْپْع ایدامَه دوعَه.	I still humming my little tune.	I'm not going to pray anytime soon.
چن پَلَه یَخْش دَسمالی دِلَه دَکَردَه و چه سری پِنوشَه	ice cubes on her head	how she had managed to conceal her secret from him, and how she had managed to conceal her secret from him.
دَکَشْشَه و اَی کو اْشتَن زوئَه عَسکی بَرونتِه را ایستْفادَه کردْشَه	she used it to push out her son's photograph.	knocked him down, and took advantage of the brute force of his arm.
تْ اْشتْ وَر دِ فیکر کردا کو روکَه جنگی مْنَه بْکَریش	you reckoned on a bickering!	you thought of putting him in line for the war.
دْلَه سونینَه ایلَه اتاق نی مْن آدَن.	I should be given a small room as a favor	was admitted to the drawing room.
اسلَحَه و گوللَه کو بهتر آزونْم	than either a bullet or a knife.	I know better guns and ammunition.
هر کس کْ ایی دَفَه شوهْرَتی طَمی چَشَش بْبو	once you've had that first taste	for one who has once desired a husband
یا سَی بْکَر اَ حال و هوا دیلَه کو یَکی دْ ساعتی بْخسْه	or trying to snatch an hour or so of sleep	or try to stay up in the air for an hour or two.
مْرا چه مونی هیچ ایتفاقی دَلَکَه نییا.	just as if nothing had happened.	I don't think it's a coincidence either.
ام کارینَه بیجَه تی چه پوس و خَلا پِزِرَه.	tearing both skin and clothes to some extent in the effort.	I'll tell you what's the matter with him.
چم سرنیویس اْمَه کو ام درازَه روزی جان بْدَم و سختی بْکَشْم	I shall have to toil and moil all my days	I'll take it from you that I've lived a long life, and I'll struggle to make ends meet.
ایی آدمی دَس دَرییَه کو تازَه شروع کردَشَه و حاضْرَه مَلْکَموت چه جانی ویگِرْه ک تا دْوارَه بی عاری بْکَرْه	it's the hand of a man that's started in on a new life, and'll die before he'll go back.	a man of rare genius, who had only just begun, and who was ready to lay waste his life on all fours.
بَد نی سَی کَردَشا بقیَه ناری بیگِره کو کیکی مَهَرن.	as earnestly tried to prevent any body's eating it.	you don't have to take the remainder of your leave to bake cakes.
تا وختی چَوون چِمی ایسبینَه بَرومَه نییَه از مشکلی نِدارْم	I'm not really in trouble until I see the whites of their eyes.	I'll be fine as long as I don't take my eyes off him.
از اینتْظار نِداریم کو اشتَن بْبیم	I hadn't expected to be myself.	I don't expect to see you anywhere.
