source	reference	translation
Nika pê hêrişan yeno waştenê ke heme qezencê înan dest ra bêrê girewtene.	Now, these attacks are intended to take away all their achievements	the angry couple decided to forgo all profits.
Çimê mi bîyî pirrî hesirî.	My eyes filled up with tears	I shuddered my eyes.
No zî beno semed ke vîrus vila bibo.	This, too, is the reason why the virus spreads	I'm afraid there is a possibility of a possible strain of the virus.
Hetanî sinifa çarine dewa xo de waneno.	He studies in his village until the fourth grade	they're in fourth grade.
Ganî pêro cinîyî xeyalanê xo bîyarê ca.	All women should fulfill their dreams	I'll have to keep an eye on him for the rest of the day.
Mi zî tercumeyê kirdkî kerde.	And I have translated it into Zazaki	I translated it briefly.
Seba ke ciwan vera naye vejîyano polîsî ey wesayîtî ra fînenî dûrî û dest şanenê qirrika ci û erzenî erd.	Because the youth protests against this, the police throws him out of the car, grab him by the throat and onto the ground	the young man had to avoid being picked up by the police.
Ma vînenê ke rayaumûmîye de derheqê bawerîya elewîyan de muneqeşayêko cîyaker yeno kerdene.	One sees that the separatist discussions are made in public concerning the faith of the Alevis	let us look at what has been publicly discussed in the recent debate on elephants.
O rî ra kî ê mînetdarê dersimizan ê.	For that reason they are thankful to the Dêrsimis	who will be the temporary adviser
Hetê ra gureya hetê ra kî wend.	On the one hand, he worked, on the other side, he studied	I'll tell you who's in charge.
Her diyan sere şanayo pê ke ti vana qey kirmanckî nînan afernayo!	Both of them smashed their heads together as if they created Kirmanckî on their own	I can't wait to find out who you are!
Welatê ma binê sîyasetê qirkerdişî de yo.	Our homeland is subject to deathly politics	the country is in a turmoil of annihilation.
Wa wendişê mewlidî biancê kamera.	We should record the reading of the Mawlid	looking at the camera mounted behind him.
Tena yew qusurê xo esto ke merdim nêeşkeno nuşteyan kopî bikero.	There is only one flaw, one cannot copy the writings	there's only one dog left who can't even copy notes.
Ino hereketê ci îsbat kerd ke ez otomatîkman biya serekê grûbî.	His/Her movements proved that I otomatically became the leader of the group	Now the movement showed me that I was automatically leading the way.
Yeno keye ke nîmeyê awe zî nêmenda.	He comes home and not even half of the water is left	it's the kind of house where half a dozen people still live.
Ez koma her dîyan a.	I am in both groups	I'm all over the place.
Her çî wextê ey esto.	Everything has its time	time is running out anywhere.
Eke roşîya nême şima rê nême bidîn ma.	Once sold, half is your, give the other half to me	I'll not let you out of my way in the middle of the night.
