source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I've been off color for four hours.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	with the discretion and perplexity of the answer.
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't want it to be done.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	that he had not even presence of mind enough
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	I know the answer to many riddles.
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	might have the wherewithal to take her.
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I mustn't bear the enemy.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	and then he tore into that leg.
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	she asked, her voice rough with stress and fear.
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I took the phone off the hook.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet so well set out was it that it seemed to him that all he had done was by right.
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I took the axe right, and smashed in my head.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	with the sagacity and smell of this bird enables him to discover his quarry at a great distance.
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	but I felt a pang of thirst.
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	I have the misfortune, to have been deceived by my live or deceit.
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but the hand and the women balanced it between their knees, and with a toss of blood, they made a good match.
چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	or giving him the tongue depressor he has used to do something about her.
وه دنگ پای زمان گۊش اؽڌه	listening to the echoing footsteps of years.	he obeyed her shout and was gone.
مو فقط وا ئی خانوم نه بڤینوم	I must see the lady.	I was left alone
وه نظر تو هم آڌم وه کار بخوریه	he struck you as being pretty handy.	you are aware of the as well as I am.
ولی سیسرک ز دسترسس وه دیر بی	but it was safe out of his reach.	but the rarity and the suddenness of it made it very delightful
گشت آرمۊنلم وه دستوم رهڌ	I have lost all my illusions.	I wish for no virtues of that kind.
صحاڤلسۊݩ یا مورده بیڌن یا فیچسته بیڌن	all of them silent now, their owners dead or fled.	they were startled, or they would be destroyed, or they would be destroyed.
وه زلی وه ئی لیک کۊچیر رهؽ سی عبۊر واز اؽبۊ	it soon stood wide open also.	but that with the same shrewdness and a little more luck
یه‌ناگه و وا دلسردی فهمستوم که یو سال آخرمه	I knew with sudden, chilling certainty that this was my last year.	a suspicion darted into my head, and I knew with a shock that the end of the year was coming.
په دهۊنمه واز نکردم	I kept my mouth shut.	I put my smile back in.
ایما هنی همۊچونیم که ویساده بیمۊݩ	we're still where we were.	we are not the same old playfellows.
فۉرا فهمستوم ئی کلیل هؽن کۊچو بی	I knew immediately what this key was to	I speedily found it would be impracticable to retain this key.
په تو اؽتری رهته بگری بری و مو نه تهنا بؽلی.	so you can get the hell away from here and leave me alone.	so you'll have to take the watch back.
ولی کسؽ جوریت دغالت مؽن ئی کار نه نڌاشت	but nobody dared to interfere.	but no one dared to trouble him.
یا یو که ناخڌا سرس نه اشکنه	or knocked on the head	or that he should even very heartily sickly dislike the captains.
هو تا مجال ٱفتۉنشینۊݩ اوچو مند	there he remained till nearly nightfall	he had waited there all the afternoon
هۊنه بون هو رۊزؽ لهرؽ نه بؽشتر بی	as though it had once been a large stone pigpen	but there was a good deal more of him in the house than that.
ایو کارؽ زنشت دار و دوشخار بی	that was painful and difficult for him.	it was a thorough paced little evanescent partiality.
بۊهخشین که مؽن جا کشیدومت در	I'm sorry I've dragged you out of bed.	I'll forgive you for the deceit you have on me.
مجالشه که دی بکشی کنار	it's time for you to step aside.	when he might have put aside the drapery
ز ته سیم امکانس نی	as I could not possibly have done	I daresay it will be impracticable.
شکوم نی که باعث مرگس وابیڌ	I have no doubt that it led to his tragic end.	but no doubt it was the cause of his death.
وختؽ که وه گمۊنؽ که دوز اویده سیخ چاله نه ڤورگرهڌ	when he got the poker in case of burglars	when he's had the impudence to show it at the last.
وه اسپ کرند که خزمتکار و دۊست مو بی فرمۊن دا	ordered the sorrel nag, my fellow servant	the captain, who was commanded by his highness and love
جلز یه سلۊم علیک رسمی	that they had never gone further than formal greetings	including the wearing of a spare uniform.
خاس بیا داخول که در ز داخول بسته وابیڌ	but the bolts were in place.	a sorrowfully closed door.
مو سرمست ز یو که هو سر مجال ڤرگشته بی	I'm glad she got back in time.	I hated that she had other things to think of.
ولی وه گمۊنوم گشت گونا ئی بڌبختی وه نای مونه	but I take all the blame upon myself	I thought the whole misfortune of that unfortunate adviser was by no means in blame.
یه‌ناگه تی زس ڤرگرهڌ	looked quickly away.	then suddenly sobbed as his eyes filled with tears.
دارستۊݩ ایسو ز رنگ شه وه رنگ کۉ وابیڌ	the forest was gray now instead of black.	a thick set, freckled cossack.
ئی کار ایما نه وه کاهلی اؽواداره	which disposed us to sloth	we're all wearing ours
که ئی واله ئیقزر زهله بر کرده بی	that so much invested the whale with natural terror	to that tale of wounded self love and defeated ambition
سی یو که دوهڌر چۊپۊنه نڤینه تصمیم گرهڌ ڤی ولات روه	in order to escape from her, he determined to quit the country	nevertheless, he made up his mind to go to bed.
ز حالس ناراضی نبی	her mind had no distaste for her own set	she wasn't in a very good mood
گشت ٱند خوسه ز ڤیر برد	the obligation faded.	entirely poleaxed by the idea.
باڌ هم ٱمۊݩ ندا و گشت زمین و زمانه وه یک رهڌ	I never see the wind blow so.	the fathers tell you you're going to die on the same spot every day.
ولی شازاڌه زس زه وا نها	but the old prince interrupted him.	but the princess left her nothing
وه سی لف بارۊݩ یه‌ناگه تارستن	turned into a rout because of a devastating downpour.	was lying on his stomach in a dark
اوچو نه سیکه مؽن آینده هم کلاس درمۊݩ وابۊ مرتڤ کردیمۊݩ	arranged it for the future schoolroom.	where we'll meet again in the class to morrow.
مو کشیشوم و ڤا وه هر بهتۊنؽ وه دیر بۊم	I am a priest and therefore I ought to be above suspicion	I will the curate, and go at once to see what was the matter.
هلام وا هو شش پله فاصلَم بی	still lying on the staircase six steps below him.	it was marching on six stairs.
گشت سه دقه نه سیل وه تورکستن اسپ کرد	watched the horse's action for the space of three minutes	the abbe sprinkled a little dust over it to conceal the traces of its having been removed
گمۊن کردوم غم و ٱندۊ چیه که آخر وه آڌم دست اؽڌه	but I thought grief was something you felt anyway.	I thought of the grief I ought to be in the end of my life.
ز پلکۊن رهڌ وه بالا تا مؽن دالۊن وه درؽ رسی	went up the staircase to a door in a corridor.	climbed up to the main body while the early patrol searched the railway.
هرچن که سی ایقزر رنز ماجب خۊڤی نگرهڌ	though with but small success for their pains.	though he by no means knew what it was.
ایمدۉ وکیلؽ نه بسی کرد تا کارل جڌایی ز هو نه ٱنجۊم بڌه	but sent an intermediary to arrange the terms of the separation	but the barber ran to do his utmost precautions in order to allow him to be pacified
سیکه نهاتر زته ایقر نیازمۊن وه اشتۉ کردن نبی	for I have never had such need of haste before.	but there were no need to buy them for this emerald.
ز دئسۊرؽ که مؽرس داڌ ڤس	at the orders her husband left her	out of the village where he had been born
وا علاقه، نیَشتوم ڤه دۉربالوم، و جاگه بلاجڤی که مؽنس بیڌوم.	look around me with some interest on the strange land that I was in.	I sought the grass grown path by which I had come.
خۉسیڌ و ری چولچله بردی دراز وابیڌ.	lay down on his back on the heap of stones.	he smiled,pitying her with his long blond hair.
هرگش نه قرار بی که هو نه دوڤارته بڤینوم	I was never supposed to see him again!	he had never planned to see her again.
منی مجبۊر بیڌن که بئلن که هو، یو نه بگو.	as if they were forced to let him say it.	I was forced to agree to see her off.
ڤه همی تفیل بی که زی وَیڌوم سر‌وختت.	that is why I hastened to you.	I was hoping you might be dreaming of me.
نؽخوم دی در مۉرڌس گپ زنوم.	I don't wanta talk about it no more,	I don't want to talk to her about it any more.
