source	reference	translation
مۊ أن-أ سٚفارش بۊکۊدم	I have advised him to do that.	I-I-thinkable to save her.
مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	I want the truth, the truth!	I was there all the while, you know, making up-side-down.
مي گۊلي-أ پخ بزئم	I cleared my throat.	I checked my bunch.
اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	but I am always fond of children.	I shall have the first time with these little children.
وانمائي مأنستن کي بام ٚ جؤر نهأ	you're like the weather cock on a roof.	I pretended to be worse than I really was.
خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	stood, livid and trembling, before us.	he pretended not to understand, and turned the conversation.
سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	went up the hill and out of sight.	he bent his head, groped with his head for hers, found it.
زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	even as the hairs on my arms began to shrivel.	I got hold of him for a moment.
مي سرأ بشادم	I shook my head.	I cocked my head.
هسأ همتتأ چي مرأ واضح بخاطر بامۊ	I can remember it vividly now	that everything that day now seemed to him quite clear and completely solved.
خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	he put his hand up to his forehead.	now threw affectionate arms round his chest
مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	I raised one hand to halt his apology.	I held one hand out to catch your eye
ایتأ دۊتأ پیله آه بکشي	gave a long gasp or two	perhaps she exaggerated.
مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	I don't set up to be one of those men that don't care about women.	I do not mention, or intend, to the disadvantage of those who are to be his wife.
بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	I thought it might be important.	I thought it might do some good.
خاطرجمائي ناشتيمه تۊ بيبي	I wasn't sure it was you.	I didn't expect you to jine
نۊقره ای آچارأ خؤ جیف ٚ جأ بيرین بأوۊرد	took a silver key from his pocket	with a horrible oily gurgling, went out of his pocket.
ولي هلماله سۊمأ زؤرأ نأره	but hasn't got any magic powers.	but not without difficulty.
سيأبختي پاپرۊس ننأ	I'm afraid there are none.	the poor little rosy face in the face.
چۊن ناخؤش بؤ.	because she had been ill	that was all disagreeable to me.
خؤ عازمأ جزمأ کۊده	for he had made up his mind	addressing the letter in a disguised hand.
مزایأ سرأ گیفتن	the racers started.	in tones of bewilderment, despair, resignation.
نهايي ضربۊ واقئيت ٚ جأ اۊن ٚ دس نهأ	has the last featuring blow at events.	as if the self confidence of the gathering had been staggered by a blow.
آلبت ایتأ دۊتأ اۊشان-أ تفریح وأسي رأ تاوده	I doubt if he's gotten that far yet in fact, I'm sure of it.	it probably smelled good to everyone else.
سرأ گیفت شعرانه حیفظ-أ کۊدن	went to work to get his verses	he had opened an account with my poodle
اۊن ٚ ناقۊشي چاقأ کۊدن ره اۊن ٚ أمرأ شيريک بۊبۊست.	be represented as a partner in his own cure.	the abbe sprinkled a little dust over it to conceal the traces of its having been removed
