source	reference	translation
ڤە ئێ دووخا چوار ساتم بردە سەرێر.	I was four hours under these circumstances	with this booty I went on.
نیمتەنە و شاواڵ شەترەنجی کردۊتێ ئەێ ڤەر	in plaid frock and trousers.	in half an hour, and in short, she was dressed just as she had been.
م نمەیلم ماجراکە ڤە ئێ شێوە تەمام بوو	I won't let it end like this.	I forbid you to stop the story.
ئەر یە بییە گ نێیەت ئە ژەن کەڵنگە دەرک بکەێ	trying to grasp the old lady's meaning	if he was not allowed to examine that large woman
ڕووژنامە ئەێ پەلۊ مێزە هێز داتێ	he picked up the paper.	for the paper few by the foremaker's bench
هایتێر ئەڕا هەمۊشە ئێ دت نازارە ئەێ دەس بچوو	she might be required to sink herself forever.	perhaps, for the first time, this beautiful girl would lose her.
ڤە دوشمین و هەڕەشە دەستوور دامێیە بێن	he ordered me in with an oath	I have given orders, with expressions of the highest acknowledgment.
سە ئەو ڤە ڕاسییا ئەسیر بۊ	so truly was he captivated.	so he was actually a prisoner
یاواش ڤە زوور زانی هێز گرتم	I raised myself gently upon my knees	I took it up, as suddenly as if I stood up from the ground.
ڤە ئێ حاڵا هەر چەێ شەواهد و قەرائن بی نیشانە میاێ ئەو موجرمە	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet I am willing to aid you to the utmost of my power in a purpose so honest.
دەرجا ئێ فکرەلە ڤە نام زەێنمەێرە گێرداننم و شعرم سازی	I immediately turned this thought over in my head, creating lyrics.	I have to express my view of it and my decision.
ڤە ئێ گومانە گ مداڵە ئەژ زەڕ بێخەوشە	thinking that it was a medal of solid gold	on account of the impending battle and our relief.
ئەمانێ فرە ئەڕا یەون ئاخ و داخم کرد	but I felt so sorry for them	but I was troubled and fell in no mood for it.
م ژیاین فرە دووسە مەێرم، بەدبەختی هەر یەسە	I've loved life too much, shamefully much.	I love life, and I'm sorry for that.
ئەمانێ ڤە حاڵێکەێرە گ لەمەسوڕکییان بی، دەس و پاوانە مییا، ڤە ئەژ لاوەلا چوروو و بتە مەهەتنەو نووا. ڤە ئاخرەێر کول ڤە یەکا گولەوان تەقان و حوزوور وژان ئاشکراوا کرد. ڤە دوما ئە گولەتەقاننەلە فرەهان ئەژ سەربازەل ئێ سەر زێن ئەسپلەوان کەتنە هوار.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but with a cry of anguish, the hand made him jump so badly that he dropped the egg, and pretty soon were sleeping.
جوور ژیمناسیککارێ گ هووکارە ئێ کارەسە	like a man accustomed to that kind of gymnastic exercise	as a sensible physiologist, simply particularly re mark its front aspect, in all its compacted collectedness.
گووشە میاێ ئەر دەنگ شوونە پا زەمان	listening to the echoing footsteps of years.	starved at that, by the powers!
م فەقەت مەێ ئێ ژەنە بۊنم	I must see the lady.	I am only looking at her
ئەێ تونێرە ئاێم دەردبهوەرێکە	he struck you as being pretty handy.	I'm sick of the sight of you.
ئەمانێ سووسک ئەێ دەڕەس ئەو دۊر بی	but it was safe out of his reach.	but the cowherd would not have her.
گشت ئاوەخت و ئارزووەلم دریاوە ڤارا	I have lost all my illusions.	all my hopes and aspirations were gone out of my mind.
ساێلەوان یا مردۊن یا هەیواوین	all of them silent now, their owners dead or fled.	entreated for the dead and gone.
ڤە زۊیی ئێ توڕەکونا گوجەرە، ڤە شێڤە ڕێ ئەڕا ڕەدبین گورج بییەور	it soon stood wide open also.	the slightest trace of anger quickly thinned away from it
ڤە یەێ قەتئییەت ناهەڵمانە و دڵسەرداکەرێ فەمیم گ یە دوماێن ساڵ منە	I knew with sudden, chilling certainty that this was my last year.	with a sudden recollection and painful thought that it was the last of my two years.
سە دەم وژمە بەسریا هیشت	I kept my mouth shut.	so I had my mouth shut.
ئیمە جارێ هایمن ئەر ئە جاێ گ هووسیاویمن	we're still where we were.	we are here when we stood there
دەرجا زانستم گ ئێ کلیلە هن کوو بی	I knew immediately what this key was to	I wondered where that key was.
سە تو مەتۏنین سەر ڕێ وژت بگرین و من ڤە تەنیا بیلین	so you can get the hell away from here and leave me alone.	so you can take your way and leave me alone.
