source	reference	translation
همینتی چار سات سر هکردمه.	I was four hours under these circumstances	I sawed it up and down four hours.
کل جمه و چارخونی شلوار دپوشی بییه	in plaid frock and trousers.	wearing a jacket and tie.
من نلمبه که ماجرا اتی توم بوه.	I won't let it end like this.	I don't know if it's worth the trouble.
کوشش هکرده پیرزنای رای ره بفهمه.	trying to grasp the old lady's meaning	he tried to understand the old lady was beginning to come.
روزنومه ره میز کنار جا بیته.	he picked up the paper.	put the paper aside
ولکه این نازنین کیجا درسسی از دس بوره.	she might be required to sink herself forever.	but that beautiful young girl wouldnt go out of her.
با ات تا فاش مه ره فرمون هدا.	he ordered me in with an oath	with a gesture of desperation directed to me.
راسسی راسسی کلاید اسیر بیی بییه	so truly was he captivated.	and then the real Knight was a prisoner of clyde.
ونه گلی از ترس خشک بییه و بهیته. و بپرسییه	she asked, her voice rough with stress and fear.	that the part of her face was caked with dry hay and the dust was about it.
یواش یواش لینگ رهی هکردا راس بیمه	I raised myself gently upon my knees	I stepped on tiptoe.
با این حال درس همه چی شاهدی دننه که و مجرم بییه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	the crime is stolen, and there is every reason to show that the prisoner is really guilty.
اندریک یان فکرا ره شه سر بگردندیما ات تا شعر بساتمه	I immediately turned this thought over in my head, creating lyrics.	to admit or to suppose any legitimate interest that I might have led to write poetry.
با این گمون که مدال اصلِ طلای جا هسسه	thinking that it was a medal of solid gold	but even if the argument was still one of them
ولی وشون واسسه خله متاسف بیمه	but I felt so sorry for them	but I was very sorry about them.
من دیین ره خله دوس دارمه. بدبختی همینه.	I've loved life too much, shamefully much.	I've loved the sight of her. I have the misfortune to find her.
اما همتی که شه دس و لینگِ جا ساخه سو کردنه و بوته لا به لا پیش اییمونه سرآخر هنتی تفنگ جا شلیک کردنا نشون دانه که در اننه با اون شلیک هم خله از سربازون شه اسب زین پشت جا پایین جر دکتنه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but directly announcing his hand and his foot, he let out a long oil ladle on the counter, to show that he had charged out such gentlemen from the ground.
زیمیناستیک کار جور که به این کار خو هکرده	like a man accustomed to that kind of gymnastic exercise	the landlord had taken care and pains to prepare for them the best supper that was in his power.
زمونه لینگ چمر ره گوش دا	listening to the echoing footsteps of years.	I listened, too engrossed, to the girl's response.
من فقط ونه این زنا ره بوینم	I must see the lady.	I am only telling you
ته نظر هم آدم به دردبخری هسسه	he struck you as being pretty handy.	you'd have thought it vaguely wicked sort of decadent and foreign and aristocratic to keep later hours.
ولی سیس ونه دسرسی دنی بیه	but it was safe out of his reach.	but it was all confusion.
مه تموم امید و آرزو همه به باد فنا بورده	I have lost all my illusions.	I lost my hope and yearning to explore every single skeleton.
وشون صاحبون یا بمرد بینه یا فلنگ ره بدا بینه	all of them silent now, their owners dead or fled.	their men disfranchised, their heads insulted.
خله زود این کچکی گلیا اتا گذر رای واری آماده بییه	it soon stood wide open also.	the breeze whistled low in the dusk among the tossing pines.
ناگمونی بفهمسسمه که مه آخری سال هسسه	I knew with sudden, chilling certainty that this was my last year.	I suddenly realized that it was my last year.
پس شه دهون ره دوس بیمه	I kept my mouth shut.	I flattered myself, that a more noble, exalted thought never sprang in any other man's head.
اما فعلن همونجه هسمی که اس هکرد بیمی	we're still where we were.	but in the same place and the same attitude in which we stood.
اندریک بفمسسمه که این کلی کجه شه	I knew immediately what this key was to	I realized from afar that the key was attached to me
پس تو توندی شه را ره بیری بوری و مه ره تینار بلی	so you can get the hell away from here and leave me alone.	so you must put your head off and leave me alone.
ولی هیچ کس جورات ناشته کار دله دخالت هکنه	but nobody dared to interfere.	but no one dared to meddle with my work.
یا اینکه ناخدا ونه سر ره اشکندنه	or knocked on the head	that the captain would burst his head
آنسلم تا نماشون گدری اونجه بمونسسه	there he remained till nearly nightfall	she was not to be seen by those who came in and out and were evidently each afraid to communicate the thought in his mind.
که ونه اصلی ساختمون ات روز ات تا سنگی خوکدونی بییه	as though it had once been a large stone pigpen	which was the custom despite the weight of one day
اینتا اتا دردناک و سخته کار بییه	that was painful and difficult for him.	it would have been a painful and utterly demanding labor.
عذر خوامبه که ته ره لای جا بکشیمه دیا	I'm sorry I've dragged you out of bed.	I'm sorry I found you in.
این گدر برسییه که تو کناره گیری هکنی	it's time for you to step aside.	until you realize that you're going to be hanged.
هچ را مه واسسه امکان ناشته	as I could not possibly have done	which was all possibly impossible for me
شک نارمه که ونه بد بمردن باعث بییه	I have no doubt that it led to his tragic end.	I am sure that it was the unpleasantness of his death.
اون گدر به این خیال که دز بییمو تَش کَله سخ ره بیته	when he got the poker in case of burglars	then, convinced by the idea that he had been a thief, he had confided his all to her.
کرند اسب ره ینه مه خدمتکار و مه هم قطار فرمون هدا	ordered the sorrel nag, my fellow servant	the owner of the horse, and the waiter again.
البته فقط ات تا رسمی سلام علک	that they had never gone further than formal greetings	but merely a form of emeraldism.
