source	reference	translation
چوار سات وەی حاڵەو ئەو سەر بردم.	I was four hours under these circumstances	I declutched four hours and won't.
شەۊ و شواڵ چوارخانە لە وەر	in plaid frock and trousers.	last night and a pair of pinstriped trousers
نیەیلم هە لێوا بنێ باێ	I won't let it end like this.	I don't let her get on any other condition.
تەقەلا ئەڕای ئەوڕەسین لە مەبەست کەیوانوو	trying to grasp the old lady's meaning	I intend to get there.
کاغەزەگە گردەو کرد.	he picked up the paper.	put up the paper.
هاتێ تواسۊد ئەڕا هەمیشە خوەێ بخنکنێ.	she might be required to sink herself forever.	he might have ruined himself for ever.
وە قەسەم و قورئان نا ملم.	he ordered me in with an oath	he made me promise several times never to speak of that letter to any one
هە وە ڕاسی، ئەو دیل کریاۊد.	so truly was he captivated.	had been, indeed, absorbed as it was.
وە دەنگێ زبر لە سترس و ڕخ پرسیار کرد.	she asked, her voice rough with stress and fear.	she asked, darkness seeping into her voice.
وە ئارامی خوەم لە بان وێرزنگەیلمەو بەرزەو کردم.	I raised myself gently upon my knees	I stroved myself up on my knees gently
وەی حاڵەو کول دووخەیل دەور وەر لەو ساتە چمانێ لێوا نیشان دەن کە ئەو کارە کردیە.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet all the echoes of the height seemed to have done so.
م زۊ ئێ هۊرە خسمە ناو سەرم و هەڵبەستەیلێگ وتم.	I immediately turned this thought over in my head, creating lyrics.	I stuff this idea in my head and make haste and have it over quickly,
فکر یە گ ئەوە مداڵ زێڕ ڕەقێ بۊە.	thinking that it was a medal of solid gold	the golden egg, I thought, was a stroke.
ئەمانێگ م فرە داخم هات ئەڕایان.	but I felt so sorry for them	but I was very sorry about it.
م فرە ژیان دووس داشتم، جی شەرمەزارییە.	I've loved life too much, shamefully much.	I loved life so much that I'm not embarrassed.
ئەمانێگ وە گامڵەکیەو لە ناوێن بووسانەو خزیەن، و تەنیا وە تەقەی تفەنگ وە یەکەو کە فرەیێگ لە زینەگان چووڵەو کرد، هەبۊنیان ئاشکرا بۊ.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but with a false step into the chestnut mare, and only struck at them with a gunshot wounds that had blown many of the prisoners out of them.
چۊ پیاێ کە هووکارە بۊەسە ئەوجوورە تەمرینەیل ژیمناستیک.	like a man accustomed to that kind of gymnastic exercise	as a man in question occupied with such civilities as his own exertions.
گۊە تەکانن لە شوونپای ساڵەیل	listening to the echoing footsteps of years.	listening to their footsteps after the years
