source	reference	translation
چار ساعَت هْنجورَه مَندیمَه.	I was four hours under these circumstances	I'll be up on the four o'clock.
شطرنجییَه جْرقَه و شْوارْش دَرییا.	in plaid frock and trousers.	he was horribly shaken and battered
از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	I won't let it end like this.	I don't want it to be ended.
خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	trying to grasp the old lady's meaning	took great pains to describe the shape of the old lady
روزنومه میزی وَری کو پیگِتْشه.	he picked up the paper.	dived under his own desk
شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	she might be required to sink herself forever.	I am sure this beautiful and accomplished lady will always be so happy to see her.
فَشینه من فْرمون دوشَه	he ordered me in with an oath	why he'll send me!
کلاید راس راسَکی اسیر با	so truly was he captivated.	clyde the real him
چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	she asked, her voice rough with stress and fear.	his voice growing confused and scared.
یَواشینَه زونو نَه ایشتیمَه.	I raised myself gently upon my knees	I knocked it out.
با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but he felt it necessary to assert himself.
ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	I immediately turned this thought over in my head, creating lyrics.	I have quite enough to do at the moment without trying to quash these ridiculous rumors.
ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	thinking that it was a medal of solid gold	I have no idea that you will suppose her talents can be unknown.
وَلی خَیلی اَوون را تَسْف هَردْمَه.	but I felt so sorry for them	but I threw it with a hard effort.
از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	I've loved life too much, shamefully much.	I'm gladZilla was alive. I'm unhappy.
اما در حالیکو سینَه ویسنِه کرین و نیهالون مینی کو جلو آین و آخْرْنَه‌سَر اشتن تفنگون گولون ایله ویداشتشونَه و اْشْتَن صْفَت دوشونَه و بَدَز اَ ویداشته نی خَیلی از سربازن اسبون زینی سری کو جیر ویلَکینَه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but the short growth of wiry bristles, low on his forehead, and all his cautions and warnings were unavailing to make him more afraid of doing the wrong thing by others than of getting his own toes pinched.
ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	like a man accustomed to that kind of gymnastic exercise	it was the kind of life you have taken to do it.
زمانی پا صْتا کْرا گوش آکَری	listening to the echoing footsteps of years.	when she heard the soft, wet sound of the scalpel across her stomach.
از فقط پی اْم یِنَکی بْوینْم.	I must see the lady.	I was the one she needed most kept aloof
اْشْتْه نظر دِرِه نی بدربخوره ادمیه ؟	he struck you as being pretty handy.	do you think you should be a baron?
اما بْزبْزَه چِه دایرَه کو دور مَندا.	but it was safe out of his reach.	but stopped short.
چْمْه ناجِن همه بْ باد شینَه.	I have lost all my illusions.	I wisht it could be all'nice.
چَوون صِیِبِن یا مَردَینا یا دَوَشتَینا.	all of them silent now, their owners dead or fled.	such as breakfast had been, or man, or woman
