source	reference	translation
Nika pê hêrişan yeno waştenê ke heme qezencê înan dest ra bêrê girewtene.	Now, these attacks are intended to take away all their achievements	Now to be angry is about towhelm everyone with it.
Çimê mi bîyî pirrî hesirî.	My eyes filled up with tears	I love my eyes filling with gratitude.
No zî beno semed ke vîrus vila bibo.	This, too, is the reason why the virus spreads	This is a sound precaution, and may be a necessary preparation.
Hetanî sinifa çarine dewa xo de waneno.	He studies in his village until the fourth grade	Does this tent come with a charm which I already know.
Ganî pêro cinîyî xeyalanê xo bîyarê ca.	All women should fulfill their dreams	All contestants have to submit to their respective dreams.
Mi zî tercumeyê kirdkî kerde.	And I have translated it into Zazaki	Neither did I mention the gift of the ornaments.
Seba ke ciwan vera naye vejîyano polîsî ey wesayîtî ra fînenî dûrî û dest şanenê qirrika ci û erzenî erd.	Because the youth protests against this, the police throws him out of the car, grab him by the throat and onto the ground	for the poor little gangs of these gipsies were just as far away from the village as the village, and able to topple over.
Ma vînenê ke rayaumûmîye de derheqê bawerîya elewîyan de muneqeşayêko cîyaker yeno kerdene.	One sees that the separatist discussions are made in public concerning the faith of the Alevis	We see many people beginning to think about the first facts in the world
O rî ra kî ê mînetdarê dersimizan ê.	For that reason they are thankful to the Dêrsimis	That s what they do best to teach us.
Hetê ra gureya hetê ra kî wend.	On the one hand, he worked, on the other side, he studied	Nomini the road.
Her diyan sere şanayo pê ke ti vana qey kirmanckî nînan afernayo!	Both of them smashed their heads together as if they created Kirmanckî on their own	You can each run to look for factions that are worthy to carry candles?
Welatê ma binê sîyasetê qirkerdişî de yo.	Our homeland is subject to deathly politics	Our country is under the necessity of seeking a livelihood.
Wa wendişê mewlidî biancê kamera.	We should record the reading of the Mawlid	If you read the dimming piles of a camera.
Tena yew qusurê xo esto ke merdim nêeşkeno nuşteyan kopî bikero.	There is only one flaw, one cannot copy the writings	There is only one small freighter who has not been able to copy.
Ino hereketê ci îsbat kerd ke ez otomatîkman biya serekê grûbî.	His/Her movements proved that I otomatically became the leader of the group	That s what I ve done, and it warn't long after the countercurse.
