source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I fell four o'clock in the morning.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	must 'a been jealous, to tear such clothes!
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't want your advice to be so,.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	the crime is that of not complaining even if the lover is not in the possession of the object of his love, and
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	you grab the jacket and almost run out of the room
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	or else the more simple sublimity of resolving to refuse him at once and for ever
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I must recognize the enemy.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	clyde picked it up and turned it over
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	she asked, her voice rough with stress and fear.
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I sat up and saw the battle over
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet so well set out was it that it seemed that every part had room to spread itself fittingly
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I took up this piece of bread and carefully crumbled it away.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	despite the fact that theunintentional blow still had had anger in it angry dissatisfactionwith her really
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	but I felt too much excited for it.
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	I have the misfortune, to have been deceived in my married life,
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but the short flick of yellowish flame in the dusk was powerless against the muffled up mysteriousness of the dark figure with an invisible face concealed by a great sombrero.
چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	this seems to him of the kind who has served to do so.
وه دنگ پای زمان گۊش اؽڌه	listening to the echoing footsteps of years.	she's had the impudence to show it at the last.
مو فقط وا ئی خانوم نه بڤینوم	I must see the lady.	I shall only just meet this lady
وه نظر تو هم آڌم وه کار بخوریه	he struck you as being pretty handy.	your attitude to me also, you feel like a person.
ولی سیسرک ز دسترسس وه دیر بی	but it was safe out of his reach.	but he was already out of his reach.
