source	reference	translation
مۊ أن-أ سٚفارش بۊکۊدم	I have advised him to do that.	I do not understand you
مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	I want the truth, the truth!	I should choose this if I might,
مي گۊلي-أ پخ بزئم	I cleared my throat.	I shuddered my throat.
اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	but I am always fond of children.	I have a childish as if you were a baby.
وانمائي مأنستن کي بام ٚ جؤر نهأ	you're like the weather cock on a roof.	my greatest is not that I shall ever learn to come down as long as I live.
خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	stood, livid and trembling, before us.	he had to stoop quickly to catch it, catching at his breath, and tears very near the surface
سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	went up the hill and out of sight.	gown, threw aside the drapery and for a moment stood motionless
زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	even as the hairs on my arms began to shrivel.	when my arms frozen to their utmost limits.
مي سرأ بشادم	I shook my head.	I shook my head.
هسأ همتتأ چي مرأ واضح بخاطر بامۊ	I can remember it vividly now	had now forgotten what was the matter
خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	he put his hand up to his forehead.	his pounding with the flat of his hand on her bedroom door.
مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	I raised one hand to halt his apology.	I grab my arm and try to lift him up
ایتأ دۊتأ پیله آه بکشي	gave a long gasp or two	sighing once or twice
مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	I don't set up to be one of those men that don't care about women.	I have no idea that I shall have one in the world like a woman.
بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	I thought it might be important.	I wondered if he was earning something special.
خاطرجمائي ناشتيمه تۊ بيبي	I wasn't sure it was you.	I never want to see you.
نۊقره ای آچارأ خؤ جیف ٚ جأ بيرین بأوۊرد	took a silver key from his pocket	took from his pocket a very poor pocket
ولي هلماله سۊمأ زؤرأ نأره	but hasn't got any magic powers.	but still his affairs did not improve.
سيأبختي پاپرۊس ننأ	I'm afraid there are none.	pursued the fellow, surveying the range of closed doors.
چۊن ناخؤش بؤ.	because she had been ill	because it was so ill founded.
خؤ عازمأ جزمأ کۊده	for he had made up his mind	he had shrunk with proud sensitiveness from ever recurring to the subject.
مزایأ سرأ گیفتن	the racers started.	by perfectly legitimate means, acquired inhis business.
نهايي ضربۊ واقئيت ٚ جأ اۊن ٚ دس نهأ	has the last featuring blow at events.	his pounding with the flat of his hand on her bedroom door.
آلبت ایتأ دۊتأ اۊشان-أ تفریح وأسي رأ تاوده	I doubt if he's gotten that far yet in fact, I'm sure of it.	although it was ordinarily quiet enough to suppose any thing else of their enjoyment.
سرأ گیفت شعرانه حیفظ-أ کۊدن	went to work to get his verses	whose poetry was fashionable.
اۊن ٚ ناقۊشي چاقأ کۊدن ره اۊن ٚ أمرأ شيريک بۊبۊست.	be represented as a partner in his own cure.	his knife slightly split the end, to insert the letter there, and in that way, hand it to the boat
روٚقد نأرمۊ	I am out of spirits.	I have not a penny.
هني بنماست کي کي واخاب نيه ایتأ گل اۊیأ ايسأ	to avoid betraying that he knew she was about.	but he felt it necessary to keep an army even from complete disintegration and flight.
شيمي اطلاعات نيشان دیهه کي خؤرم ٚ زأک ؤ ذات ٚ خۊش بۊ	if it had been favourable to the boy.	yet that you should fall into a delusion so great
حتأ ایتأ پئلي أن ٚ لیواس جيرأ تکان ندأ بۊ	had not so much as altered one angle of his vest.	even then the whale somewhat slackened his flight.
راستؤف اۊ قضيه پٚسي دئه خؤ خانواده ٚ داشت ؤ دارائي اۊمۊر ٚ جأ خؤرأ وانسي	said he to himself, and after that he did not meddle in business affairs.	in fact, he had his family to provide for him.
یاواشيکه بيشئم خؤرؤم بار ٚ مهمانانه ورجأ ؤ ایتأ دۊتأ ايستکام وۊکۊشئم بۊجؤر	I sneaked off to the private bar to have a pint or two before dinner.	I went out in the middle of a solo and drove home.
هتؤ کي ساغ ٚ جان ٚ مرأ جه ایأ دۊوارس ترأ گؤیم	I'll tell you as soon as she's safely away,	so that I might have seized a healthy breeze round my waist, from somewhere far away.
مۊ أن-أ نۊبۊردم اؤیأ کي أن-أ بۊکۊشم	I didn't go upthere with her with any intention of killing her.	I wouldn't have time to say anything.
هیذره خؤرم نیؤ کي گٚل، سفر بۊشۊ دکناپره	not a pleasant night for a dip in the sea	I hoped she might have made a trip.
مرأ ترسأ گیفت کي وارش ٚ جئر زنگ بزنۊ یأ سرما بۊخۊره	I thought it might get rusty with the rain, or catch cold	so I had the fear of being chilly and that the door was to be lawfully shut.
خؤ حوسأ هممأ اؤفتن ٚ سٚر بنأ	became absorbed in it.	consoling herself, however, with the discovery, which her keen eye soon made
مي حقسأی ٚ بۊکۊدم کي ایتأ مۊدیرعامل ٚ بازاریاف ٚ مأنستن آرام به ٚ چۊم بأيم	I'm trying very hard to look like a relaxed business class top marketing executive.	I was ordered to have some ineffectual struggles which would, like having a tooth out, completely cure myself of a bend.
اۊن ٚ مرأ لا چأکۊدم	we'll have enough of it to stuff a sofa!	I pushed the mine towards her.
مچه پیله مۊئن جه ميئن بيشأ بۊ	all the hair had gone from her face	there was a good deal of talk among them in the language of the country, not without some laughter at my expense.
أن وأسي کي تاهسأ هئکس اۊن-أ نامۊخت-أ بۊ	because nobody had taught him.	as even then not to be wholly without prospect of a meeting.
أن جٚمعیت جأ هلماله پن نفر ٚ جئن ويشتر مردأک نيسأبؤد کي کسانأ بشنأسيد	there were never more than five men who knew each other.	but with many more gentlemen it was impossible for them to arrange to meet any of the men.
کي تۊ هادر دیل سنگي کي مرأ غؤرصه جیگیر بۊکۊدي	you could be so hard hearted as to let me suffer so.	as if within herself she was marshaling every resource she possessed not to scream.
هسأ ساعت دۊوازأ کرأ فأرسۊ	twelve coming on to pass away.	that he paid the fare thereof'at two in the afternoon.
هانقدر تا هیجدأ سال بۊستن	when I am eighteen!	these moments were but presentiments, as it were, of the one final second
آئیني لافندان جه ای پئلي تا اۊنپئلي بي واچرسئن دۊمباله دأره	the iron bandstraversed it from side to side without any break.	but the blood had dried just one lock into a stiff cowlick.
اۊن-أ خۊشانه سراسر بداشتيد کي تۊفنگ-أ اۊن ٚ دس ٚ جأ فیگیرد	stopped him in the vestibule and tried to take the pistol from him.	they had heard him make a rifle in his hands.
اۊنأ منت بۊکۊدم کي حؤصله ٚ بۊکۊنه ؤ خؤ قصصأ بۊگۊیه	I begged his patience to hear me tell my story	I saw her innocently kiss her chosen husband on the cheek, and creep close to his bluff form as if it were her best support.
ایتأ ایجرأ سۊبي مأنستن کي گل خؤ شائي-أ ؤ ناجه-یانه اۊن ٚ جأ بکارأ گیره	a wheezy performance, into which he threw much ambition and an irrepressible hopefulness.	tomorrow morning she took to her heels and galloped away into the field.
ایدفأ همتتأ پس بينيشتن	but this time all had come.	but on moving with the same result, I stopped and looked back.
ایتأ مردأک کي هلماله نیدأ بؤم	whom she had never seen	the man I was looking for
أن ٚ سرأيم دوستأ بؤد	his head was bandaged with a linen cloth.	pursued the fellow, surveying the range of closed doors.
مخصۊصن کي ایتأ سواد داره گل ٚ مأدۊ سئر ببۊ	especially if the educated ones have their stomachs full.	especially re mark its front aspect, in all its compacted collectedness.
مۊ وأسي مه نقاب-أ ویگیرم اگه مأ گرمأ کۊد	I shall take off the veil if I get too hot.	I'll have to take my hat off, if you give it to me.
مي نظر بياتر أن ايسه کي نامأ هایأ تۊمان-أ کۊنم کۊجه باسلۊق چأکۊنم	I think we'll stop now and make some fudge.	I mean, it would have been fine, if'what I mean is, if you give me another chance, I'll do better.
مي ناجه أن ايسه کي اۊقدر کي مي زؤر فأرسه تي رٚضايت ؤ آسايش ٚ واستي حقسأی بۊکۊنم	I hope I shall do everything to your satisfaction.	I wish I were, if only for the sake of justifying myself in her eyes.
هیچ زمات طلاق-أ نیگیرم	I'll never divorce him,	I wish I weren't.
اگر نۊبؤسته بۊ هن رۊزانه به	there will be.	if it is not, it will be day.
وشتن کۊدنه مراسم ٚ مأنسۊ کي مره سۊتال بۊ	like the prom, for exampleseemed silly to me.	I unwrap this pair of gorgeous pale pink silk knickers.
يني اۊجۊري کي بياتر جه اۊن نؤبؤسته تي دیل-أ سيني جأ بيرين بأردم	I took out your heart as well as I could	I can see if he didn't try to fuck up what he's agwyne to do.
همسائيان خۊشانه شائي-أ جه دس بدئن	every face in the neighbourhood worsting	the neighbors had gone crazyly, with their footsteps dying away.
یاواشکه بۊگۊفت کي شازدۊ خۊفته ؤ تۊندؤتأکیته درأ دٚوٚست	reported in a whisper that the prince was sleeping, and hastily closed the door.	said she, when she could get bored, and shut the door softly.
ایتأ پاصدایأ بيشنأوستد	there was a scuffling outside	had heard some noise.
مۊ اۊن ٚ گب-أ هئکس ورجأ وأسي نزنم	I was to say nothing about him to anyone.	I won't keep you long.
اسپیدتر آف ٚ جأ	clearer than the water.	more or less splendid.
امأ تنأکه هن نۊبؤ	that wasn't all	but the swooning too was real this time.
بمانستم کي شاید مرأ دسبازارأ گیفته	I wondered if she was making a fool of me.	I feared that some difference between him and his mother might have led to his being in the frame of mind in which I had found him at the solitary fireside.
مۊ یاقاراني-أ مأطلم ؤ کاري نأرم	I haven't a cent in my pockets, and nothing to do.	I have no more than hinted in awkward speech.
مۊ اۊ فؤرصت-أ پيشأشؤ بيشئم	I welcomed the opportunity.	I welcomed the opportunity.
رایأ نتأنم بيافم	I can't find the way.	I can't see why I should.
کار ٚ مرأ سقت سرگرمي داشتيمه	he was very busy.	I had engaged myself in a work of very great moment.
دۊر ٚ جأ مألۊم نۊبؤ	not noticeable at a distance	I shall be glad to get out there.
ایمرؤيي ايسئم، فردائي نيسئم	I'm alive to day, but to morrow	I'm not going to die a good day here.
مۊردیم کار ٚ خأني	about the way people work	I reckon you're going to find work.
بي خابي جأ جندؤپري مأنستن بۊبۊسته بؤم	I was a zombie of sleeplessness.	I was badly bred.
خۊ کۊلایأ میز ٚ سٚر تاودأ	threw his hat on the table	then spreading them on the table
خایله محبۊبيت داشتي	she was also very popular.	perhaps because the future was full of amiability
ایتأ گل ٚ دیگرأ داشتیمه گۊ مي رافأ أسابۊ	I had someone else waiting for me.	I had another outbreak of my nights as a solitary hunter
هتۊ کي گي خؤ تصمیمأ بيگیفتأ بۊ	as though he had suddenly reached a decision	as if he had made up his mind
بأزین هایوأره خؤ لبظأ وأگردأني	suddenly changing his tone	then you'll return to your own room.
البت کي مي خاطر جأ دره	I do remember.	I'll say it's a doggone shame!
پۊر ماندي بۊکۊدأ بۊ	she was also very tired.	stark naked, with an organdy ribbon in her hair.
درجک ٚ جأ بيرۊنأ فندرستم	I look out of the window	I stare out of the window
اۊن ٚ جأ چئي بخأس	I asked her for tea	I shall be laid under some other heap of poor grass.
مۊ ایتأ پیله تاجر ٚ زنأک نيئم	I'm not a top businesswoman at all.	I don't a big businesswoman at all.
خلک ٚ جأ همۊ چیأ فأگیفتین ؤ اۊشانأ هیچي فاندئين	receiving everything from society and giving nothing in return.	the same cheerful serenity prevailed among its inmates.
خایله بۊک بۊکۊدأ بۊ	she had become very serious	he was horribly shaken
تي قؤلي خایله خۊشک ايسه	so very dry, as you say.	your arms is stunned and outraged
مۊ تأنم اۊشانأ یاور بدم	I can help them.	I can help them a mighty lot.
راستأ کرأ گۊفتاندرم	I'll tell the truth.	I come direct.
مۊ أن ٚ آمؤنه جأ خبر ناشتيم	I did not even know he had come.	I had not troubled to come here.
ویر نۊکۊنم أن ٚ جأ پئشتر أن-أ بيدأبيمه	I don't suppose I have ever seen her before.	I don't think we've ever seen those words before.
پئر نيگراني مرأ واورسي	the father asked anxiously.	my father unprotected me.
مي هدف جه آمؤن به ایأ أن بۊ کي اۊنأ یاور بدم	I have come here with no object except to help him.	my purpose was to help him.
بأزین دکفتن اۊن گؤشتي خاطر کي جبردأبن	next they thought of the stolen meat	without even removing his glasses
مي تصمیمأ بيگیتم کي بۊشم اۊنپألي	I decided to go overthere.	I'd made up my mind to do things well.
ولي خؤرأ بداشت	but she stopped herself.	but the army had slept.
چیکچیانه آخريئم مي جیف ٚ جأ بيرین بأردم.	I took from my pocket one last detail.	I haven't the faintest idea whether I would make good ornot.
مۊ تنأکه هتؤيي نبم	I wasn't the only one.	I just wasn't capable of letting her go.
هایوأره رؤج ٚ رؤشنائي کمأ بؤست ؤ برقأدم سرأ گیفت ؤ وارش صدأ ويشترأ بؤستأ بۊ.	the day had grown dark very suddenly, and now there was thick thunder and the sound of rain had swelled.	stood there gradually fading and fading away from its first sparkling intensity
تي پئشأ نیگیرم	I will not hinder you.	I can't bear to see you.
تاتائي-أ ايشاره بۊکۊد	I pointed at the picture.	their father was on the roof of the parental tolderia in the woods.
هیچي نخأیم بيشتاوم	I don't want to hear it	I hate to hear of it
أن بأث ٚ مئن نيشيمي	but we won't go into that.	I ain't seen him since he was little.
ولي خؤرم ٚ جیگأ دأرم	but I've got a good place.	but I have a good place.
مي هۊش مي أمرأ نیه	I no longer understand anything.	I can hardly expose them.
مي لب اۊنأ نؤخؤردأ بۊ	I had not eaten.	I put my mouth towards her at once.
أن-أ نتأنستم تحمؤل کۊدن	I wouldn't've been able to stand it.	I can't bear to see how it was.
بأزین گب زئن ٚ وأسي خۊ لبچأ وأکۊد	so she spoke.	he had shrunk with proud sensitiveness from ever recurring to the subject.
دأنيسيمه گۊ چي حسي دأره	I knew how he felt.	I guess I'll tell you how we feel.
ناجه دأرم ٚ کي اعتراضي ندأري	I hope that's okay by you	I hope you have not faith in him.
تأنستم ببؤم	I could have been.	I could storm away.
جه شيمي ور به	it'll be on your side	he dashing to the door
مي مقام بۊجؤر بۊشؤ	I've been promoted	I looked upstairs.
جه پن سالگي	when I was five years old	by the end of five years of discovery
دئه هئکس گب نزنه	no more talking!	that nobody would fool around with a preacher anyway.
وأسي شمرأ بۊگۊیم کي مۊ مي وظيفه ٚ دأنستم کي اۊنأ مۊنصرفأ کۊنم	I must tell you that I thought it my duty to dissuade her.	I care little who has placed me here below to fulfil my duties as a duties
خۊ گازخالأ وأکۊده بۊ	his lips were smiling.	he had to keep swallowing
مۊ دأنمۊ کي تۊ نخأسيه هئکسأ بۊکۊشي	I don't think you meant to kill anyone.	I hoped you didn't try to kill anyone.
ای بار دئه اۊشانأ بۊ بۊکۊد	smelled it again	once more, though, she was given an appointment at the green bench.
عالم واقئيتأ مرأ مربۊط نۊبؤ	had very little to do with reality.	yet my cautions and warnings were unavailing to dissuade the world from taking him away.
خایله جدي بۊ	looking as serious as he could	it was not difficult for me to guess that it was he that I had found him at all.
خاطرجمائي دأرمه کي گیر آیه	I'll believe I'll get it.	where I slept sounder than ever I remembered to have done in my life
مي بال مي بدن ٚ جأ خۊشکأ بۊسته بۊ	my arms frozen to my body.	my arms frozen to their places.
ناجه دأرم کي مجبۊر نبم أن ٚ جأ پئشتر بۊشم	I hope I shan't have to go any further.	I hope I shall have to stop.
خیال کۊني أن کارأ پئشتر هازار وأره بۊکۊدأ بۊ	like I'd done it a thousand times before	the old man is asleep, and has spent the day in doing so.
مۊ شمرأ بۊگۊتم	I told you	I have told you
تي زنای ونأله	your wife won't allow it!	look at yer mum!
أن جرگه سۊخال گردأ کۊدنأ سرأ گیفتد ؤ ایجۊر بنماسن کي خأيد فۊتۊرکد	all armed themselves with stones and formed in line	quite stupefied and benumbed at finding himself in your magnificent presence.
