source	reference	translation
چوار ساعەتێ پی بارودۆخوە سەرم کەرڎەبێ	I was four hours under these circumstances	I'd been four hours in all that.
گجییە کوڵ و پاتۆڵێ شەترەنجیش کەردەبێنە	in plaid frock and trousers.	wearing a thin silk slip
من ئیزن نمەڎو کە ماجەرا پی جۆرە تەمام بۆ	I won't let it end like this.	I have never allowed these adventures to be completed.
هەوڵش دا کە قەسدو خاتوونە پیرەکێ دەرک کەرۆ	trying to grasp the old lady's meaning	tried to penetrate the old lady's tone
ڕۆژنامەکەش جە لاو مێزەکەینە هۆرگێرت	he picked up the paper.	then removed the paper from the desk.
شایەد ئی کناچێ عالێ پەی هەمیشەی جە دەس بلۆ	she might be required to sink herself forever.	perhaps this intolerable girl may be lost to good humour.
بە جمانیوە هەڕەشەیی دەستوورش دا پەنەم	he ordered me in with an oath	with a gesture of desperation, give me a call.
بەڕاسی کڵاید ئەسیر بیەبێ	so truly was he captivated.	it was indeed he who
ساش جە ئسترس و تەرسینە وشک بیەبێ و گیریابێ. ئاو پەرساش	she asked, her voice rough with stress and fear.	the poultice of fear and agitation were swallowed.
یەواش بە زۆرو زانویم هۆرستانی	I raised myself gently upon my knees	I rose gradually to my feet
پی حاڵە تەمام شواهێدی کە هەن جە جۆرمو ئاوی حکایەت مەکریۆ	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet all the evidence of a disapproval she had never known before.
زوو ئی فکرامە جە زهنیم گێڵنایم و شعرم وەش کەرد	I immediately turned this thought over in my head, creating lyrics.	I make a snap decision.
پی گومانە کە مداڵەکێ جە تڵایە ناب و عالی مۆنێ	thinking that it was a medal of solid gold	he doubted that the tackles of his mother might prove embarrassing.
بەڵام فرە پەیشا ناڕەحەت بیانی	but I felt so sorry for them	but it didn't hurt them so much.
من زندگیم فرە وەش گەرەکەن. بۆبەختی ئینەنە.	I've loved life too much, shamefully much.	I love my life a great deal. I feel so glad for it.
بەڵام جە حاڵیە کە سەرو دەسا و زانویشاوە خزێنێ جە لێو گیاوەکانە لوێنێ وەروە بە تەقناو هەمزەمانو تفەنگەکاشا حوزورو وێشا ئێعلام کەرد و دماو تەقناو تفەنگی فرەیە جە سەروازەکا سەرو ئەسبەکەیشاوە کوتێرە واری.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but nevertheless, they flew into the passage crying for arms, and then shot very hard upon the knee, beat the coat of mail, and fireside.
پسۆ ژیمناستیک کاریە کە پی کاریە عادەتش هەن	like a man accustomed to that kind of gymnastic exercise	as a biographer, unaccustomed to do so.
گۆش گیرتەی جە دەنگدانەوەو هەنگامەکا ساڵانی	listening to the echoing footsteps of years.	listening to an infantry sigh of the year.
مشۆم خانمەکؽ وینو	I must see the lady.	I must speak to her
ئاﮆ پسە کەسێ یارمەتیدەر دیار بؽ پەیت	he struck you as being pretty handy.	he was your assistant and you seemed to have nothing to do with it.
بەڵام دوور سڵامەت بؽ جە دەسش	but it was safe out of his reach.	but he felt his personal safety was in question.
من گرد وەهمەکؽ جە دەس داینؽ	I have lost all my illusions.	I lost all credit with him
ئؽسە گرد بؽدەنگؽنؽ خاوەنەکؽشا یا مەردؽنؽ یا ڕەماینؽ	all of them silent now, their owners dead or fled.	now he had become the clergyman of the land, or the death or the run
فرەش نەبەرد بە هەمان شؽوە بە فراوانی کریاوە	it soon stood wide open also.	it was not difficult for me to guess that it was simply a question of salary.
ناکایێنە و بە دڵ سەردی زانام ئینە دماین ساڵەو منەنە	I knew with sudden, chilling certainty that this was my last year.	I knew with a sudden and violent smile that it was the end of me.
دەمم وستەبیرە	I kept my mouth shut.	I wiped my mouth off.
ئیمە هیشتای ئینایمؽ چا یاگؽنە کە چەنەش بؽنمؽ	we're still where we were.	we are not there yet in the same place as we are looking for
یەکسەر زانام ئی کرؽڵە پەی چیشیا	I knew immediately what this key was to	I knew at once what this was the key's gotten into me
پەوکای تاوی جەحەنەمەکەی دوور وزیۆو من تەنیا جیا بازی	so you can get the hell away from here and leave me alone.	so the poor devil could go away and leave me alone.
بەڵام کەس نەیارؽ دەسش وەردۆنە	but nobody dared to interfere.	but no one dared to touch him.
یان دانشا سەرەیش	or knocked on the head	or if you are fortunate enough to have escaped the fire of the sentinels
چاگە تا نزیکەو شەوی مەنۆ	there he remained till nearly nightfall	even there they prolonged their usual orgies late into the night
پسە ئانەی کە ڕوێ بەزارێ تەوەنی زلەش بیەبۆ	as though it had once been a large stone pigpen	as though a fox had been found, and the whole pack, joining together
کە پەی ئاﮆی بە ئؽش و قورس بؽ	that was painful and difficult for him.	which was tolerably steep and rough in his exterior
داواو عەفوؽ کەرو کە تۆم دلؽ یاگەکینە ئاردی بەرۆ	I'm sorry I've dragged you out of bed.	I'm sorry I found him in the post.
کاتو ئانەینە کە وازباری	it's time for you to step aside.	it's time you had better choose.
کە نەتاوام کەروش	as I could not possibly have done	that I could not do
گومان نیا چانەینە کە ئینە بؽ بە هۆو ئانەی کۆتایێ تراژیدیش ب	I have no doubt that it led to his tragic end.	I am sure this has brought you to a happy end.
کاتێ پۆکەرەکەش کەیس و دزەکانە دەسکەوت	when he got the poker in case of burglars	when he's had the impudence to show it at the last.
ڕەفیقە خزمەتکارەکەم فەرمانش بە سۆرێل ناگی کەرد	ordered the sorrel nag, my fellow servant	my crew having received the warrant.
کە هەرگیز جە سڵامی فەرمی زیاتەر نەلاینؽ	that they had never gone further than formal greetings	that I never went beyond the commonest instinct.
بەڵام بتڵەکؽ یاگؽ وؽشانە بؽنؽ	but the bolts were in place.	but the bottle itself nicely headed.
وەشحاڵەنا کە گؽڵایۆ پەی کاتو وؽش	I'm glad she got back in time.	I'm glad he's got back to his house.
بەڵام گرد و تاوانەکەی وزو ملو وؽم	but I take all the blame upon myself	but I was wrong to bring the blame on myself.
بە خؽرای تەماشەو دووریش کەرد	looked quickly away.	looking around excitedly.
دارستانەکە ئؽسە جیاتی سیاوی خۆڵەمێشی بؽ	the forest was gray now instead of black.	the forest had now turned into a wooden shelter
کە ئیمەش وستیمؽ تەمەلی	which disposed us to sloth	that we were hoping
کە وەربهێنانش کەردەن نەهەنگەکەنە بە تیۆری سروشتی	that so much invested the whale with natural terror	as the whale balled itself up in the porch of nature
پەی ئانەی جە دەسش ڕزگارش بۆ بڕیارشدا وڵاتەکەی جیابازۆ	in order to escape from her, he determined to quit the country	his father, getting away from the sphinx unharmed
مەژگش قینیش جە کۆکراوەکەو وؽش نەبؽ	her mind had no distaste for her own set	but his mind was troubled with his environment,' and so on.
پابەندبیەکەی کاڵ بیۆ	the obligation faded.	from other accounts of it, that the necessity of relationship was sealed.
هەرگیز نەدیەنم وا پؽسە ورکەرۆ	I never see the wind blow so.	I never see him get around so since
بەڵام شازادە پیرەکە قسؽش بڕیە	but the old prince interrupted him.	but the old prince interrupted him
بە هۆو وارانێ فرەو ویرانکەریۆ بی بەهۆو شکستی	turned into a rout because of a devastating downpour.	were now so worn away.
ڕؽکوستەیش پەی مەکتەبو داهاتوی	arranged it for the future schoolroom.	he'll be directed to the next school.
من قەشەنا پەوکای مشۆم سەروو گومانیۆ بوو	I am a priest and therefore I ought to be above suspicion	I'm afraid your dreams must take even that much trouble about it.
هیشتای سەرو پلەکانەکاوە شەش هەنگامؽ وارو وؽشۆ پاڵکەوتەن	still lying on the staircase six steps below him.	even sat holding out his hand on the pedestal, had six feet to his side.
یەرؽ دەقؽ تەماشەو جوڵەو ئەسپەکەیش کەرد	watched the horse's action for the space of three minutes	looked about the horse's stirrup, almost three minutes after he had looked.
بەڵام ئەجیامەنە خەم چؽوێن کە تۆ هەستش پەنەکەری هەر نۆعێ ب	but I thought grief was something you felt anyway.	but the grief which you felt on my own countenance was gone today
جە پلیکانەکاوە وروەست پەی بەرێ ڕاڕەوەکەی	went up the staircase to a door in a corridor.	I climbed the stairs leading to the dining room door.
هەرچنە سەرکەوتنەکؽشا کەمتەرؽ بؽنؽ جە زەحمەتەکاشا	though with but small success for their pains.	though their appetite too was less than miraculous.
نێوەندگیرێش کیانا پەی ڕؽکوستەو مەرجەکا جیابیەوەی	but sent an intermediary to arrange the terms of the separation	were already on sufficiently intimate terms with him
چونکە وەڵتەر هەرگیز پێویستیم پی پەلەکەردەیە نەبیەن	for I have never had such need of haste before.	for I was never need to make haste.
