source	reference	translation
ڤە ئێ دووخا چوار ساتم بردە سەرێر.	I was four hours under these circumstances	maybe four had been swept off the four hours.
نیمتەنە و شاواڵ شەترەنجی کردۊتێ ئەێ ڤەر	in plaid frock and trousers.	wearing a jacket and tie.
م نمەیلم ماجراکە ڤە ئێ شێوە تەمام بوو	I won't let it end like this.	I don't want the ماجher to be ended in that way.
ئەر یە بییە گ نێیەت ئە ژەن کەڵنگە دەرک بکەێ	trying to grasp the old lady's meaning	if he was not able to get rid of the idea of the great lady
ڕووژنامە ئەێ پەلۊ مێزە هێز داتێ	he picked up the paper.	the paper crept forward to the desk
هایتێر ئەڕا هەمۊشە ئێ دت نازارە ئەێ دەس بچوو	she might be required to sink herself forever.	I hope he's lost this dear girl forever.
ڤە دوشمین و هەڕەشە دەستوور دامێیە بێن	he ordered me in with an oath	I have given orders to the enemies and men.
سە ئەو ڤە ڕاسییا ئەسیر بۊ	so truly was he captivated.	so he was indeed equipped for his utmost.
یاواش ڤە زوور زانی هێز گرتم	I raised myself gently upon my knees	I rose as soon as day dawned.
ڤە ئێ حاڵا هەر چەێ شەواهد و قەرائن بی نیشانە میاێ ئەو موجرمە	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet never a skiff come close enough for me to hail.
دەرجا ئێ فکرەلە ڤە نام زەێنمەێرە گێرداننم و شعرم سازی	I immediately turned this thought over in my head, creating lyrics.	I translated the idea in my mind and formed a poet.
ڤە ئێ گومانە گ مداڵە ئەژ زەڕ بێخەوشە	thinking that it was a medal of solid gold	for the trouble of being pensioned for work that would cause the death and total destruction of all that would be required of.
ئەمانێ فرە ئەڕا یەون ئاخ و داخم کرد	but I felt so sorry for them	but I'm very sorry about it.
م ژیاین فرە دووسە مەێرم، بەدبەختی هەر یەسە	I've loved life too much, shamefully much.	I love my life I love my way, and I feel so unhappy.
ئەمانێ ڤە حاڵێکەێرە گ لەمەسوڕکییان بی، دەس و پاوانە مییا، ڤە ئەژ لاوەلا چوروو و بتە مەهەتنەو نووا. ڤە ئاخرەێر کول ڤە یەکا گولەوان تەقان و حوزوور وژان ئاشکراوا کرد. ڤە دوما ئە گولەتەقاننەلە فرەهان ئەژ سەربازەل ئێ سەر زێن ئەسپلەوان کەتنە هوار.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but in the act, he began to utter profuse and doleful lamentations over her body, and so on the other occasion, making a mistake, in inviting the young couple.
جوور ژیمناسیککارێ گ هووکارە ئێ کارەسە	like a man accustomed to that kind of gymnastic exercise	as a sensible physiologist, simply particularly re mark its front aspect, in all its compacted collectedness.
گووشە میاێ ئەر دەنگ شوونە پا زەمان	listening to the echoing footsteps of years.	understanding the mood he was in expected a pleasant chat.
م فەقەت مەێ ئێ ژەنە بۊنم	I must see the lady.	I don't really want to see these women.
ئەێ تونێرە ئاێم دەردبهوەرێکە	he struck you as being pretty handy.	I have quite enough to do at the moment.
ئەمانێ سووسک ئەێ دەڕەس ئەو دۊر بی	but it was safe out of his reach.	but he must be absent from his house till to morrow.
گشت ئاوەخت و ئارزووەلم دریاوە ڤارا	I have lost all my illusions.	that my whole season was subject to a thousand blunders
ساێلەوان یا مردۊن یا هەیواوین	all of them silent now, their owners dead or fled.	deserted or captured
ڤە زۊیی ئێ توڕەکونا گوجەرە، ڤە شێڤە ڕێ ئەڕا ڕەدبین گورج بییەور	it soon stood wide open also.	hastily exile the little anger from his consciousness of it.
