source	reference	translation
همینتی چار سات سر هکردمه.	I was four hours under these circumstances	maybe I've been up for four hours.
کل جمه و چارخونی شلوار دپوشی بییه	in plaid frock and trousers.	dressed in full mourning
من نلمبه که ماجرا اتی توم بوه.	I won't let it end like this.	I don't know if it keeps an idea of adventuring.
کوشش هکرده پیرزنای رای ره بفهمه.	trying to grasp the old lady's meaning	did her best to fathom the old lady's decision.
روزنومه ره میز کنار جا بیته.	he picked up the paper.	he had put the feather on the table in eight days
ولکه این نازنین کیجا درسسی از دس بوره.	she might be required to sink herself forever.	but this beautiful and accomplished lady.
با ات تا فاش مه ره فرمون هدا.	he ordered me in with an oath	well, he's given orders with a cowl!
راسسی راسسی کلاید اسیر بیی بییه	so truly was he captivated.	it was indeed he was a prisoner
ونه گلی از ترس خشک بییه و بهیته. و بپرسییه	she asked, her voice rough with stress and fear.	that she asked, her voice rough with stress.
یواش یواش لینگ رهی هکردا راس بیمه	I raised myself gently upon my knees	I'll tap her loose.
با این حال درس همه چی شاهدی دننه که و مجرم بییه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	in a tone that seemed to imply that everything that took place
اندریک یان فکرا ره شه سر بگردندیما ات تا شعر بساتمه	I immediately turned this thought over in my head, creating lyrics.	I wanted to compose rhymed couplets upon my poodle.
با این گمون که مدال اصلِ طلای جا هسسه	thinking that it was a medal of solid gold	even though he prided himself on keeping up with whatever was the latest fad.
ولی وشون واسسه خله متاسف بیمه	but I felt so sorry for them	but I was very sorry about it.
من دیین ره خله دوس دارمه. بدبختی همینه.	I've loved life too much, shamefully much.	I love the sight of her, and see unhappy.
اما همتی که شه دس و لینگِ جا ساخه سو کردنه و بوته لا به لا پیش اییمونه سرآخر هنتی تفنگ جا شلیک کردنا نشون دانه که در اننه با اون شلیک هم خله از سربازون شه اسب زین پشت جا پایین جر دکتنه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but unconsciously bent on avoiding the contemplation of the horrors of their situation, they finally realized that nothing had happened but a beadle's hand.
زیمیناستیک کار جور که به این کار خو هکرده	like a man accustomed to that kind of gymnastic exercise	as a prisoner has done his profession
زمونه لینگ چمر ره گوش دا	listening to the echoing footsteps of years.	he uttered a plaintive cry of pain, and that cry was fatal.
من فقط ونه این زنا ره بوینم	I must see the lady.	I was just get this woman.
ته نظر هم آدم به دردبخری هسسه	he struck you as being pretty handy.	you feel like a tortured animal.
ولی سیس ونه دسرسی دنی بیه	but it was safe out of his reach.	but there was no getting around the stubborn
مه تموم امید و آرزو همه به باد فنا بورده	I have lost all my illusions.	my whole wish and mine seems lost to everything else.
وشون صاحبون یا بمرد بینه یا فلنگ ره بدا بینه	all of them silent now, their owners dead or fled.	bade him surrender, or he would cut his head off.
خله زود این کچکی گلیا اتا گذر رای واری آماده بییه	it soon stood wide open also.	yet was easily accounted for as belonging to the sense of haste
ناگمونی بفهمسسمه که مه آخری سال هسسه	I knew with sudden, chilling certainty that this was my last year.	I suddenly realized that it was the end of my year.
پس شه دهون ره دوس بیمه	I kept my mouth shut.	I knew the tune for him.
اما فعلن همونجه هسمی که اس هکرد بیمی	we're still where we were.	but all the same
اندریک بفمسسمه که این کلی کجه شه	I knew immediately what this key was to	I wondered if he'd take it very carefully.
پس تو توندی شه را ره بیری بوری و مه ره تینار بلی	so you can get the hell away from here and leave me alone.	so you acted the spy and informer, and ruined my prospects.
ولی هیچ کس جورات ناشته کار دله دخالت هکنه	but nobody dared to interfere.	but no one dared to stir.
یا اینکه ناخدا ونه سر ره اشکندنه	or knocked on the head	or that the captain should be cut his head
آنسلم تا نماشون گدری اونجه بمونسسه	there he remained till nearly nightfall	rsula visited him in his bedroom.
که ونه اصلی ساختمون ات روز ات تا سنگی خوکدونی بییه	as though it had once been a large stone pigpen	that the materials of which it was built one day were 'disappointing'.
اینتا اتا دردناک و سخته کار بییه	that was painful and difficult for him.	I know it's a short notice job
عذر خوامبه که ته ره لای جا بکشیمه دیا	I'm sorry I've dragged you out of bed.	I apologise if I seemed critical.
این گدر برسییه که تو کناره گیری هکنی	it's time for you to step aside.	when you might have fainted and had a miscarriage.
هچ را مه واسسه امکان ناشته	as I could not possibly have done	I never seemed to have the chance.
شک نارمه که ونه بد بمردن باعث بییه	I have no doubt that it led to his tragic end.	for no doubt the cause of his death has brought him to live or die in these solitudes like a brute beast,
اون گدر به این خیال که دز بییمو تَش کَله سخ ره بیته	when he got the poker in case of burglars	only then for the purpose of truly planting a false feeling of pity
کرند اسب ره ینه مه خدمتکار و مه هم قطار فرمون هدا	ordered the sorrel nag, my fellow servant	the grand mother dropped dead by the stable door.
البته فقط ات تا رسمی سلام علک	that they had never gone further than formal greetings	I was only aware of a circumstance to an officer's policy
خواسسه دله بوره در ره دله وری دوس بدییه	but the bolts were in place.	he dashing to the door to make sure.
من خشالمه که و خاره موقع دگرسسه	I'm glad she got back in time.	I'm glad he's gotten back, and that even I am not in time.
ولی مه گمون گناه این بدبختی، همه دره مه گردن	but I take all the blame upon myself	but I think the wrong thing is all I have to do.
زود ونه جا چش ره بیتا وره نشا	looked quickly away.	but she drew him quickly and firmly away.
پدیار اسا از سیو به رنگ خاکستری در بییمو	the forest was gray now instead of black.	the pallor and anguish expressed on his countenance
این کار اما ره تنبل و سس کنده	which disposed us to sloth	but to try to put the blame on her sister!
که این وال ره جوری هکرده که اینتی ترس ایجاد هکنه	that so much invested the whale with natural terror	that the whale was about to give that blow its sodestructive force.
از اینکه اون چپون کیجا ره نوینه دیگه تصمیم بیته که شه مله ره سر اله	in order to escape from her, he determined to quit the country	his left hand pushed away the herbs away.
هچ شه جا راضی نییه	her mind had no distaste for her own set	how each one would love him become quite content
کلاید شه تعهد ره از یاد بورده	the obligation faded.	clyde remembered his obligation
بوا هم امون ندا و زمین و زمان ره دپیته	I never see the wind blow so.	you won't have time and knowledge.
ولی شازاده وره پیش دکته	but the old prince interrupted him.	but he thrashed again
ناگمونی تند شلاب جا رته رم بییه	turned into a rout because of a devastating downpour.	the bastard kicked me out in such a hurry.
اونجه ره برای اینکه بعدا امه همکلاس و درس بووه رج هکردمه	arranged it for the future schoolroom.	maybe there was a place for a preacher.
من کشیش هسسمه و ونه از هر فکر بدی شه جا دور باشم	I am a priest and therefore I ought to be above suspicion	I'll be a curate and forget all his secrets.
هنو با هری شیش گوم فاصله داشته	still lying on the staircase six steps below him.	the horizon and disappeared behind a long narrow cloud that hung above it.
شه دقیقه تموم اسب حرکت ره اشا	watched the horse's action for the space of three minutes	he sprang nimbly to his horse
