source	reference	translation
چوار سات وەی حاڵەو ئەو سەر بردم.	I was four hours under these circumstances	I lay on the four o'clock in bed
شەۊ و شواڵ چوارخانە لە وەر	in plaid frock and trousers.	then hitched, and crept away in the four corridor.
نیەیلم هە لێوا بنێ باێ	I won't let it end like this.	I don't want to get around so.
تەقەلا ئەڕای ئەوڕەسین لە مەبەست کەیوانوو	trying to grasp the old lady's meaning	I trying to penetrate the full significance of the words.
کاغەزەگە گردەو کرد.	he picked up the paper.	folded the paper
هاتێ تواسۊد ئەڕا هەمیشە خوەێ بخنکنێ.	she might be required to sink herself forever.	perhaps he had decided to bury himself forever.
وە قەسەم و قورئان نا ملم.	he ordered me in with an oath	with the promise he wouldn't eat again until he'd finished.
هە وە ڕاسی، ئەو دیل کریاۊد.	so truly was he captivated.	when he was really at heart
وە دەنگێ زبر لە سترس و ڕخ پرسیار کرد.	she asked, her voice rough with stress and fear.	she asked, her voice rough with stress and fear.
وە ئارامی خوەم لە بان وێرزنگەیلمەو بەرزەو کردم.	I raised myself gently upon my knees	I heartily stood up on my knees.
وەی حاڵەو کول دووخەیل دەور وەر لەو ساتە چمانێ لێوا نیشان دەن کە ئەو کارە کردیە.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet all the circumstances of the whole occupied an opportunity to show that he had done so.
م زۊ ئێ هۊرە خسمە ناو سەرم و هەڵبەستەیلێگ وتم.	I immediately turned this thought over in my head, creating lyrics.	I make a snap decision and snap decision.
فکر یە گ ئەوە مداڵ زێڕ ڕەقێ بۊە.	thinking that it was a medal of solid gold	she rushed into the room.
ئەمانێگ م فرە داخم هات ئەڕایان.	but I felt so sorry for them	but I'm so sorry about it.
م فرە ژیان دووس داشتم، جی شەرمەزارییە.	I've loved life too much, shamefully much.	I love her exceedingly, but I'm damned if I sympathize.
ئەمانێگ وە گامڵەکیەو لە ناوێن بووسانەو خزیەن، و تەنیا وە تەقەی تفەنگ وە یەکەو کە فرەیێگ لە زینەگان چووڵەو کرد، هەبۊنیان ئاشکرا بۊ.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but with a rapidity and nimbleness almost produced, and with a cry of the some invisible pistol which he had concealed in a large cell.
چۊ پیاێ کە هووکارە بۊەسە ئەوجوورە تەمرینەیل ژیمناستیک.	like a man accustomed to that kind of gymnastic exercise	as a man in a fever is apt to walk to and frozen to life.
گۊە تەکانن لە شوونپای ساڵەیل	listening to the echoing footsteps of years.	listening to their footsteps dying away.
م تەنیا تواێ ئێ خانمە بۊنم.	I must see the lady.	I shall just have to see this lady.
وە باوەڕ ت، ئەو ئایەم لێهاتیێگە.	he struck you as being pretty handy.	you believe he is a free mason.
ئەمانێگ ئەو دۊر لە دەسڕەسێ ئەمنۊ.	but it was safe out of his reach.	but he's safe from his reach.
گشت خەیاڵەیلم لە دەس دامە.	I have lost all my illusions.	I have lost all my ideas.
ئیسە گشتیان بێ دەنگ، خاوەنەگانیان یا مردێ یا دەرچێ.	all of them silent now, their owners dead or fled.	now they were quiet, dreamt, or at least human creatures.
وە زۊییش تمام واز بۊ.	it soon stood wide open also.	the bastard kicked me out in such a hurry.
وە دڵنیاییێگ لەناکاو و ساردکەرەوە زانسم کە یە دۊا ساڵ منە.	I knew with sudden, chilling certainty that this was my last year.	for no consequence of a sudden, cold nose, I knew that it was the end of me.
دەمم بەسۊم.	I kept my mouth shut.	I shut my mouth.
ئیمە هێمان هایمنە ئەو جیە گ بۊمن.	we're still where we were.	we are not there yet as we were before
زۊ ڕەسیمەو ئێ کلیلە ئەڕا چەس.	I knew immediately what this key was to	I make a snap decision what he's agwyne to do.
سە تۊەنی لێرە دۊرەو بکەفی و تەنیام بیلی.	so you can get the hell away from here and leave me alone.	so you can stay away from here and leave him alone.
ئەمانێگ کەس نەوێریا دەسوەردان بکەێ.	but nobody dared to interfere.	but no one dared to stir.
یا دیا لە سەرێ.	or knocked on the head	or did it on his head.
لەورە تا نزیکەیل شەو مەن.	there he remained till nearly nightfall	even there they prolonged their usual orgies late into the night
چمانێ سەردەمانێگ یەێ وراز گەورای کوچگین بۊە.	as though it had once been a large stone pigpen	as if the visit had been a small up.
ئەوە ئڕا ئەو وەژان و قورس بۊ.	that was painful and difficult for him.	it was too rough for her to hang herself.
بووەخشی لە تەخت خەو کیشامەدەو دەیشت.	I'm sorry I've dragged you out of bed.	I was sorry to get out of bed.
کات ئەوە هاتێیە بەیدەو لا.	it's time for you to step aside.	pushed open the front door.
هە ئەو جوورە گ نەتۊەنسم ئەنجام بەم.	as I could not possibly have done	as I couldn't do.
گومان نێرم گ ڕەسیە ئاخر تراژیک ئەو.	I have no doubt that it led to his tragic end.	I am sure he will make an end of it this twelvemonth.
کاتێ گ سیخەگە لە ئان هاتن دزەیل ئەڵگرت	when he got the poker in case of burglars	when the scoundrel learned from the arrival of the thieves
فەرمان ئەسبەیل سوور دا، خزمەتکارەگەم.	ordered the sorrel nag, my fellow servant	I will give orders to my servants, he said.
ئەوان قەت لە یەێ سڵام و کێخوەشی فەرمی فرەتر نەچۊن.	that they had never gone further than formal greetings	they had never been out of proportion to one simple wants and wishes
ئەمانێگ پێچەگان لە شوون خوەیان بۊن.	but the bolts were in place.	but the children themselves were carried off their places.
خوەشاڵم کە ئەو سەر وەخت هاتەو جی.	I'm glad she got back in time.	I'm glad he's gotten back to bed.
ئەمانێگ گشت تاوانەگە گرمەو مل خوەم.	but I take all the blame upon myself	but I shall always value the fire.
وە خێرایی نووڕیە دۊرەو.	looked quickly away.	looking away with all her might.
دارسانەگە ئێرنگە لە جی ڕەش، خوڵەمژی بۊ.	the forest was gray now instead of black.	the forest had now been dark.
کە تەمەڵمان کرد.	which disposed us to sloth	that he was condescending when he noticed them at all.
کە ئێ نەهەنگە ئێقرە کردۊدە مایەی ڕخ سروشتی.	that so much invested the whale with natural terror	even then the whale could have been as much afraid as he would be.
ئڕا ڕاکردن لە دەسێ، بڕیار دا لە وڵات نەوسێ.	in order to escape from her, he determined to quit the country	so to get out of hand, he decided not to cross the country.
هۊرشەی ئەو هیچ قینێ لە دووخ خوەێ نێیاشت.	her mind had no distaste for her own set	had no thought of trouble to come after the funeral.
پابەن بۊن کاڵەو بۊ.	the obligation faded.	be bound to its spirit
هیچکات نەیمە وا لێوا بووەشیەێ.	I never see the wind blow so.	I've never heard him talk so much about her.
ئەمانێگ شازادەی پیر قسەگانێ بڕی.	but the old prince interrupted him.	but the old prince interrupted him
وە بوون یەێ ڕفت کاولکەرێ بۊە تێکشکیان.	turned into a rout because of a devastating downpour.	rsula was the only one who dared disturb his, abstraction.
